parent_smiles,child_smiles
CC(O)=Nc1ccc(O)cc1,CC(=O)N=C1C=CC(=O)C=C1
COc1ccc2[nH]c3c(c2c1)CCNC3,Oc1ccc2[nH]c3c(c2c1)CCNC3
FC(F)(F)c1cccc(N2CCNCC2)c1,Oc1ccc(N2CCNCC2)cc1C(F)(F)F
Cn1c(=N)[nH]c2c3cccnc3ccc21,Cn1c(NO)nc2c3cccnc3ccc21
COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,CC(C)N(CCc1c[nH]c2ccc(O)cc12)C(C)C
FC(F)(F)[C@H](Cl)Br,O=C(O)C(F)(F)F
CN[C@H](C)Cc1ccc2c(c1)OCO2,CN[C@H](C)Cc1ccc(O)c(O)c1
COC(=O)C1=C(C)NC(C)=C(C(=O)O)[C@H]1c1cccc([N+](=O)[O-])c1,COC(=O)c1c(C)nc(C)c(C(=O)O)c1-c1cccc([N+](=O)[O-])c1
O=C(c1cccs1)c1ccc(OCCCO)c(Cl)c1Cl,O=C(c1ccc(O)s1)c1ccc(OCCCO)c(Cl)c1Cl
COc1ccc(C[C@@H](C)N)cc1,C[C@@H](N)Cc1ccc(O)cc1
CO[C@]12C[C@@H](CO)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,COC12CC(CO)CN(C)C1Cc1c[nH]c3cccc2c13
COc1cccc(OC)c1-c1ccc(C[C@H](N=C(O)c2c(Cl)cccc2Cl)C(=O)O)cc1,COc1cccc(O)c1-c1ccc(CC(N=C(O)c2c(Cl)cccc2Cl)C(=O)O)cc1
COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C
C[C@H](NC(=N)O)c1cc2ccccc2s1,C[C@H](NC(=N)O)C1=Cc2ccccc2S1=O
C[C@@H](O[C@H]1OCCN[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(OC1OCC=NC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
COc1ccc(OC(F)(F)F)cc1CN,NCc1cc(OC(F)(F)F)ccc1O
Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2cc(O)co2)n1C
