parent_id,child_id,origin
DB00169,DB00136,DB00169
DB00318,DB00318,DB00318
DB00318,DB06409,DB00318
DB00295,DB00295,DB00295
DB01420,DB01536,DB01420
DB00780,DB09269,DB00780
DB12406,DB12406,DB12406
DB15566,DB00635,DB15566
DB15465,DB00327,DB15465
DB14185,DB03704,DB14185
DB03766,DB04045,DB03766
DB02912,DB03699,DB02912
DB09301,DB11195,DB09301
DB09419,DB03947,DB09419
DB13235,DB09140,DB13235
DB13235,DB09145,DB13235
DB00169,DB00136,DB00169
DB09419,DB03947,DB09419
DB11358,DB00154,DB11358
DB13854,DB04557,DB13854
DB00806,DB00806,DB00806
DB11358,DB00154,DB11358
DB13854,DB04557,DB13854
DB00154,DB00917,DB00154
DB13959,DB04557,DB13959
DB14520,DB14510,DB14520
DB08908,DB04272,DB08908
DB08908,DB01677,DB08908
DB15465,DB00327,DB15465
DB15566,DB00635,DB15566
DB00169,DBMET00575,DB00169
DB00145,DBMET03082,DB00145
DB00158,DBMET02316,DB00158
DB11635,DBMET02310,DB11635
DB12532,DBMET02227,DB12532
DB12532,DBMET02228,DB12532
DB00201,DBMET00271,DB00201
DB00829,DBMET00650,DB00829
DB00795,DBMET00924,DB00795
DB00201,DBMET00271,DB00201
DB00201,DBMET00272,DB00201
DB00201,DBMET00326,DB00201
DB00451,DBMET02273,DB00451
DB00451,DBMET02274,DB00451
DB00451,DBMET00559,DB00451
DB00285,DBMET00437,DB00285
DB00285,DBMET00967,DB00285
DB03783,DBMET00580,DB03783
DB03783,DBMET00653,DB03783
DB03783,DBMET00243,DB03783
DB00321,DBMET00052,DB00321
DB00321,DBMET00053,DB00321
DB15465,DBMET00866,DB15465
DB15465,DBMET00179,DB15465
DB13783,DBMET00156,DB13783
DB13783,DBMET00157,DB13783
DB13783,DBMET00158,DB13783
DB00451,DBMET02273,DB00451
DB00451,DBMET02578,DB00451
DB00514,DBMET00595,DB00514
DB00514,DBMET01317,DB00514
DB00514,DBMET01318,DB00514
DB00321,DBMET00053,DB00321
DB09215,DBMET00304,DB09215
DB01420,DBMET01762,DB01420
DB01420,DBMET01763,DB01420
DB01420,DBMET01764,DB01420
DB01420,DBMET01765,DB01420
DB01420,DBMET01766,DB01420
DB01420,DBMET01767,DB01420
DB01420,DBMET00556,DB01420
DB01420,DBMET00558,DB01420
DB01420,DBMET02835,DB01420
DB01420,DBMET00562,DB01420
DB01420,DBMET02837,DB01420
DB01420,DBMET00571,DB01420
