parent_name,child_name,parent_smiles,child_smiles,source,fps
acetaminophen,N-Acetyl-p-benzoquinone,CC(O)=Nc1ccc(O)cc1,CC(=O)N=C1C=CC(=O)C=C1,MetXBioDB,[0 0 0 ... 0 0 0]
acetaminophen,3-Hydroxyacetaminophen,CC(O)=Nc1ccc(O)cc1,CC(O)=Nc1ccc(O)c(O)c1,MetXBioDB,[0 0 0 ... 0 0 0]
pinoline,"1H,2H,3H,4H,9H‐pyrido[3,4‐b]indol‐6‐ol",COc1ccc2[nH]c3c(c2c1)CCNC3,Oc1ccc2[nH]c3c(c2c1)CCNC3,MetXBioDB,[0 1 0 ... 0 0 0]
1-(3-Trifluoromethylphenyl)piperazine,HO-TFMPP,FC(F)(F)c1cccc(N2CCNCC2)c1,Oc1ccc(N2CCNCC2)cc1C(F)(F)F,MetXBioDB,[0 0 0 ... 0 0 0]
"2-Amino-3-methylimidazo(4,5-F)quinoline","N-OH-2-amino-3-methylimidazo[4,5-f]quinoline (N-OH-IQ)",Cn1c(=N)[nH]c2c3cccnc3ccc21,Cn1c(NO)nc2c3cccnc3ccc21,MetXBioDB,[0 0 0 ... 0 0 0]
"5-Methoxy-N,N-diisopropyltryptamine",5-OH-DIPT,COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,CC(C)N(CCc1c[nH]c2ccc(O)cc12)C(C)C,MetXBioDB,[0 1 0 ... 0 0 0]
"5-Methoxy-N,N-diisopropyltryptamine",5-MeO-IPT,COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,COc1ccc2[nH]cc(CCNC(C)C)c2c1,MetXBioDB,[0 1 0 ... 0 0 0]
(R)-halothane,trifluoroacetic acid,FC(F)(F)[C@H](Cl)Br,O=C(O)C(F)(F)F,MetXBioDB,[0 0 0 ... 0 0 0]
(R)-halothane,"2-chloro-1,1-difluoroethene",FC(F)(F)[C@H](Cl)Br,FC(F)=CCl,MetXBioDB,[0 0 0 ... 0 0 0]
(R)-halothane,"1-chloro-2,2,2-trifluoroethanide",FC(F)(F)[C@H](Cl)Br,FC(F)(F)[CH-]Cl,MetXBioDB,[0 0 0 ... 0 1 0]
"(R)-3,4-Methylenedioxymethamphetamine","N-Methyl-3,4- dihydroxyamphetamine",CN[C@H](C)Cc1ccc2c(c1)OCO2,CN[C@H](C)Cc1ccc(O)c(O)c1,MetXBioDB,[0 1 0 ... 0 0 0]
