parent_id	parent_name	child_id	child_name	enzymes	origin	reactants	products	source	tanimoto	set	possible_products
DB00158	Folic acid	DB00116	Tetrahydrofolic acid	Dihydrofolate reductase	DB00158	Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1	Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2	DrugBank	0.5540540540540541	train	Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2.N=c1nc(O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)=N2.N=c1nc(O)c2c([nH]1)NCC1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CN21.CN1c2c(nc(N)[nH]c2=O)NCC1CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1.Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
DB00169	Cholecalciferol	DB00146	Calcifediol	Vitamin D 25-hydroxylase	DB00169	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O	DrugBank	0.8135593220338984	train	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O.C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CC(OC1OC(C(=O)O)C(O)C(O)C1O)C(=O)C(C)(C)O.C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O.C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O.C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
DB00146	Calcifediol	DB00136	Calcitriol	25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial	DB00169	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O	DrugBank	0.7903225806451613	train	C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O.C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O
DB00201	Caffeine	DB01412	Theobromine	Cytochrome P450 1A2, Cytochrome P450 2E1	DB00201	Cn1c(=O)c2c(ncn2C)n(C)c1=O	Cn1cnc2c1c(=O)[nH]c(=O)n2C	DrugBank	0.5151515151515151	train	Cn1cnc2c1c(=O)[nH]c(=O)n2C.Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O.Cn1c(=O)[nH]c2ncn(C)c2c1=O.Cn1c(O)nc2ncn(C)c2c1=O.CC1C(O)=NC(=O)c2c1ncn2C.Cn1c(=O)c2nc[nH]c2n(C)c1=O.Cn1c(=O)c2c(nc(O)n2C)n(C)c1=O.Cn1c(=O)[nH]c2nc[nH]c2c1=O.Cn1c(=O)[nH]c(=O)c2[nH]cnc21.Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O.Cn1c(=O)[nH]c2[nH]c(=O)n(C)c2c1=O.Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O.Cn1c(=O)c2c(ncn2C)n(C)c1=O
DB00201	Caffeine	DB00277	Theophylline	Cytochrome P450 1A2, Cytochrome P450 2E1, Cytochrome P450 2C8, Cytochrome P450 2C9, Cytochrome P450 3A4	DB00201	Cn1c(=O)c2c(ncn2C)n(C)c1=O	Cn1c(=O)c2[nH]cnc2n(C)c1=O	DrugBank	0.4705882352941176	train	Cn1cnc2c1c(=O)[nH]c(=O)n2C.Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2c([nH]c(=O)n2C)n(C)c1=O.Cn1c(=O)[nH]c2ncn(C)c2c1=O.Cn1c(O)nc2ncn(C)c2c1=O.CC1C(O)=NC(=O)c2c1ncn2C.Cn1c(=O)c2nc[nH]c2n(C)c1=O.Cn1c(=O)c2c(nc(O)n2C)n(C)c1=O.Cn1c(=O)[nH]c2nc[nH]c2c1=O.Cn1c(=O)[nH]c(=O)c2[nH]cnc21.Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O.Cn1c(=O)[nH]c2[nH]c(=O)n(C)c2c1=O.Cn1c(=O)[nH]c2[nH]c(=O)[nH]c2c1=O.Cn1c(=O)c2c(ncn2C)n(C)c1=O
DB00285	Venlafaxine	DB06700	Desvenlafaxine	Cytochrome P450 2D6, Cytochrome P450 2C19	DB00285	COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1	CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1	Both	0.717948717948718	train	CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1.CNCC(c1ccc(OC)cc1)C1(O)CCCCC1.CNCC(c1ccc(O)cc1)C1(O)CCCCC1.NCC(c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)C1(O)CCCCC1.CN(C)CC(c1ccc(O)c(O)c1)C1(O)CCCCC1.CN(C)CC(c1ccc(O)cc1)C1(O)CCC(O)CC1.CN(C)CC(c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)C1(O)CCCCC1.C[N+](C)([O-])CC(c1ccc(O)cc1)C1(O)CCCCC1.CNCC(c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)C1(O)CCCCC1.COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
DB00295	Morphine	DB00318	Codeine		DB00318	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341	DrugBank	0.7884615384615384	train	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341.CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5.CN1CCC23c4c5ccc(OS(=O)(=O)O)c4OC2C(OS(=O)(=O)O)C=CC3C1C5.Oc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341.CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(O)C=CC3C1C5.OC1OC(Oc2ccc3c4c2OC2C(OC5OC(O)C(O)C(O)C5O)C=CC5C(C3)NCCC452)C(O)C(O)C1O.CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
DB00295	Morphine	DB06409	Morphine glucuronide	UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 1A8, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 2B4, UDP-glucuronosyltransferase 1A3	DB00318	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5	Both	0.6119402985074627	train	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341.CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5.CN1CCC23c4c5ccc(OS(=O)(=O)O)c4OC2C(OS(=O)(=O)O)C=CC3C1C5.Oc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341.CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(O)C=CC3C1C5.OC1OC(Oc2ccc3c4c2OC2C(OC5OC(O)C(O)C(O)C5O)C=CC5C(C3)NCCC452)C(O)C(O)C1O.CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5
DB00318	Codeine	DB00295	Morphine	Cytochrome P450 2D6	DB00295	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	Both	0.7884615384615384	train	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5.COc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341.COc1ccc2c3c1OC1C(OC4OC(C(=O)O)C(O)C(O)C4O)C=CC4C(C2)N(C)CCC341.CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5.OC1OC(Oc2ccc3c4c2OC2C(OC5OC(O)C(O)C(O)C5O)C=CC5C(C3)NCCC452)C(O)C(O)C1O.Oc1ccc2c3c1OC1C(O)C=CC4C(CNCC341)C2.CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(O)C=CC3C1C5.COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341
DB00321	Amitriptyline	DB00540	Nortriptyline	Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 1A2, Cytochrome P450 3A4, Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 2C8	DB00321	CN(C)CCC=C1c2ccccc2CCc2ccccc21	CNCCC=C1c2ccccc2CCc2ccccc21	Both	0.6111111111111112	train	CNCCC=C1c2ccccc2CCc2ccccc21.CN(C)CCC=C1c2ccccc2CC(O)c2ccccc21.CNCCC=C1c2ccccc2CC(O)c2ccccc21.NCCC=C1c2ccccc2CCc2ccccc21.NCCC=C1c2ccccc2CC(O)c2ccccc21.CN(C)CCC=C1c2ccccc2CCc2ccccc21
