reactants	products	set	tanimoto	possible_products
CCCCCC=CCC(O)C=CC=CCCC(O)CCCC(=O)O	CCCCCC=CCC(O)C=CC=CCCC(=O)CCCC(=O)O	train	0.717391304347826	CCCCCC=CCC(O)C=CC=CCCC(=O)CCCC(=O)O
NCCc1ccc(Oc2ccc(O)cc2)c(I)c1	NCCc1cc(I)c(Oc2ccc(O)cc2)c(I)c1	train	0.6842105263157895	NCCc1cc(I)c(Oc2ccc(O)cc2)c(I)c1.NCCc1ccc(Oc2ccc(O)cc2)cc1
NC(CCO)C(=O)O	CC(N)C(=O)O	train	0.45	CC(N)C(=O)O.NCC(=O)O.NC(CCOP(=O)(O)O)C(=O)O.CC(O)=NC(CCO)C(=O)O.CCC(=O)C(=O)O.CC(C)C(N)C(=O)O.CSCCC(N)C(=O)O.NC(Cc1cnc[nH]1)C(=O)O.NC(CO)C(=O)O.NC(Cc1c[nH]c2ccccc12)C(=O)O.NC(CS)C(=O)O.[H]NC(=O)NCCCC(N)C(=O)O.NCCCC(N)C(=O)O.NC(Cc1ccccc1)C(=O)O.[H]NC(=O)CC(N)C(=O)O.CC(C)CC(N)C(=O)O.NCCCCC(N)C(=O)O.CC(O)C(N)C(=O)O
O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1OP(=O)(O)O	O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O	train	0.8888888888888888	O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O.O=P(O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O
O=Cc1ccc2ccccc2c1	OCc1ccc2ccccc2c1	train	0.3793103448275862	OCc1ccc2ccccc2c1
CCCCCC=CCC=CC=CC=CC(SCC(N)C(=O)O)C(O)CCCC(=O)O	CCCCCC=CCC=CC=CC=CC(SCC(N=C(O)CCC(N)C(=O)O)C(=O)O)C(O)CCCC(=O)O	train	0.7868852459016393	CCCCCC=CCC=CC=CC=CC(SCC(N=C(O)CCC(N)C(=O)O)C(=O)O)C(O)CCCC(=O)O.CCCCCC=CCC=CC=CC=CC(SCC(N)C(=O)NCC(=O)O)C(O)CCCC(=O)O.CCCCCC=CCC=CC=CC=CC(SCC(N=C(C)O)C(=O)O)C(O)CCCC(=O)O.NC(CSC(C=CC=CC=CCC=CCCCCCO)C(O)CCCC(=O)O)C(=O)O
Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1	Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1	train	0.9583333333333334	Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1.C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OCC1OC(n2ccc(N)nc2=O)C(O)C1O.CC1OC(COP(=O)(O)OC2C(COP(=O)(O)OC3C(COP(=O)(O)O)OC(C)C3O)OC(C)C2O)C(O)C1O.NCCOP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O.Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1.O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1.CC(=O)NC1C(O)CC(OP(=O)(O)OCC2OC(n3ccc(N)nc3=O)C(O)C2O)(C(=O)O)OC1C(O)C(O)CO
CC12CCC3C(CCC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC43C)C1CCC2=O	CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O	train	0.559322033898305	CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O
CC12CCC3C4=CC(=O)C(=O)C=C4CCC3C1CCC2O	CC12CCC3c4c(cc(O)c(O)c4SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)CCC3C1CCC2O	train	0.313953488372093	CC12CCC3c4c(cc(O)c(O)c4SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)CCC3C1CCC2O.CC12CCC3c4cc(O)c(O)c(SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)c4CCC3C1CCC2O
NCCCC(=O)O	NC(CCC(=O)O)C(=O)O	train	0.375	NC(CCC(=O)O)C(=O)O.NCCCC(=O)NC(Cc1c[nH]cn1)C(=O)O.CC(=O)NCCCC(=O)O.NCCCC=O.O=CCCC(=O)O.NCCCC(=O)NC(Cc1cnc[nH]1)C(=O)O.N=C(N)NCCCC(=O)O
