parent_id,parent_name,child_id,child_name,parent_smiles,child_smiles,origin,source
DB00169,Cholecalciferol,DB00136,Calcitriol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,DB00169,DrugBank Augmented
DB00318,Codeine,DB00318,Codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,DB00318,DrugBank Augmented
DB00318,Codeine,DB06409,Morphine glucuronide,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)C=C[C@H]3[C@H]1C5,DB00318,DrugBank Augmented
DB00295,Morphine,DB00295,Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,DB00295,DrugBank Augmented
DB01420,Testosterone propionate,DB01536,Androstenedione,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,DB01420,DrugBank Augmented
DB00780,Phenelzine,DB09269,Phenylacetic acid,NNCCc1ccccc1,O=C(O)Cc1ccccc1,DB00780,DrugBank Augmented
DB12406,Lisofylline,DB12406,Lisofylline,C[C@@H](O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,C[C@@H](O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,DB12406,DrugBank Augmented
DB15566,Prednisolone acetate,DB00635,Prednisone,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,DB15566,DrugBank Augmented
DB15465,Benzhydrocodone,DB00327,Hydromorphone,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,DB15465,DrugBank Augmented
DB14185,Aripiprazole lauroxil,DB03704,12-Hydroxydodecanoic Acid,CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,O=C(O)CCCCCCCCCCCO,DB14185,DrugBank Augmented
DB03766,Propanoic acid,DB04045,(R)-methylmalonyl-CoA,CCC(=O)O,C[C@H](C(=O)O)C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,DB03766,DrugBank Augmented
DB02912,Propanoyl-CoA,DB03699,Succinyl-Coenzyme A,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O,DB02912,DrugBank Augmented
DB09301,,DB11195,Xylitol,,OC[C@@H](O)[C@H](O)[C@@H](O)CO,DB09301,DrugBank Augmented
DB09419,Xylose,DB03947,D-Xylulose,O=C[C@H](O)[C@@H](O)[C@H](O)CO,O=C(CO)[C@@H](O)[C@@H](O)CO,DB09419,DrugBank Augmented
DB13235,Perboric acid,DB09140,Oxygen,O=BOO,O=O,DB13235,DrugBank Augmented
DB13235,Perboric acid,DB09145,Water,O=BOO,O,DB13235,DrugBank Augmented
DB00169,Cholecalciferol,DB00136,Calcitriol,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,C=C1/C(=C\C=C2/CCC[C@]3(C)[C@@H]([C@H](C)CCCC(C)(C)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,DB00169,DrugBank Augmented
DB09419,Xylose,DB03947,D-Xylulose,O=C[C@H](O)[C@@H](O)[C@H](O)CO,O=C(CO)[C@@H](O)[C@@H](O)CO,DB09419,DrugBank Augmented
DB11358,,DB00154,Dihomo-gamma-linolenic acid,,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,DB11358,DrugBank Augmented
DB13854,Gamolenic acid,DB04557,Arachidonic Acid,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,DB13854,DrugBank Augmented
DB00806,Pentoxifylline,DB00806,Pentoxifylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,DB00806,DrugBank Augmented
DB11358,,DB00154,Dihomo-gamma-linolenic acid,,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,DB11358,DrugBank Augmented
DB13854,Gamolenic acid,DB04557,Arachidonic Acid,CCCCC/C=C\C/C=C\C/C=C\CCCCC(=O)O,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,DB13854,DrugBank Augmented
DB00154,Dihomo-gamma-linolenic acid,DB00917,Dinoprostone,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,DB00154,DrugBank Augmented
DB13959,,DB04557,Arachidonic Acid,,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,DB13959,DrugBank Augmented
DB14520,Tetraferric tricitrate decahydrate,DB14510,Ferrous cation,O.O.O.O.O.O.O.O.O.O.O=C([O-])CC([O-])(CC(=O)[O-])C(=O)[O-].O=C([O-])CC([O-])(CC(=O)[O-])C(=O)[O-].O=C([O-])CC([O-])(CC(=O)[O-])C(=O)[O-].[Fe+3].[Fe+3].[Fe+3].[Fe+3],[Fe+2],DB14520,DrugBank Augmented
DB08908,Dimethyl fumarate,DB04272,Citric acid,COC(=O)/C=C/C(=O)OC,O=C(O)CC(O)(CC(=O)O)C(=O)O,DB08908,DrugBank Augmented
DB08908,Dimethyl fumarate,DB01677,Fumaric acid,COC(=O)/C=C/C(=O)OC,O=C(O)/C=C/C(=O)O,DB08908,DrugBank Augmented
DB15465,Benzhydrocodone,DB00327,Hydromorphone,COc1ccc2c3c1O[C@H]1C(OC(=O)c4ccccc4)=CC[C@@H]4[C@@H](C2)N(C)CC[C@@]341,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5,DB15465,DrugBank Augmented
DB15566,Prednisolone acetate,DB00635,Prednisone,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,DB15566,DrugBank Augmented
DB00169,Cholecalciferol,DBMET00575,Calcitroic acid,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12,C=C1/C(=C/C=C2\CCC[C@]3(C)[C@@H]([C@H](C)CC(=O)O)CC[C@@H]23)C[C@@H](O)C[C@@H]1O,DB00169,DrugBank Augmented
DB00145,Glycine,DBMET03082,Dihydrolipoamide,NCC(=O)O,NC(=O)CCCCC(S)CCS,DB00145,DrugBank Augmented
DB00158,Folic acid,DBMET02316,"5,10-methylene tetrahydrofolate (THF)",Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,N=c1nc(O)c2c([nH]1)NC[C@@H]1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CN21,DB00158,DrugBank Augmented
DB11635,,DBMET02310,13'-hydroxy-alpha-tocopherol,,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)CO)O2,DB11635,DrugBank Augmented
