parent_id,parent_name,child_id,child_name,parent_smiles,child_smiles,origin,source,tanimoto,set
DB00169,Cholecalciferol,DB00136,Calcitriol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,DB00169,DrugBank Augmented,0.6363636363636364,train
DB00318,Codeine,DB06409,Morphine glucuronide,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,DB00318,DrugBank Augmented,0.5205479452054794,train
DB01420,Testosterone propionate,DB01536,Androstenedione,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,DB01420,DrugBank Augmented,0.5471698113207547,train
DB00780,Phenelzine,DB09269,Phenylacetic acid,NNCCc1ccccc1,O=C(O)Cc1ccccc1,DB00780,DrugBank Augmented,0.3333333333333333,train
DB15566,Prednisolone acetate,DB00635,Prednisone,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DB15566,DrugBank Augmented,0.5373134328358209,train
DB15465,Benzhydrocodone,DB00327,Hydromorphone,COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,DB15465,DrugBank Augmented,0.4722222222222222,train
DB09419,Xylose,DB03947,D-Xylulose,O=CC(O)C(O)C(O)CO,O=C(CO)C(O)C(O)CO,DB09419,DrugBank Augmented,0.3461538461538461,train
DB13854,Gamolenic acid,DB04557,Arachidonic Acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented,0.9230769230769232,train
DB00154,Dihomo-gamma-linolenic acid,DB00917,Dinoprostone,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,DB00154,DrugBank Augmented,0.3888888888888889,train
DB08908,Dimethyl fumarate,DB01677,Fumaric acid,COC(=O)C=CC(=O)OC,O=C(O)C=CC(=O)O,DB08908,DrugBank Augmented,0.2941176470588235,train
DB00169,Cholecalciferol,DBMET00575,Calcitroic acid,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O,DB00169,DrugBank Augmented,0.5671641791044776,train
DB00158,Folic acid,DBMET02316,"5,10-methylene tetrahydrofolate (THF)",Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,N=c1nc(O)c2c([nH]1)NCC1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CN21,DB00158,DrugBank Augmented,0.3563218390804598,train
DB12532,Oxetacaine,DBMET02227,p-hydroxyphentermine,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,CC(C)(N)Cc1ccc(O)cc1,DB12532,DrugBank Augmented,0.2444444444444444,train
DB12532,Oxetacaine,DBMET02228,N-hydroxyphentermine,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,CC(C)(Cc1ccccc1)NO,DB12532,DrugBank Augmented,0.3571428571428571,train
DB00201,Caffeine,DBMET00271,1-Methylxanthine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)[nH]c2nc[nH]c2c1=O,DB00201,DrugBank Augmented,0.275,train
DB00829,Diazepam,DBMET00650,Oxazepam glucuronide,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O,DB00829,DrugBank Augmented,0.2777777777777778,train
DB00795,Sulfasalazine,DBMET00924,N-acetyl-5-ASA (Ac-5-ASA),O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,CC(=O)Nc1ccc(O)c(C(=O)O)c1,DB00795,DrugBank Augmented,0.3148148148148148,train
DB00201,Caffeine,DBMET00272,3-methylxanthine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,DB00201,DrugBank Augmented,0.275,train
DB00201,Caffeine,DBMET00326,"1,3-dimethyluric acid",Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2[nH]c(=O)[nH]c2n(C)c1=O,DB00201,DrugBank Augmented,0.3055555555555556,train
DB00285,Venlafaxine,DBMET00437,"N,O-Didesmethylvenlafaxine",COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,CNCC(c1ccc(O)cc1)C1(O)CCCCC1,DB00285,DrugBank Augmented,0.4565217391304347,train
DB00285,Venlafaxine,DBMET00967,O-Desmethylvenlafaxine glucuronide,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,NCC(c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)C1(O)CCCCC1,DB00285,DrugBank Augmented,0.3770491803278688,train
DB03783,Phenacetin,DBMET00580,Acetaminophen glucuronide,CCOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,DB03783,DrugBank Augmented,0.4090909090909091,train
DB03783,Phenacetin,DBMET00653,Acetaminophen sulfate,CCOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(OS(=O)(=O)O)cc1,DB03783,DrugBank Augmented,0.5454545454545454,train
DB03783,Phenacetin,DBMET00243,NAPQI,CCOc1ccc(NC(C)=O)cc1,CC(=O)N=C1C=CC(=O)C=C1,DB03783,DrugBank Augmented,0.2162162162162162,train
DB00321,Amitriptyline,DBMET00052,E-10-Hydroxynortriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CC(O)c2ccccc21,DB00321,DrugBank Augmented,0.4042553191489361,train
DB00321,Amitriptyline,DBMET00053,Desmethylnortriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,NCCC=C1c2ccccc2CCc2ccccc21,DB00321,DrugBank Augmented,0.6176470588235294,train
DB15465,Benzhydrocodone,DBMET00866,Hydromorphone-3-glucuronide,COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314,CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(=O)CCC3C1C5,DB15465,DrugBank Augmented,0.4642857142857143,train
