parent_name,parent_smiles,child_name,child_smiles,origin,set,source
"2,3-dimethylaniline",Cc1cccc(N)c1C,"2,3-dimethylaniline",Cc1cccc(N)c1C,"2,3-dimethylaniline",train,Parent-Parent Augmented
M1 (Blonanserin),CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCC(O)CCC3)CC1,M1 (Blonanserin),CCN1CCN(c2cc(-c3ccc(F)cc3)c3c(n2)CCC(O)CCC3)CC1,DB09223,train,Parent-Parent Augmented
Vandetanib,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,Vandetanib,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1,DB05294,train,Parent-Parent Augmented
Hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,Hexobarbital,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,DB01355,train,Parent-Parent Augmented
Lovastatin,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,Lovastatin,CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,DB00227,train,Parent-Parent Augmented
Gemcitabine,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,Gemcitabine,Nc1ccn(C2OC(CO)C(O)C2(F)F)c(=O)n1,DB00441,train,Parent-Parent Augmented
Lamivudine,Nc1ccn(C2CSC(CO)O2)c(=O)n1,Lamivudine,Nc1ccn(C2CSC(CO)O2)c(=O)n1,DB00709,train,Parent-Parent Augmented
20β-dihydro-prednisone (M-IV),CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(O)CO,20β-dihydro-prednisone (M-IV),CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(O)CO,DB15566,train,Parent-Parent Augmented
theophylline,Cn1c(=O)c2nc[nH]c2n(C)c1=O,theophylline,Cn1c(=O)c2nc[nH]c2n(C)c1=O,theophylline,train,Parent-Parent Augmented
Dydrogesterone,CC(=O)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C,Dydrogesterone,CC(=O)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C,DB00378,train,Parent-Parent Augmented
Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,DB01041,train,Parent-Parent Augmented
Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,DB00334,train,Parent-Parent Augmented
Mirabegron,Nc1nc(CC(=O)Nc2ccc(CCNCC(O)c3ccccc3)cc2)cs1,Mirabegron,Nc1nc(CC(=O)Nc2ccc(CCNCC(O)c3ccccc3)cc2)cs1,DB08893,train,Parent-Parent Augmented
Lorcaserin,CC1CNCCc2ccc(Cl)cc21,Lorcaserin,CC1CNCCc2ccc(Cl)cc21,DB04871,train,Parent-Parent Augmented
Ethinylestradiol,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,Ethinylestradiol,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,DB01357,train,Parent-Parent Augmented
Valproic acid,CCCC(CCC)C(=O)O,Valproic acid,CCCC(CCC)C(=O)O,DB00313,train,Parent-Parent Augmented
Etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,Etoperidone,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,DB09194,train,Parent-Parent Augmented
Nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,Nimodipine,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,Nimodipine,train,Parent-Parent Augmented
13'-carboxy-alpha-tocopherol,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C(=O)O)O2,13'-carboxy-alpha-tocopherol,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C(=O)O)O2,DB11635,train,Parent-Parent Augmented
4-Phenylphenol,Oc1ccc(-c2ccccc2)cc1,4-Phenylphenol,Oc1ccc(-c2ccccc2)cc1,4-Phenylphenol,train,Parent-Parent Augmented
15-alpha-hydroxydesogestrel,C#CC1(O)CC(O)C2C3CCC4=CCCCC4C3C(=C)CC21CC,15-alpha-hydroxydesogestrel,C#CC1(O)CC(O)C2C3CCC4=CCCCC4C3C(=C)CC21CC,15-alpha-hydroxydesogestrel,train,Parent-Parent Augmented
D-Xylulose,O=C(CO)C(O)C(O)CO,D-Xylulose,O=C(CO)C(O)C(O)CO,DB09419,train,Parent-Parent Augmented
Ritonavir,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,Ritonavir,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,DB00503,train,Parent-Parent Augmented
Colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,Colchicine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,DB01394,train,Parent-Parent Augmented
Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,Diphenhydramine,CN(C)CCOC(c1ccccc1)c1ccccc1,DB00985,train,Parent-Parent Augmented
O-demethylated formoterol (M1),CC(Cc1ccc(O)cc1)NCC(O)c1ccc(O)c(NC=O)c1,O-demethylated formoterol (M1),CC(Cc1ccc(O)cc1)NCC(O)c1ccc(O)c(NC=O)c1,DB00983,train,Parent-Parent Augmented
6-hydroxymethylanthanthrene,OCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,6-hydroxymethylanthanthrene,OCc1c2cccc3ccc4cc5cccc6ccc1c(c65)c4c32,6-hydroxymethylanthanthrene,train,Parent-Parent Augmented
Pioglitazone metabolite M-IV,CC(O)c1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,Pioglitazone metabolite M-IV,CC(O)c1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,DB01132,train,Parent-Parent Augmented
Risdiplam,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,Risdiplam,Cc1cn2nc(-c3cc(=O)n4cc(N5CCNC6(CC6)C5)ccc4n3)cc(C)c2n1,DB15305,train,Parent-Parent Augmented
Irbesartan derivative M4,CC(O)CCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,Irbesartan derivative M4,CC(O)CCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,DB01029,train,Parent-Parent Augmented
"(R)-3,4-Methylenedioxymethamphetamine",CNC(C)Cc1ccc2c(c1)OCO2,"(R)-3,4-Methylenedioxymethamphetamine",CNC(C)Cc1ccc2c(c1)OCO2,"(R)-3,4-Methylenedioxymethamphetamine",train,Parent-Parent Augmented
Filgotinib,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,Filgotinib,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,DB14845,train,Parent-Parent Augmented
M3 (Bioallethrin),C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)O)C2(C)C)CC1=O,M3 (Bioallethrin),C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)O)C2(C)C)CC1=O,DB13746,train,Parent-Parent Augmented
Deoxydaunorubicinol aglycone,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3,Deoxydaunorubicinol aglycone,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3,DB00694,train,Parent-Parent Augmented
4-methyl-amino-antipyrine (MAA),CNc1c(C)n(C)n(-c2ccccc2)c1=O,4-methyl-amino-antipyrine (MAA),CNc1c(C)n(C)n(-c2ccccc2)c1=O,DB04817,train,Parent-Parent Augmented
Tezacaftor,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1CC(O)CO,Tezacaftor,CC(C)(CO)c1cc2cc(NC(=O)C3(c4ccc5c(c4)OC(F)(F)O5)CC3)c(F)cc2n1CC(O)CO,DB11712,train,Parent-Parent Augmented
M8 (N-desmethyl selumetinib),O=C(NOCCO)c1cc2[nH]cnc2c(F)c1Nc1ccc(Br)cc1Cl,M8 (N-desmethyl selumetinib),O=C(NOCCO)c1cc2[nH]cnc2c(F)c1Nc1ccc(Br)cc1Cl,DB11689,train,Parent-Parent Augmented
Nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,Nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,DB00238,train,Parent-Parent Augmented
Rabeprazole (rabeprazole_thioether),COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,Rabeprazole (rabeprazole_thioether),COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,Rabeprazole (rabeprazole_thioether),train,Parent-Parent Augmented
N-Desmethyl o-hydroxyrosiglitazone,O=C1N=C(O)C(Cc2ccc(OCCNc3ncccc3O)cc2)S1,N-Desmethyl o-hydroxyrosiglitazone,O=C1N=C(O)C(Cc2ccc(OCCNc3ncccc3O)cc2)S1,N-Desmethyl o-hydroxyrosiglitazone,train,Parent-Parent Augmented
Aminocaproic acid,NCCCCCC(=O)O,Aminocaproic acid,NCCCCCC(=O)O,DB00513,train,Parent-Parent Augmented
Rotigotine,CCCN(CCc1cccs1)C1CCc2c(O)cccc2C1,Rotigotine,CCCN(CCc1cccs1)C1CCc2c(O)cccc2C1,DB05271,train,Parent-Parent Augmented
CP-195543,O=C(O)c1ccc(C(F)(F)F)cc1-c1ccc2c(c1)OCC(Cc1ccccc1)C2O,CP-195543,O=C(O)c1ccc(C(F)(F)F)cc1-c1ccc2c(c1)OCC(Cc1ccccc1)C2O,CP-195543,train,Parent-Parent Augmented
4-Chlorophenol,Oc1ccc(Cl)cc1,4-Chlorophenol,Oc1ccc(Cl)cc1,4-Chlorophenol,train,Parent-Parent Augmented
Saquinavir,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,Saquinavir,CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,DB01232,train,Parent-Parent Augmented
Terazosin,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,Terazosin,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,DB01162,train,Parent-Parent Augmented
bromperidol,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,bromperidol,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,bromperidol,train,Parent-Parent Augmented
Methylprednisolone M1 Metabolite,CC1CC2C(C(=O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,Methylprednisolone M1 Metabolite,CC1CC2C(C(=O)CC3(C)C2CCC3(O)C(=O)CO)C2(C)C=CC(=O)C=C12,DB00959,train,Parent-Parent Augmented
Flunarizine,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,Flunarizine,Fc1ccc(C(c2ccc(F)cc2)N2CCN(CC=Cc3ccccc3)CC2)cc1,DB04841,train,Parent-Parent Augmented
Mifepristone,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,Mifepristone,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,DB00834,train,Parent-Parent Augmented
Etoperidone M12,CCc1nn(CCC(=O)O)c(=O)n1CC,Etoperidone M12,CCc1nn(CCC(=O)O)c(=O)n1CC,DB09194,train,Parent-Parent Augmented
schembl7562446,CC(C)(C)c1cc(CC2SCN=C2O)cc(C(C)(C)C)c1O,schembl7562446,CC(C)(C)c1cc(CC2SCN=C2O)cc(C(C)(C)C)c1O,schembl7562446,train,Parent-Parent Augmented
Selegiline,C#CCN(C)C(C)Cc1ccccc1,Selegiline,C#CCN(C)C(C)Cc1ccccc1,DB01037,train,Parent-Parent Augmented
8-Hydroxynevirapine,Cc1ccnc2c1N=C(O)c1cc(O)cnc1N2C1CC1,8-Hydroxynevirapine,Cc1ccnc2c1N=C(O)c1cc(O)cnc1N2C1CC1,8-Hydroxynevirapine,train,Parent-Parent Augmented
(2r)-1-(2-methoxyphenyl)propan-2-amine,COc1ccccc1CC(C)N,(2r)-1-(2-methoxyphenyl)propan-2-amine,COc1ccccc1CC(C)N,(2r)-1-(2-methoxyphenyl)propan-2-amine,train,Parent-Parent Augmented
Dextrorphan,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,DB00514,train,Parent-Parent Augmented
Dopamine,NCCc1ccc(O)c(O)c1,Dopamine,NCCc1ccc(O)c(O)c1,DB01235,train,Parent-Parent Augmented
5-Hydroxy pirfenidone,O=c1ccc(CO)cn1-c1ccccc1,5-Hydroxy pirfenidone,O=c1ccc(CO)cn1-c1ccccc1,DB04951,train,Parent-Parent Augmented
2-hydroxyestradiol,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O,2-hydroxyestradiol,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O,"(13alpha)-3-methoxy-estra-1,3,5(10)-triene-17alpha-ol",train,Parent-Parent Augmented
ecabapide,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,ecabapide,CNC(=O)c1cccc(NCC(=O)NCCc2ccc(OC)c(OC)c2)c1,ecabapide,train,Parent-Parent Augmented
naphthalene,c1ccc2ccccc2c1,naphthalene,c1ccc2ccccc2c1,naphthalene,train,Parent-Parent Augmented
Avanafil metabolite M4,COc1ccc(CNc2nc(N3CC(O)CC3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,Avanafil metabolite M4,COc1ccc(CNc2nc(N3CC(O)CC3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,DB06237,train,Parent-Parent Augmented
Dolasetron,O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,Dolasetron,O=C(OC1CC2CC3CC(C1)N2CC3=O)c1c[nH]c2ccccc12,Dolasetron,train,Parent-Parent Augmented
Cariprazine,CN(C)C(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,Cariprazine,CN(C)C(=O)NC1CCC(CCN2CCN(c3cccc(Cl)c3Cl)CC2)CC1,DB06016,train,Parent-Parent Augmented
Cotinine,CN1C(=O)CCC1c1cccnc1,Cotinine,CN1C(=O)CCC1c1cccnc1,DB00184,train,Parent-Parent Augmented
4-phenoxyaniline,Nc1ccc(Oc2ccccc2)cc1,4-phenoxyaniline,Nc1ccc(Oc2ccccc2)cc1,4-phenoxyaniline,train,Parent-Parent Augmented
Triiodothyronine,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,Triiodothyronine,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,Triiodothyronine,train,Parent-Parent Augmented
repaglinide,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,repaglinide,CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,repaglinide,train,Parent-Parent Augmented
Ebastine,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,Ebastine,CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,DB11742,train,Parent-Parent Augmented
phenethyl isothiocyanate,S=C=NCCc1ccccc1,phenethyl isothiocyanate,S=C=NCCc1ccccc1,phenethyl isothiocyanate,train,Parent-Parent Augmented
"3-Hydroxy-7,4p-dimethoxyflavone",COc1ccc(-c2oc3cc(OC)ccc3c(=O)c2O)cc1,"3-Hydroxy-7,4p-dimethoxyflavone",COc1ccc(-c2oc3cc(OC)ccc3c(=O)c2O)cc1,"3-Hydroxy-7,4p-dimethoxyflavone",train,Parent-Parent Augmented
4-aminobiphenyl,Nc1ccc(-c2ccccc2)cc1,4-aminobiphenyl,Nc1ccc(-c2ccccc2)cc1,4-aminobiphenyl,train,Parent-Parent Augmented
Hydrazinophthalazinone,NNc1n[nH]c(=O)c2ccccc12,Hydrazinophthalazinone,NNc1n[nH]c(=O)c2ccccc12,DB01275,train,Parent-Parent Augmented
N-(2-hydroxymethyl-3-chlorophenyl)-anthranilic acid,O=C(OC1OC(O)C(O)C(O)C1O)c1ccccc1Nc1cccc(Cl)c1CO,N-(2-hydroxymethyl-3-chlorophenyl)-anthranilic acid,O=C(OC1OC(O)C(O)C(O)C1O)c1ccccc1Nc1cccc(Cl)c1CO,DB09216,train,Parent-Parent Augmented
Tamoxifen,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,Tamoxifen,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,DB00675,train,Parent-Parent Augmented
Albendazole,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,Albendazole,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,DB00518,train,Parent-Parent Augmented
aflatoxin b1,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,aflatoxin b1,COc1cc2c(c3oc(=O)c4c(c13)CCC4=O)C1C=COC1O2,aflatoxin b1,train,Parent-Parent Augmented
6-hydroxy duloxetine,CNCCC(Oc1cccc2cc(O)ccc12)c1cccs1,6-hydroxy duloxetine,CNCCC(Oc1cccc2cc(O)ccc12)c1cccs1,DB00476,train,Parent-Parent Augmented
N-Desmethyl-ortho-hydroxy rosiglitazone,O=C1NC(=O)C(Cc2ccc(OCCNc3ncccc3O)cc2)S1,N-Desmethyl-ortho-hydroxy rosiglitazone,O=C1NC(=O)C(Cc2ccc(OCCNc3ncccc3O)cc2)S1,DB00412,train,Parent-Parent Augmented
Trametinib M3 metabolite,Cc1c(=O)n(C)c(Nc2ccc(I)cc2F)c2c(=O)n(C3CC3)c(=O)n(-c3ccc(O)c(N)c3)c12,Trametinib M3 metabolite,Cc1c(=O)n(C)c(Nc2ccc(I)cc2F)c2c(=O)n(C3CC3)c(=O)n(-c3ccc(O)c(N)c3)c12,DB08911,train,Parent-Parent Augmented
(-)-Epigallocatechin gallate,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,(-)-Epigallocatechin gallate,O=C(OC1Cc2c(O)cc(O)cc2OC1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,(-)-Epigallocatechin gallate,train,Parent-Parent Augmented
N-(1-Phenyl-1H-pyrazole-5-yl)-p-toluenesulfonamide,Cc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,N-(1-Phenyl-1H-pyrazole-5-yl)-p-toluenesulfonamide,Cc1ccc(S(=O)(=O)Nc2ccnn2-c2ccccc2)cc1,N-(1-Phenyl-1H-pyrazole-5-yl)-p-toluenesulfonamide,train,Parent-Parent Augmented
Quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,Quetiapine,OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1,DB01224,train,Parent-Parent Augmented
Silodosin,CC(Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,Silodosin,CC(Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,DB06207,train,Parent-Parent Augmented
Suprofen,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,Suprofen,CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1,DB00870,train,Parent-Parent Augmented
Etoperidone M2,CCn1c(C(C)O)nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c1=O,Etoperidone M2,CCn1c(C(C)O)nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c1=O,DB09194,train,Parent-Parent Augmented
