parent_id,parent_name,child_id,child_name,enzymes,origin,parent_smiles,child_smiles,source,tanimoto,set
DB00332,Ipratropium,DB09269,Phenylacetic acid,,DB00332,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,O=C(O)Cc1ccccc1,DrugBank,0.2040816326530612,test
DB00628,Clorazepic acid,DB14028,Nordazepam,Cytochrome P450 3A4,DB00628,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,DrugBank,0.5510204081632653,test
DB00985,Dimenhydrinate,DB14132,8-chlorotheophylline,,DB00985,Cn1c(=O)c2nc(Cl)[nH]c2n(C)c1=O,Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,DrugBank,0.5428571428571428,test
DB09494,Cetyl alcohol,DB03796,Palmitic Acid,Aldo-keto reductase family 1 member A1,DB09494,CCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCC(=O)O,DrugBank,0.4285714285714285,test
DB13952,Estradiol acetate,DB00783,Estradiol,,DB13952,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DrugBank,0.6862745098039216,test
DB14783,Diroximel fumarate,DB14219,Monomethyl fumarate,Liver esterases,DB14783,COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O,COC(=O)C=CC(=O)O,DrugBank,0.4117647058823529,test
DB16335,Sulopenem etzadroxil,DB15284,Sulopenem,,DB16335,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12,DrugBank,0.6875,test
DB16627,Melphalan flufenamide,DB01042,Melphalan,Aminopeptidase N,DB16627,CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,DrugBank,0.5283018867924528,test
DB14028,Nordazepam,DBMET00980,p-Hydroxynordiazepam,,DB00628,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1,DrugBank,0.7619047619047619,test
DB09269,Phenylacetic acid,DBMET01954,4-hydroxyphenylacetic acid,,DB00332,O=C(O)Cc1ccccc1,O=C(O)Cc1ccc(O)cc1,DrugBank,0.6363636363636364,test
DB00783,Estradiol,DBMET00567,Estradiol-17beta 3-sulfate,UDP-glucuronosyltransferases (UGTs),DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2O,DrugBank,0.6862745098039216,test
DB00783,Estradiol,DBMET00568,2-Methoxyestrone 3-glucuronide,UDP-glucuronosyltransferases (UGTs),DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,COc1cc2c(cc1OC1OC(O)C(O)C(O)C1O)CCC1C2CCC2(C)C(=O)CCC12,DrugBank,0.3478260869565217,test
DB00783,Estradiol,DBMET00332,4-hydroxyestrone,"Cytochrome P450 1B1, Cytochrome P450 3A5",DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2=O,DrugBank,0.3928571428571428,test
DB00783,Estradiol,DBMET00572,17-beta-Estradiol-3-glucuronide,UDP-glucuronosyltransferases (UGTs),DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2O,Both,0.5645161290322581,test
DB00783,Estradiol,DBMET00576,2-methoxy-17beta-estradiol 3-O-(beta-D-glucuronide),,DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,COc1cc2c(cc1OC1OC(C(=O)O)C(O)C(O)C1O)CCC1C2CCC2(C)C(O)CCC12,DrugBank,0.4848484848484848,test
DB00783,Estradiol,DBMET00581,17-beta-Estradiol glucuronide,,DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O,Both,0.5645161290322581,test
DB00783,Estradiol,DBMET00606,17-beta-estradiol 3-sulfate-17-(beta-D-glucuronide),UDP-glucuronosyltransferases (UGTs),DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O,DrugBank,0.4305555555555556,test
DB00783,Estradiol,DBMET00248,2-hydroxyestrone,"Cytochrome P450 1A2, Cytochrome P450 3A4, Cytochrome P450 1A1",DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2=O,DrugBank,0.4528301886792453,test
DB00783,Estradiol,DBMET01658,4-Hydroxyestradiol,Cytochrome P450 1B1,DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2O,Both,0.6595744680851063,test
DB00783,Estradiol,DBMET00642,"17-Beta-Estradiol-3,17-beta-sulfate",,DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2OS(=O)(=O)O,DrugBank,0.5172413793103449,test
DB14028,Nordazepam,DBMET01219,Nordiazepam O-glucuronide,,DB00628,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O,DrugBank,0.4354838709677419,test
DB01075,Diphenhydramine,DBMET00087,Diphenhydramine N-glucuronide,UDP-glucuronosyltransferases (UGTs),DB00985,CN(C)CCOC(c1ccccc1)c1ccccc1,C[N+](C)(CCOC(c1ccccc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O,Both,0.375,test
DB01075,Diphenhydramine,DBMET00086,N-Desmethyldiphenhydramine,"Cytochrome P450 2D6, Cytochrome P450 1A2, Cytochrome P450 2C9, Cytochrome P450 2C19",DB00985,CN(C)CCOC(c1ccccc1)c1ccccc1,CNCCOC(c1ccccc1)c1ccccc1,Both,0.5625,test
DB01042,Melphalan,DBMET03698,Monohydroxymelphalan,,DB16627,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,NC(Cc1ccc(N(CCO)CCCl)cc1)C(=O)O,DrugBank,0.8888888888888888,test
DB01042,Melphalan,DBMET03699,,,DB16627,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,NC(Cc1ccc(N(CCO)CCO)cc1)C(=O)O,DrugBank,0.75,test
DB00198,Oseltamivir,DBMET02218,Oseltamivir carboxylate,Liver carboxylesterase 1,DB00198,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1,CCC(CC)OC1C=C(C(=O)O)CC(N)C1NC(C)=O,DrugBank,0.782608695652174,test
DB00332,Ipratropium,DBMET02396,N-isopropylnortropium bromide,,DB00332,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2,DrugBank,0.62,test
DB00332,Ipratropium,DBMET00945,N-isopropylnortropium methobromide,,DB00332,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1,DrugBank,0.6078431372549019,test
DB00332,Ipratropium,DBMET02395,N-isopropylnortropine-ester methobromide,,DB00332,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,CC(C)[N+]1(C)C2CCC1CC(O)C2,DrugBank,0.3695652173913043,test
DB00425,Zolpidem,DBMET01794,methoxyzolpidem,"Cytochrome P450 3A4, Cytochrome P450 1A2, Cytochrome P450 2D6, Cytochrome P450 2C9, Cytochrome P450 2C19",DB00425,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1cn2c(CC(=O)N(C)C)c(-c3ccc(CO)cc3)nc2cc1O,Both,0.6153846153846154,test
DB00425,Zolpidem,DBMET01238,Methoxyzolpidem derivative (M3),"Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 3A4, Cytochrome P450 1A2, Cytochrome P450 2D6",DB00425,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc2nc(-c3ccc(CO)cc3)c(CC(=O)N(C)C)n2c1,DrugBank,0.8636363636363636,test
DB00425,Zolpidem,DBMET01239,Methoxyzolpidem derivative (M4),"Cytochrome P450 3A4, Cytochrome P450 1A2, Cytochrome P450 2D6",DB00425,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(CO)cn3c2CC(=O)N(C)C)cc1,DrugBank,0.8,test
DB00426,Famciclovir,DBMET00463,6-oxo-famciclovir,Aldehyde oxidase,DB00426,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,CC(=O)OCC(CCn1cnc2c(O)nc(=N)[nH]c21)COC(C)=O,DrugBank,0.5172413793103449,test
DB00497,Oxycodone,DBMET00321,oxymorphone,Cytochrome P450 2D6,DB00497,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,Both,0.7818181818181819,test
DB00497,Oxycodone,DBMET00342,noroxycodone,Cytochrome P450 3A4,DB00497,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)NCCC314,Both,0.6666666666666666,test
DB00497,Oxycodone,DBMET00428,alpha-oxycodol,,DB00497,COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,COc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(C)CCC314,DrugBank,0.6666666666666666,test
DB00503,Ritonavir,DBMET01182,Ritonavir metabolite M1,"Cytochrome P450 3A5, Cytochrome P450 3A4",DB00503,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(N)Cc2ccccc2)C(C)C)cs1,DrugBank,0.7088607594936709,test
DB00503,Ritonavir,DBMET01183,Ritonavir metabolite M11,"Cytochrome P450 3A4, Cytochrome P450 3A5",DB00503,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CNC(=O)NC(C(=O)NC(Cc1ccccc1)CC(O)C(Cc1ccccc1)NC(=O)OCc1cncs1)C(C)C,DrugBank,0.7,test
