parent_id,parent_name,child_id,child_name,enzymes,origin,parent_smiles,child_smiles,source,tanimoto,set,transformation
DB00514,Dextromethorphan,DB14682,Dextrorphan,"Cytochrome P450 2D6, Cytochrome P450 2C9",DB00514,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Both,0.7083333333333334,test,C>>[H]
DB00628,Clorazepic acid,DB14028,Nordazepam,Cytochrome P450 3A4,DB00628,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,DrugBank,0.5510204081632653,test,O=CO>>[H]
DB01357,Mestranol,DB00977,Ethinylestradiol,Cytochrome P450 2C9,DB01357,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,Both,0.7647058823529411,test,C>>[H]
DB08472,(R)-Fluoxetine,DB03610,4-(trifluoromethyl)phenol,Cytochrome P450 2D6,DB08472,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Oc1ccc(C(F)(F)F)cc1,Both,0.275,test,CNCCCc1ccccc1>>[H]
DB12151,Brincidofovir,DB00369,Cidofovir,,DB12151,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,DrugBank,0.6271186440677966,test,CCCCCCCCCCCCCCCCOCCC>>[H]
DB13952,Estradiol acetate,DB00783,Estradiol,,DB13952,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DrugBank,0.6862745098039216,test,CC=O>>[H]
DB16335,Sulopenem etzadroxil,DB15284,Sulopenem,,DB16335,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12,DrugBank,0.6875,test,CCC(CC)C(=O)OC>>[H]
DB14682,Dextrorphan,DBMET00595,Dextrorphan O-glucuronide,"UDP-glucuronosyltransferases (UGTs), UDP-glucuronosyltransferase 2B4, UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 2B17",DB00514,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13,DrugBank,0.546875,test,[H]>>O=C(O)C1OCC(O)C(O)C1O
DB14028,Nordazepam,DBMET00980,p-Hydroxynordiazepam,,DB00628,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1,DrugBank,0.7619047619047619,test,[H]>>O
DB09269,Phenylacetic acid,DBMET01954,4-hydroxyphenylacetic acid,,DB00332,O=C(O)Cc1ccccc1,O=C(O)Cc1ccc(O)cc1,DrugBank,0.6363636363636364,test,[H]>>O
DB00783,Estradiol,DBMET00567,Estradiol-17beta 3-sulfate,UDP-glucuronosyltransferases (UGTs),DB13952,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2O,DrugBank,0.6862745098039216,test,[H]>>O=[SH](=O)O
DB00977,Ethinylestradiol,DBMET03018,Ethinylestradiol-glucuronide,"UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 1A3, UDP-glucuronosyltransferase 1A9, UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A4",DB01357,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,C#CC1(O)CCC2C3CCc4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4C3CCC21C,DrugBank,0.582089552238806,test,[H]>>O=C(O)C1OCC(O)C(O)C1O
DB00369,Cidofovir,DBMET03373,Cidofovir diphosphate,,DB12151,Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,Nc1ccn(CC(CO)OCP(=O)(O)OP(=O)(O)O)c(=O)n1,DrugBank,0.7872340425531915,test,[H]>>O=[PH](O)O
DB00193,Tramadol,DBMET00324,O-Desmethyltramadol,Cytochrome P450 2D6,DB00193,COc1cccc(C2(O)CCCCC2CN(C)C)c1,CN(C)CC1CCCCC1(O)c1cccc(O)c1,Both,0.7272727272727273,test,C>>[H]
DB00332,Ipratropium,DBMET02396,N-isopropylnortropium bromide,,DB00332,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2,DrugBank,0.62,test,CO>>[H]
DB00503,Ritonavir,DBMET01182,Ritonavir metabolite M1,"Cytochrome P450 3A5, Cytochrome P450 3A4",DB00503,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(N)Cc2ccccc2)C(C)C)cs1,DrugBank,0.7088607594936709,test,O=COCc1cncs1>>[H]
DB00537,Ciprofloxacin,DBMET02516,Formylciprofloxacin,,DB00537,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,O=CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,DrugBank,0.7358490566037735,test,[H]>>C=O
DB00641,Simvastatin,DBMET01745,6'-beta-Hydroxysimvastatin,"Cytochrome P450 3A4, Cytochrome P450 3A5",DB00641,CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,CCC(C)(C)C(=O)OC1CC(C)(O)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,Both,0.7352941176470589,test,[H]>>O
DB00674,Galantamine,DBMET03138,O-desmethyl-galantamine,Cytochrome P450 2D6,DB00674,COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2,CN1CCC23C=CC(O)CC2Oc2c(O)ccc(c23)C1,Both,0.7692307692307693,test,C>>[H]
DB00679,Thioridazine,DBMET01842,Thioridazine 2-sulfoxide,"Cytochrome P450 2D6, Cytochrome P450 3A4",DB00679,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,CN1CCCCC1CCN1c2ccccc2Sc2ccc([S+](C)[O-])cc21,Both,0.7090909090909091,test,CS>>C[S+][O-]
DB00694,Daunorubicin,DBMET03404,Daunorubicinol,"Aldo-keto reductase family, Carbonyl reductase [NADPH] 1, Carbonyl reductase [NADPH] 3",DB00694,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3OC1CC(N)C(O)C(C)O1,DrugBank,0.7894736842105263,test,O>>O
