parent_smiles,parent_id,parent_name,child_id,child_name,enzymes,origin,child_smiles,source,tanimoto,set
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,DB00279,Liothyronine,DBMET02274,Monoiodothyronine,,DB00451,NC(Cc1ccc(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DrugBank,0.56,test
O=C(O)Cc1ccc(O)c(O)c1,DBMET02446,"3,4-dihydroxyphenylacetic acid (DOPAC)",DBMET02442,Homovanillic acid,Catechol O-methyltransferase,DB01235,COc1cc(CC(=O)O)ccc1O,DrugBank,0.6129032258064516,test
OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,DBMET00112,alpha-Hydroxyalprazolam,DBMET02467,"alpha,4-dihydroxy-alprazolam",,DB00404,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2O,DrugBank,0.6181818181818182,test
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,DB01026,Ketoconazole,DBMET02655,M9 (Ketoconazole),,DB01026,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)C(O)C1,DrugBank,0.84,test
N#Cc1cccc2sc(C(=O)NC(=N)N)cc12,,KR-33028,,5-hydroxy-KR-33028,CYP3A4,KR-33028,N#Cc1c(O)ccc2sc(C(=O)NC(=N)N)cc12,MetXBioDB,0.6458333333333334,test
Oc1cc2ccccc2cc1O,,"2,3-Dihydroxynaphthalene",,,COMT,"2,3-Dihydroxynaphthalene",COc1cc2ccccc2cc1O,MetXBioDB,0.5652173913043478,test
CCCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(O)cc2)CC1,DBMET02691,4'-hydroxy-butyrfentanyl,DBMET02692,4'-hydroxy-3'-methoxy-butyrfentanyl,,DB09173,CCCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(O)c(OC)c2)CC1,DrugBank,0.7192982456140351,test
COCC(c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)CC1C,DB06652,Vicriviroc,DBMET00083,Vicriviroc carboxylic acid,Cytochrome P450 3A4,DB06652,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN(C(C(=O)O)c3ccc(C(F)(F)F)cc3)C(C)C2)CC1,DrugBank,0.7464788732394366,test
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,DB00495,Zidovudine,DBMET00720,3'-Aminothymidine,,DB00495,Cc1cn(C2CC(N)C(CO)O2)c(=O)[nH]c1=O,DrugBank,0.6666666666666666,test
CCNc1ncn(Cc2ccc(OC)c(OC3CCCC3)c2)c2nc(C(C)C)nc1-2,,v11294,,,CYP2C9;CYP3A4;,v11294,CCNc1ncn(Cc2ccc(OC)c(OC3CCC(O)C3)c2)c2nc(C(C)C)nc1-2,MetXBioDB,0.8333333333333334,test
NNCCc1ccccc1,DB00780,Phenelzine,DBMET01955,4- hydroxyphenelzine,,DB00780,NNCCc1ccc(O)cc1,DrugBank,0.6,test
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,DB01156,Bupropion,DBMET00277,S-Hydroxybupropion,"Cytochrome P450 2B6, Cytochrome P450 2E1, Cytochrome P450 3A4, Cytochrome P450 2C19",DB01156,CC(NC(C)(C)CO)C(=O)c1cccc(Cl)c1,Both,0.7435897435897436,test
CN1CCN2c3ccccc3Cc3ccccc3C2C1,DB06148,Mianserin,DBMET01733,"(R)-mianserin, 8-hydroxy","Cytochrome P450 2D6, Cytochrome P450 3A4",DB06148,CN1CCN2c3cc(O)ccc3Cc3ccccc3C2C1,Both,0.7317073170731707,test
Nc1ccc2ccccc2c1,,2-naphthylamine,,N-Hydroxy-2-naphthalenamine,CYP1A2,2-naphthylamine,ONc1ccc2ccccc2c1,MetXBioDB,0.4230769230769231,test
CCCN=C1SC(=Cc2ccc(OCC(O)CO)c(Cl)c2)C(=O)N1c1ccccc1C,DB12016,Ponesimod,DBMET03309,Ponesimod M32 Metabolite,,DB12016,CCCN=C1SC(=Cc2ccc(O)c(Cl)c2)C(=O)N1c1ccccc1C,DrugBank,0.6956521739130435,test
C=C1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)=O,DB14583,Segesterone acetate,DBMET02129,"3α, 5α-tetrahydrosegesterone acetate",,DB14583,C=C1CC2C3CCC4CC(O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)=O,DrugBank,0.5409836065573771,test
Cc1cnc2ccc3c([nH]c(=N)n3C)c2n1,,meiqx,,IQx-8-COOH,CYP1A2,meiqx,Cn1c(=N)[nH]c2c3nc(C(=O)O)cnc3ccc21,MetXBioDB,0.6666666666666666,test
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,DB01217,Anastrozole,DBMET02826,Hydroxyanastrozole,"Cytochrome P450 3A4, Cytochrome P450 3A5, Cytochrome P450 2C8",DB01217,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C#N)CO)c1,DrugBank,0.8095238095238095,test
COc1ccc(CN2CCNCC2)c(OC)c1OC,DB09069,Trimetazidine,DBMET03344,3-desmethyltrimetazidine,,DB09069,COc1ccc(CN2CCNCC2)c(OC)c1O,DrugBank,0.7837837837837838,test
CC(C(=O)O)c1ccc2cc(O)ccc2c1,,O-Desmethylnaproxen,,,SULT1A1; SULT1B1; SULT1E1,O-Desmethylnaproxen,CC(C(=O)OS(=O)(=O)O)c1ccc2cc(O)ccc2c1,MetXBioDB,0.6052631578947368,test
