parent_name,child_name,parent_smiles,child_smiles,origin,source,set
Glycine,Methylamine,NCC(=O)O,CN,DB00145,DrugBank,train
Folic acid,Tetrahydrofolic acid,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,DB00158,DrugBank,train
Cholecalciferol,Calcifediol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,DB00169,DrugBank,train
Calcifediol,Calcitriol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,DB00146,DrugBank,train
Caffeine,Theobromine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1cnc2c1c(=O)[nH]c(=O)n2C,DB00201,DrugBank,train
Caffeine,Theophylline,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,DB00201,DrugBank,train
Morphine,Codeine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,DB00295,DrugBank,train
Morphine,Morphine glucuronide,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,DB00295,Both,train
Codeine,Morphine,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,DB00318,Both,train
Amitriptyline,Nortriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CCc2ccccc21,DB00321,Both,train
Ipratropium,Phenylacetic acid,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,O=C(O)Cc1ccccc1,DB00332,DrugBank,train
Levothyroxine,Liothyronine,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,DB00451,DrugBank,train
Fluoxetine,Fluoxetine glucuronide,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O,DB00472,Both,train
Dextromethorphan,Dextrorphan,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,DB00514,Both,train
Benazepril,Benazeprilat,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,O=C(O)CN1C(=O)C(NC(CCc2ccccc2)C(=O)O)CCc2ccccc21,DB00542,DrugBank,train
Hydroxyzine,Cetirizine,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,DB00557,DrugBank,train
Thiopental,Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,DB00599,DrugBank,train
Testosterone,Androstenedione,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,DB00624,Both,train
Guanabenz,Guanoxabenz,NC(N)=NN=Cc1c(Cl)cccc1Cl,N=C(NO)NN=Cc1c(Cl)cccc1Cl,DB00629,DrugBank,train
Astemizole,Tecastemizole,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,DB00637,DrugBank,train
Mycophenolate mofetil,Mycophenolic acid,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,DB00688,DrugBank,train
Hydrocortisone,Cortisone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DB00741,DrugBank,train
Phenelzine,Phenylacetic acid,NNCCc1ccccc1,O=C(O)Cc1ccccc1,DB00780,DrugBank,train
Phenelzine,Phenethylamine,NNCCc1ccccc1,NCCc1ccccc1,DB00780,DrugBank,train
Phenethylamine,Phenylacetic acid,NCCc1ccccc1,O=C(O)Cc1ccccc1,DB04325,DrugBank,train
Sulfasalazine,Mesalazine,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,Nc1ccc(O)c(C(=O)O)c1,DB00795,DrugBank,train
Sulfasalazine,Sulfapyridine,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,DB00795,DrugBank,train
Candesartan cilexetil,Candesartan,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,DB00796,DrugBank,train
Pentoxifylline,Lisofylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,DB00806,DrugBank,train
Diazepam,Nordazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,DB00829,DrugBank,train
Diazepam,Temazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,DB00829,Both,train
Prednisolone,Prednisone,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DB00860,DrugBank,train
Cocaine,Benzoylecgonine,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2,DB00907,DrugBank,train
Hydrocodone,Hydromorphone,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,DB00956,Both,train
Dimenhydrinate,8-chlorotheophylline,Cn1c(=O)c2nc(Cl)[nH]c2n(C)c1=O,Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,DB00985,DrugBank,train
Dimenhydrinate,Diphenhydramine,Cn1c(=O)c2nc(Cl)[nH]c2n(C)c1=O,CN(C)CCOC(c1ccccc1)c1ccccc1,DB00985,DrugBank,train
Isosorbide mononitrate,Nitric Oxide,O=[N+]([O-])OC1COC2C(O)COC12,[N]=O,DB01020,DrugBank,train
Isosorbide mononitrate,Isosorbide,O=[N+]([O-])OC1COC2C(O)COC12,OC1COC2C(O)COC12,DB01020,DrugBank,train
Selegiline,Levmetamfetamine,C#CCN(C)C(C)Cc1ccccc1,CNC(C)Cc1ccccc1,DB01037,Both,train
Fenofibrate,Fenofibric acid,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,DB01039,DrugBank,train
Benzocaine,Aminobenzoic acid,CCOC(=O)c1ccc(N)cc1,Nc1ccc(C(=O)O)cc1,DB01086,DrugBank,train
Nefazodone,m-Chlorophenylpiperazine,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,Clc1cccc(N2CCNCC2)c1,DB01149,Both,train
Arsenic trioxide,Arsenous acid,O=[As]O[As]=O,O[As](O)O,DB01169,DrugBank,train
Levodopa,Dopamine,NC(Cc1ccc(O)c(O)c1)C(=O)O,NCCc1ccc(O)c(O)c1,DB01235,DrugBank,train
Olsalazine,Mesalazine,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,Nc1ccc(O)c(C(=O)O)c1,DB01250,DrugBank,train
Lisdexamfetamine,Dextroamphetamine,CC(Cc1ccccc1)NC(=O)C(N)CCCCN,CC(N)Cc1ccccc1,DB01255,DrugBank,train
Lisdexamfetamine,Lysine,CC(Cc1ccccc1)NC(=O)C(N)CCCCN,NCCCCC(N)C(=O)O,DB01255,DrugBank,train
Mestranol,Ethinylestradiol,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,DB01357,Both,train
Colchicine,Colchiceine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2,DB01394,Both,train
Bambuterol,Terbutaline,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,DB01408,DrugBank,train
Testosterone propionate,Testosterone,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DB01420,DrugBank,train
,Edaravone,Cc1cc(=O)n(-c2ccccc2)n1C,CC1=NN(c2ccccc2)C(=O)C1,DB01435,DrugBank,train
Metamfetamine,Dextroamphetamine,CNC(C)Cc1ccccc1,CC(N)Cc1ccccc1,DB01577,Both,train
Camphor,5-Exo-Hydroxycamphor,CC12CCC(CC1=O)C2(C)C,CC12CC(O)C(CC1=O)C2(C)C,DB01744,Both,train
Lauric acid,12-Hydroxydodecanoic Acid,CCCCCCCCCCCC(=O)O,O=C(O)CCCCCCCCCCCO,DB03017,Both,train
Phenol,Hydroquinone,Oc1ccccc1,Oc1ccc(O)cc1,DB03255,Both,train
Propanoic acid,Propanoyl-CoA,CCC(=O)O,CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,DB03766,DrugBank,train
Propanoyl-CoA,(R)-methylmalonyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,DB02912,DrugBank,train
(R)-methylmalonyl-CoA,Succinyl-Coenzyme A,CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O,DB04045,DrugBank,train
Phenacetin,Acetaminophen,CCOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,DB03783,Both,train
Quinestrol,Ethinylestradiol,C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,DB04575,DrugBank,train
Pentaerythritol tetranitrate,Nitrite,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],O=NO,DB06154,DrugBank,train
Pentaerythritol tetranitrate,Pentaerithrityl,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],OCC(CO)(CO)CO,DB06154,DrugBank,train
Isavuconazonium,Isavuconazole,CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(CC(O)(c2cc(F)ccc2F)C(C)c2nc(-c3ccc(C#N)cc3)cs2)c1,CC(c1nc(-c2ccc(C#N)cc2)cs1)C(O)(Cn1cncn1)c1cc(F)ccc1F,DB06636,DrugBank,train
Betaine,"N,N-dimethylglycine",C[N+](C)(C)CC(=O)[O-],CN(C)CC(=O)O,DB06756,DrugBank,train
Chloramphenicol succinate,Chloramphenicol,O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,DB07565,DrugBank,train
(R)-Fluoxetine,4-(trifluoromethyl)phenol,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Oc1ccc(C(F)(F)F)cc1,DB08472,Both,train
(S)-Fluoxetine,Seproxetine,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,DB08544,Both,train
Nandrolone decanoate,Nandrolone,CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4C3CCC12C,CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2O,DB08804,DrugBank,train
Dimethyl fumarate,Monomethyl fumarate,COC(=O)C=CC(=O)OC,COC(=O)C=CC(=O)O,DB08908,DrugBank,train
Tedizolid phosphate,Tedizolid,Cn1nnc(-c2ccc(-c3ccc(N4CC(COP(=O)(O)O)OC4=O)cc3F)cn2)n1,Cn1nnc(-c2ccc(-c3ccc(N4CC(CO)OC4=O)cc3F)cn2)n1,DB09042,DrugBank,train
Etoperidone,m-Chlorophenylpiperazine,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,Clc1cccc(N2CCNCC2)c1,DB09194,Both,train
Pholcodine,Morphine,CN1CCC23c4c5ccc(OCCN6CCOCC6)c4OC2C(O)C=CC3C1C5,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,DB09209,DrugBank,train
Droxicam,Piroxicam,CN1c2c(oc(=O)n(-c3ccccn3)c2=O)-c2ccccc2S1(=O)=O,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,DB09215,DrugBank,train
Molsidomine,Linsidomine,CCOC(=O)[N-]c1c[n+](N2CCOCC2)no1,[NH-]c1c[n+](N2CCOCC2)no1,DB09282,DrugBank,train
Propacetamol,Acetaminophen,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,DB09288,DrugBank,train
Dexpanthenol,Pantothenic acid,CC(C)(CO)C(O)C(=O)NCCCO,CC(C)(CO)C(O)C(=O)NCCC(=O)O,DB09357,DrugBank,train
Xylose,Xylitol,O=CC(O)C(O)C(O)CO,OCC(O)C(O)C(O)CO,DB09419,DrugBank,train
Xylitol,D-Xylulose,OCC(O)C(O)C(O)CO,O=C(CO)C(O)C(O)CO,DB11195,DrugBank,train
Cetyl alcohol,Palmitic Acid,CCCCCCCCCCCCCCCCO,CCCCCCCCCCCCCCCC(=O)O,DB09494,DrugBank,train
Chloroxylenol,Sulfuric acid,Cc1cc(O)cc(C)c1Cl,O=S(=O)(O)O,DB11121,DrugBank,train
Gamolenic acid,Dihomo-gamma-linolenic acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,DB13854,DrugBank,train
Dihomo-gamma-linolenic acid,Arachidonic Acid,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,DB00154,DrugBank,train
Toluene,Benzyl alcohol,Cc1ccccc1,OCc1ccccc1,DB11558,Both,train
Toluene,P-Cresol,Cc1ccccc1,Cc1ccc(O)cc1,DB11558,Both,train
Latanoprostene bunod,Latanoprost,O=C(CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1)OCCCCO[N+](=O)[O-],CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1,DB11660,DrugBank,train
"1,4-Butanediol",gamma-Hydroxybutyric acid,OCCCCO,O=C(O)CCCO,DB01955,DrugBank,train
Brincidofovir,Cidofovir,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,DB12151,DrugBank,train
Lisofylline,Pentoxifylline,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,DB12406,Both,train
Oxetacaine,Mephentermine,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,CNC(C)(C)Cc1ccccc1,DB12532,DrugBank,train
Oxetacaine,Phentermine,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,CC(C)(N)Cc1ccccc1,DB12532,DrugBank,train
Trofosfamide,Ifosfamide,O=P1(N(CCCl)CCCl)OCCCN1CCCl,O=P1(NCCCl)OCCCN1CCCl,DB12902,DrugBank,train
Nicoboxil,Niacin,CCCCOCCOC(=O)c1cccnc1,O=C(O)c1cccnc1,DB12911,DrugBank,train
Darolutamide,Ketodarolutamide,CC(Cn1ccc(-c2ccc(C#N)c(Cl)c2)n1)NC(=O)c1cc(C(C)O)[nH]n1,CC(=O)c1cc(C(=O)NC(C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1,DB12941,DrugBank,train
Perboric acid,Hydrogen peroxide,O=BOO,OO,DB13235,DrugBank,train
Perboric acid,Sodium carbonate,O=BOO,O=C(O)O,DB13235,DrugBank,train
Trichloroethylene,Chloral hydrate,ClC=C(Cl)Cl,OC(O)C(Cl)(Cl)Cl,DB13323,Both,train
Acemetacin,Indomethacin,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,DB13783,DrugBank,train
Iodoform,Iodine,IC(I)I,II,DB13813,DrugBank,train
Arachidonic Acid,Dinoprostone,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(=O)O,DB04557,DrugBank,train
Methyl nicotinate,Niacin,COC(=O)c1cccnc1,O=C(O)c1cccnc1,DB13882,DrugBank,train
Testosterone enanthate,Testosterone,CCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DB13944,DrugBank,train
Testosterone undecanoate,Testosterone,CCCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DB13946,DrugBank,train
Estradiol acetate,Estradiol,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB13952,DrugBank,train
Estradiol benzoate,Estradiol,CC12CCC3c4ccc(OC(=O)c5ccccc5)cc4CCC3C1CCC2O,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB13953,DrugBank,train
Estradiol cypionate,Estradiol,CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC(=O)CCC1CCCC1,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,DB13954,DrugBank,train
Linoleic acid,Arachidonic Acid,CCCCCC=CCC=CCCCCCCCC(=O)O,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,DB14104,DrugBank,train
Baloxavir marboxil,Baloxavir,COC(=O)OCOc1c2n(ccc1=O)N(C1c3ccccc3SCc3c1ccc(F)c3F)C1COCCN1C2=O,O=C1c2c(O)c(=O)ccn2N(C2c3ccccc3SCc3c2ccc(F)c3F)C2COCCN12,DB13997,DrugBank,train
Aripiprazole lauroxil,Lauric acid,CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,CCCCCCCCCCCC(=O)O,DB14185,DrugBank,train
Tetraferric tricitrate decahydrate,Ferrous cation,O=C(O)CC(O)(CC(=O)O)C(=O)O,[Fe+2],DB14520,DrugBank,train
Betamethasone phosphate,Betamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(=O)(O)O,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,DB14669,DrugBank,train
Ceftobiprole medocaril,Ceftobiprole,Cc1oc(=O)oc1COC(=O)N1CCC(N2CCC(=CC3=C(C(=O)O)N4C(=O)C(NC(=O)C(=NO)c5nsc(N)n5)C4SC3)C2=O)C1,Nc1nc(C(=NO)C(=O)NC2C(=O)N3C(C(=O)O)=C(C=C4CCN(C5CCNC5)C4=O)CSC23)ns1,DB14733,DrugBank,train
Diroximel fumarate,Monomethyl fumarate,COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O,COC(=O)C=CC(=O)O,DB14783,DrugBank,train
Monomethyl fumarate,Citric acid,COC(=O)C=CC(=O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O,DB14219,DrugBank,train
Monomethyl fumarate,Fumaric acid,COC(=O)C=CC(=O)O,O=C(O)C=CC(=O)O,DB14219,DrugBank,train
Benzhydrocodone,Hydrocodone,COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,DB15465,DrugBank,train
Prednisolone acetate,Prednisolone,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,DB15566,DrugBank,train
Molnupiravir,N4-Hydroxycytidine,CC(C)C(=O)OCC1OC(n2ccc(=NO)[nH]c2=O)C(O)C1O,O=c1nc(NO)ccn1C1OC(CO)C(O)C1O,DB15661,DrugBank,train
Melphalan flufenamide,Melphalan,CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,DB16627,DrugBank,train
Serdexmethylphenidate,Dexmethylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1C(=O)OC[n+]1cccc(C(=O)NC(CO)C(=O)[O-])c1,COC(=O)C(c1ccccc1)C1CCCCN1,DB16629,DrugBank,train
L-Acetylleucine,Leucine,CC(=O)NC(CC(C)C)C(=O)O,CC(C)CC(N)C(=O)O,DB16956,DrugBank,train
Calcitriol,Calcitroic acid,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O,DB00146,DrugBank,train
Methylamine,Dihydrolipoamide,CN,NC(=O)CCCCC(S)CCS,DB00145,DrugBank,train
Tetrahydrofolic acid,"5,10-methylene tetrahydrofolate (THF)",Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,N=c1nc(O)c2c([nH]1)NCC1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CN21,DB00158,DrugBank,train
Vitamin E,13'-hydroxy-alpha-tocopherol,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)CO)O2,DB11635,DrugBank,train
Phentermine,p-hydroxyphentermine,CC(C)(N)Cc1ccccc1,CC(C)(N)Cc1ccc(O)cc1,DB12532,DrugBank,train
Phentermine,N-hydroxyphentermine,CC(C)(N)Cc1ccccc1,CC(C)(Cc1ccccc1)NO,DB12532,DrugBank,train
Theophylline,1-Methylxanthine,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)[nH]c2nc[nH]c2c1=O,DB00201,DrugBank,train
Temazepam,Oxazepam glucuronide,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O,DB00829,DrugBank,train
Mesalazine,N-acetyl-5-ASA (Ac-5-ASA),Nc1ccc(O)c(C(=O)O)c1,CC(=O)Nc1ccc(O)c(C(=O)O)c1,DB00795,Both,train
Theophylline,3-methylxanthine,Cn1c(=O)c2[nH]cnc2n(C)c1=O,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,DB00201,DrugBank,train
