parent_name,child_name,parent_smiles,child_smiles,origin,source,set,tanimoto
Folic acid,Tetrahydrofolic acid,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1,Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,DB00158,DrugBank,train,0.5540540540540541
Cholecalciferol,Calcifediol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,DB00169,DrugBank,train,0.8135593220338984
Calcifediol,Calcitriol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,DB00146,DrugBank,train,0.7903225806451613
Caffeine,Theobromine,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1cnc2c1c(=O)[nH]c(=O)n2C,DB00201,DrugBank,train,0.5151515151515151
Caffeine,Theophylline,Cn1c(=O)c2c(ncn2C)n(C)c1=O,Cn1c(=O)c2[nH]cnc2n(C)c1=O,DB00201,DrugBank,train,0.47058823529411764
Morphine,Codeine,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,DB00295,DrugBank,train,0.7884615384615384
Morphine,Morphine glucuronide,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,DB00295,Both,train,0.6119402985074627
Codeine,Morphine,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,DB00318,Both,train,0.7884615384615384
Amitriptyline,Nortriptyline,CN(C)CCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CCc2ccccc21,DB00321,Both,train,0.6111111111111112
Ipratropium,Phenylacetic acid,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,O=C(O)Cc1ccccc1,DB00332,DrugBank,train,0.20408163265306123
Fluoxetine,Fluoxetine glucuronide,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O,DB00472,Both,train,0.4915254237288136
Dextromethorphan,Dextrorphan,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,DB00514,Both,train,0.7083333333333334
Benazepril,Benazeprilat,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,O=C(O)CN1C(=O)C(NC(CCc2ccccc2)C(=O)O)CCc2ccccc21,DB00542,DrugBank,train,0.8
Hydroxyzine,Cetirizine,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,DB00557,DrugBank,train,0.7446808510638298
Thiopental,Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O,DB00599,DrugBank,train,0.7333333333333333
Testosterone,Androstenedione,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2=O,DB00624,Both,train,0.6590909090909091
Guanabenz,Guanoxabenz,NC(N)=NN=Cc1c(Cl)cccc1Cl,N=C(NO)NN=Cc1c(Cl)cccc1Cl,DB00629,DrugBank,train,0.42105263157894735
Astemizole,Tecastemizole,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,DB00637,DrugBank,train,0.6333333333333333
Mycophenolate mofetil,Mycophenolic acid,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,DB00688,DrugBank,train,0.65625
Hydrocortisone,Cortisone,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DB00741,DrugBank,train,0.6896551724137931
Phenelzine,Phenylacetic acid,NNCCc1ccccc1,O=C(O)Cc1ccccc1,DB00780,DrugBank,train,0.3333333333333333
Phenelzine,Phenethylamine,NNCCc1ccccc1,NCCc1ccccc1,DB00780,DrugBank,train,0.5217391304347826
Phenethylamine,Phenylacetic acid,NCCc1ccccc1,O=C(O)Cc1ccccc1,DB04325,DrugBank,train,0.375
Sulfasalazine,Mesalazine,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,Nc1ccc(O)c(C(=O)O)c1,DB00795,DrugBank,train,0.3137254901960784
Sulfasalazine,Sulfapyridine,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1,DB00795,DrugBank,train,0.5
Candesartan cilexetil,Candesartan,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1,DB00796,DrugBank,train,0.6708860759493671
Pentoxifylline,Lisofylline,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,DB00806,DrugBank,train,0.6818181818181818
Diazepam,Nordazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,DB00829,DrugBank,train,0.5416666666666666
Diazepam,Temazepam,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,DB00829,Both,train,0.5918367346938775
Prednisolone,Prednisone,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DB00860,DrugBank,train,0.6896551724137931
Cocaine,Benzoylecgonine,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2,DB00907,DrugBank,train,0.8
Hydrocodone,Hydromorphone,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,DB00956,Both,train,0.7777777777777778
Dimenhydrinate,8-chlorotheophylline,Cn1c(=O)c2nc(Cl)[nH]c2n(C)c1=O,Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O,DB00985,DrugBank,train,0.5428571428571428
Isosorbide mononitrate,Isosorbide,O=[N+]([O-])OC1COC2C(O)COC12,OC1COC2C(O)COC12,DB01020,DrugBank,train,0.5
Selegiline,Levmetamfetamine,C#CCN(C)C(C)Cc1ccccc1,CNC(C)Cc1ccccc1,DB01037,Both,train,0.4
Fenofibrate,Fenofibric acid,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,DB01039,DrugBank,train,0.6666666666666666
Benzocaine,Aminobenzoic acid,CCOC(=O)c1ccc(N)cc1,Nc1ccc(C(=O)O)cc1,DB01086,DrugBank,train,0.48148148148148145
Nefazodone,m-Chlorophenylpiperazine,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,Clc1cccc(N2CCNCC2)c1,DB01149,Both,train,0.3387096774193548
Levodopa,Dopamine,NC(Cc1ccc(O)c(O)c1)C(=O)O,NCCc1ccc(O)c(O)c1,DB01235,DrugBank,train,0.45454545454545453
Olsalazine,Mesalazine,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,Nc1ccc(O)c(C(=O)O)c1,DB01250,DrugBank,train,0.5517241379310345
Lisdexamfetamine,Dextroamphetamine,CC(Cc1ccccc1)NC(=O)C(N)CCCCN,CC(N)Cc1ccccc1,DB01255,DrugBank,train,0.4
Lisdexamfetamine,Lysine,CC(Cc1ccccc1)NC(=O)C(N)CCCCN,NCCCCC(N)C(=O)O,DB01255,DrugBank,train,0.425
Mestranol,Ethinylestradiol,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,DB01357,Both,train,0.7647058823529411
Colchicine,Colchiceine,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2,DB01394,Both,train,0.8490566037735849
Bambuterol,Terbutaline,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,DB01408,DrugBank,train,0.5121951219512195
Testosterone propionate,Testosterone,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,DB01420,DrugBank,train,0.6415094339622641
,Edaravone,Cc1cc(=O)n(-c2ccccc2)n1C,CC1=NN(c2ccccc2)C(=O)C1,DB01435,DrugBank,train,0.34210526315789475
Metamfetamine,Dextroamphetamine,CNC(C)Cc1ccccc1,CC(N)Cc1ccccc1,DB01577,Both,train,0.5384615384615384
Camphor,5-Exo-Hydroxycamphor,CC12CCC(CC1=O)C2(C)C,CC12CC(O)C(CC1=O)C2(C)C,DB01744,Both,train,0.40625
Lauric acid,12-Hydroxydodecanoic Acid,CCCCCCCCCCCC(=O)O,O=C(O)CCCCCCCCCCCO,DB03017,Both,train,0.5714285714285714
Phenacetin,Acetaminophen,CCOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,DB03783,Both,train,0.5172413793103449
Quinestrol,Ethinylestradiol,C#CC1(O)CCC2C3CCc4cc(OC5CCCC5)ccc4C3CCC21C,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,DB04575,DrugBank,train,0.7090909090909091
Pentaerythritol tetranitrate,Pentaerithrityl,O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],OCC(CO)(CO)CO,DB06154,DrugBank,train,0.2
Isavuconazonium,Isavuconazole,CNCC(=O)OCc1cccnc1N(C)C(=O)OC(C)[n+]1cnn(CC(O)(c2cc(F)ccc2F)C(C)c2nc(-c3ccc(C#N)cc3)cs2)c1,CC(c1nc(-c2ccc(C#N)cc2)cs1)C(O)(Cn1cncn1)c1cc(F)ccc1F,DB06636,DrugBank,train,0.5094339622641509
Betaine,"N,N-dimethylglycine",C[N+](C)(C)CC(=O)[O-],CN(C)CC(=O)O,DB06756,DrugBank,train,0.20833333333333334
