parent_name,child_name,parent_smiles,child_smiles,source
acetaminophen,N-Acetyl-p-benzoquinone,CC(O)=Nc1ccc(O)cc1,CC(=O)N=C1C=CC(=O)C=C1,MetXBioDB
acetaminophen,3-Hydroxyacetaminophen,CC(O)=Nc1ccc(O)cc1,CC(O)=Nc1ccc(O)c(O)c1,MetXBioDB
pinoline,"1H,2H,3H,4H,9H‐pyrido[3,4‐b]indol‐6‐ol",COc1ccc2[nH]c3c(c2c1)CCNC3,Oc1ccc2[nH]c3c(c2c1)CCNC3,MetXBioDB
1-(3-Trifluoromethylphenyl)piperazine,HO-TFMPP,FC(F)(F)c1cccc(N2CCNCC2)c1,Oc1ccc(N2CCNCC2)cc1C(F)(F)F,MetXBioDB
"2-Amino-3-methylimidazo(4,5-F)quinoline","N-OH-2-amino-3-methylimidazo[4,5-f]quinoline (N-OH-IQ)",Cn1c(=N)[nH]c2c3cccnc3ccc21,Cn1c(NO)nc2c3cccnc3ccc21,MetXBioDB
"5-Methoxy-N,N-diisopropyltryptamine",5-OH-DIPT,COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,CC(C)N(CCc1c[nH]c2ccc(O)cc12)C(C)C,MetXBioDB
"5-Methoxy-N,N-diisopropyltryptamine",5-MeO-IPT,COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,COc1ccc2[nH]cc(CCNC(C)C)c2c1,MetXBioDB
(R)-halothane,trifluoroacetic acid,FC(F)(F)[C@H](Cl)Br,O=C(O)C(F)(F)F,MetXBioDB
(R)-halothane,"2-chloro-1,1-difluoroethene",FC(F)(F)[C@H](Cl)Br,FC(F)=CCl,MetXBioDB
(R)-halothane,"1-chloro-2,2,2-trifluoroethanide",FC(F)(F)[C@H](Cl)Br,FC(F)(F)[CH-]Cl,MetXBioDB
"(R)-3,4-Methylenedioxymethamphetamine","N-Methyl-3,4- dihydroxyamphetamine",CN[C@H](C)Cc1ccc2c(c1)OCO2,CN[C@H](C)Cc1ccc(O)c(O)c1,MetXBioDB
"(R)-3,4-Methylenedioxymethamphetamine","3,4-Methylenedioxymethamphetamine",CN[C@H](C)Cc1ccc2c(c1)OCO2,C[C@@H](N)Cc1ccc2c(c1)OCO2,MetXBioDB
"(4R)-5-(methoxycarbonyl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylic acid",OPC-13463,COC(=O)C1=C(C)NC(C)=C(C(=O)O)[C@H]1c1cccc([N+](=O)[O-])c1,COC(=O)c1c(C)nc(C)c(C(=O)O)c1-c1cccc([N+](=O)[O-])c1,MetXBioDB
Homo-Tienilic Alcohol,,O=C(c1cccs1)c1ccc(OCCCO)c(Cl)c1Cl,O=C(c1ccc(O)s1)c1ccc(OCCCO)c(Cl)c1Cl,MetXBioDB
Homo-Tienilic Alcohol,,O=C(c1cccs1)c1ccc(OCCCO)c(Cl)c1Cl,O=C(c1cccs1)c1ccc(O)c(Cl)c1Cl,MetXBioDB
(R)-1-(4-Methoxyphenyl)propan-2-amine,,COc1ccc(C[C@@H](C)N)cc1,C[C@@H](N)Cc1ccc(O)cc1,MetXBioDB
"1-Methyl-10-alpha-methoxy-9,10-dihydrolysergol",MDL,CO[C@]12C[C@@H](CO)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,COC12CC(CO)CN(C)C1Cc1c[nH]c3cccc2c13,MetXBioDB
"(S)-2-(2,6-Dichlorobenzamido)-3-(2',6'-dimethoxy-[1,1'-biphenyl]-4-yl)propanoic acid",,COc1cccc(OC)c1-c1ccc(C[C@H](N=C(O)c2c(Cl)cccc2Cl)C(=O)O)cc1,COc1cccc(O)c1-c1ccc(CC(N=C(O)c2c(Cl)cccc2Cl)C(=O)O)cc1,MetXBioDB
Rabeprazole (rabeprazole_thioether),Rabeprazole,COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,MetXBioDB
Rabeprazole (rabeprazole_thioether),Desmethylrabeprazole-thioether,COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,Cc1c(OCCCO)ccnc1CSc1nc2ccccc2[nH]1,MetXBioDB
Dehydroxyzyleuton,Dehydroxyzyleuton sulfoxide,C[C@H](NC(=N)O)c1cc2ccccc2s1,C[C@H](NC(=N)O)C1=Cc2ccccc2S1=O,MetXBioDB
Dehydroxyzyleuton,(1S)â€1â€(6â€hydroxyâ€1â€benzothiophenâ€2â€yl)ethylurea,C[C@H](NC(=N)O)c1cc2ccccc2s1,C[C@H](NC(=N)O)c1cc2ccc(O)cc2s1,MetXBioDB
"(2R,3S)-2-((R)-1-(3,5-Bis(trifluoromethyl)phenyl)ethoxy)-3-(4-fluorophenyl)morpholine",aprepitant_M2,C[C@@H](O[C@H]1OCCN[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CC(OC1OCC=NC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,MetXBioDB
2-Methoxy-5-trifluoromethoxybenzylamine,"CP-919,230",COc1ccc(OC(F)(F)F)cc1CN,NCc1cc(OC(F)(F)F)ccc1O,MetXBioDB
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2cc(O)co2)n1C,MetXBioDB
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2occc2O)n1C,MetXBioDB
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccc(O)o2)n1C,MetXBioDB
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,Cn1c(=O)c2c(nc(CO)n2C)n(Cc2ccco2)c1=O,MetXBioDB
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",,Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1C,Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCC(O)C2)n1C,MetXBioDB
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",,Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1C,Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1CO,MetXBioDB
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",,Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1C,Cn1c(=O)c2c(nc(CO)n2C)n(CC2CCCCC2)c1=O,MetXBioDB
(-)-ethosuximide,,CC[C@]1(C)CC(O)=NC1=O,CC(O)C1(C)CC(O)=NC1=O,MetXBioDB
(-)-etodolac,6-Hydroxyetodolac,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3,CCc1cc(O)cc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,MetXBioDB
(-)-etodolac,7-Hydroxyetodolac,CCc1cccc2c3c([nH]c12)[C@@](CC)(CC(=O)O)OCC3,CCc1c(O)ccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,MetXBioDB
(-)-limonene,Carveol,C=C(C)[C@@H]1CC=C(C)CC1,C=C(C)C1CC=C(C)C(O)C1,MetXBioDB
(-)-limonene,Perillyl alcohol,C=C(C)[C@@H]1CC=C(C)CC1,C=C(C)[C@@H]1CC=C(CO)CC1,MetXBioDB
(-)-pseudococaine,Norcocaine,COC(=O)[C@H]1[C@H](OC(=O)c2ccccc2)C[C@H]2CC[C@@H]1N2C,COC(=O)[C@@H]1[C@@H]2CC[C@H](C[C@H]1OC(=O)c1ccccc1)N2,MetXBioDB
(-)-thalidomide,"cis, trans-5'-OH-thalidomide",O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,O=C1N=C(O)[C@@H](N2C(=O)c3ccccc3C2=O)CC1O,MetXBioDB
(-)-thalidomide,5-OH-thalidomide,O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccc(O)cc2C1=O,MetXBioDB
(-)-thalidomide,(-)-thalidomide arene oxide,O=C1N=C(O)CC[C@@H]1N1C(=O)c2ccccc2C1=O,O=C1N=C(O)CC[C@@H]1N1C(=O)C2=CC3OC3C=C2C1=O,MetXBioDB
(-)-zileuton,Zileuton sulfoxide,C[C@@H](c1cc2ccccc2s1)N(O)C(=N)O,C[C@@H](C1=Cc2ccccc2S1=O)N(O)C(=N)O,MetXBioDB
(-)-zileuton,Hydroxyzileuton,C[C@@H](c1cc2ccccc2s1)N(O)C(=N)O,C[C@@H](c1cc2ccc(O)cc2s1)N(O)C(=N)O,MetXBioDB
Perhexiline,cis-hydroxyperhexilline,C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,OC1CCC([C@@H](CC2CCCCN2)C2CCCCC2)CC1,MetXBioDB
Perhexiline,trans-hydroxyperhexilline,C1CCC(C(C[C@H]2CCCCN2)C2CCCCC2)CC1,O[C@H]1CC[C@@H](C(CC2CCCCN2)C2CCCCC2)CC1,MetXBioDB
(+)-3-carene,3-Caren-10-ol,CC1=CC[C@@H]2[C@H](C1)C2(C)C,CC1(C)[C@@H]2CC=C(CO)C[C@@H]21,MetXBioDB
(+)-3-carene,Carene epoxide,CC1=CC[C@@H]2[C@H](C1)C2(C)C,CC12C[C@H]3[C@@H](CC1O2)C3(C)C,MetXBioDB
(+)-bisoprolol,"(+)-bisoprolol, O-deisopropyl",CC(C)NC[C@@H](O)COc1ccc(COCCOC(C)C)cc1,CC(C)NC[C@@H](O)COc1ccc(COCCO)cc1,MetXBioDB
(+)-fipronil,f ipronil sulfone,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S@](=O)C(F)(F)F,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F,MetXBioDB
(+)-halofantrine,"(+)-halofantrine, N-desbutyl",CCCCN(CCCC)CC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,CCCCNCC[C@@H](O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,MetXBioDB
(+)-isothujone,4-hydroxy-isothujone,CC(C)[C@]12CC(=O)[C@@H](C)[C@H]1C2,CC(C)[C@]12CC(=O)[C@](C)(O)[C@H]1C2,MetXBioDB
(+)-isothujone,7-hydroxy-isothujone,CC(C)[C@]12CC(=O)[C@@H](C)[C@H]1C2,C[C@@H]1C(=O)C[C@]2(C(C)(C)O)C[C@H]12,MetXBioDB
"(13alpha)-3-methoxy-estra-1,3,5(10)-triene-17alpha-ol",Estradiol,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H](O)CC[C@@H]12,C[C@@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@H]2O,MetXBioDB
(2r)-1-(2-methoxyphenyl)propan-2-amine,,COc1ccccc1C[C@@H](C)N,CC(N)Cc1ccccc1O,MetXBioDB
(2r)-1-(2-methoxyphenyl)propan-2-amine,,COc1ccccc1C[C@@H](C)N,COc1c(O)cccc1CC(C)N,MetXBioDB
(2r)-1-(2-methoxyphenyl)propan-2-amine,,COc1ccccc1C[C@@H](C)N,COC1CCC(O)CC1CC(C)N,MetXBioDB
