parent_smiles,parent_id,parent_name,child_id,child_name,enzymes,origin,child_smiles,source,tanimoto,set
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,DB00279,Liothyronine,DBMET02274,Monoiodothyronine,,DB00451,NC(Cc1ccc(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DrugBank,0.56,train
O=c1c(O)c(-c2ccccc2)oc2ccccc12,,3-Hydroxyflavone,,,UGT1A9,3-Hydroxyflavone,O=C(O)C1OC(Oc2c(-c3ccccc3)oc3ccccc3c2=O)C(O)C(O)C1O,MetXBioDB,0.4893617021276595,train
O=C(O)Cc1ccc(O)c(O)c1,DBMET02446,"3,4-dihydroxyphenylacetic acid (DOPAC)",DBMET02442,Homovanillic acid,Catechol O-methyltransferase,DB01235,COc1cc(CC(=O)O)ccc1O,DrugBank,0.6129032258064516,train
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(O)cc1,,Fenretinide,,,UGT,Fenretinide,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)Nc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,MetXBioDB,0.6619718309859155,train
OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,DBMET00112,alpha-Hydroxyalprazolam,DBMET02467,"alpha,4-dihydroxy-alprazolam",,DB00404,OCc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2O,DrugBank,0.6181818181818182,train
CCOc1ccc2ccc(=O)oc2c1,,7-ethoxycoumarin,,,CYP1A1 (major); CYP2B6; CYP2E1; CYP1A2; CYP2A6; CYP3A7; CYP2C9; CYP2C19,7-ethoxycoumarin,CCOc1ccc2c(O)cc(=O)oc2c1,MetXBioDB,0.6052631578947368,train
CCCCc1cc(N)n2nccc2n1,,OT-7100 M5,,,UGT,OT-7100 M5,CCCCc1cc(NC2OC(C(=O)O)C(O)C(O)C2O)n2nccc2n1,MetXBioDB,0.4909090909090909,train
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,DB01026,Ketoconazole,DBMET02655,M9 (Ketoconazole),,DB01026,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)C(O)C1,DrugBank,0.84,train
N#Cc1cccc2sc(C(=O)NC(=N)N)cc12,,KR-33028,,5-hydroxy-KR-33028,CYP3A4,KR-33028,N#Cc1c(O)ccc2sc(C(=O)NC(=N)N)cc12,MetXBioDB,0.6458333333333334,train
COc1ccc2ccc(=O)oc2c1,,7-methoxycoumarin,,4-Hydroxy-7-methoxycoumarin,CYP1A2;CYP2A6,7-methoxycoumarin,COc1ccc2c(O)cc(=O)oc2c1,MetXBioDB,0.5714285714285714,train
Nc1ccc(C(=O)O)cc1,DB02362,Aminobenzoic acid,DBMET03290,4-Acetaminobenzoic acid,,DB01086,CC(=O)Nc1ccc(C(=O)O)cc1,DrugBank,0.4615384615384615,train
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,,pregnenolone,,,CYP2C19;CYP3A4,pregnenolone,CC(=O)C1C(O)CC2C3CC=C4CC(O)CCC4(C)C3CCC21C,MetXBioDB,0.7,train
Oc1cc2ccccc2cc1O,,"2,3-Dihydroxynaphthalene",,,COMT,"2,3-Dihydroxynaphthalene",COc1cc2ccccc2cc1O,MetXBioDB,0.5652173913043478,train
O=C(NN1CC2CCCC2C1)NS(=O)(=O)c1ccc(CO)cc1,DBMET00204,Methylhydroxygliclazide,DBMET01328,Carboxygliclazide,,DB01120,O=C(NN1CC2CCCC2C1)NS(=O)(=O)c1ccc(C(=O)O)cc1,DrugBank,0.7272727272727273,train
COc1ccccc1OCC(O)COC(N)=O,DB00423,Methocarbamol,DBMET02499,"3-(2-hydroxyphenoxy)-1,2-propanediol-1-carbamate",,DB00423,NC(=O)OCC(O)COc1ccccc1O,DrugBank,0.7428571428571429,train
CCCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(O)cc2)CC1,DBMET02691,4'-hydroxy-butyrfentanyl,DBMET02692,4'-hydroxy-3'-methoxy-butyrfentanyl,,DB09173,CCCC(=O)N(c1ccccc1)C1CCN(CCc2ccc(O)c(OC)c2)CC1,DrugBank,0.7192982456140351,train
COCC(c1ccc(C(F)(F)F)cc1)N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)CC1C,DB06652,Vicriviroc,DBMET00083,Vicriviroc carboxylic acid,Cytochrome P450 3A4,DB06652,Cc1ncnc(C)c1C(=O)N1CCC(C)(N2CCN(C(C(=O)O)c3ccc(C(F)(F)F)cc3)C(C)C2)CC1,DrugBank,0.7464788732394366,train
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,DB00495,Zidovudine,DBMET00720,3'-Aminothymidine,,DB00495,Cc1cn(C2CC(N)C(CO)O2)c(=O)[nH]c1=O,DrugBank,0.6666666666666666,train
C=CCOc1ccccc1OCC(O)CNC(C)C,,Oxoprenolol,,Oxprenolol glucuronide,UGT,Oxoprenolol,C=CCOc1ccccc1OCC(CNC(C)C)OC1OC(C(=O)O)C(O)C(O)C1O,MetXBioDB,0.5263157894736842,train
