parent_id,parent_name,child_id,child_name,parent_smiles,child_smiles,set
DB09194,Etoperidone,DBMET01878,1-(3-chlorophenyl) piperazine,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC,Clc1cccc(N2CCNCC2)c1,train
DBMET03215,Remdesivir cyclic anhydride,DBMET03035,Remdesivir Alanine Metabolite (Ala-Met; GS-704277),CC1NP(=O)(OCC2OC(C#N)(c3ccc4c(N)ncnn34)C(O)C2O)OC1=O,CC(NP(=O)(O)OCC1OC(C#N)(c2ccc3c(N)ncnn23)C(O)C1O)C(=O)O,train
DB16627,Melphalan flufenamide,DBMET03272,Desethyl Melphalan Flufenamide,CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)NC(Cc1ccc(F)cc1)C(=O)O,train
DBMET00844,Doxepin N-oxide,DBMET00845,Doxepin N-oxide glucuronide,C[N+](C)([O-])CCC=C1c2ccccc2COc2ccccc21,C[N+](C)(CCC=C1c2ccccc2COc2ccccc21)OC1OC(C(=O)O)C(O)C(O)C1O,train
DBMET02469,3-alpha-isopravastatin,DBMET02471,7-hydroxy-3-alpha-isopravastatin,CCC(C)C(=O)OC1CCC=C2C=C(O)C(C)C(CCC(O)CC(O)CC(=O)O)C21,CCC(C)C(=O)OC1C(O)CC=C2C=C(O)C(C)C(CCC(O)CC(O)CC(=O)O)C21,train
DB01065,Melatonin,DBMET01359,5-Methoxytryptamine,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,COc1ccc2[nH]cc(CCN)c2c1,train
DB00672,Chlorpropamide,DBMET00201,4-Chlorobenzenesulfonylurea,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,NC(=O)NS(=O)(=O)c1ccc(Cl)cc1,train
DB01005,Hydroxyurea,DBMET01482,Ammonia,NC(=O)NO,N,train
DBMET01949,Aranidipine M-1,DBMET01951,Aranidipine M-4,COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)O)C1c1ccccc1[N+](=O)[O-],COC(=O)c1c(C)nc(C)c(C(=O)OCC(C)O)c1-c1ccccc1[N+](=O)[O-],train
DB00273,Topiramate,DBMET02911,"4,5-Desisopropylidene topiramate",CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,CC1(C)OC2C(O)C(O)COC2(COS(N)(=O)=O)O1,train
DBMET01118,alpha-(o-carboxybenzamido)glutarimide,DB02746,Phthalic Acid,O=C1CCC(NC(=O)c2ccccc2C(=O)O)C(=O)N1,O=C(O)c1ccccc1C(=O)O,train
DB08874,Fidaxomicin,DBMET00972,OP-1118,CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)OC1C(C)OC(OCC2=CC=CCC(O)C(C)=CC(CC)C(OC3OC(C)(C)C(OC(=O)C(C)C)C(O)C3O)C(C)=CC(C)=CCC(C(C)O)OC2=O)C(OC)C1O,CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)OC1C(C)OC(OCC2=CC=CCC(O)C(C)=CC(CC)C(OC3OC(C)(C)C(O)C(O)C3O)C(C)=CC(C)=CCC(C(C)O)OC2=O)C(OC)C1O,train
DBMET02665,Ketoconazole dihydroxyl intermediate,DBMET02667,M3 (Ketoconazole),CC(=O)N1CCN(c2ccc(OCC3COC(CN4C=NC(O)C4O)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,CC(=O)N1CCN(c2ccc(OCC3COC(CNC=N)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,train
DB01275,Hydralazine,DBMET02815,Phthalazinone,NNc1nncc2ccccc12,O=c1[nH]ncc2ccccc12,train
DBMET00192,4-Hydroxyketamine,DBMET01308,4-Hydroxynorketamine,CNC1(c2ccccc2Cl)CC(O)CCC1=O,NC1(c2ccccc2Cl)CC(O)CCC1=O,train
DB15133,Tepotinib,DBMET03251,Tepotinib M508 metabolite,CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,C[N+]1([O-])CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1,train
DB07565,Chloramphenicol succinate,DB00446,Chloramphenicol,O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,train
DB00615,Rifabutin,DBMET00696,25-O-deacetylrifabutin,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O,COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(O)C1C)C4=O,train
