parent_id,parent_name,child_id,child_name,enzymes,parent_smiles,child_smiles,tanimoto
DB00118,Ademetionine,DBMET00514,S-Adenosylhomocysteine,,C[S+](CCC(N)C(=O)[O-])CC1OC(n2cnc3c(N)ncnc32)C(O)C1O,Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,0.582089552238806
DB00121,Biotin,DBMET03072,Biotin Holocarboxylase Metabolite,,O=C(O)CCCCC1SCC2NC(=O)NC21,NCC(=O)NC(CCCCCNOC(=O)CCCCC1SCC2NC(=O)NC21)C(=O)NCC(=O)O,0.47761194029850745
DBMET03072,Biotin Holocarboxylase Metabolite,DBMET03073,Biocytin,,NCC(=O)NC(CCCCCNOC(=O)CCCCC1SCC2NC(=O)NC21)C(=O)NCC(=O)O,NC(CCCCCNOC(=O)CCCCC1SCC2NC(=O)NC21)C(=O)O,0.6619718309859155
DBMET03073,Biocytin,DB00121,Biotin,,NC(CCCCCNOC(=O)CCCCC1SCC2NC(=O)NC21)C(=O)O,O=C(O)CCCCC1SCC2NC(=O)NC21,0.5535714285714286
DB00126,Ascorbic acid,DBMET00799,ascorbic acid-2-sulfate,,O=C1OC(C(O)CO)C(O)=C1O,O=C1OC(C(O)CO)C(O)=C1OS(=O)(=O)O,0.5833333333333334
DB00126,Ascorbic acid,DBMET03074,Dehydroascorbate,,O=C1OC(C(O)CO)C(O)=C1O,O=C1OC(C(O)CO)C(=O)C1=O,0.5806451612903226
DBMET03075,"2,3-dikeogulonic acid",DBMET00552,Oxalic acid,,O=C(O)C(=O)C(=O)C(O)C(O)CO,O=C(O)C(=O)O,0.23809523809523808
DBMET03075,"2,3-dikeogulonic acid",DBMET03076,Threosone,,O=C(O)C(=O)C(=O)C(O)C(O)CO,O=CC(=O)C(O)CO,0.27586206896551724
DBMET03075,"2,3-dikeogulonic acid",DBMET03077,Erythrulose,,O=C(O)C(=O)C(=O)C(O)C(O)CO,O=C(CO)C(O)CO,0.2962962962962963
DB00129,Ornithine,DBMET00502,L-Arginine,,NCCCC(N)C(=O)O,N=C(N)NCCCC(N)C(=O)O,0.5172413793103449
DB00130,L-Glutamine,DBMET02102,Glutamate,"Glutamine synthetase, Glutaminase liver isoform, mitochondrial, Glutaminase kidney isoform, mitochondrial",NC(=O)CCC(N)C(=O)O,NC(CCC(=O)O)C(=O)O,0.6818181818181818
DBMET02102,Glutamate,DBMET03078,α-ketoglutarate,,NC(CCC(=O)O)C(=O)O,O=C(O)CCC(=O)C(=O)O,0.3333333333333333
DB00136,Calcitriol,DBMET00575,Calcitroic acid,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(=O)O)CC(O)CC1O,0.703125
