parent_name,child_name,parent_smiles,child_smiles,origin,source,set,tanimoto
Folic acid,Tetrahydrofolic acid,"[LogP_[-1.0, 0.0)]Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1",Nc1nc(=O)c2c([nH]1)NCC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,DB00158,DrugBank,train,0.5540540540540541
Cholecalciferol,Calcifediol,"[LogP_[7.0, 8.0)]C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C",C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,DB00169,DrugBank,train,0.8135593220338984
Calcifediol,Calcitriol,"[LogP_[6.0, 7.0)]C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O",C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,DB00169,DrugBank,train,0.7903225806451613
Caffeine,Theobromine,"[LogP_[-2.0, -1.0)]Cn1c(=O)c2c(ncn2C)n(C)c1=O",Cn1cnc2c1c(=O)[nH]c(=O)n2C,DB00201,DrugBank,train,0.5151515151515151
Caffeine,Theophylline,"[LogP_[-2.0, -1.0)]Cn1c(=O)c2c(ncn2C)n(C)c1=O",Cn1c(=O)c2[nH]cnc2n(C)c1=O,DB00201,DrugBank,train,0.4705882352941176
Venlafaxine,Desvenlafaxine,"[LogP_[3.0, 4.0)]COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1",CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,DB00285,Both,train,0.717948717948718
Morphine,Codeine,"[LogP_[1.0, 2.0)]CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5",COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,DB00318,DrugBank,train,0.7884615384615384
Morphine,Morphine glucuronide,"[LogP_[1.0, 2.0)]CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5",CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,DB00318,Both,train,0.6119402985074627
Codeine,Morphine,"[LogP_[1.0, 2.0)]COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341",CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,DB00295,Both,train,0.7884615384615384
Amitriptyline,Nortriptyline,"[LogP_[4.0, 5.0)]CN(C)CCC=C1c2ccccc2CCc2ccccc21",CNCCC=C1c2ccccc2CCc2ccccc21,DB00321,Both,train,0.6111111111111112
