parent_smiles,child_smiles,set,tanimoto
[H]N=c1nc(O)c2c([nH]1)NCC1C[N+](c3ccc(C(=O)NC(CCC(=O)O)C(=O)[O-])cc3)=CN21,[H]N=c1nc(O)c2c([nH]1)NCC(CN(C=O)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)N2,train,0.4719101123595505
Cn1cncc1CC(N)C(=O)O,NC(Cc1c[nH]cn1)C(=O)O,train,0.4146341463414634
O=c1[nH]c(=O)c2ncn(C3OC(COP(=O)(O)O)C(O)C3O)c2[nH]1,Nc1nc2c(ncn2C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,train,0.6724137931034483
O=c1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,O=c1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1,train,0.8333333333333334
NC(CSC(C=CC=CC=CCC=CCCCCC=O)C(O)CCCC(=O)O)C(=O)O,NC(CSC(C=CC=CC=CCC=CCCCCC(=O)O)C(O)CCCC(=O)O)C(=O)O,train,0.9
[H]N=C(N)NCCCC(N)C(=O)O,NC(Cc1cnc[nH]1)C(=O)O,train,0.2926829268292683
CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(O)C(O)C1O)NC(C)=O,OCC1OC(O)C(O)C(O)C1O,train,0.2545454545454545
Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)CC1CN2,train,0.5844155844155844
CC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(O)C1O)OC(C)=O,CC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O)OC(C)=O,train,0.95
O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,train,0.3928571428571428
NC(CO)C(=O)O,CC(N)C(=O)O,train,0.4210526315789473
O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,train,0.8490566037735849
O=C(O)C1CC(O)CN1,O=C(O)C1CC(O)C=N1,train,0.28125
COC1OC(COS(=O)(=O)O)C(OC)C(O)C1NS(=O)(=O)O,COC1OC(COS(=O)(=O)O)C(OC)C(OS(=O)(=O)O)C1NS(=O)(=O)O,train,0.75
[H]NC(=O)CCC(N)C(=O)O,NC(Cc1ccc(O)cc1)C(=O)O,train,0.34375
O=C1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,OC1C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl,train,0.3043478260869565
O=C(O)CC(CC(=O)O)C(=O)O,O=C(O)C=C(CC(=O)O)C(=O)O,train,0.2307692307692307
NC(CO)C(=O)O,NC(Cc1ccccc1)C(=O)O,train,0.4230769230769231
CCC=CCC(O)C=CC=CC=CC=CC1OC1CC=CCCC(=O)O,CCC=CCC(O)C=CC=CCC=CC=CC(CC=CCCC(=O)O)OO,train,0.5178571428571429
O=c1nc(O)ccn1C1OC(CO)C(O)C1O,O=c1nc(O)ccn1C1OC(COP(=O)(O)O)C(O)C1O,train,0.6888888888888889
CC1OC(COP(=O)(O)OC2C(COP(=O)(O)OC3C(CO)OC(C)C3O)OC(C)C2O)C(O)C1O,CC1OC(COP(=O)(O)OC2C(COP(=O)(O)OC3C(CO)OC(C)C3O)OC(C)C2O)C(OC(=O)C(N)CO)C1O,train,0.7083333333333334
COC1=CC23CCN(C)C(Cc4ccc(OC)c(O)c42)C3=CC1O,COC1=CC23CCN(C)C(Cc4ccc(OC)c(O)c42)C3=CC1=O,train,0.65
CCC=CCC=CCC=CCC=CCC=CCCCC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,train,0.2777777777777778
CC(CNC(N)=O)C(=O)O,CC(CN)C(=O)O,train,0.5
CSC(=O)CC(=O)O,CCCCCCCCCCCC(=O)CC(=O)SC,train,0.4444444444444444
CCC(=O)C(=O)O,CCC(O)C(=O)O,train,0.3333333333333333
NC(CCC(O)=NC(CS)C(=O)NCC(=O)O)C(=O)O,NC(CCC(O)=NC(CSSCC(N=C(O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,train,0.7560975609756098
NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O,NC(CCC(=O)NC(CSC1C(Br)=CC=CC1O)C(=O)NCC(=O)O)C(=O)O,train,0.5084745762711864
Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,Nc1nc2c(c(=O)[nH]1)NC1C(N2)OC2COP(=O)(O)OC2C1(O)O,train,0.2183908045977011
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,train,0.7457627118644068
CC(=O)NC1C(O)OC(CO)C(O)C1O,COC1OC(CO)C(O)C(O)C1NC(C)=O,train,0.6666666666666666
O=C(O)C(=O)CC(O)C(O)C(O)C(O)C(O)COP(=O)(O)O,O=C(O)C(=O)CC(O)C(O)C(O)C(O)C(O)CO,train,0.5454545454545454
CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,C[N+](C)(C)CC(O)CC(=O)[O-],train,0.5
CC12CCC(O)CC1=CCC1C2CCC2(C)C(O)CCC12,CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,train,0.52
NCCCCC(N)C(=O)NC(CS)C(=O)NC(Cc1cnc[nH]1)C(=O)O,NCCCCC(N)C(=O)O,train,0.36
CC(C)CC(N)C(=O)O,[H]N=C(N)NCCCC(N)C(=O)O,train,0.34375
O=C(O)C=C(CC(=O)O)C(=O)O,O=C(O)CCC(=O)O,train,0.2857142857142857
CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(=O)C(C)C1CC3,CC(C)=CCCC(C)C1CCC2C3=C(CCC21C)C1(C)CCC(O)C(C)C1CC3,train,0.7543859649122807
CC(C)=CCCC(C)C1CCC2(CO)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3,CC(C)=CCCC(C)C1CCC2(C=O)C3=C(CCC12C)C1(C)CCC(O)C(C)(C)C1CC3,train,0.7333333333333333
