parent_name,parent_smiles,child_name,child_smiles,origin,tanimoto
acetaminophen,CC(=O)Nc1ccc(O)cc1,N-Acetyl-p-benzoquinone,CC(=O)N=C1C=CC(=O)C=C1,acetaminophen,0.25806451612903225
acetaminophen,CC(=O)Nc1ccc(O)cc1,3-Hydroxyacetaminophen,CC(=O)Nc1ccc(O)c(O)c1,acetaminophen,0.5769230769230769
pinoline,COc1ccc2[nH]c3c(c2c1)CCNC3,"1H,2H,3H,4H,9H‐pyrido[3,4‐b]indol‐6‐ol",Oc1ccc2[nH]c3c(c2c1)CCNC3,pinoline,0.631578947368421
1-(3-Trifluoromethylphenyl)piperazine,FC(F)(F)c1cccc(N2CCNCC2)c1,HO-TFMPP,Oc1ccc(N2CCNCC2)cc1C(F)(F)F,1-(3-Trifluoromethylphenyl)piperazine,0.5384615384615384
"2-Amino-3-methylimidazo(4,5-F)quinoline",Cn1c(=N)[nH]c2c3cccnc3ccc21,"N-OH-2-amino-3-methylimidazo[4,5-f]quinoline (N-OH-IQ)",Cn1c(NO)nc2c3cccnc3ccc21,"2-Amino-3-methylimidazo(4,5-F)quinoline",0.45652173913043476
"5-Methoxy-N,N-diisopropyltryptamine",COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,5-OH-DIPT,CC(C)N(CCc1c[nH]c2ccc(O)cc12)C(C)C,"5-Methoxy-N,N-diisopropyltryptamine",0.6904761904761905
"5-Methoxy-N,N-diisopropyltryptamine",COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,5-MeO-IPT,COc1ccc2[nH]cc(CCNC(C)C)c2c1,"5-Methoxy-N,N-diisopropyltryptamine",0.6444444444444445
(R)-halothane,FC(F)(F)C(Cl)Br,"1-chloro-2,2,2-trifluoroethanide",FC(F)(F)CCl,(R)-halothane,0.25
"(R)-3,4-Methylenedioxymethamphetamine",CNC(C)Cc1ccc2c(c1)OCO2,"N-Methyl-3,4- dihydroxyamphetamine",CNC(C)Cc1ccc(O)c(O)c1,"(R)-3,4-Methylenedioxymethamphetamine",0.5135135135135135
"(R)-3,4-Methylenedioxymethamphetamine",CNC(C)Cc1ccc2c(c1)OCO2,"3,4-Methylenedioxymethamphetamine",CC(N)Cc1ccc2c(c1)OCO2,"(R)-3,4-Methylenedioxymethamphetamine",0.6571428571428571
"(4R)-5-(methoxycarbonyl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylic acid",COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1,OPC-13463,COC(=O)c1c(C)nc(C)c(C(=O)O)c1-c1cccc([N+](=O)[O-])c1,"(4R)-5-(methoxycarbonyl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylic acid",0.5
Homo-Tienilic Alcohol,O=C(c1cccs1)c1ccc(OCCCO)c(Cl)c1Cl,,O=C(c1ccc(O)s1)c1ccc(OCCCO)c(Cl)c1Cl,Homo-Tienilic Alcohol,0.6595744680851063
Homo-Tienilic Alcohol,O=C(c1cccs1)c1ccc(OCCCO)c(Cl)c1Cl,,O=C(c1cccs1)c1ccc(O)c(Cl)c1Cl,Homo-Tienilic Alcohol,0.5681818181818182
(R)-1-(4-Methoxyphenyl)propan-2-amine,COc1ccc(CC(C)N)cc1,,CC(N)Cc1ccc(O)cc1,(R)-1-(4-Methoxyphenyl)propan-2-amine,0.5714285714285714
"1-Methyl-10-alpha-methoxy-9,10-dihydrolysergol",COC12CC(CO)CN(C)C1Cc1cn(C)c3cccc2c13,MDL,COC12CC(CO)CN(C)C1Cc1c[nH]c3cccc2c13,"1-Methyl-10-alpha-methoxy-9,10-dihydrolysergol",0.6785714285714286
"(S)-2-(2,6-Dichlorobenzamido)-3-(2',6'-dimethoxy-[1,1'-biphenyl]-4-yl)propanoic acid",COc1cccc(OC)c1-c1ccc(CC(NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1,,COc1cccc(O)c1-c1ccc(CC(NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1,"(S)-2-(2,6-Dichlorobenzamido)-3-(2',6'-dimethoxy-[1,1'-biphenyl]-4-yl)propanoic acid",0.9166666666666666
Rabeprazole (rabeprazole_thioether),COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,Rabeprazole,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,Rabeprazole (rabeprazole_thioether),0.6271186440677966
Rabeprazole (rabeprazole_thioether),COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,Desmethylrabeprazole-thioether,Cc1c(OCCCO)ccnc1CSc1nc2ccccc2[nH]1,Rabeprazole (rabeprazole_thioether),0.8076923076923077
Dehydroxyzyleuton,CC(NC(N)=O)c1cc2ccccc2s1,Dehydroxyzyleuton sulfoxide,CC(NC(N)=O)c1cc2ccccc2[s+]1[O-],Dehydroxyzyleuton,0.4782608695652174
Dehydroxyzyleuton,CC(NC(N)=O)c1cc2ccccc2s1,(1S)â€1â€(6â€hydroxyâ€1â€benzothiophenâ€2â€yl)ethylurea,CC(NC(N)=O)c1cc2ccc(O)cc2s1,Dehydroxyzyleuton,0.7
"(2R,3S)-2-((R)-1-(3,5-Bis(trifluoromethyl)phenyl)ethoxy)-3-(4-fluorophenyl)morpholine",CC(OC1OCCNC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,aprepitant_M2,CC(OC1OCC=NC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,"(2R,3S)-2-((R)-1-(3,5-Bis(trifluoromethyl)phenyl)ethoxy)-3-(4-fluorophenyl)morpholine",0.5964912280701754
2-Methoxy-5-trifluoromethoxybenzylamine,COc1ccc(OC(F)(F)F)cc1CN,"CP-919,230",NCc1cc(OC(F)(F)F)ccc1O,2-Methoxy-5-trifluoromethoxybenzylamine,0.6111111111111112
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2cc(O)co2)n1C,"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",0.64
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2occc2O)n1C,"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",0.64
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,,Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccc(O)o2)n1C,"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",0.6530612244897959
"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2Cc2ccco2)n1C,,Cn1c(=O)c2c(nc(CO)n2C)n(Cc2ccco2)c1=O,"3-(furan-2-ylmethyl)-1,7,8-trimethylpurine-2,6-dione",0.7291666666666666
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1C,,Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCC(O)C2)n1C,"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",0.7391304347826086
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1C,,Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1CO,"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",0.7727272727272727
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1C,,Cn1c(=O)c2c(nc(CO)n2C)n(CC2CCCCC2)c1=O,"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",0.7111111111111111
