parent_name,child_name,parent_smiles,child_smiles
acetaminophen,N-Acetyl-p-benzoquinone,CC(=O)Nc1ccc(O)cc1,CC(=O)N=C1C=CC(=O)C=C1
pinoline,"1H,2H,3H,4H,9H‐pyrido[3,4‐b]indol‐6‐ol",COc1ccc2[nH]c3c(c2c1)CCNC3,Oc1ccc2[nH]c3c(c2c1)CCNC3
1-(3-Trifluoromethylphenyl)piperazine,HO-TFMPP,FC(F)(F)c1cccc(N2CCNCC2)c1,Oc1ccc(N2CCNCC2)cc1C(F)(F)F
"2-Amino-3-methylimidazo(4,5-F)quinoline","N-OH-2-amino-3-methylimidazo[4,5-f]quinoline (N-OH-IQ)",Cn1c(=N)[nH]c2c3cccnc3ccc21,Cn1c(NO)nc2c3cccnc3ccc21
"5-Methoxy-N,N-diisopropyltryptamine",5-OH-DIPT,COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,CC(C)N(CCc1c[nH]c2ccc(O)cc12)C(C)C
(R)-halothane,"1-chloro-2,2,2-trifluoroethanide",FC(F)(F)C(Cl)Br,FC(F)(F)CCl
"(R)-3,4-Methylenedioxymethamphetamine","N-Methyl-3,4- dihydroxyamphetamine",CNC(C)Cc1ccc2c(c1)OCO2,CNC(C)Cc1ccc(O)c(O)c1
"(4R)-5-(methoxycarbonyl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylic acid",OPC-13463,COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1,COC(=O)c1c(C)nc(C)c(C(=O)O)c1-c1cccc([N+](=O)[O-])c1
Homo-Tienilic Alcohol,,O=C(c1cccs1)c1ccc(OCCCO)c(Cl)c1Cl,O=C(c1ccc(O)s1)c1ccc(OCCCO)c(Cl)c1Cl
"1-Methyl-10-alpha-methoxy-9,10-dihydrolysergol",MDL,COC12CC(CO)CN(C)C1Cc1cn(C)c3cccc2c13,COC12CC(CO)CN(C)C1Cc1c[nH]c3cccc2c13
"(S)-2-(2,6-Dichlorobenzamido)-3-(2',6'-dimethoxy-[1,1'-biphenyl]-4-yl)propanoic acid",,COc1cccc(OC)c1-c1ccc(CC(NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1,COc1cccc(O)c1-c1ccc(CC(NC(=O)c2c(Cl)cccc2Cl)C(=O)O)cc1
Rabeprazole (rabeprazole_thioether),Rabeprazole,COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C
Dehydroxyzyleuton,Dehydroxyzyleuton sulfoxide,CC(NC(N)=O)c1cc2ccccc2s1,CC(NC(N)=O)c1cc2ccccc2[s+]1[O-]
2-Methoxy-5-trifluoromethoxybenzylamine,"CP-919,230",COc1ccc(OC(F)(F)F)cc1CN,NCc1cc(OC(F)(F)F)ccc1O
"3-(cyclohexylmethyl)-1,7,8-trimethylpurine-2,6-dione",,Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCCC2)n1C,Cc1nc2c(c(=O)n(C)c(=O)n2CC2CCCC(O)C2)n1C
(-)-ethosuximide,,CCC1(C)CC(O)=NC1=O,CC(O)C1(C)CC(O)=NC1=O
(-)-etodolac,6-Hydroxyetodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,CCc1cc(O)cc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3
(-)-pseudococaine,Norcocaine,COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C,COC(=O)C1C2CCC(CC1OC(=O)c1ccccc1)N2
(-)-thalidomide,"cis, trans-5'-OH-thalidomide",O=C1N=C(O)CCC1N1C(=O)c2ccccc2C1=O,O=C1N=C(O)C(N2C(=O)c3ccccc3C2=O)CC1O
(-)-zileuton,Zileuton sulfoxide,CC(c1cc2ccccc2s1)N(O)C(N)=O,CC(c1cc2ccccc2[s+]1[O-])N(O)C(N)=O
Perhexiline,cis-hydroxyperhexilline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,OC1CCC(C(CC2CCCCN2)C2CCCCC2)CC1
(+)-3-carene,3-Caren-10-ol,CC1=CCC2C(C1)C2(C)C,CC1(C)C2CC=C(CO)CC21
(+)-bisoprolol,"(+)-bisoprolol, O-deisopropyl",CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,CC(C)NCC(O)COc1ccc(COCCO)cc1
(+)-fipronil,f ipronil sulfone,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1[S+]([O-])C(F)(F)F,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)(=O)C(F)(F)F
(+)-halofantrine,"(+)-halofantrine, N-desbutyl",CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,CCCCNCCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12
(+)-isothujone,4-hydroxy-isothujone,CC1C(=O)CC2(C(C)C)CC12,CC(C)C12CC(=O)C(C)(O)C1C2
"(13alpha)-3-methoxy-estra-1,3,5(10)-triene-17alpha-ol",Estradiol,COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O
(2r)-1-(2-methoxyphenyl)propan-2-amine,,COc1ccccc1CC(C)N,CC(N)Cc1ccccc1O
(2r)-2-[4-(3-methylthiophen-2-yl)phenyl]propanoic acid,,Cc1ccsc1-c1ccc(C(C)C(=O)O)cc1,CC1=C(c2ccc(C(C)C(=O)O)cc2)SC(=O)C1
"(2s,5s)-troglitazone","(2S)â€3â€(4â€{[(2S)â€6â€hydroxyâ€2,5,7,8â€tetramethylâ€3,4â€dihydroâ€1â€benzopyranâ€2â€yl]methoxy}phenyl)â€2â€(hydroxysulfanyl)propanecarbonyl isocyanate",Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC3SC(=O)N=C3O)cc1)O2,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(CC(SO)C(=O)N=C=O)cc1)O2
Saquinavir,"(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-[(1-hydroxy-2-methylpropan-2-yl)carbamoyl]-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,CC(C)(CO)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1
(r)-(+)-felodipine,Dehydrofelodipine,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,CCOC(=O)c1c(C)nc(C)c(C(=O)OC)c1-c1cccc(Cl)c1Cl
(R)-(-)-Mexiletine,"(R)-(-)-Mexiletine, p-hydroxyl",Cc1cccc(C)c1OCC(C)N,Cc1cc(O)cc(C)c1OCC(C)N
(r)-azelastine,"(r)-azelastine, N-desmethyl",CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,O=c1c2ccccc2c(Cc2ccc(Cl)cc2)nn1C1CCCNCC1
(r)-bupropion,(2R)-1-(3-chlorophenyl)-2-[(1-hydroxy-2-methylpropan-2-yl)amino]propan-1-one,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,CC(NC(C)(C)CO)C(=O)c1cccc(Cl)c1
(r)-enflurane,"2-(difluoromethoxy)-2,2-difluoroacetyl fluoride",FC(F)OC(F)(F)C(F)Cl,O=C(F)C(F)(F)OC(F)F
(r)-ketamine,Norketamine,CNC1(c2ccccc2Cl)CCCCC1=O,NC1(c2ccccc2Cl)CCCCC1=O
(r)-mda,Alpha-methyldopamine,CC(N)Cc1ccc2c(c1)OCO2,CC(N)Cc1ccc(O)c(O)c1
(r)-metoprolol,alpha-Hydroxymetoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1,COCC(O)c1ccc(OCC(O)CNC(C)C)cc1
