parent_name,child_name,parent_smiles,child_smiles,origin,source,set
Folic acid,Tetrahydrofolic acid,O=C(C(NC(=O)c1ccc(NCc2cnc3c(n2)c(=O)nc(N)[nH]3)cc1)CCC(O)=O)O,OC(C(CCC(O)=O)NC(=O)c1ccc(NCC2CNc3c(c(=O)nc(N)[nH]3)N2)cc1)=O,DB00158,DrugBank,train
Cholecalciferol,Calcifediol,C1CCC2(C)C(C(C)CCCC(C)C)CCC2C1=CC=C1CC(O)CCC1=C,C(C=C1C2C(C)(CCC1)C(C(CCCC(O)(C)C)C)CC2)=C1C(=C)CCC(O)C1,DB00169,DrugBank,train
Calcifediol,Calcitriol,CC(CCCC(C1CCC2C(=CC=C3C(=C)CCC(O)C3)CCCC12C)C)(O)C,C1CCC(=CC=C2CC(O)CC(O)C2=C)C2CCC(C(CCCC(C)(C)O)C)C12C,DB00169,DrugBank,train
Caffeine,Theobromine,c1n(C)c2c(=O)n(C)c(=O)n(C)c2n1,c1(=O)[nH]c(=O)c2n(C)cnc2n1C,DB00201,DrugBank,train
Caffeine,Theophylline,Cn1c2c(=O)n(C)c(=O)n(C)c2nc1,c1(=O)n(C)c(=O)n(C)c2nc[nH]c12,DB00201,DrugBank,train
Venlafaxine,Desvenlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,c1cc(C(CN(C)C)C2(O)CCCCC2)ccc1O,DB00285,Both,train
Morphine,Codeine,O1C2C34c5c1c(O)ccc5CC(N(C)CC3)C4C=CC2O,c1(OC)ccc2c3c1OC1C34CCN(C)C(C4C=CC1O)C2,DB00318,DrugBank,train
Morphine,Morphine glucuronide,OC1C=CC2C3N(C)CCC24C1Oc1c4c(ccc1O)C3,C1(C(O)=O)OC(OC2C3Oc4c5c(ccc4O)CC4C(C=C2)C35CCN4C)C(O)C(O)C1O,DB00318,Both,train
Codeine,Morphine,N1(C)C2Cc3ccc(OC)c4c3C3(C2C=CC(O)C3O4)CC1,Oc1c2c3c(cc1)CC1C4C3(C(C(O)C=C4)O2)CCN1C,DB00295,Both,train
Amitriptyline,Nortriptyline,N(C)(C)CCC=C1c2ccccc2CCc2c1cccc2,c1cc2c(cc1)C(=CCCNC)c1ccccc1CC2,DB00321,Both,train
