parent_name,child_name,parent_smiles,child_smiles,origin,source,set
Folic acid,Tetrahydrofolic acid,c1(NCc2nc3c([nH]c(N)nc3=O)nc2)ccc(C(NC(C(O)=O)CCC(=O)O)=O)cc1,c1(C(=O)NC(CCC(=O)O)C(O)=O)ccc(NCC2Nc3c(=O)nc(N)[nH]c3NC2)cc1,DB00158,DrugBank,train
Cholecalciferol,Calcifediol,C1(=CC=C2CC(O)CCC2=C)C2C(C)(C(C(CCCC(C)C)C)CC2)CCC1,C1CC(=C)C(=CC=C2CCCC3(C)C(C(CCCC(O)(C)C)C)CCC32)CC1O,DB00169,DrugBank,train
Calcifediol,Calcitriol,C1C2(C)C(C(CCCC(C)(C)O)C)CCC2C(=CC=C2CC(O)CCC2=C)CC1,C1(C(CCCC(O)(C)C)C)C2(C)C(CC1)C(=CC=C1C(=C)C(O)CC(O)C1)CCC2,DB00169,DrugBank,train
Caffeine,Theobromine,c1(=O)c2c(n(C)c(=O)n1C)ncn2C,Cn1cnc2n(C)c(=O)[nH]c(=O)c21,DB00201,DrugBank,train
Caffeine,Theophylline,c1(=O)n(C)c2ncn(C)c2c(=O)n1C,c1(=O)c2c(nc[nH]2)n(C)c(=O)n1C,DB00201,DrugBank,train
Venlafaxine,Desvenlafaxine,c1(OC)ccc(C(CN(C)C)C2(O)CCCCC2)cc1,C1C(C(c2ccc(O)cc2)CN(C)C)(O)CCCC1,DB00285,Both,train
Morphine,Codeine,c12c3c(ccc1O)CC1C4C3(CCN1C)C(O2)C(O)C=C4,C1=CC(O)C2Oc3c(OC)ccc4c3C23CCN(C)C(C13)C4,DB00318,DrugBank,train
Morphine,Morphine glucuronide,C1c2ccc(O)c3c2C24CCN(C)C1C2C=CC(O)C4O3,Oc1c2c3c(cc1)CC1N(C)CCC34C(O2)C(OC2C(O)C(O)C(O)C(C(O)=O)O2)C=CC14,DB00318,Both,train
Codeine,Morphine,C1N(C)C2C3C=CC(O)C4C3(C1)c1c(c(OC)ccc1C2)O4,c12c3c(c(O)cc1)OC1C34CCN(C)C(C2)C4C=CC1O,DB00295,Both,train
Amitriptyline,Nortriptyline,c1cc2c(cc1)C(=CCCN(C)C)c1c(cccc1)CC2,C(CC=C1c2c(cccc2)CCc2c1cccc2)NC,DB00321,Both,train
Ipratropium,Phenylacetic acid,CC([N+]1(C)C2CCC1CC(OC(C(CO)c1ccccc1)=O)C2)C,O=C(O)Cc1ccccc1,DB00332,DrugBank,train
Fluoxetine,Fluoxetine glucuronide,C(NC)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,c1c(C(F)(F)F)ccc(OC(c2ccccc2)CCN(C)C2OC(C(O)=O)C(O)C(O)C2O)c1,DB00472,Both,train
Dextromethorphan,Dextrorphan,O(c1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3)C,C1C23C(C(N(C)C1)Cc1ccc(O)cc12)CCCC3,DB00514,Both,train
Benazepril,Benazeprilat,C(=O)(O)CN1c2ccccc2CCC(NC(CCc2ccccc2)C(=O)OCC)C1=O,C(Cc1ccccc1)C(NC1CCc2ccccc2N(CC(=O)O)C1=O)C(=O)O,DB00542,DrugBank,train
Hydroxyzine,Cetirizine,c1ccccc1C(c1ccc(Cl)cc1)N1CCN(CCOCCO)CC1,c1c(Cl)ccc(C(N2CCN(CCOCC(=O)O)CC2)c2ccccc2)c1,DB00557,DrugBank,train
Thiopental,Pentobarbital,C(C1(CC)C(=O)NC(=S)NC1=O)(CCC)C,C(C1(C(CCC)C)C(=O)NC(=O)NC1=O)C,DB00599,DrugBank,train
Testosterone,Androstenedione,C1CC2(C)C(=CC1=O)CCC1C3CCC(O)C3(C)CCC12,C1=C2CCC3C4CCC(=O)C4(C)CCC3C2(C)CCC1=O,DB01420,Both,train
Clorazepic acid,Nordazepam,c1c2c(ccc1Cl)NC(=O)C(C(O)=O)N=C2c1ccccc1,c1c2c(ccc1Cl)NC(=O)CN=C2c1ccccc1,DB00628,DrugBank,train
Guanabenz,Guanoxabenz,NC(N)=NN=Cc1c(Cl)cccc1Cl,N(C(NN=Cc1c(Cl)cccc1Cl)=N)O,DB00629,DrugBank,train
Mycophenolate mofetil,Mycophenolic acid,O=C(CCC(C)=CCc1c(OC)c(C)c2c(c1O)C(=O)OC2)OCCN1CCOCC1,c1(CC=C(C)CCC(O)=O)c(OC)c(C)c2c(c1O)C(=O)OC2,DB00688,DrugBank,train
