parent_name,child_name,parent_smiles,child_smiles,origin,source,set
Folic acid,Tetrahydrofolic acid,C(CCC(NC(c1ccc(NCc2nc3c(=O)nc(N)[nH]c3nc2)cc1)=O)C(=O)O)(=O)O,C(CCC(NC(c1ccc(NCC2CNc3c(c(=O)nc(N)[nH]3)N2)cc1)=O)C(=O)O)(=O)O,DB00158,DrugBank,train
Cholecalciferol,Calcifediol,CC12CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)CCCC(C)C,CC12CCCC(=CC=C3C(=C)CCC(O)C3)C1CCC2C(C)CCCC(C)(C)O,DB00169,DrugBank,train
Calcifediol,Calcitriol,OC1CCC(=C)C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)C1,OC1CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)C(=C)C(O)C1,DB00169,DrugBank,train
Caffeine,Theobromine,n1c2c(c(=O)n(C)c(=O)n2C)n(C)c1,n1cn(C)c2c1n(C)c(=O)[nH]c2=O,DB00201,DrugBank,train
Caffeine,Theophylline,c1nc2c(c(=O)n(C)c(=O)n2C)n1C,c1[nH]c2c(=O)n(C)c(=O)n(C)c2n1,DB00201,DrugBank,train
Venlafaxine,Desvenlafaxine,C(C(c1ccc(OC)cc1)C1(O)CCCCC1)N(C)C,C(N(C)C)C(c1ccc(O)cc1)C1(O)CCCCC1,DB00285,Both,train
Morphine,Codeine,N1(C)CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,N1(C)C2C3C=CC(O)C4Oc5c(OC)ccc(c5C43CC1)C2,DB00318,DrugBank,train
Morphine,Morphine glucuronide,N1(C)CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,N1(C)CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,DB00318,Both,train
Codeine,Morphine,O1c2c(OC)ccc3c2C24C1C(O)C=CC2C(C3)N(C)CC4,O1c2c3c(ccc2O)CC2N(C)CCC34C1C(O)C=CC42,DB00295,Both,train
Amitriptyline,Nortriptyline,c1cccc2c1C(=CCCN(C)C)c1ccccc1CC2,c1cccc2c1C(=CCCNC)c1ccccc1CC2,DB00321,Both,train
Fluoxetine,Fluoxetine glucuronide,c1(C(CCNC)Oc2ccc(C(F)(F)F)cc2)ccccc1,c1(C(CCN(C)C2OC(C(=O)O)C(O)C(O)C2O)Oc2ccc(C(F)(F)F)cc2)ccccc1,DB00472,Both,train
Benazepril,Benazeprilat,C1(=O)C(NC(C(OCC)=O)CCc2ccccc2)CCc2ccccc2N1CC(=O)O,C1(=O)N(CC(=O)O)c2c(cccc2)CCC1NC(CCc1ccccc1)C(=O)O,DB00542,DrugBank,train
Hydroxyzine,Cetirizine,C1CN(CCOCCO)CCN1C(c1ccccc1)c1ccc(Cl)cc1,C1CN(CCOCC(=O)O)CCN1C(c1ccccc1)c1ccc(Cl)cc1,DB00557,DrugBank,train
Thiopental,Pentobarbital,C(CC)C(C)C1(CC)C(=O)NC(=S)NC1=O,C(CC)C(C)C1(CC)C(=O)NC(=O)NC1=O,DB00599,DrugBank,train
Testosterone,Androstenedione,C12=CC(=O)CCC1(C)C1C(CC2)C2C(C)(CC1)C(O)CC2,C12=CC(=O)CCC1(C)C1CCC3(C)C(C1CC2)CCC3=O,DB01420,Both,train
Astemizole,Tecastemizole,c12c(nc(NC3CCN(CCc4ccc(OC)cc4)CC3)n1Cc1ccc(F)cc1)cccc2,c12n(Cc3ccc(F)cc3)c(NC3CCNCC3)nc1cccc2,DB00637,DrugBank,train
Mycophenolate mofetil,Mycophenolic acid,c1(OC)c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,c1(OC)c(C)c2c(c(O)c1CC=C(C)CCC(=O)O)C(=O)OC2,DB00688,DrugBank,train
Hydrocortisone,Cortisone,C12(C)CC(O)C3C4(C)CCC(=O)C=C4CCC3C1CCC2(O)C(=O)CO,C12(C)CC(=O)C3C4(C)CCC(=O)C=C4CCC3C1CCC2(O)C(=O)CO,DB00741,DrugBank,train
Phenelzine,Phenylacetic acid,c1c(CCNN)cccc1,c1c(CC(=O)O)cccc1,DB00780,DrugBank,train
Phenelzine,Phenethylamine,c1(CCNN)ccccc1,c1(CCN)ccccc1,DB00780,DrugBank,train
Phenethylamine,Phenylacetic acid,c1cccc(CCN)c1,c1cccc(CC(=O)O)c1,DB00780,DrugBank,train
Sulfasalazine,Mesalazine,c1c(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)cc(C(=O)O)c(O)c1,c1c(N)cc(C(=O)O)c(O)c1,DB00795,DrugBank,train
Sulfasalazine,Sulfapyridine,c1cc(NS(c2ccc(N=Nc3cc(C(=O)O)c(O)cc3)cc2)(=O)=O)ncc1,c1cc(NS(c2ccc(N)cc2)(=O)=O)ncc1,DB00795,DrugBank,train
Candesartan cilexetil,Candesartan,c1c(Cn2c(OCC)nc3cccc(C(=O)OC(C)OC(=O)OC4CCCCC4)c32)ccc(-c2ccccc2-c2nnn[nH]2)c1,c1c(Cn2c(OCC)nc3cccc(C(=O)O)c32)ccc(-c2ccccc2-c2nnn[nH]2)c1,DB00796,DrugBank,train
Pentoxifylline,Lisofylline,C(CCC(C)=O)Cn1c(=O)c2c(ncn2C)n(C)c1=O,C(CCC(C)O)Cn1c(=O)c2c(ncn2C)n(C)c1=O,DB12406,DrugBank,train
Diazepam,Nordazepam,c1c(C2=NCC(=O)N(C)c3c2cc(Cl)cc3)cccc1,c1c(C2=NCC(=O)Nc3c2cc(Cl)cc3)cccc1,DB00829,DrugBank,train
Diazepam,Temazepam,c1(Cl)cc2c(cc1)N(C)C(=O)CN=C2c1ccccc1,c1(Cl)cc2c(cc1)N(C)C(=O)C(O)N=C2c1ccccc1,DB00829,Both,train
