parent_name,child_name,parent_smiles,child_smiles,origin,source,set
Folic acid,Tetrahydrofolic acid,N(Cc1cnc2c(c(=O)nc(N)n2)n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,N(CC1CNc2c(c(=O)nc(N)n2)N1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,DB00158,DrugBank,train
Cholecalciferol,Calcifediol,C1(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)C(=C)CCC(O)C1,C1(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)C(=C)CCC(O)C1,DB00169,DrugBank,train
Calcifediol,Calcitriol,C(CCCC(C1C2(C)CCCC(=CC=C3C(=C)CCC(O)C3)C2CC1)C)(C)(C)O,C(CCCC(C1C2(C)CCCC(=CC=C3C(=C)C(O)CC(O)C3)C2CC1)C)(C)(C)O,DB00169,DrugBank,train
Caffeine,Theobromine,c1n(C)c2c(n1)n(C)c(=O)n(C)c2=O,c1n(C)c2c(n1)n(C)c(=O)nc2=O,DB00201,DrugBank,train
Caffeine,Theophylline,n1(C)c(=O)c2n(C)cnc2n(C)c1=O,n1(C)c(=O)c2ncnc2n(C)c1=O,DB00201,DrugBank,train
Venlafaxine,Desvenlafaxine,C1C(C(CN(C)C)c2ccc(OC)cc2)(O)CCCC1,C1C(C(CN(C)C)c2ccc(O)cc2)(O)CCCC1,DB00285,Both,train
Morphine,Codeine,C1=CC2C34CCN(C)C2Cc2c3c(c(O)cc2)OC4C1O,C1=CC2C34CCN(C)C2Cc2c3c(c(OC)cc2)OC4C1O,DB00318,DrugBank,train
Morphine,Morphine glucuronide,C12N(C)CCC34C1C=CC(O)C3Oc1c4c(ccc1O)C2,C12N(C)CCC34C1C=CC(OC1OC(C(=O)O)C(O)C(O)C1O)C3Oc1c4c(ccc1O)C2,DB00318,Both,train
Codeine,Morphine,O(c1c2c3c(cc1)CC1N(C)CCC34C1C=CC(O)C4O2)C,Oc1c2c3c(cc1)CC1N(C)CCC34C1C=CC(O)C4O2,DB00295,Both,train
Amitriptyline,Nortriptyline,C(CN(C)C)C=C1c2ccccc2CCc2c1cccc2,C(CNC)C=C1c2ccccc2CCc2c1cccc2,DB00321,Both,train
Fluoxetine,Fluoxetine glucuronide,C(NC)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,C(N(C)C1OC(C(=O)O)C(O)C(O)C1O)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,DB00472,Both,train
Benazepril,Benazeprilat,c1ccc(CCC(NC2C(=O)N(CC(=O)O)c3c(cccc3)CC2)C(=O)OCC)cc1,c1ccc(CCC(NC2C(=O)N(CC(=O)O)c3c(cccc3)CC2)C(=O)O)cc1,DB00542,DrugBank,train
Hydroxyzine,Cetirizine,c1cccc(C(N2CCN(CCOCCO)CC2)c2ccc(Cl)cc2)c1,c1cccc(C(N2CCN(CCOCC(O)=O)CC2)c2ccc(Cl)cc2)c1,DB00557,DrugBank,train
Thiopental,Pentobarbital,C1(C(CCC)C)(CC)C(=O)NC(=S)NC1=O,C1(C(CCC)C)(CC)C(=O)NC(=O)NC1=O,DB00599,DrugBank,train
Testosterone,Androstenedione,C12CCC3=CC(=O)CCC3(C)C1CCC1(C)C2CCC1O,C12CCC3=CC(=O)CCC3(C)C1CCC1(C)C2CCC1=O,DB01420,Both,train
