parent_name,child_name,parent_smiles,child_smiles,origin,source,set
Folic acid,Tetrahydrofolic acid,c1(NCc2cnc3[nH]c(N)nc(=O)c3n2)ccc(C(NC(CCC(=O)O)C(=O)O)=O)cc1,N1C(CNc2ccc(C(NC(C(O)=O)CCC(O)=O)=O)cc2)CNc2[nH]c(N)nc(=O)c21,DB00158,DrugBank,train
Cholecalciferol,Calcifediol,C1C2(C)C(C(=CC=C3C(=C)CCC(O)C3)CC1)CCC2C(CCCC(C)C)C,C12(C)C(C(C)CCCC(O)(C)C)CCC1C(=CC=C1CC(O)CCC1=C)CCC2,DB00169,DrugBank,train
Calcifediol,Calcitriol,C(C=C1C2CCC(C(CCCC(C)(O)C)C)C2(C)CCC1)=C1C(=C)CCC(O)C1,C1(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC(O)C1=C,DB00169,DrugBank,train
Caffeine,Theobromine,Cn1c2ncn(C)c2c(=O)n(C)c1=O,c1(=O)n(C)c2c(n(C)cn2)c(=O)[nH]1,DB00201,DrugBank,train
Caffeine,Theophylline,n1(C)c2ncn(C)c2c(=O)n(C)c1=O,n1c2n(C)c(=O)n(C)c(=O)c2[nH]c1,DB00201,DrugBank,train
Venlafaxine,Desvenlafaxine,c1(OC)ccc(C(CN(C)C)C2(O)CCCCC2)cc1,C1CC(C(c2ccc(O)cc2)CN(C)C)(O)CCC1,DB00285,Both,train
Morphine,Codeine,C1c2ccc(O)c3c2C24C(C(O)C=CC2C1N(C)CC4)O3,c12c3ccc(OC)c1OC1C24C(C=CC1O)C(C3)N(C)CC4,DB00318,DrugBank,train
Morphine,Morphine glucuronide,C1c2ccc(O)c3c2C24C(O3)C(O)C=CC2C1N(C)CC4,C(C1C(O)C(O)C(O)C(OC2C3Oc4c(O)ccc5c4C34CCN(C)C(C4C=C2)C5)O1)(O)=O,DB00318,Both,train
Codeine,Morphine,O(c1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC134)C,c1c(O)c2c3c(c1)CC1C4C3(CCN1C)C(O2)C(O)C=C4,DB00295,Both,train
Amitriptyline,Nortriptyline,c1ccc2c(c1)C(=CCCN(C)C)c1ccccc1CC2,c12ccccc1C(=CCCNC)c1ccccc1CC2,DB00321,Both,train
Fluoxetine,Fluoxetine glucuronide,C(CNC)C(c1ccccc1)Oc1ccc(C(F)(F)F)cc1,C(CC(c1ccccc1)Oc1ccc(C(F)(F)F)cc1)N(C1OC(C(=O)O)C(O)C(O)C1O)C,DB00472,Both,train
Benazepril,Benazeprilat,c1ccc(CCC(C(OCC)=O)NC2C(=O)N(CC(O)=O)c3c(cccc3)CC2)cc1,O=C1N(CC(O)=O)c2ccccc2CCC1NC(C(O)=O)CCc1ccccc1,DB00542,DrugBank,train
Hydroxyzine,Cetirizine,c1(C(N2CCN(CCOCCO)CC2)c2ccccc2)ccc(Cl)cc1,O=C(COCCN1CCN(C(c2ccc(Cl)cc2)c2ccccc2)CC1)O,DB00557,DrugBank,train
Thiopental,Pentobarbital,CC(C1(CC)C(=O)NC(=S)NC1=O)CCC,CCCC(C1(CC)C(=O)NC(=O)NC1=O)C,DB00599,DrugBank,train
Testosterone,Androstenedione,C12(C)CCC3C4(C)CCC(=O)C=C4CCC3C1CCC2O,C12C3C(C)(CCC1C1(C)CCC(=O)C=C1CC2)C(=O)CC3,DB01420,Both,train
Astemizole,Tecastemizole,c1(NC2CCN(CCc3ccc(OC)cc3)CC2)nc2ccccc2n1Cc1ccc(F)cc1,c1cc(Cn2c3c(nc2NC2CCNCC2)cccc3)ccc1F,DB00637,DrugBank,train
Mycophenolate mofetil,Mycophenolic acid,C1COCCN1CCOC(=O)CCC(=CCc1c(O)c2c(c(C)c1OC)COC2=O)C,Oc1c(CC=C(CCC(O)=O)C)c(OC)c(C)c2c1C(=O)OC2,DB00688,DrugBank,train
Hydrocortisone,Cortisone,C1C2C3CCC(O)(C(CO)=O)C3(C)CC(O)C2C2(C)C(=CC(=O)CC2)C1,O=C1CCC2(C)C(=C1)CCC1C2C(=O)CC2(C)C1CCC2(O)C(CO)=O,DB00741,DrugBank,train
Phenelzine,Phenylacetic acid,c1cccc(CCNN)c1,c1(CC(=O)O)ccccc1,DB00780,DrugBank,train
Phenelzine,Phenethylamine,c1(CCNN)ccccc1,c1(CCN)ccccc1,DB00780,DrugBank,train
Phenethylamine,Phenylacetic acid,c1cc(CCN)ccc1,OC(Cc1ccccc1)=O,DB00780,DrugBank,train
Sulfasalazine,Mesalazine,c1c(S(Nc2ncccc2)(=O)=O)ccc(N=Nc2ccc(O)c(C(O)=O)c2)c1,OC(c1c(O)ccc(N)c1)=O,DB00795,DrugBank,train
Sulfasalazine,Sulfapyridine,c1(C(O)=O)c(O)ccc(N=Nc2ccc(S(=O)(Nc3ccccn3)=O)cc2)c1,c1(NS(c2ccc(N)cc2)(=O)=O)ccccn1,DB00795,DrugBank,train
Candesartan cilexetil,Candesartan,O(c1nc2c(n1Cc1ccc(-c3c(-c4[nH]nnn4)cccc3)cc1)c(C(OC(C)OC(=O)OC1CCCCC1)=O)ccc2)CC,c1ccc(C(O)=O)c2n(Cc3ccc(-c4c(-c5[nH]nnn5)cccc4)cc3)c(OCC)nc12,DB00796,DrugBank,train
