parent_id,parent_name,child_id,child_name,enzymes,origin,parent_smiles,child_smiles,source,tanimoto,set,TB_Cluster
DB00285,Venlafaxine,DB06700,Desvenlafaxine,"Cytochrome P450 2D6, Cytochrome P450 2C19",DB00285,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,Both,0.717948717948718,train,2
DB00542,Benazepril,DB14125,Benazeprilat,,DB00542,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,O=C(O)CN1C(=O)C(NC(CCc2ccccc2)C(=O)O)CCc2ccccc21,DrugBank,0.8,train,2
DB00557,Hydroxyzine,DB00341,Cetirizine,"Cytochrome P450 3A4, Cytochrome P450 3A5",DB00557,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,DrugBank,0.7446808510638298,train,2
DB00780,Phenelzine,DB04325,Phenethylamine,,DB00780,NNCCc1ccccc1,NCCc1ccccc1,DrugBank,0.5217391304347826,train,2
DB00795,Sulfasalazine,DB00244,Mesalazine,,DB00795,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O,Nc1ccc(O)c(C(=O)O)c1,DrugBank,0.3137254901960784,train,2
DB01250,Olsalazine,DB00244,Mesalazine,,DB01250,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,Nc1ccc(O)c(C(=O)O)c1,DrugBank,0.5517241379310345,train,2
DB01255,Lisdexamfetamine,DB01576,Dextroamphetamine,,DB01255,CC(Cc1ccccc1)NC(=O)C(N)CCCCN,CC(N)Cc1ccccc1,DrugBank,0.4,train,2
DB01408,Bambuterol,DB00871,Terbutaline,Cholinesterase,DB01408,CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,CC(C)(C)NCC(O)c1cc(O)cc(O)c1,DrugBank,0.5121951219512195,train,2
DB01577,Metamfetamine,DB01576,Dextroamphetamine,Cytochrome P450 2D6,DB01577,CNC(C)Cc1ccccc1,CC(N)Cc1ccccc1,Both,0.5384615384615384,train,2
DB03783,Phenacetin,DB00316,Acetaminophen,Cytochrome P450 1A2,DB03783,CCOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,Both,0.5172413793103449,train,2
DB09288,Propacetamol,DB00316,Acetaminophen,Cholinesterase,DB09288,CCN(CC)CC(=O)Oc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,DrugBank,0.4166666666666667,train,2
DB11217,Arbutin,DB09526,Hydroquinone,,DB11217,OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O,Oc1ccc(O)cc1,DrugBank,0.2580645161290322,train,2
DB11660,Latanoprostene bunod,DB00654,Latanoprost,Carboxylesterase,DB11660,O=C(CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1)OCCCCO[N+](=O)[O-],CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1,DrugBank,0.6911764705882353,train,2
DB12532,Oxetacaine,DB01365,Mephentermine,,DB12532,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,CNC(C)(C)Cc1ccccc1,DrugBank,0.3333333333333333,train,2
DB12532,Oxetacaine,DB00191,Phentermine,,DB12532,CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,CC(C)(N)Cc1ccccc1,DrugBank,0.35,train,2
DB16627,Melphalan flufenamide,DB01042,Melphalan,Aminopeptidase N,DB16627,CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,DrugBank,0.5283018867924528,train,2
DB16629,Serdexmethylphenidate,DB06701,Dexmethylphenidate,,DB16629,COC(=O)C(c1ccccc1)C1CCCCN1C(=O)OC[n+]1cccc(C(=O)NC(CO)C(=O)[O-])c1,COC(=O)C(c1ccccc1)C1CCCCN1,DrugBank,0.3648648648648648,train,2
DB16956,L-Acetylleucine,DB00149,Leucine,,DB16956,CC(=O)NC(CC(C)C)C(=O)O,CC(C)CC(N)C(=O)O,DrugBank,0.4285714285714285,train,2
DB00191,Phentermine,DBMET02227,p-hydroxyphentermine,,DB12532,CC(C)(N)Cc1ccccc1,CC(C)(N)Cc1ccc(O)cc1,DrugBank,0.6,train,2
DB00191,Phentermine,DBMET02228,N-hydroxyphentermine,,DB12532,CC(C)(N)Cc1ccccc1,CC(C)(Cc1ccccc1)NO,DrugBank,0.5185185185185185,train,2
DB00244,Mesalazine,DBMET00924,N-acetyl-5-ASA (Ac-5-ASA),Arylamine N-acetyltransferase 1,DB00795,Nc1ccc(O)c(C(=O)O)c1,CC(=O)Nc1ccc(O)c(C(=O)O)c1,Both,0.5,train,2
DB00279,Liothyronine,DBMET02273,Diiodothyronine,,DB00451,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DrugBank,0.7674418604651163,train,2
DB00279,Liothyronine,DBMET02274,Monoiodothyronine,,DB00451,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1ccc(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DrugBank,0.56,train,2
DB00279,Liothyronine,DBMET00559,Triiodothyronine sulfate,,DB00451,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O,DrugBank,0.7083333333333334,train,2
DB06700,Desvenlafaxine,DBMET00437,"N,O-Didesmethylvenlafaxine","Cytochrome P450 3A4, Cytochrome P450 2C19, Cytochrome P450 2C9",DB00285,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,CNCC(c1ccc(O)cc1)C1(O)CCCCC1,DrugBank,0.6410256410256411,train,2
DB00279,Liothyronine,DBMET02578,Reverse triiodothyronine (rT3),Thyroxine 5-deiodinase,DB00451,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1ccc(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,DrugBank,0.56,train,2
DB13873,Fenofibric acid,DBMET02798,Reduced Fenofibric Acid,"Carbonyl reductase [NADPH] 1, Aldo-keto reductase family 1 member C1, Aldo-keto reductase family 1 member C2, Aldo-keto reductase family 1 member C3, Aldo-keto reductase family 1 member B1",DB01039,CC(C)(Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1)C(=O)O,CC(C)(Oc1ccc(C(O)c2ccc(Cl)cc2)cc1)C(=O)O,DrugBank,0.6756756756756757,train,2
DB01042,Melphalan,DBMET03698,Monohydroxymelphalan,,DB16627,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,NC(Cc1ccc(N(CCO)CCCl)cc1)C(=O)O,DrugBank,0.8888888888888888,train,2
DB01042,Melphalan,DBMET03699,,,DB16627,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,NC(Cc1ccc(N(CCO)CCO)cc1)C(=O)O,DrugBank,0.75,train,2
DB00988,Dopamine,DBMET02440,3-Methoxytyramine,Catechol O-methyltransferase,DB01235,NCCc1ccc(O)c(O)c1,COc1cc(CCN)ccc1O,DrugBank,0.6206896551724138,train,2
DB00988,Dopamine,DBMET02445,"3,4-Dihydroxyphenylacetaldehyde (DOPAL)",Monoamine oxidase,DB01235,NCCc1ccc(O)c(O)c1,O=CCc1ccc(O)c(O)c1,DrugBank,0.5,train,2
