parent_id,parent_name,child_id,child_name,enzymes,origin,parent_smiles,child_smiles,source,tanimoto,set,TB_Cluster
DB00285,Venlafaxine,DB06700,Desvenlafaxine,"Cytochrome P450 2D6, Cytochrome P450 2C19",DB00285,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,Both,0.717948717948718,train,2
DB01235,Levodopa,DB00988,Dopamine,Aromatic-L-amino-acid decarboxylase,DB01235,NC(Cc1ccc(O)c(O)c1)C(=O)O,NCCc1ccc(O)c(O)c1,DrugBank,0.4545454545454545,train,2
DB01250,Olsalazine,DB00244,Mesalazine,,DB01250,O=C(O)c1cc(N=Nc2ccc(O)c(C(=O)O)c2)ccc1O,Nc1ccc(O)c(C(=O)O)c1,DrugBank,0.5517241379310345,train,2
DB01394,Colchicine,DB15534,Colchiceine,,DB01394,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2,Both,0.8490566037735849,train,2
DB01577,Metamfetamine,DB01576,Dextroamphetamine,Cytochrome P450 2D6,DB01577,CNC(C)Cc1ccccc1,CC(N)Cc1ccccc1,Both,0.5384615384615384,train,2
DB16627,Melphalan flufenamide,DB01042,Melphalan,Aminopeptidase N,DB16627,CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1,NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,DrugBank,0.5283018867924528,train,2
DB00279,Liothyronine,DBMET02273,Diiodothyronine,,DB00451,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DrugBank,0.7674418604651163,train,2
DB00279,Liothyronine,DBMET02274,Monoiodothyronine,,DB00451,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1ccc(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DrugBank,0.56,train,2
DB00279,Liothyronine,DBMET00559,Triiodothyronine sulfate,,DB00451,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O,DrugBank,0.7083333333333334,train,2
DB00316,Acetaminophen,DBMET00580,Acetaminophen glucuronide,"UDP-glucuronosyltransferase 1A9, UDP-glucuronosyltransferase 1-6, UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 1A10",DB03783,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1,Both,0.3658536585365853,train,2
DB00316,Acetaminophen,DBMET00653,Acetaminophen sulfate,"Sulfotransferase 1A1, Sulfotransferase 1A3, Sulfotransferase 2A1",DB03783,CC(=O)Nc1ccc(O)cc1,CC(=O)Nc1ccc(OS(=O)(=O)O)cc1,Both,0.5,train,2
