products	reactants	set
COC(=O)C(C1=C(C=CC=C1)Cl)N2CCC(=C(CC=O)C2)S	COC(=O)[C@]([H])(C1=C(C=CC=C1)Cl)N2CCC3=C(CC(=O)S3)C2	train
C1=CC=C(C=C1)C2=NC(C(=NC3=C2C=C(C=C3)Cl)O)O	CN1C2=C(C=C(C=C2)Cl)C(=N[C@]([H])(C1=O)O)C3=CC=CC=C3	train
CC1(C)C2CCC(C)(C(C2)O)O1	CC1(C)C2CCC(C)(CC2)O1	train
CC1(C)C2CCC(C)(CC2O)O1	CC1(C)C2CCC(C)(CC2)O1	train
C1CC(N(C1)N=O)O	C1CCN(C1)N=O	train
CC(CC1=CC=C2C(=C1)OCO2)N	CCN[C@@]([H])(C)CC1=CC=C2C(=C1)OCO2	train
CCNC(C)CC1=CC=C(C(=C1)O)O	CCN[C@@]([H])(C)CC1=CC=C2C(=C1)OCO2	train
CC1=NCCC2=C1NC3=C2C=CC(=C3)O	CC1=NCCC2=C1NC3=C2C=CC(=C3)OC	train
CC(C(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCNC)C3=CC=CC=C3)O	CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCNC)/C3=CC=CC=C3	train
CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN)C3=CC=CC=C3	CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCNC)/C3=CC=CC=C3	train
CCC(=C(C1=CC=C(C=C1)O)C2=CC=C(C=C2)OCCNC)C3=CC=CC=C3	CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCNC)/C3=CC=CC=C3	train
C1C(O1)OC(=N)O	C=COC(=N)O	train
CC1=C2C(=CC=C1COC3C(C(C(C(C(=O)O)O3)O)O)O)C(=O)C4=C(C(=CC=C4)CC(=O)O)O2	CC1=C2C(=CC=C1CO)C(=O)C3=C(C(=CC=C3)CC(=O)O)O2	train
C1=CC2=C(C=C1)N(CC3=CC=C(C=C3)F)C(=NC4CCN(CCC5=CC=C(C=C5)O)CC4)N2	COC1=CC=C(C=C1)CCN2CCC(CC2)N=C3NC4=C(C=CC=C4)N3CC5=CC=C(C=C5)F	train
C1=C(C=CC(=C1)O)CC=O	COC1=CC=C(C=C1)CCN2CCC(CC2)N=C3NC4=C(C=CC=C4)N3CC5=CC=C(C=C5)F	train
COC1=CC=C(C=C1)CCN2CCC(CC2)N=C3NC4=CC=C(C=C4N3CC5=CC=C(C=C5)F)O	COC1=CC=C(C=C1)CCN2CCC(CC2)N=C3NC4=C(C=CC=C4)N3CC5=CC=C(C=C5)F	train
C1=CC2=C(C=C1)N(CC3=CC=C(C=C3)F)C(=NC4CCNCC4)N2	COC1=CC=C(C=C1)CCN2CCC(CC2)N=C3NC4=C(C=CC=C4)N3CC5=CC=C(C=C5)F	train
C1=CC2=NSN=C2C(=C1Cl)NC3=NCC(N3)O	C1=CC2=NSN=C2C(=C1Cl)NC3=NCCN3	train
C=CCC1=C(C)C(CC1=O)OC(=O)C2C(C=C(C)CO)C2(C)C	C=CCC1=C(C)[C@]([H])(CC1=O)OC(=O)[C@]2([H])[C@@]([H])(C=C(C)C)C2(C)C	train
CC1(C)CC2=C(C3=CC=CC=C3)C(=C(CC(=O)OC4C(C(C(C(C(=O)O)O4)O)O)O)N2C1)C5=CC(=C(C=C5)Cl)O	CC1(C)CC2=C(C3=CC=CC=C3)C(=C(CC(=O)O)N2C1)C4=CC(=C(C=C4)Cl)O	train
CC1(C)C2CC(=O)C1(C)CC2O	CC1(C)[C@]2([H])CC[C@@]1(C)C(=O)C2	train
CC12CCC(CC1=O)C2(C)CO	CC1(C)[C@]2([H])CC[C@@]1(C)C(=O)C2	train
C1=CC2=C(C=C1)C(=CC=C2)OCC(CN)O	CC(C)NC[C@]([H])(COC1=CC=CC2=C1C=CC=C2)O	train
CC(C)NCC(COC1=CC=CC2=C(C=CC=C21)O)O	CC(C)NC[C@]([H])(COC1=CC=CC2=C1C=CC=C2)O	train
CC(C)NCC(COC1=C2C=CC=CC2=C(C=C1)O)O	CC(C)NC[C@]([H])(COC1=CC=CC2=C1C=CC=C2)O	train
CC(C)NCC(COC1=CC=CC2=C1C=CC=C2)OC3C(C(C(C(C(=O)O)O3)O)O)O	CC(C)NC[C@]([H])(COC1=CC=CC2=C1C=CC=C2)O	train
C1=CC=C(C=C1)C(CCN2CCN(CC2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)O	C1=CC=C(C=C1)CCCN2CCN(CC2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F	train
C(CC1=CC=C(C=C1)O)CN2CCN(CC2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F	C1=CC=C(C=C1)CCCN2CCN(CC2)CCOC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F	train
CC1=CC=C(C=C1)O	CC1=CC=CC=C1	train
C1=CC=C(C=C1)CO	CC1=CC=CC=C1	train
CC1=C(C=CC=C1)O	CC1=CC=CC=C1	train
CC(C)C(C(=O)O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NNN=N3)C(=O)CCC(C)O	CCCCC(=O)N(CC1=CC=C(C=C1)C2=C(C=CC=C2)C3=NNN=N3)[C@@]([H])(C(C)C)C(=O)O	train
CC1=C(C=C2C(=C1)C(C)(C)C(CC2(C)C)O)C(=C)C3=CC=C(C=C3)C(=O)O	CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(=C)C3=CC=C(C=C3)C(=O)O	train
CC1=C(C=C2C(=C1)C(C)(C)C(=O)CC2(C)C)C(=C)C3=CC=C(C=C3)C(=O)O	CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(=C)C3=CC=C(C=C3)C(=O)O	train
CC1=C(C=C2C(=C1)C(C)(C)CC(=O)C2(C)C)C(=C)C3=CC=C(C=C3)C(=O)O	CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(=C)C3=CC=C(C=C3)C(=O)O	train
CC1=C(C=C2C(=C1)C(C)(C)CC(C2(C)C)O)C(=C)C3=CC=C(C=C3)C(=O)O	CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(=C)C3=CC=C(C=C3)C(=O)O	train
C1=CC2=C3C(=C1)C=CC4=CC(=CC(=C43)C=C2)N	C1=CC2=C3C(=C1)C=CC4=CC(=CC(=C43)C=C2)N(=O)=O	train
CC(=O)C1=C(C=C(C(=C1)O)OC)OS(=O)(=O)O	CC(=O)C1=C(C=C(C(=C1)O)OC)O	train
CCCCCNCCOC1=CC=C(C=C1)C2C(C3=CC=C(C=C3)O)SC4=CC(=CC=C4O2)O	C1CCN(CC1)CCOC2=CC=C(C=C2)[C@@]3([H])[C@@]([H])(C4=CC=C(C=C4)O)SC5=CC(=CC=C5O3)O	train
C1CCN(CC1)CCOC2=CC=C(C=C2)C3C(C4=CC=C(C=C4)O)S(=O)C5=CC(=CC=C5O3)O	C1CCN(CC1)CCOC2=CC=C(C=C2)[C@@]3([H])[C@@]([H])(C4=CC=C(C=C4)O)SC5=CC(=CC=C5O3)O	train
C1=CC2=C(C=C1)C3C(=NC4=C(C5=C(C=CC=C5)C=C4)C3=O)C=C2	C1=CC2=C(C=C1)C3=C(C=C2)N=C4C=CC5=CC=CC=C5C4=C3	train
C1=CC2=C(C=C1)C3=C(C=C2)N=C4C(=C3)C5=C(C=CC=C5)C(=C4O)O	C1=CC2=C(C=C1)C3=C(C=C2)N=C4C=CC5=CC=CC=C5C4=C3	train
C1=CC2=C(C=C1)C3=CC4=C(C=CC5=C4C=CC=C5)N(C3C=C2)O	C1=CC2=C(C=C1)C3=C(C=C2)N=C4C=CC5=CC=CC=C5C4=C3	train
C1=CC2=C(C=C1)C3=C(C=C2)N=C4C=CC5=CC=C(C(=C5C4=C3)O)O	C1=CC2=C(C=C1)C3=C(C=C2)N=C4C=CC5=CC=CC=C5C4=C3	train
C1=CC2=C(C=C1)C3=CC4=C5C=CC(=C(C5=CC=C4N=C3C=C2)O)O	C1=CC2=C(C=C1)C3=C(C=C2)N=C4C=CC5=CC=CC=C5C4=C3	train
OC(=O)C1=C2N(CC3=CC=C(C=C3)C3=CC=CC=C3C3=NNN=N3)C(O)=NC2=CC=C1	CCOC1=NC2=C(C(=CC=C2)C(=O)O)N1CC3=CC=C(C=C3)C4=C(C=CC=C4)C5=NNN=N5	train
CCOC1=[NH+]C2=C(C(=CC=C2)C(=O)O)N1CC3=CC=C(C=C3)C4=C(C=CC=C4)C5=NN(C6C(C(C(C(C(=O)O)O6)O)O)O)N=N5	CCOC1=NC2=C(C(=CC=C2)C(=O)O)N1CC3=CC=C(C=C3)C4=C(C=CC=C4)C5=NNN=N5	train
[H][C@@]1(O)[C@@]([H])(O)C([H])(O[C@]([H])(C(O)=O)[C@@]1([H])O)N1N=NN=C1C1=CC=CC=C1C1=CC=C(CN2C(OCC)=NC3=CC=CC(C(O)=O)=C23)C=C1	CCOC1=NC2=C(C(=CC=C2)C(=O)O)N1CC3=CC=C(C=C3)C4=C(C=CC=C4)C5=NNN=N5	train
CCOC1=NC2=C(C(=CC=C2)C(=O)OC3C(C(C(C(C(=O)O)O3)O)O)O)N1CC4=CC=C(C=C4)C5=C(C=CC=C5)C6=NNN=N6	CCOC1=NC2=C(C(=CC=C2)C(=O)O)N1CC3=CC=C(C=C3)C4=C(C=CC=C4)C5=NNN=N5	train
CC(CO)(C1=CC=C(C(=C1)CNC2C3CCN(CC3)C2C(C4=CC=CC=C4)C5=CC=CC=C5)OC)O	C=C(C)C1=CC=C(C(=C1)CN[C@@]2([H])C3CCN(CC3)[C@]2([H])C(C4=CC=CC=C4)C5=CC=CC=C5)OC	train
CC(CO)C1=CC=C(C(=C1)CNC2C3CCN(CC3)C2C(C4=CC=CC=C4)C5=CC=CC=C5)OC	C=C(C)C1=CC=C(C(=C1)CN[C@@]2([H])C3CCN(CC3)[C@]2([H])C(C4=CC=CC=C4)C5=CC=CC=C5)OC	train
[H][C@]12CCC[C@@]([H])(CC(C1)N=C(O)C1=NN(C)C3=C1C=CC=C3O)N2C	CN1[C@@]2([H])CCC[C@]1([H])CC([H])(C2)NC(=O)C3=NN(C)C4=C3C=CC=C4	train
CN1C2CCCC1CC(C2)NC(=O)C3=NNC4=C3C=CC=C4	CN1[C@@]2([H])CCC[C@]1([H])CC([H])(C2)NC(=O)C3=NN(C)C4=C3C=CC=C4	train
CN1C2CCCC1CC(C2)NC(=O)C3=NN(C)C4=CC=CC(=C43)O	CN1[C@@]2([H])CCC[C@]1([H])CC([H])(C2)NC(=O)C3=NN(C)C4=C3C=CC=C4	train
CC(C#CC1=CC=C(C(C2=CC=CC=C2)O)S1)N(C(=N)O)O	C[C@@]([H])(C#CC1=CC=C(CC2=CC=CC=C2)S1)N(C(=N)O)O	train
CCC(C(=O)O)NC(C)C(=O)N1C2CCCCC2CC1C(=O)OC3(C(C(C(C(C)O3)O)O)O)C(=O)O	CCC[C@@]([H])(C(=O)OCC)N[C@@]([H])(C)C(=O)N1[C@@]2([H])CCCC[C@@]2([H])C[C@@]1([H])C(=O)O	train
CC(=CC(SCC(C(=NCC(=O)O)O)N=C(CCC(C(=O)O)N)O)SC1=C2C(=NC=N1)NC=N2)[O-]	CC(=O)/C(/[H])=C(/[H])\SC1=C2C(=NC=N1)NC=N2	train
CC1=CC(=CC=C1SC)OP(=O)(OC)OC	CC1=CC(=CC=C1SC)OP(=S)(OC)OC	train
C1=CC2=C(C=C1)C3=C4C(=CC5=C(C(=CC=C53)O)OC6C(C(C(C(C(=O)O)O6)O)O)O)C=CC7=CC=CC2=C74	C1=CC2=C(C=C1)C3=C4C(=CC5=C(C(=CC=C53)O)O)C=CC6=CC=CC2=C64	train
C1=CC2=C(C=C1)C3=C4C(=CC5=C(C(=CC=C53)OC6C(C(C(C(C(=O)O)O6)O)O)O)O)C=CC7=CC=CC2=C74	C1=CC2=C(C=C1)C3=C4C(=CC5=C(C(=CC=C53)O)O)C=CC6=CC=CC2=C64	train
C1=CC=C(C=C1)C2=CC(=O)C3=CC=C(C=C3O2)OC4C(C(C(C(C(=O)O)O4)O)O)O	C1=CC=C(C=C1)C2=CC(=O)C3=CC=C(C=C3O2)O	train
C[N+]1([O-])CCCC1C1=CN=CC=C1	CN1CCC[C@@]1([H])C2=CC=CN=C2	train
CN1CCCC1(C2=CC=CN=C2)O	CN1CCC[C@@]1([H])C2=CC=CN=C2	train
