parent_id,parent_name,child_id,child_name,enzymes,origin
DB00115,Cyanocobalamin,DB03614,Mecobalamin,,DB00115
DB00145,Glycine,DB01828,Methylamine,"Glycine dehydrogenase (decarboxylating), mitochondrial, Glycine cleavage system H protein, mitochondrial",DB00145
DB00158,Folic acid,DB00116,Tetrahydrofolic acid,Dihydrofolate reductase,DB00158
DB00169,Cholecalciferol,DB00146,Calcifediol,Vitamin D 25-hydroxylase,DB00169
DB00146,Calcifediol,DB00136,Calcitriol,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",DB00169
DB00201,Caffeine,DB01412,Theobromine,"Cytochrome P450 1A2, Cytochrome P450 2E1",DB00201
DB00201,Caffeine,DB00277,Theophylline,"Cytochrome P450 1A2, Cytochrome P450 2E1, Cytochrome P450 2C8, Cytochrome P450 2C9, Cytochrome P450 3A4",DB00201
DB00285,Venlafaxine,DB06700,Desvenlafaxine,"Cytochrome P450 2D6, Cytochrome P450 2C19",DB00285
DB00295,Morphine,DB00318,Codeine,,DB00318
DB00295,Morphine,DB06409,Morphine glucuronide,"UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 1A8, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 2B4, UDP-glucuronosyltransferase 1A3",DB00318
DB00318,Codeine,DB00295,Morphine,Cytochrome P450 2D6,DB00295
DB00321,Amitriptyline,DB00540,Nortriptyline,"Cytochrome P450 2C9, Cytochrome P450 2C19, Cytochrome P450 1A2, Cytochrome P450 3A4, Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 2C8",DB00321
DB00332,Ipratropium,DB09269,Phenylacetic acid,,DB00332
DB00451,Levothyroxine,DB00279,Liothyronine,Thyroxine 5-deiodinase,DB00451
DB00472,Fluoxetine,,Fluoxetine glucuronide,UDP-glucuronosyltransferases (UGTs),DB00472
DB00514,Dextromethorphan,DB14682,Dextrorphan,"Cytochrome P450 2D6, Cytochrome P450 2C9",DB00514
DB00542,Benazepril,DB14125,Benazeprilat,,DB00542
DB00557,Hydroxyzine,DB00341,Cetirizine,"Cytochrome P450 3A4, Cytochrome P450 3A5",DB00557
DB00599,Thiopental,DB00312,Pentobarbital,,DB00599
DB00624,Testosterone,DB01536,Androstenedione,"Cytochrome P450 2C19, Cytochrome P450 2C9, Cytochrome P450 3A4",DB01420
DB00628,Clorazepic acid,DB14028,Nordazepam,Cytochrome P450 3A4,DB00628
DB00629,Guanabenz,DB13410,Guanoxabenz,Cytochrome P450 1A2,DB00629
DB00637,Astemizole,DB06457,Tecastemizole,Cytochrome P450 3A4,DB00637
DB00688,Mycophenolate mofetil,DB01024,Mycophenolic acid,"Liver carboxylesterase 1, Carboxylic ester hydrolase",DB00688
DB00741,Hydrocortisone,DB14681,Cortisone,"11-beta-hydroxysteroid dehydrogenase 1, 11-beta-hydroxysteroid dehydrogenase type 2",DB00741
DB00755,Tretinoin,DB00982,Isotretinoin,"Cytochrome P450 3A7, Cytochrome P450 2C8, Cytochrome P450 3A4, Cytochrome P450 2B6, Cytochrome P450 2A6",DB00755
DB00755,Tretinoin,DB00523,Alitretinoin,"Cytochrome P450 2C9, Cytochrome P450 2C8, Cytochrome P450 3A4",DB00755
DB00780,Phenelzine,DB09269,Phenylacetic acid,,DB00780
DB00780,Phenelzine,DB04325,Phenethylamine,,DB00780
DB04325,Phenethylamine,DB09269,Phenylacetic acid,,DB00780
DB00795,Sulfasalazine,DB00244,Mesalazine,,DB00795
DB00795,Sulfasalazine,DB00891,Sulfapyridine,,DB00795
DB00796,Candesartan cilexetil,DB13919,Candesartan,,DB00796
DB00806,Pentoxifylline,DB12406,Lisofylline,,DB12406
DB00829,Diazepam,DB14028,Nordazepam,"Cytochrome P450 2C9, Cytochrome P450 2B6, Cytochrome P450 2C19, Cytochrome P450 3A5, Cytochrome P450 3A4",DB00829
DB00829,Diazepam,DB00231,Temazepam,"Prostaglandin G/H synthase 1, Cytochrome P450 2C19",DB00829
DB00860,Prednisolone,DB00635,Prednisone,,DB15566
DB00907,Cocaine,DB01515,Benzoylecgonine,,DB00907
DB00956,Hydrocodone,DB00327,Hydromorphone,"Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 2C19",DB15465
DB00985,Dimenhydrinate,DB14132,8-chlorotheophylline,,DB00985
DB00985,Dimenhydrinate,DB01075,Diphenhydramine,,DB00985
DB01020,Isosorbide mononitrate,DB00435,Nitric Oxide,"Cytochrome P450 3A Subfamily, Glutathione S-transferase Mu 1, Xanthine dehydrogenase/oxidase, Alcohol dehydrogenase class-3",DB01020
DB01020,Isosorbide mononitrate,DB09401,Isosorbide,,DB01020
DB01022,Phylloquinone,DB12148,Menatetrenone,UbiA prenyltransferase domain-containing protein 1,DB01022
DB01037,Selegiline,DB09571,Levmetamfetamine,"Cytochrome P450 2B6, Cytochrome P450 2C19, Cytochrome P450 2D6, Cytochrome P450 1A2, Cytochrome P450 2C9, Cytochrome P450 3A4",DB01037
DB01039,Fenofibrate,DB13873,Fenofibric acid,Liver carboxylesterase 1,DB01039
DB01086,Benzocaine,DB02362,Aminobenzoic acid,,DB01086
DB01149,Nefazodone,DB12110,m-Chlorophenylpiperazine,Cytochrome P450 3A4,DB01149
DB01169,Arsenic trioxide,DB04456,Arsenous acid,,DB01169
DB01189,Desflurane,DB11257,Fluoride ion,Cytochrome P450 2E1,DB01189
DB01235,Levodopa,DB00988,Dopamine,Aromatic-L-amino-acid decarboxylase,DB01235
DB01250,Olsalazine,DB00244,Mesalazine,,DB01250
DB01255,Lisdexamfetamine,DB01576,Dextroamphetamine,,DB01255
DB01255,Lisdexamfetamine,DB00123,Lysine,,DB01255
DB01294,Bismuth subsalicylate,DB14572,Bismuth cation,,DB01294
DB01357,Mestranol,DB00977,Ethinylestradiol,Cytochrome P450 2C9,DB01357
DB01381,Ginkgo biloba,DB03946,"3,4-Dihydroxybenzoic Acid",,DB01381
DB01381,Ginkgo biloba,DB04242,4-hydroxybenzoic acid,,DB01381
DB01381,Ginkgo biloba,DB02130,Vanillic acid,,DB01381
DB01394,Colchicine,DB15534,Colchiceine,,DB01394
DB01408,Bambuterol,DB00871,Terbutaline,Cholinesterase,DB01408
DB01420,Testosterone propionate,DB00624,Testosterone,,DB01420
DB01435,,DB12243,Edaravone,"Cytochrome P450 2C9, Cytochrome P450 2C8, Cytochrome P450 2C19, Cytochrome P450 1A2",DB01435
DB01577,Metamfetamine,DB01576,Dextroamphetamine,Cytochrome P450 2D6,DB01577
DB01744,Camphor,DB02817,5-Exo-Hydroxycamphor,Cytochrome P450 2D6,DB01744
DB02638,Terlipressin,DB14642,Lypressin,,DB02638
DB03017,Lauric acid,DB03704,12-Hydroxydodecanoic Acid,"Cytochrome P450 2E1, Cytochrome P450 2C8, Cytochrome P450 2B6",DB14185
DB03255,Phenol,DB09526,Hydroquinone,Cytochrome P450 2E1,DB03255
DB03766,Propanoic acid,DB02912,Propanoyl-CoA,,DB03766
DB02912,Propanoyl-CoA,DB04045,(R)-methylmalonyl-CoA,,DB03766
DB04045,(R)-methylmalonyl-CoA,DB03699,Succinyl-Coenzyme A,,DB02912
DB03783,Phenacetin,DB00316,Acetaminophen,Cytochrome P450 1A2,DB03783
DB03783,Phenacetin,DB00316,Acetaminophen,"Cytochrome P450 1A1, Cytochrome P450 1A2, Cytochrome P450 2E1, Cytochrome P450 2D6, Cytochrome P450 2C19, Cytochrome P450 2C9, Cytochrome P450 2A6",DB03783
DB04575,Quinestrol,DB00977,Ethinylestradiol,,DB04575
DB06154,Pentaerythritol tetranitrate,DB12529,Nitrite,Pentaerythritol tetranitrate reductase,DB06154
DB06154,Pentaerythritol tetranitrate,DB13526,Pentaerithrityl,Pentaerythritol tetranitrate reductase,DB06154
DB06636,Isavuconazonium,DB11633,Isavuconazole,Cholinesterase,DB06636
DB06756,Betaine,DB02083,"N,N-dimethylglycine",Betaine--homocysteine S-methyltransferase 1,DB06756
DB07565,Chloramphenicol succinate,DB00446,Chloramphenicol,,DB07565
DB08472,(R)-Fluoxetine,DB03610,4-(trifluoromethyl)phenol,Cytochrome P450 2D6,DB08472
DB08544,(S)-Fluoxetine,DB06731,Seproxetine,"Cytochrome P450 2C9, Cytochrome P450 2D6, Cytochrome P450 2C19, Cytochrome P450 3A4, Cytochrome P450 3A5",DB08544
DB08544,(S)-Fluoxetine,DB03610,4-(trifluoromethyl)phenol,"Cytochrome P450 2C19, Cytochrome P450 3A4",DB08544
DB08804,Nandrolone decanoate,DB13169,Nandrolone,"3',5'-cyclic-AMP phosphodiesterase 7B",DB08804
DB08908,Dimethyl fumarate,DB14219,Monomethyl fumarate,,DB08908
DB09042,Tedizolid phosphate,DB14569,Tedizolid,,DB09042
DB09194,Etoperidone,DB12110,m-Chlorophenylpiperazine,,DB09194
DB09209,Pholcodine,DB00295,Morphine,,DB09209
DB09215,Droxicam,DB00554,Piroxicam,,DB09215
DB09282,Molsidomine,DB13400,Linsidomine,"cGMP-specific 3',5'-cyclic phosphodiesterase",DB09282
DB09288,Propacetamol,DB00316,Acetaminophen,Cholinesterase,DB09288
DB09301,Chondroitin sulfate,DB11735,Galactose,,DB09301
DB09301,Chondroitin sulfate,DB09419,Xylose,,DB09301
DB09344,Invert sugar,DB04277,Fructose -6-Phosphate,ATP-dependent 6-phosphofructokinase,DB09344
DB09357,Dexpanthenol,DB01783,Pantothenic acid,,DB09357
DB09419,Xylose,DB11195,Xylitol,,DB09301
DB11195,Xylitol,DB03947,D-Xylulose,,DB09419
DB09494,Cetyl alcohol,DB03796,Palmitic Acid,Aldo-keto reductase family 1 member A1,DB09494
DB11091,Hydrogen peroxide,DB09140,Oxygen,"Catalase, Glutathione peroxidase 1",DB13235
DB11091,Hydrogen peroxide,DB09145,Water,"Catalase, Glutathione peroxidase 1",DB13235
DB11094,Vitamin D,DB00146,Calcifediol,Vitamin D 25-hydroxylase,DB11094
DB00146,Calcifediol,DB00136,Calcitriol,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",DB00169
DB11113,Castor oil,DB02955,Ricinoleic acid,Pancreatic triacylglycerol lipase,DB11113
DB11118,Ammonia,DB03904,Urea,,DB11118
DB11121,Chloroxylenol,DB11309,Sulfuric acid,UDP-glucuronosyltransferase 1A1,DB11121
DB11195,Xylitol,DB03947,D-Xylulose,Xylitol dehydrogenase,DB09419
DB11204,Panthenol,DB01783,Pantothenic acid,,DB11204
DB11217,Arbutin,DB01914,D-glucose,,DB11217
DB11217,Arbutin,DB09526,Hydroquinone,,DB11217
DB11282,Diethyltoluamide,DB11282,Diethyltoluamide,"Cytochrome P450 1A1, Cytochrome P450 2B6, Cytochrome P450 2D6, Cytochrome P450 2E1",DB11282
DB11358,Evening primrose oil,DB13854,Gamolenic acid,Acyl-CoA (8-3)-desaturase,DB11358
DB13854,Gamolenic acid,DB00154,Dihomo-gamma-linolenic acid,"Very long chain fatty acid elongase 5, Very long chain fatty acid elongase 4",DB11358
DB00154,Dihomo-gamma-linolenic acid,DB04557,Arachidonic Acid,Acyl-CoA 6-desaturase,DB13854
DB11482,Balsam of Peru,DB06770,Benzyl alcohol,,DB11482
DB11558,Toluene,DB06770,Benzyl alcohol,"Cytochrome P450 2E1, Cytochrome P450 2B6, Cytochrome P450 2C8, Cytochrome P450 1A2, Cytochrome P450 1A1",DB11558
DB11558,Toluene,DB01688,P-Cresol,"Cytochrome P450 2C8, Cytochrome P450 1A2",DB11558
DB11635,Tocofersolan,DB00163,Vitamin E,Cytochrome P450 4F2,DB11635
DB11660,Latanoprostene bunod,DB00654,Latanoprost,Carboxylesterase,DB11660
DB01955,"1,4-Butanediol",DB01440,gamma-Hydroxybutyric acid,"Alcohol dehydrogenase 1A, All-trans-retinol dehydrogenase [NAD(+)] ADH1B, Alcohol dehydrogenase 1C",DB01955
DB03501,Galactose-uridine-5'-diphosphate,DB01861,Uridine diphosphate glucose,UDP-galactose 4-epimerase,DB03501
DB11842,Angiotensin II,DB11720,Angiotensin 1-7,Glutamyl aminopeptidase,DB11842
DB12151,Brincidofovir,DB00369,Cidofovir,,DB12151
DB12406,Lisofylline,DB00806,Pentoxifylline,Cytochrome P450 1A2,DB00806
DB12532,Oxetacaine,DB01365,Mephentermine,,DB12532
DB12532,Oxetacaine,DB00191,Phentermine,,DB12532
DB12902,Trofosfamide,DB01181,Ifosfamide,"Cytochrome P450 3A4, Cytochrome P450 2B6",DB12902
DB12911,Nicoboxil,DB00627,Niacin,Albumin,DB12911
DB12941,Darolutamide,DB15647,Ketodarolutamide,"Cytochrome P450 3A4, UDP-glucuronosyltransferase 1A9",DB12941
DB13235,Perboric acid,DB11091,Hydrogen peroxide,,DB13235
DB13235,Perboric acid,DB09460,Sodium carbonate,,DB13235
DB13323,Trichloroethylene,DB01563,Chloral hydrate,"Cytochrome P450 2E1, Cytochrome P450 1A2, Cytochrome P450 3A4",DB13323
DB13783,Acemetacin,DB00328,Indomethacin,,DB13783
DB13813,Iodoform,DB05382,Iodine,,DB13813
DB13854,Gamolenic acid,DB00154,Dihomo-gamma-linolenic acid,Very long chain fatty acid elongase 5,DB11358
DB00154,Dihomo-gamma-linolenic acid,DB04557,Arachidonic Acid,Acyl-CoA (8-3)-desaturase,DB13854
DB04557,Arachidonic Acid,DB00917,Dinoprostone,"Prostaglandin G/H synthase 1, Prostaglandin G/H synthase 2, Phospholipase A2, membrane associated",DB00154
DB13882,Methyl nicotinate,DB00627,Niacin,,DB13882
DB13943,Testosterone cypionate,DB00624,Testosterone,,DB13943
DB13944,Testosterone enanthate,DB00624,Testosterone,,DB13944
DB13946,Testosterone undecanoate,DB00624,Testosterone,,DB13946
DB13952,Estradiol acetate,DB00783,Estradiol,,DB13952
DB13953,Estradiol benzoate,DB00783,Estradiol,,DB13953
DB13954,Estradiol cypionate,DB00783,Estradiol,,DB13954
DB13955,Estradiol dienanthate,DB00783,Estradiol,,DB13955
DB13956,Estradiol valerate,DB00783,Estradiol,,DB13956
DB13959,Medium-chain triglycerides,DB14104,Linoleic acid,Lipoprotein lipase,DB13959
DB13959,Medium-chain triglycerides,DB00132,alpha-Linolenic acid,Lipoprotein lipase,DB13959
DB14104,Linoleic acid,DB04557,Arachidonic Acid,,DB13959
DB13966,Isopropyl myristate,DB02325,Isopropyl alcohol,Carboxylesterase,DB13966
DB13966,Isopropyl myristate,DB08231,Myristic acid,Carboxylesterase,DB13966
DB13997,Baloxavir marboxil,DB15675,Baloxavir,,DB13997
DB14185,Aripiprazole lauroxil,DB03017,Lauric acid,,DB14185
DB14520,Tetraferric tricitrate decahydrate,DB14510,Ferrous cation,Plasma membrane ascorbate-dependent reductase CYBRD1,DB14520
DB14510,Ferrous cation,DB14510,Ferrous cation,Ferritin heavy chain,DB14520
DB14669,Betamethasone phosphate,DB00443,Betamethasone,,DB14669
DB14733,Ceftobiprole medocaril,DB04918,Ceftobiprole,,DB14733
DB14783,Diroximel fumarate,DB14219,Monomethyl fumarate,Liver esterases,DB14783
DB14219,Monomethyl fumarate,DB04272,Citric acid,,DB08908
DB14219,Monomethyl fumarate,DB01677,Fumaric acid,,DB08908
DB14962,Trastuzumab deruxtecan,DB00072,Trastuzumab,"Cathepsin B, Procathepsin L",DB14962
DB15465,Benzhydrocodone,DB00956,Hydrocodone,,DB15465
DB00956,Hydrocodone,DB00327,Hydromorphone,"Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 2C19",DB15465
DB15566,Prednisolone acetate,DB00860,Prednisolone,,DB15566
DB00860,Prednisolone,DB00635,Prednisone,,DB15566
DB15661,Molnupiravir,DB15660,N4-Hydroxycytidine,,DB15661
DB16220,Lonapegsomatropin,DB00052,Somatotropin,,DB16220
DB16335,Sulopenem etzadroxil,DB15284,Sulopenem,,DB16335
DB16627,Melphalan flufenamide,DB01042,Melphalan,Aminopeptidase N,DB16627
DB16629,Serdexmethylphenidate,DB06701,Dexmethylphenidate,,DB16629
DB16701,Plasminogen,DB05254,Fibrinolysin,"Tissue-type plasminogen activator, Urokinase-type plasminogen activator",DB16701
DB16956,L-Acetylleucine,DB00149,Leucine,,DB16956
DB00136,Calcitriol,DBMET00575,Calcitroic acid,,DB00169
DB01828,Methylamine,DBMET03082,Dihydrolipoamide,"Aminomethyltransferase, mitochondrial, Glycine cleavage system H protein, mitochondrial",DB00145
DB00116,Tetrahydrofolic acid,DBMET02316,"5,10-methylene tetrahydrofolate (THF)","Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",DB00158
DB00163,Vitamin E,DBMET02310,13'-hydroxy-alpha-tocopherol,"Cytochrome P450 3A4, Cytochrome P450 4F2",DB11635
DB00191,Phentermine,DBMET02227,p-hydroxyphentermine,,DB12532
DB00191,Phentermine,DBMET02228,N-hydroxyphentermine,,DB12532
DB00277,Theophylline,DBMET00271,1-Methylxanthine,Cytochrome P450 1A2,DB00201
DB00231,Temazepam,DBMET00246,Oxazepam,"Cytochrome P450 3A4, Cytochrome P450 2C19",DB00829
DB00231,Temazepam,DBMET00650,Oxazepam glucuronide,,DB00829
DB00244,Mesalazine,DBMET00924,N-acetyl-5-ASA (Ac-5-ASA),Arylamine N-acetyltransferase 1,DB00795
DB00277,Theophylline,DBMET00271,1-Methylxanthine,Cytochrome P450 1A2,DB00201
DB00277,Theophylline,DBMET00272,3-methylxanthine,Cytochrome P450 1A2,DB00201
DB00277,Theophylline,DBMET00535,Caffeine,,DB00201
DB00277,Theophylline,DBMET00326,"1,3-dimethyluric acid",Cytochrome P450 2E1,DB00201
DB00279,Liothyronine,DBMET02273,Diiodothyronine,,DB00451
DB00279,Liothyronine,DBMET02274,Monoiodothyronine,,DB00451
DB00279,Liothyronine,DBMET02275,Tiratricol,,DB00451
DB00279,Liothyronine,DBMET00559,Triiodothyronine sulfate,,DB00451
DB06700,Desvenlafaxine,DBMET00437,"N,O-Didesmethylvenlafaxine","Cytochrome P450 3A4, Cytochrome P450 2C19, Cytochrome P450 2C9",DB00285
DB06700,Desvenlafaxine,DBMET00967,O-Desmethylvenlafaxine glucuronide,,DB00285
DB00295,Morphine,DBMET02313,Morphine ethereal sulfate,,DB00295
DB00295,Morphine,DBMET00649,Normorphine,,DB00295
DB00295,Morphine,DBMET00462,morphine-3-glucuronide,"UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A1",DB00295
DB00316,Acetaminophen,DBMET00580,Acetaminophen glucuronide,"UDP-glucuronosyltransferase 1A9, UDP-glucuronosyltransferase 1-6, UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 1A10",DB03783
DB00316,Acetaminophen,DBMET00653,Acetaminophen sulfate,"Sulfotransferase 1A1, Sulfotransferase 1A3, Sulfotransferase 2A1",DB03783
DB00316,Acetaminophen,DBMET00243,NAPQI,"Cytochrome P450 2E1, Cytochrome P450 3A4, Cytochrome P450 1A2, Cytochrome P450 2D6, Cytochrome P450 2A6",DB03783
DB00318,Codeine,DBMET00340,norcodeine,Cytochrome P450 3A4,DB00318
DB00318,Codeine,DBMET00660,Codeine-6-glucuronide,"UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 2B4",DB00318
DB00295,Morphine,DBMET02262,morphine 3 glucuronide,UDP-glucuronosyltransferase 2B7,DB00295
DB00295,Morphine,DBMET02264,morphine 6 glucuronide,UDP-glucuronosyltransferase 2B7,DB00295
DB00540,Nortriptyline,DBMET00052,E-10-Hydroxynortriptyline,Cytochrome P450 2D6,DB00321
DB00540,Nortriptyline,DBMET00053,Desmethylnortriptyline,Cytochrome P450 2C19,DB00321
DB00327,Hydromorphone,DBMET00866,Hydromorphone-3-glucuronide,"UDP-glucuronosyltransferase 1A3, UDP-glucuronosyltransferase 2B7",DB15465
DB00327,Hydromorphone,DBMET00179,Norhydromorphone,"Cytochrome P450 3A4, Cytochrome P450 2C9",DB15465
DB00328,Indomethacin,DBMET00156,5-Hydroxyindomethacin,"Cytochrome P450 2C9, Cytochrome P450 2C19",DB13783
DB00328,Indomethacin,DBMET00157,Indomethacin acyl glucuronide,UDP-glucuronosyltransferase 1A1,DB13783
DB00328,Indomethacin,DBMET00158,Deacyl indomethacin,Liver carboxylesterase 1,DB13783
DB00279,Liothyronine,DBMET02273,Diiodothyronine,Thyroxine 5-deiodinase,DB00451
DB00279,Liothyronine,DBMET02578,Reverse triiodothyronine (rT3),Thyroxine 5-deiodinase,DB00451
DB14682,Dextrorphan,DBMET00595,Dextrorphan O-glucuronide,"UDP-glucuronosyltransferases (UGTs), UDP-glucuronosyltransferase 2B4, UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 2B17",DB00514
DB14682,Dextrorphan,DBMET01317,Dextrorphan sulfate,,DB00514
DB14682,Dextrorphan,DBMET01318,3-Hydroxymorphinan,"Cytochrome P450 3A4, Cytochrome P450 2D6",DB00514
DB00540,Nortriptyline,DBMET00053,Desmethylnortriptyline,"Cytochrome P450 2D6, Cytochrome P450 1A2, Cytochrome P450 2C19",DB00321
DB00554,Piroxicam,DBMET00304,5'-Hydroxypiroxicam,Cytochrome P450 2C9,DB09215
DB00624,Testosterone,DBMET01762,2alpha-hydroxytestosterone,"Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2C19",DB01420
DB00624,Testosterone,DBMET01763,2beta-hydroxytestosterone,"Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2C19",DB01420
DB00624,Testosterone,DBMET01764,15alpha-hydroxytestosterone,Cytochrome P450 3A4,DB01420
DB00624,Testosterone,DBMET01765,15beta-hydroxytestosterone,"Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2C19",DB01420
DB00624,Testosterone,DBMET01766,16alpha-hydroxytestosterone,"Cytochrome P450 3A4, Cytochrome P450 2B6",DB01420
DB00624,Testosterone,DBMET01767,16beta-hydroxytestosterone,"Cytochrome P450 3A4, Cytochrome P450 2B6, Cytochrome P450 2C9, Cytochrome P450 2C19",DB01420
DB00624,Testosterone,DBMET00556,Testosterone sulfate,,DB01420
DB00624,Testosterone,DBMET00558,Dihydrotestosterone,3-oxo-5-alpha-steroid 4-dehydrogenase 2,DB01420
DB00624,Testosterone,DBMET02835,1β-hydroxy-testosterone,"Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2C19",DB01420
DB00624,Testosterone,DBMET00562,Testosterone glucuronide,UDP-glucuronosyltransferase 2B17,DB01420
DB00624,Testosterone,DBMET02837,11β-hydroxy-testosterone,"Cytochrome P450 3A4, Cytochrome P450 2C9, Cytochrome P450 2C19",DB01420
DB00624,Testosterone,DBMET00571,5-alpha-Dihydrotestosterone glucuronide,,DB01420
