parent_name,parent_smiles,child_name,child_smiles,enzymes,origin,source
acetaminophen,CC(O)=Nc1ccc(O)cc1,N-Acetyl-p-benzoquinone,CC(=O)N=C1C=CC(=O)C=C1,CYP1A2; CYP2E1; CYP3A4; CYP2A6; CYP2C9; CYP2D6; CYP1A1,acetaminophen,MetXBioDB
acetaminophen,CC(O)=Nc1ccc(O)cc1,3-Hydroxyacetaminophen,CC(O)=Nc1ccc(O)c(O)c1,CYP2A6 (major); CYP2E1; CYP1A2; CYP2C8; CYP2C9; CYP3A4,acetaminophen,MetXBioDB
pinoline,COc1ccc2[nH]c3c(c2c1)CCNC3,"1H,2H,3H,4H,9H‐pyrido[3,4‐b]indol‐6‐ol",Oc1ccc2[nH]c3c(c2c1)CCNC3,CYP2D6,pinoline,MetXBioDB
1-(3-Trifluoromethylphenyl)piperazine,FC(F)(F)c1cccc(N2CCNCC2)c1,HO-TFMPP,Oc1ccc(N2CCNCC2)cc1C(F)(F)F,CYP2D6; CYP1A2; CYP3A4,1-(3-Trifluoromethylphenyl)piperazine,MetXBioDB
"2-Amino-3-methylimidazo(4,5-F)quinoline",Cn1c(=N)[nH]c2c3cccnc3ccc21,"N-OH-2-amino-3-methylimidazo[4,5-f]quinoline (N-OH-IQ)",Cn1c(NO)nc2c3cccnc3ccc21,CYP1A2; CYP1A1,"2-Amino-3-methylimidazo(4,5-F)quinoline",MetXBioDB
"5-Methoxy-N,N-diisopropyltryptamine",COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,5-OH-DIPT,CC(C)N(CCc1c[nH]c2ccc(O)cc12)C(C)C,CYP2D6,"5-Methoxy-N,N-diisopropyltryptamine",MetXBioDB
"5-Methoxy-N,N-diisopropyltryptamine",COc1ccc2[nH]cc(CCN(C(C)C)C(C)C)c2c1,5-MeO-IPT,COc1ccc2[nH]cc(CCNC(C)C)c2c1,CYP1A2;CYP3A4;CYP2C9;CYP2C19,"5-Methoxy-N,N-diisopropyltryptamine",MetXBioDB
(R)-halothane,FC(F)(F)[C@H](Cl)Br,trifluoroacetic acid,O=C(O)C(F)(F)F,CYP2E1,(R)-halothane,MetXBioDB
(R)-halothane,FC(F)(F)[C@H](Cl)Br,"2-chloro-1,1-difluoroethene",FC(F)=CCl,CYP2A6; CYP3A4; CYP2B6; CYP2C9; CYP2D6,(R)-halothane,MetXBioDB
(R)-halothane,FC(F)(F)[C@H](Cl)Br,"1-chloro-2,2,2-trifluoroethanide",FC(F)(F)[CH-]Cl,CYP2A6; CYP3A4; CYP2B6; CYP2C9; CYP2D6,(R)-halothane,MetXBioDB
"(R)-3,4-Methylenedioxymethamphetamine",CN[C@H](C)Cc1ccc2c(c1)OCO2,"N-Methyl-3,4- dihydroxyamphetamine",CN[C@H](C)Cc1ccc(O)c(O)c1,CYP1A2; CYP2D6,"(R)-3,4-Methylenedioxymethamphetamine",MetXBioDB
"(R)-3,4-Methylenedioxymethamphetamine",CN[C@H](C)Cc1ccc2c(c1)OCO2,"3,4-Methylenedioxymethamphetamine",C[C@@H](N)Cc1ccc2c(c1)OCO2,CYP2D6 (major); CYP1A2; CYP2B6; CYP3A4,"(R)-3,4-Methylenedioxymethamphetamine",MetXBioDB
"(4R)-5-(methoxycarbonyl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylic acid",COC(=O)C1=C(C)NC(C)=C(C(=O)O)[C@H]1c1cccc([N+](=O)[O-])c1,OPC-13463,COC(=O)c1c(C)nc(C)c(C(=O)O)c1-c1cccc([N+](=O)[O-])c1,CYP2C19;CYP2D6;CYP2E1;CYP3A4,"(4R)-5-(methoxycarbonyl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylic acid",MetXBioDB
Homo-Tienilic Alcohol,O=C(c1cccs1)c1ccc(OCCCO)c(Cl)c1Cl,,O=C(c1ccc(O)s1)c1ccc(OCCCO)c(Cl)c1Cl,CYP2C8;CYP2C9;CYP2C19,Homo-Tienilic Alcohol,MetXBioDB
Homo-Tienilic Alcohol,O=C(c1cccs1)c1ccc(OCCCO)c(Cl)c1Cl,,O=C(c1cccs1)c1ccc(O)c(Cl)c1Cl,CYP2C8;CYP2C9;CYP2C19,Homo-Tienilic Alcohol,MetXBioDB
(R)-1-(4-Methoxyphenyl)propan-2-amine,COc1ccc(C[C@@H](C)N)cc1,,C[C@@H](N)Cc1ccc(O)cc1,CYP2D6,(R)-1-(4-Methoxyphenyl)propan-2-amine,MetXBioDB
"1-Methyl-10-alpha-methoxy-9,10-dihydrolysergol",CO[C@]12C[C@@H](CO)CN(C)[C@@H]1Cc1cn(C)c3cccc2c13,MDL,COC12CC(CO)CN(C)C1Cc1c[nH]c3cccc2c13,CYP2D6,"1-Methyl-10-alpha-methoxy-9,10-dihydrolysergol",MetXBioDB
"(S)-2-(2,6-Dichlorobenzamido)-3-(2',6'-dimethoxy-[1,1'-biphenyl]-4-yl)propanoic acid",COc1cccc(OC)c1-c1ccc(C[C@H](N=C(O)c2c(Cl)cccc2Cl)C(=O)O)cc1,,COc1cccc(O)c1-c1ccc(CC(N=C(O)c2c(Cl)cccc2Cl)C(=O)O)cc1,CYP2C9,"(S)-2-(2,6-Dichlorobenzamido)-3-(2',6'-dimethoxy-[1,1'-biphenyl]-4-yl)propanoic acid",MetXBioDB
Rabeprazole (rabeprazole_thioether),COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,Rabeprazole,COCCCOc1ccnc(CS(=O)c2nc3ccccc3[nH]2)c1C,CYP1A2;CYP2A6;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,Rabeprazole (rabeprazole_thioether),MetXBioDB
Rabeprazole (rabeprazole_thioether),COCCCOc1ccnc(CSc2nc3ccccc3[nH]2)c1C,Desmethylrabeprazole-thioether,Cc1c(OCCCO)ccnc1CSc1nc2ccccc2[nH]1,CYP1A2;CYP2A6;CYP2B6;CYP2C9;CYP2C19;CYP2D6;CYP2E1;CYP3A4,Rabeprazole (rabeprazole_thioether),MetXBioDB
Dehydroxyzyleuton,C[C@H](NC(=N)O)c1cc2ccccc2s1,Dehydroxyzyleuton sulfoxide,C[C@H](NC(=N)O)C1=Cc2ccccc2S1=O,CYP3A4,Dehydroxyzyleuton,MetXBioDB
Dehydroxyzyleuton,C[C@H](NC(=N)O)c1cc2ccccc2s1,(1S)â€1â€(6â€hydroxyâ€1â€benzothiophenâ€2â€yl)ethylurea,C[C@H](NC(=N)O)c1cc2ccc(O)cc2s1,CYP1A2; CYP2C9,Dehydroxyzyleuton,MetXBioDB
"(2R,3S)-2-((R)-1-(3,5-Bis(trifluoromethyl)phenyl)ethoxy)-3-(4-fluorophenyl)morpholine",C[C@@H](O[C@H]1OCCN[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,aprepitant_M2,CC(OC1OCC=NC1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,CYP3A4,"(2R,3S)-2-((R)-1-(3,5-Bis(trifluoromethyl)phenyl)ethoxy)-3-(4-fluorophenyl)morpholine",MetXBioDB
