parent_name	child_name	reactants	products	origin	source	set	possible_products
1_2-dibromoethane	2-bromoacetaldehyde 	C(CBr)Br	C(CBr)=O	1_2-dibromoethane	MetXBioDB	train	C(CBr)=O
2-iodobenzyl bromide		c1c(CBr)c(I)ccc1	c1c(CBr)c(SCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)ccc1	2-iodobenzyl bromide	MetXBioDB	train	c1c(CBr)c(SCC(NC(CCC(N)C(=O)O)=O)C(=O)NCC(=O)O)ccc1
Brimonidine	2-oxobrimonidine	C1CN=C(Nc2c(Br)c3c(cc2)nccn3)N1	C1CN=C(Nc2c(Br)c3c(cc2)nc(=O)cn3)N1	DB00484	DrugBank	train	C1CN=C(Nc2c(Br)c3c(cc2)nc(=O)cn3)N1
15-alpha-hydroxydesogestrel		C12=CCCCC1C1C(=C)CC3(CC)C(C#C)(O)CC(O)C3C1CC2	C12=CCCCC1C1C(=C)CC3(CC)C(C#C)(OC4OC(C(=O)O)C(O)C(O)C4O)CC(O)C3C1CC2	15-alpha-hydroxydesogestrel	MetXBioDB	train	C12=CCCCC1C1C(=C)CC3(CC)C(C#C)(OC4OC(C(=O)O)C(O)C(O)C4O)CC(O)C3C1CC2
17alpha-Ethinylestradiol	4beta-OH-17beta-Ethinylestradiol	C1(C#C)(O)CCC2C1(C)CCC1C2(C)CCc2c1ccc(O)c2	C1(C#C)(O)CCC2C1(C)CCC1C2(C)CCc2c1ccc(O)c2O	17alpha-Ethinylestradiol	MetXBioDB	train	C1(C#C)(O)CCC2C1(C)CCC1C2(C)CCc2c1ccc(O)c2O
17-desacetylnorgestimate	Norgestrel	C1CC2(CC)C(C#C)(O)CCC2C2C1C1C(=CC(=NO)CC1)CC2	C1CC2(CC)C(C#C)(O)CCC2C2C1C1C(=CC(=O)CC1)CC2	DB00957	DrugBank	train	C1CC2(CC)C(C#C)(O)CCC2C2C1C1C(=CC(=O)CC1)CC2
Etonogestrel	Etonogestrel sulfate	C12C(=C)CC3(CC)C(C#C)(O)CCC3C1CCC1=CC(=O)CCC21	C12C(=C)CC3(CC)C(C#C)(O)CCC3C1CCC1=CC(OS(=O)(=O)C(C)C)CCC21	DB00294	DrugBank	train	C12C(=C)CC3(CC)C(C#C)(O)CCC3C1CCC1=CC(OS(=O)(=O)C(C)C)CCC21
Norethisterone	5α-dihydronorethisterone	C12CCC(C#C)(O)C1(C)CCC1C2CCC2=CC(=O)CCC12	C12CCC(C#C)(O)C1(C)CCC1C2CCC2C1CCC(=O)C2	DB00717	DrugBank	train	C12CCC(C#C)(O)C1(C)CCC1C2CCC2C1CCC(=O)C2
Norgestrel	Norgestrel Glucuronide Metabolite (Met9)	C1CC2(CC)C(C#C)(O)CCC2C2C1C1C(=CC(=O)CC1)CC2	C1CC2(CC)C(C#C)(OC3OC(C(=O)O)C(O)C(O)C3O)CCC2C2C1C1C(=CC(=O)CC1)CC2	DB09389	DrugBank	train	C1CC2(CC)C(C#C)(OC3OC(C(=O)O)C(O)C(O)C3O)CCC2C2C1C1C(=CC(=O)CC1)CC2
3-alpha-hydroxydesogestrel		C#CC1(O)CCC2C1(CC)CC(=C)C1C2CCC2=CC(O)CCC12	C#CC1(O)CCC2C1(CC)CC(=C)C1C2CCC2=CC(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12	3-alpha-hydroxydesogestrel	MetXBioDB	train	C#CC1(O)CCC2C1(CC)CC(=C)C1C2CCC2=CC(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12
