reactants	products	set	tanimoto	possible_products	source
BrC1=CC2OC2C=C1	OC1C=CC(Br)=CC1O	train	0.4230769230769231	OC1C=CC(Br)=CC1O	metatrans
BrC1=CC2OC2C=C1	OC1C=CC(Br)=CC1O	train	0.4230769230769231	OC1C=CC(Br)=CC1O	metatrans
BrC1=CC2OC2C=C1	OC1C=CC(Br)=CC1O	train	0.4230769230769231	OC1C=CC(Br)=CC1O	metatrans
BrC1=CC2OC2C=C1	OC1C=CC(Br)=CC1O	train	0.4230769230769231	OC1C=CC(Br)=CC1O	metatrans
BrC1=CC=CC2OC12	OC1C=CC=C(Br)C1O	train	0.3928571428571428	OC1C=CC=C(Br)C1O	metatrans
BrC1=CC=CC2OC12	OC1C=CC=C(Br)C1O	train	0.3928571428571428	OC1C=CC=C(Br)C1O	metatrans
BrC1=CC=CC2OC12	OC1C=CC=C(Br)C1O	train	0.3928571428571428	OC1C=CC=C(Br)C1O	metatrans
BrC1=CC=CC2OC12	OC1C=CC=C(Br)C1O	train	0.3928571428571428	OC1C=CC=C(Br)C1O	metatrans
Brc1ccccc1	BrC1=CC2OC2C=C1	train	0.2	BrC1=CC2OC2C=C1	metatrans
Brc1ccccc1	BrC1=CC2OC2C=C1	train	0.2	BrC1=CC2OC2C=C1	metatrans
Brc1ccccc1	BrC1=CC2OC2C=C1	train	0.2	BrC1=CC2OC2C=C1	metatrans
Brc1ccccc1	BrC1=CC2OC2C=C1	train	0.2	BrC1=CC2OC2C=C1	metatrans
C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)O)ccc4C3CCC21C	C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)O)c(O)cc4C3CCC21C	train	0.7758620689655172	C#CC1(O)CCC2C3CC(O)c4cc(OS(=O)(=O)O)ccc4C3CCC21C.C#CC1(O)C(O)CC2C3CCc4cc(OS(=O)(=O)O)ccc4C3CCC21C.C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)O)c(O)cc4C3CCC21C.C#CC1(O)CCC2C3CCc4c(ccc(OS(=O)(=O)O)c4O)C3CCC21C	metatrans
C1=CC2OC2c2c1cc1ccc3cccc4ccc2c1c34	Oc1ccc2cc3ccc4cccc5ccc(c2c1)c3c45	train	0.3720930232558139	Oc1ccc2cc3ccc4cccc5ccc(c2c1O)c3c45.Oc1ccc2cc3ccc4cccc5ccc(c2c1)c3c45	metatrans
C1=CC2OC2c2cc3ccc4cccc5c6ccccc6c(c21)c3c45	OC1C=Cc2c(cc3ccc4cccc5c6ccccc6c2c3c45)C1O	train	0.6363636363636364	OC1C=Cc2c(cc3ccc4cccc5c6ccccc6c2c3c45)C1O	metatrans
C1=CC2OC2c2cc3ccc4cccc5c6ccccc6c(c21)c3c45	OC1C=Cc2c(cc3ccc4cccc5c6ccccc6c2c3c45)C1O	train	0.6363636363636364	OC1C=Cc2c(cc3ccc4cccc5c6ccccc6c2c3c45)C1O	metatrans
C1=CC2OC2c2cc3ccc4cccc5c6ccccc6c(c21)c3c45	OC1C=Cc2c(cc3ccc4cccc5c6ccccc6c2c3c45)C1O	train	0.6363636363636364	OC1C=Cc2c(cc3ccc4cccc5c6ccccc6c2c3c45)C1O	metatrans
C1=CC2OC2c2cc3ccc4cccc5c6ccccc6c(c21)c3c45	OC1C=Cc2c(cc3ccc4cccc5c6ccccc6c2c3c45)C1O	train	0.6363636363636364	OC1C=Cc2c(cc3ccc4cccc5c6ccccc6c2c3c45)C1O	metatrans
C1=CC2OC2c2ccccc21	NC(CCC(=O)NC(CSC1C=Cc2ccccc2C1O)C(=O)NCC(=O)O)C(=O)O	train	0.234375	OC1C=Cc2ccccc2C1O.NC(CCC(=O)NC(CSC1c2ccccc2C=CC1O)C(=O)NCC(=O)O)C(=O)O.NC(CCC(=O)NC(CSC1C=Cc2ccccc2C1O)C(=O)NCC(=O)O)C(=O)O	metatrans
C1=Cc2ccccc2C1	OC1Cc2ccccc2C1O	train	0.2666666666666666	OC1Cc2ccccc2C1O	metatrans
C1=Cc2ccccc2C1	OC1Cc2ccccc2C1O	train	0.2666666666666666	OC1Cc2ccccc2C1O	metatrans
C1=Cc2ccccc2C1	OC1Cc2ccccc2C1O	train	0.2666666666666666	OC1Cc2ccccc2C1O	metatrans
C1=Cc2ccccc2C1	OC1Cc2ccccc2C1O	train	0.2666666666666666	OC1Cc2ccccc2C1O	metatrans
C1=Cc2ccccc2CC1	OC1CCc2ccccc2C1O	train	0.3125	OC1CCc2ccccc2C1O	metatrans
C1=Cc2ccccc2CC1	OC1CCc2ccccc2C1O	train	0.3125	OC1CCc2ccccc2C1O	metatrans
C1=Cc2ccccc2CC1	OC1CCc2ccccc2C1O	train	0.3125	OC1CCc2ccccc2C1O	metatrans
C1=Cc2ccccc2CC1	OC1CCc2ccccc2C1O	train	0.3125	OC1CCc2ccccc2C1O	metatrans
C1CCC(N=NC2CCCC2)C1	NC1CCCC1	train	0.3125	NC1CCCC1	metatrans
