parent_id	parent_name	child_id	child_name	enzymes	origin	reactants	products	source	tanimoto	set	possible_products
	1_2-dibromoethane		2-bromoacetaldehyde 	CYP2A6;CYP2B6;CYP2E1	1_2-dibromoethane	BrCCBr	O=CCBr	MetXBioDB	0.2727272727272727	train	O=CCBr
	2-iodobenzyl bromide			GST	2-iodobenzyl bromide	BrCc1ccccc1I	NC(CCC(=O)NC(CSc1ccccc1CBr)C(=O)NCC(=O)O)C(=O)O	MetXBioDB	0.2222222222222222	train	NC(CCC(=O)NC(CSc1ccccc1CBr)C(=O)NCC(=O)O)C(=O)O
DB00484	Brimonidine	DBMET00465	3-oxobrimonidine 	Aldehyde oxidase	DB00484	Brc1c(NC2=NCCN2)ccc2nccnc12	OC1=Nc2c(ccc(NC3=NCCN3)c2Br)NC1	DrugBank	0.5102040816326531	train	OC1=Nc2c(ccc(NC3=NCCN3)c2Br)NC1
	15-alpha-hydroxydesogestrel			UGT	15-alpha-hydroxydesogestrel	C#CC1(O)CC(O)C2C3CCC4=CCCCC4C3C(=C)CC21CC	C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CC(O)C2C3CCC4=CCCCC4C3C(=C)CC21CC	MetXBioDB	0.6133333333333333	train	C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CC(O)C2C3CCC4=CCCCC4C3C(=C)CC21CC
	17alpha-Ethinylestradiol		2beta-OH-17beta-Ethinylestradiol	CYP2C9; CYP3A4; CYP2C19; CYP1A2	17alpha-Ethinylestradiol	C#CC1(O)CCC2C3(C)CCc4cc(O)ccc4C3CCC21C	C#CC1(O)CCC2C3(C)CCc4cc(O)c(O)cc4C3CCC21C	MetXBioDB	0.7872340425531915	train	C#CC1(O)CCC2C3(C)CCc4cc(O)c(O)cc4C3CCC21C
DBMET03015	17-desacetylnorgestimate	DB09389	Norgestrel		DB00957	C#CC1(O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC	DrugBank	0.7454545454545455	train	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC
DB00294	Etonogestrel	DBMET02307	Etonogestrel glucuronide		DB00294	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC	C#CC1(O)CCC2C3CCC4=CC(OC5OC(O)C(O)C(O)C5O)CCC4C3C(=C)CC21CC	DrugBank	0.589041095890411	train	C#CC1(O)CCC2C3CCC4=CC(OC5OC(O)C(O)C(O)C5O)CCC4C3C(=C)CC21CC
DB00717	Norethisterone	DBMET02891	5α-dihydronorethisterone	3-oxo-5-alpha-steroid 4-dehydrogenase	DB00717	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C	C#CC1(O)CCC2C3CCC4CC(=O)CCC4C3CCC21C	DrugBank	0.5636363636363636	train	C#CC1(O)CCC2C3CCC4CC(=O)CCC4C3CCC21C
DB09389	Norgestrel	DBMET03016	Norgestrel Glucuronide Metabolite (Met9)	UDP-glucuronosyltransferase 1A1	DB09389	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC	C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC	DrugBank	0.5774647887323944	train	C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC
DBMET00723	3alpha-Hydroxydesogestrel	DB00294	Etonogestrel	3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1	DB00304	C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3C(=C)CC21CC	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC	DrugBank	0.7166666666666667	train	C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC
