parent_id	parent_name	child_id	child_name	enzymes	origin	reactants	products	source	tanimoto	set
DB00332	Ipratropium	DB09269	Phenylacetic acid		DB00332	CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	O=C(O)Cc1ccccc1	DrugBank	0.2040816326530612	test
DB00628	Clorazepic acid	DB14028	Nordazepam	Cytochrome P450 3A4	DB00628	O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1	DrugBank	0.5510204081632653	test
DB00985	Dimenhydrinate	DB14132	8-chlorotheophylline		DB00985	Cn1c(=O)c2nc(Cl)[nH]c2n(C)c1=O	Cn1c(=O)c2[nH]c(Cl)nc2n(C)c1=O	DrugBank	0.5428571428571428	test
DB09494	Cetyl alcohol	DB03796	Palmitic Acid	Aldo-keto reductase family 1 member A1	DB09494	CCCCCCCCCCCCCCCCO	CCCCCCCCCCCCCCCC(=O)O	DrugBank	0.4285714285714285	test
DB13952	Estradiol acetate	DB00783	Estradiol		DB13952	CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	DrugBank	0.6862745098039216	test
DB14783	Diroximel fumarate	DB14219	Monomethyl fumarate	Liver esterases	DB14783	COC(=O)C=CC(=O)OCCN1C(=O)CCC1=O	COC(=O)C=CC(=O)O	DrugBank	0.4117647058823529	test
DB16335	Sulopenem etzadroxil	DB15284	Sulopenem		DB16335	CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12	CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12	DrugBank	0.6875	test
DB16627	Melphalan flufenamide	DB01042	Melphalan	Aminopeptidase N	DB16627	CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1	NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O	DrugBank	0.5283018867924528	test
DB14028	Nordazepam	DBMET00980	p-Hydroxynordiazepam		DB00628	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1	O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1	DrugBank	0.7619047619047619	test
DB09269	Phenylacetic acid	DBMET01954	4-hydroxyphenylacetic acid		DB00332	O=C(O)Cc1ccccc1	O=C(O)Cc1ccc(O)cc1	DrugBank	0.6363636363636364	test
DB00783	Estradiol	DBMET00567	Estradiol-17beta 3-sulfate	UDP-glucuronosyltransferases (UGTs)	DB13952	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2O	DrugBank	0.6862745098039216	test
DB01075	Diphenhydramine	DBMET00087	Diphenhydramine N-glucuronide	UDP-glucuronosyltransferases (UGTs)	DB00985	CN(C)CCOC(c1ccccc1)c1ccccc1	C[N+](C)(CCOC(c1ccccc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O	Both	0.375	test
DB01042	Melphalan	DBMET03698	Monohydroxymelphalan		DB16627	NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O	NC(Cc1ccc(N(CCO)CCCl)cc1)C(=O)O	DrugBank	0.8888888888888888	test
DB00198	Oseltamivir	DBMET02218	Oseltamivir carboxylate	Liver carboxylesterase 1	DB00198	CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1	CCC(CC)OC1C=C(C(=O)O)CC(N)C1NC(C)=O	DrugBank	0.782608695652174	test
DB00425	Zolpidem	DBMET01794	methoxyzolpidem	Cytochrome P450 3A4, Cytochrome P450 1A2, Cytochrome P450 2D6, Cytochrome P450 2C9, Cytochrome P450 2C19	DB00425	Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1	Cc1cn2c(CC(=O)N(C)C)c(-c3ccc(CO)cc3)nc2cc1O	Both	0.6153846153846154	test
DB00426	Famciclovir	DBMET00463	6-oxo-famciclovir	Aldehyde oxidase	DB00426	CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O	CC(=O)OCC(CCn1cnc2c(O)nc(=N)[nH]c21)COC(C)=O	DrugBank	0.5172413793103449	test
DB00497	Oxycodone	DBMET00321	oxymorphone	Cytochrome P450 2D6	DB00497	COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314	CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5	Both	0.7818181818181819	test
DB00503	Ritonavir	DBMET01182	Ritonavir metabolite M1	Cytochrome P450 3A5, Cytochrome P450 3A4	DB00503	CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1	CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(N)Cc2ccccc2)C(C)C)cs1	DrugBank	0.7088607594936709	test
DB00521	Carteolol	DBMET00311	8-Hydroxycarteolol	Cytochrome P450 2D6	DB00521	CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2	CC(C)(C)NCC(O)COc1ccc(O)c2c1CCC(O)=N2	DrugBank	0.5172413793103449	test
DB00537	Ciprofloxacin	DBMET02516	Formylciprofloxacin		DB00537	O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O	O=CN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1	DrugBank	0.7358490566037735	test
DB00573	Fenoprofen	DBMET00854	Fenoprofen glucuronide		DB00573	CC(C(=O)O)c1cccc(Oc2ccccc2)c1	CC(C(=O)OC1OC(C(=O)O)C(O)C(O)C1O)c1cccc(Oc2ccccc2)c1	DrugBank	0.5625	test
DB00580	Valdecoxib	DBMET01338	Valdecoxib metabolite M2		DB00580	Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1	Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)(=O)NO)cc1	DrugBank	0.7142857142857143	test
DB00631	Clofarabine	DBMET00419	clofarabind-5'-monophosphate	Deoxycytidine kinase	DB00631	Nc1nc(Cl)nc2c1ncn2C1OC(CO)C(O)C1F	Nc1nc(Cl)nc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1F	DrugBank	0.7192982456140351	test
DB00648	Mitotane	DBMET03760	Mitotane β-hydroxylated metabolite		DB00648	Clc1ccc(C(c2ccccc2Cl)C(Cl)Cl)cc1	OC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccccc1Cl	DrugBank	0.5142857142857142	test
DB00712	Flurbiprofen	DBMET00151	4'-Hydroxyflurbiprofen	Cytochrome P450 2C9	DB00712	CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1	CC(C(=O)O)c1ccc(-c2ccc(O)cc2)c(F)c1	Both	0.7777777777777778	test
DB00731	Nateglinide	DBMET01830	2-{[4-(1-hydroxypropan-2-yl)cyclohexyl]formamido}-3-phenylpropanoic acid	Cytochrome P450 2C9, Cytochrome P450 3A4	DB00731	CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1	CC(CO)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1	Both	0.813953488372093	test
DB00869	Dorzolamide	DBMET03010	N-desethyldorzolamide	Cytochrome P450 3A2, Cytochrome P450 2B1, Cytochrome P450 2E1	DB00869	CCNC1CC(C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21	CC1CC(N)c2cc(S(N)(=O)=O)sc2S1(=O)=O	DrugBank	0.6666666666666666	test
DB00870	Suprofen	DBMET00162	Suprofen S-oxide	Cytochrome P450 2C9	DB00870	CC(C(=O)O)c1ccc(C(=O)c2cccs2)cc1	CC(C(=O)O)c1ccc(C(=O)c2ccc[s+]2[O-])cc1	Both	0.5	test
DB00889	Granisetron	DBMET00406	9'-desmethylgranisetron	Cytochrome P450 3A4, Cytochrome P450 1A1	DB00889	CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2	CN1C2CCCC1CC(NC(=O)c1n[nH]c3ccccc13)C2	Both	0.6415094339622641	test
DB00912	Repaglinide	DBMET00294	hydroxyrepaglinide	Cytochrome P450 2C8	DB00912	CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O	CCOc1cc(CC(=O)NC(CC(C)C)c2ccccc2N2CCCC(O)C2)ccc1C(=O)O	Both	0.8	test
DB01018	Guanfacine	DBMET02968	3-hydroxyguanfacine	Cytochrome P450 3A4	DB01018	N=C(N)NC(=O)Cc1c(Cl)cccc1Cl	N=C(N)NC(=O)Cc1c(Cl)ccc(O)c1Cl	DrugBank	0.6857142857142857	test
DB01184	Domperidone	DBMET00364	5-Chloro-1,3-dihydro-1-(4-piperidinyl)-2H-benzimidazol-2-one	Cytochrome P450 3A4	DB01184	O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1	Oc1nc2cc(Cl)ccc2n1C1CCNCC1	DrugBank	0.2835820895522388	test
DB01242	Clomipramine	DBMET00777	8-hydroxyclomipramine	Cytochrome P450 2D6	DB01242	CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21	CN(C)CCCN1c2ccc(O)cc2CCc2ccc(Cl)cc21	DrugBank	0.7555555555555555	test
DB01452	Diamorphine	DBMET01172	6-Monoacetylmorphine	Liver carboxylesterase 1, Cocaine esterase	DB01452	CC(=O)Oc1ccc2c3c1OC1C(OC(C)=O)C=CC4C(C2)N(C)CCC341	CC(=O)OC1C=CC2C3Cc4ccc(O)c5c4C2(CCN3C)C1O5	DrugBank	0.8421052631578947	test
DB01620	Pheniramine	DBMET02635	N-desmethylpheniramine		DB01620	CN(C)CCC(c1ccccc1)c1ccccn1	CNCCC(c1ccccc1)c1ccccn1	DrugBank	0.6216216216216216	test
DB02659	Cholic Acid	DBMET00553	Cholic acid glucuronide		DB02659	CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(OC5OC(C(=O)O)C(O)C(O)C5O)CCC4(C)C3CC(O)C12C	Both	0.6571428571428571	test
DB06230	Nalmefene	DBMET01858	Nalmefene 3-O-glucuronide	UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A3, UDP-glucuronosyltransferase 1A8	DB06230	C=C1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5	C=C1CCC2(O)C3Cc4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)c5c4C2(CCN3CC2CC2)C1O5	DrugBank	0.6438356164383562	test
DB06282	Levocetirizine	DBMET02642	Levocetirizine N-oxide Metabolite (M3)		DB06282	O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	O=C(O)COCC[N+]1(O)CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	DrugBank	0.6730769230769231	test
