products	reactants	set
COc1c(O)ccc2c1CCC1C2CCC2(C)C(=O)CCC12	CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2=O	train
CC(=O)Nc1ccc2c(c1)C(c1ccccc1Cl)=NCC(=O)N2	Nc1ccc2c(c1)C(c1ccccc1Cl)=NCC(=O)N2	train
OC1CN(CCCN2CCN(c3ccnc4cc(Cl)ccc34)CC2)CCN1c1ccnc2cc(Cl)ccc12	Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1	train
c1cncc(C2CCCN2)c1	CN1C(=O)CCC1c1cccnc1	train
Cc1c2c(nc3c1ccc1ccccc13)C=CC(O)C2O	Cc1c2ccccc2nc2c1ccc1ccccc12	train
COc1cc2c(c(OC)c1O)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2	COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2	train
CN1CCC23c4c5ccc(O)c4OC2C(O)CCC3C1C5	COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341	train
CCOc1ncc(C)c2c1C(c1ccc(C#N)cc1OC)C(O)(C(N)=O)C(C)(O)N2	CCOc1ncc(C)c2c1C(c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2	train
CC(O)C1(C)CC(O)=NC1=O	CCC1(C)CC(O)=NC1=O	train
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2O)cc1	COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1	train
COc1ccc(C(C)=O)c(OS(=O)(=O)O)c1	COc1ccc(C(C)=O)c(O)c1	train
CC(=O)C1C(O)CC2C3CCC4CC(C)(O)CCC4(C)C3CCC21C	CC(=O)C1CCC2C3CCC4CC(C)(O)CCC4(C)C3CCC12C	train
O=C1CN=C(c2ccccc2F)c2cc(Cl)ccc2N1CC(F)(F)F	Fc1ccccc1C1=NCC(=S)N(CC(F)(F)F)c2ccc(Cl)cc21	train
Cc1ccc(-c2nc3ccc(CO)cn3c2CC(=O)N(C)C)cc1	Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1	train
COc1cc2c(cc1OC)-c1[nH]nc(N(c3cccc(F)c3)C3OC(C(=O)O)C(O)C(O)C3O)c1C2	COc1cc2c(cc1OC)-c1[nH][nH]c(=Nc3cccc(F)c3)c1C2	train
Oc1ccc2c(c1O)-c1cccc3c1C(C2)NCC3	CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3	train
CCN(CC)C(=O)C1(c2ccccc2)CC1CNC(=O)OC1OC(C(=O)O)C(O)C(O)C1O	CCN(CC)C(=O)C1(c2ccccc2)CC1CNC(=O)O	train
COc1cc(-c2oc3cc(O)ccc3c(=O)c2OC2OC(C(=O)O)C(O)C(O)C2O)cc(OC)c1OC	COc1cc(-c2oc3cc(O)ccc3c(=O)c2O)cc(OC)c1OC	train
