products	reactants	set
Clc1cccc(N2CCNCC2)c1	CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC	train
CC(NP(=O)(O)OCC1OC(C#N)(c2ccc3c(N)ncnn23)C(O)C1O)C(=O)O	CC1NP(=O)(OCC2OC(C#N)(c3ccc4c(N)ncnn34)C(O)C2O)OC1=O	train
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)NC(Cc1ccc(F)cc1)C(=O)O	CCOC(=O)C(Cc1ccc(F)cc1)NC(=O)C(N)Cc1ccc(N(CCCl)CCCl)cc1	train
C[N+](C)(CCC=C1c2ccccc2COc2ccccc21)OC1OC(C(=O)O)C(O)C(O)C1O	C[N+](C)([O-])CCC=C1c2ccccc2COc2ccccc21	train
CCC(C)C(=O)OC1C(O)CC=C2C=C(O)C(C)C(CCC(O)CC(O)CC(=O)O)C21	CCC(C)C(=O)OC1CCC=C2C=C(O)C(C)C(CCC(O)CC(O)CC(=O)O)C21	train
COc1ccc2[nH]cc(CCN)c2c1	COc1ccc2[nH]cc(CCNC(C)=O)c2c1	train
NC(=O)NS(=O)(=O)c1ccc(Cl)cc1	CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1	train
N	NC(=O)NO	train
COC(=O)c1c(C)nc(C)c(C(=O)OCC(C)O)c1-c1ccccc1[N+](=O)[O-]	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)O)C1c1ccccc1[N+](=O)[O-]	train
CC1(C)OC2C(O)C(O)COC2(COS(N)(=O)=O)O1	CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1	train
O=C(O)c1ccccc1C(=O)O	O=C1CCC(NC(=O)c2ccccc2C(=O)O)C(=O)N1	train
CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)OC1C(C)OC(OCC2=CC=CCC(O)C(C)=CC(CC)C(OC3OC(C)(C)C(O)C(O)C3O)C(C)=CC(C)=CCC(C(C)O)OC2=O)C(OC)C1O	CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)OC1C(C)OC(OCC2=CC=CCC(O)C(C)=CC(CC)C(OC3OC(C)(C)C(OC(=O)C(C)C)C(O)C3O)C(C)=CC(C)=CCC(C(C)O)OC2=O)C(OC)C1O	train
CC(=O)N1CCN(c2ccc(OCC3COC(CNC=N)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	CC(=O)N1CCN(c2ccc(OCC3COC(CN4C=NC(O)C4O)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	train
O=c1[nH]ncc2ccccc12	NNc1nncc2ccccc12	train
NC1(c2ccccc2Cl)CC(O)CCC1=O	CNC1(c2ccccc2Cl)CC(O)CCC1=O	train
C[N+]1([O-])CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1	CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1	train
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	O=C(O)CCC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1	train
COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(O)C1C)C4=O	COC1C=COC2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)C(C)=CC=CC(C)C(O)C(C)C(O)C(C)C(OC(C)=O)C1C)C4=O	train
CCC[S+]([O-])c1ccc2[nH]c(NC(=O)OC)nc2c1	CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1	train
CC(N)C(O)c1ccccc1	CNC(C)C(O)c1ccccc1	train
OC1N=C(c2ccccc2)c2cc(Cl)ccc2-n2cnnc21	Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2	train
CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1O	CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1	train
CCCN=C1SC(Cc2ccc(OCC(O)CO)c(Cl)c2)C(=O)N1c1ccccc1C	CCCN=C1SC(=Cc2ccc(OCC(O)CO)c(Cl)c2)C(=O)N1c1ccccc1C	train
CC(=O)Nc1ccc(C(O)C(N)CO)cc1	Nc1ccc(C(O)C(N)CO)cc1	train
C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)O)C2(C)CO)CC1=O	C=CCC1=C(C)C(OC(=O)C2C(C=C(C)C(=O)O)C2(C)C)CC1=O	train
CC(=O)Cc1ccccc1	CC(N)Cc1ccccc1	train
O=CC(O)C(O)C(O)C(O)CO	OCC1OC(Oc2ccc(O)cc2)C(O)C(O)C1O	train
CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1O	CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1	train
COc1cc2cc(c1Cl)N(C)C(=O)CC(OC(=O)C(C)N(C)C(=O)CCC(C)(C)SC)C1(C)OC1C(C)C1CC(O)(N=C(O)O1)C(OC)C=CC=C(C)C2	COc1cc2cc(c1Cl)N(C)C(=O)CC(OC(=O)C(C)N(C)C(=O)CCC(C)(C)S)C1(C)OC1C(C)C1CC(O)(N=C(O)O1)C(OC)C=CC=C(C)C2	train
CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CC(OC1OC(C(=O)O)C(O)C(O)C1O)C2O	CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O	train
CN(C)CCC=C1c2ccccc2C[S+]([O-])c2ccccc21	CN(C)CCC=C1c2ccccc2CSc2ccccc21	train
O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCNCC1	O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1	train
O=P(O)(O)O	CC(C)c1cccc(C(C)C)c1OCOP(=O)(O)O	train
CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2=O	CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O	train
COCCCN1CCC(NC(=O)c2c(O)c(Cl)c(N)c3c2OCC3)CC1	COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1	train
Nc1ccc(S(=O)(=O)Nc2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cn2)cc1	Nc1ccc(S(=O)(=O)Nc2ccc(O)cn2)cc1	train
NN1CCOC1=O	O=C1OCCN1N=Cc1ccc([N+](=O)[O-])o1	train
COc1ccc(N)c(C(=O)Nc2ccc(Cl)cn2)c1	COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1	train
O=c1cc(CO)[nH]c(=O)[nH]1	N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl	train
OC1(OC(c2ccccc2)c2ccccc2)CC2CCC(C1)N2	c1ccc(C(OC2CC3CCC(C2)N3)c2ccccc2)cc1	train
COc1ccc2c3c1OC1CC(=O)C=CC31CCN(C)C2	COc1ccc2c3c1OC1CC(O)C=CC31CCN(C)C2	train
CC1CC2C3C(O)CC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(OC(=O)c1ccco1)C(=O)CCl	CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CCl	train
CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)C(=O)O	CC(=CCC1=C(C)C(=O)c2ccccc2C1=O)CCCC(C)CCCC(C)CCCC(C)C	train
COc1cc2nc(N)nc(N)c2cc1OC	COc1cc2nc(N3CCNCC3)nc(N)c2cc1OC	train
NC(Cc1ccc(N(CCO)CCCl)cc1)C(=O)O	NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O	train
O=C1N=C(O)C(O)N1N=Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1	O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1	train
CC(=O)NNc1nncc2ccccc12	NNc1nncc2ccccc12	train
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2nc(=O)o[nH]2)cc1	CCOc1nc2cccc(C(=O)OCc3oc(=O)oc3C)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1	train
O=C(O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1	N#CCNC(=O)c1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1	train
NC(Cc1cc(I)c(Oc2cc(I)c(OC3OC(C(=O)O)C(O)C(O)C3O)c(I)c2)c(I)c1)C(=O)O	NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O	train
CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	CCCCCCC(=O)O	train
NCCNc1cc2c(cc1F)c(=O)c(C(=O)O)cn2C1CC1	O=C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CCN1	train
N#Cc1ccnc(N2C(=O)CCC2C(=O)N(c2cncc(F)c2)C(C(N)=O)c2ccccc2Cl)c1	N#Cc1ccnc(N2C(=O)CCC2C(=O)N(c2cncc(F)c2)C(C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1	train
COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314	COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314	train
CC(CSSCC(N)C(=O)O)C(=O)N1CCCC1C(=O)O	CC(CS)C(=O)N1CCCC1C(=O)O	train
Nc1nc(C(=NO)C(=O)NC2C(=O)N3C(C(=O)O)=C(C=C4CCN(C5CCNC5)C4=O)CSC23)ns1	Cc1oc(=O)oc1COC(=O)N1CCC(N2CCC(=CC3=C(C(=O)O)N4C(=O)C(NC(=O)C(=NO)c5nsc(N)n5)C4SC3)C2=O)C1	train
COc1ccc(CN2CCNCC2)c(OS(=O)(=O)O)c1OC	COc1ccc(CN2CCNCC2)c(O)c1OC	train
CC(C)(CO)C(O)C(=O)NCCC(=O)O	CC(C)(CO)C(O)C(=O)NCCCO	train
Nc1ncnc2c1CN(c1cnc(O)c(C(F)(F)F)c1)CC2	COc1ncc(N2CCc3ncnc(N)c3C2)cc1C(F)(F)F	train
O=C(O)c1ccccc1C(=O)O	NC(=O)CCC(NC(=O)c1ccccc1C(=O)O)C(=O)O	train
NCCc1ccc(O)c(OS(=O)(=O)O)c1	NCCc1ccc(O)c(O)c1	train
CC(=O)OC1(C(C)=O)CC(O)C2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C	CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C	train
CC(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1	O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	train
CC(N)Cc1ccc(O)cc1	CNC(C)Cc1ccccc1	train
COc1ccc(Br)c(OC)c1C(=O)NCC1CCCN1	CCN1CCCC1CNC(=O)c1c(OC)ccc(Br)c1OC	train
O=C(O)c1cn[nH]c1	Cc1cn[nH]c1	train
O=C1OC(C(O)CO)C(=O)C1=O	O=C1OC(C(O)CO)C(O)=C1O	train
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(C)cc(OC)c1C2=O	COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O	train
CNC(C)(C)Cc1ccccc1	CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1	train
O=C(Nc1n[nH]c2ccc(Cc3cc(F)cc(F)c3)cc12)c1ccc(N2CCNCC2)cc1NC1CCOCC1	CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1	train
CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)O	CCCCC(C)(O)CC=CC1C(O)CC(=O)C1CCCCCCC(=O)OC	train
CC(CCc1ccccc1)n1ccc2cc(O)c(O)c(C(N)=O)c21	CC(CCc1ccccc1)NCC(O)c1cc(O)c(O)c(C(N)=O)c1	train
c1ccc2c(N3CCNCC3)nsc2c1	O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1	train
O=C(O)C(O)COc1cccc2ccccc12	CC(C)NCC(O)COc1cccc2ccccc12	train
COc1cc2c(cc1OC1OC(C(=O)O)C(O)C(O)C1O)CCC1C2CCC2(C)C(O)CCC12	CC12CCC3c4ccc(O)cc4CCC3C1CCC2O	train
CCOc1cc2c(cc1O)CCNC2=Cc1ccc(OCC)c(OCC)c1	CCOc1ccc(C=C2NCCc3cc(OCC)c(OCC)cc32)cc1OCC	train
Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1	CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1	train
N=C(N)Nc1ccc(C(=O)Oc2ccc(CC(=O)O)cc2)cc1	CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1	train
CC12CCC(=O)C=C1CC(S)C1C2CCC2(C)C1CCC21CCC(=O)O1	CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12	train
CC(C)(CO)C(O)C(=O)NCCC(=O)O	CC(C)(CO)C(O)C(=O)NCCCO	train
Nc1ncnc2c1CN(c1cnc(O)c(C(F)(F)F)c1)CC2	CCC(=O)N1CCC(Nc2ncnc3c2CN(c2cnc(O)c(C(F)(F)F)c2)CC3)C1	train
CCCCCC(O)C=CC1C(O)CC(O)C1CC(=O)CCCCC(=O)O	CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21	train
CCOc1ncc(C(=O)O)c2c1C(c1ccc(C#N)cc1O)C(C(N)=O)=C(CO)N2	CCOc1ncc(C)c2c1C(c1ccc(C#N)cc1OC)C(C(N)=O)=C(C)N2	train
CC(C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC(C)=CC(=O)O	CC(C=CC1=C(C)C(O)CCC1(C)C)=CC=CC(C)=CC(=O)O	train
O=C(O)C1OC(OCCN(CCO)CCO)C(O)C(O)C1O	OCCN(CCO)CCO	train
Cc1cccc(C)c1NC(=O)C1CCCCN1	CCCN1CCCCC1C(=O)Nc1c(C)cccc1C	train
O=C(O)CC=CCCC1C(O)CC2Cc3c(cccc3OCC(=O)O)CC21	CCCCCC(O)CCC1C(O)CC2Cc3c(cccc3OCC(=O)O)CC21	train
C=C1CC2C3CCC4CC(O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)=O	C=C1CC2C3CCC4=CC(=O)CCC4C3CCC2(C)C1(OC(C)=O)C(C)=O	train
O=c1nc(NO)ccn1C1OC(CO)C(O)C1O	CC(C)C(=O)OCC1OC(n2ccc(=NO)[nH]c2=O)C(O)C1O	train
COc1ccc(Br)c(OC)c1C(=O)NCC1(O)CCC(=O)N1	COc1ccc(Br)c(OC)c1C(=O)NCC1CCC(=O)N1	train
Cc1ccc2c(Cl)cc(Cl)c(OS(O)(O)O)c2n1	Cc1ccc2c(Cl)cc(Cl)c(O)c2n1	train
NCCCN1c2ccccc2Sc2ccc(Cl)cc21	CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21	train
O=C(O)CNC12CC3CC(CC(O)(C3)C1)C2	N#CC1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2	train
O=C1Nc2ccc([N+](=O)[O-])cc2C(c2ccccc2Cl)=NC1O	O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1	train
CC12CCC(C(=Cc3ccc(CO)cc3)C1=O)C2(C)C	Cc1ccc(C=C2C(=O)C3(C)CCC2C3(C)C)cc1	train
CC12CCC(O)CC1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	CC12CCC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	train
O=C(O)C1CCS[Pt]23SCCC(C(=O)O)N2C2CCCCC2N13	NC(CCS[Pt]1(SCCC(N)C(=O)O)NC2CCCCC2N1)C(=O)O	train
CCC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1ccccc1[N+](=O)[O-]	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)O)C1c1ccccc1[N+](=O)[O-]	train
O=C(O)Cc1ccccc1	NCCc1ccccc1	train
CC(=CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O	CC#CC(=O)N1CCCC1c1nc(-c2ccc(C(=O)Nc3ccccn3)cc2)c2c(N)nccn12	train
O=C(O)c1cc(O)c2c(c1)C(C1c3cccc(O)c3C(=O)c3c(O)cc(C(=O)O)cc31)c1cccc(O)c1C2=O	O=C(O)c1cc(O)c2c(c1)Cc1cccc(O)c1C2=O	train
O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1	train
Cc1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1Nc1nccc(-c2cccnc2)n1	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	train
NCCC(c1ccccc1)c1ccccn1	CNCCC(c1ccccc1)c1ccccn1	train
Cn1nnc(-c2ccc(-c3ccc(N4CC(C=S(=O)(O)O)OC4=O)cc3F)cn2)n1	Cn1nnc(-c2ccc(-c3ccc(N4CC(CO)OC4=O)cc3F)cn2)n1	train
Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)(=O)O)cc1	Cc1onc(-c2ccccc2)c1-c1ccc(S(=O)O)cc1	train
CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C(=O)O)c3ccccc3n1)c(=O)n2C	CC#CCn1c(N2CCCC(N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C	train
CNC(=C[N+](=O)[O-])NCCSCc1ccc(C[N+](C)(C)[O-])o1	CNC(=C[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1	train
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3	COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)O)CC3	train
CC12C=CC(=O)C=C1C(O)CC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO	train
NC(=O)N1c2ccccc2C=C(OS(=O)(=O)O)c2ccccc21	NC(=O)N1c2ccccc2CC(=O)c2ccccc21	train
