products	reactants	set
OC1OC(Oc2ccc3c4c2OC2C(OC5OC(O)C(O)C(O)C5O)C=CC5C(C3)NCCC452)C(O)C(O)C1O	CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5	train
OC1CN(CCCN2CCN(c3ccnc4cc(Cl)ccc34)CC2)CCN1c1ccnc2cc(Cl)ccc12	Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1	val
COc1ccc(CN2CCNC(=O)C2)c(OC)c1OC	COc1ccc(CN2CCNCC2)c(OC)c1OC	train
O=C1N=C(O)C(O)N1N=Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1	O=C1CN(N=Cc2ccc(-c3ccc([N+](=O)[O-])cc3)o2)C(=O)N1	train
CC(C=CC1=C(C)C(=O)CCC1(C)C)=CC=CC(C)=CC(=O)O	CC(C=CC1=C(C)C(O)CCC1(C)C)=CC=CC(C)=CC(=O)O	train
C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1	CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2	train
CCOCCn1c(N2CCCN(C)CC2)nc2cc(O)ccc21	CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21	train
COC(=O)C(c1ccccc1)C1CCCCN1	COC(=O)C(c1ccccc1)C1CCCCN1C(=O)OC[n+]1cccc(C(=O)NC(CO)C(=O)[O-])c1	train
O=C(O)CC=CCCC1C(O)CC2Cc3c(cccc3OCC(=O)O)CC21	CCCCCC(O)CCC1C(O)CC2Cc3c(cccc3OCC(=O)O)CC21	train
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CC(OC1OC(C(=O)O)C(O)C(O)C1O)C(=O)C(C)(C)O	C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C	train
O=C(CCC1C(=O)N(c2ccc(F)cc2)C1c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)c1ccc(F)cc1	O=C(CCC1C(=O)N(c2ccc(F)cc2)C1c1ccc(O)cc1)c1ccc(F)cc1	train
Clc1ccc2c(N3CCNCC3)ccnc2c1	Clc1ccc2c(N3CCN(CCCN4CCN(c5ccnc6cc(Cl)ccc56)CC4)CC3)ccnc2c1	train
CCN(CC)C(=O)C1(c2ccccc2)CC1CNC(=O)O	CCN(CC)C(=O)C1(c2ccccc2)CC1CN	train
