products	reactants	set
Clc1cccc(N2CCNCC2)c1	CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CC	train
C[C@H](N[P@@](=O)([O-])OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)C(=O)[O-]	C[C@@H]1NP(=O)(OC[C@H]2O[C@@](C#N)(c3ccc4c(N)ncnn34)[C@H](O)[C@@H]2O)OC1=O	train
N[C@@H](Cc1ccc(N(CCCl)CCCl)cc1)C(=O)N[C@@H](Cc1ccc(F)cc1)C(=O)O	CCOC(=O)[C@H](Cc1ccc(F)cc1)NC(=O)[C@@H](N)Cc1ccc(N(CCCl)CCCl)cc1	train
C[N+](C)(CC/C=C1\c2ccccc2COc2ccccc21)O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	C[N+](C)([O-])CC/C=C1\c2ccccc2COc2ccccc21	train
CC[C@H](C)C(=O)O[C@H]1C(O)CC=C2C=C(O)[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21	CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C(O)[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21	train
COc1ccc2[nH]cc(CCN)c2c1	COc1ccc2[nH]cc(CCNC(C)=O)c2c1	train
NC(=O)NS(=O)(=O)c1ccc(Cl)cc1	CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1	train
N	NC(=O)NO	train
COC(=O)c1c(C)nc(C)c(C(=O)OCC(C)O)c1-c1ccccc1[N+](=O)[O-]	COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)O)C1c1ccccc1[N+](=O)[O-]	train
CC1(C)O[C@H]2[C@H](O)[C@H](O)CO[C@@]2(COS(N)(=O)=O)O1	CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1	train
O=C(O)c1ccccc1C(=O)O	O=C1CCC(NC(=O)c2ccccc2C(=O)O)C(=O)N1	train
CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](O)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C	CCc1c(Cl)c(O)c(Cl)c(O)c1C(=O)O[C@H]1[C@H](O)[C@H](OC)[C@H](OC/C2=C\C=C\C[C@H](O)/C(C)=C/[C@H](CC)[C@@H](O[C@@H]3OC(C)(C)[C@@H](OC(=O)C(C)C)[C@H](O)[C@@H]3O)/C(C)=C/C(C)=C/C[C@@H]([C@@H](C)O)OC2=O)O[C@@H]1C	train
CC(=O)N1CCN(c2ccc(OCC3COC(CNC=N)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	CC(=O)N1CCN(c2ccc(OCC3COC(CN4C=NC(O)C4O)(c4ccc(Cl)cc4Cl)O3)cc2)CC1	train
O=c1[nH]ncc2ccccc12	NNc1nncc2ccccc12	train
NC1(c2ccccc2Cl)CC(O)CCC1=O	CNC1(c2ccccc2Cl)CC(O)CCC1=O	train
C[N+]1([O-])CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1	CN1CCC(COc2cnc(-c3cccc(Cn4nc(-c5cccc(C#N)c5)ccc4=O)c3)nc2)CC1	train
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl	O=C(O)CCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1	train
CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](O)[C@@H]1C)C4=O	CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(c3C2=O)C2=NC3(CCN(CC(C)C)CC3)NC2=C(NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)C4=O	train
CCCS(=O)c1ccc2[nH]c(NC(=O)OC)nc2c1	CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1	train
C[C@@H](N)[C@@H](O)c1ccccc1	CN[C@@H](C)[C@H](O)c1ccccc1	train
OC1N=C(c2ccccc2)c2cc(Cl)ccc2-n2cnnc21	Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2	train
CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1O	CC1(C)CC(=O)N(CCCCN2CCN(c3ncc(O)cn3)CC2)C(=O)C1	train
CCC/N=C1\SC(Cc2ccc(OC[C@H](O)CO)c(Cl)c2)C(=O)N1c1ccccc1C	CCC/N=C1\S/C(=C\c2ccc(OC[C@H](O)CO)c(Cl)c2)C(=O)N1c1ccccc1C	train
CC(=O)Nc1ccc([C@@H](O)[C@H](N)CO)cc1	Nc1ccc([C@@H](O)[C@H](N)CO)cc1	train
C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(/C)C(=O)O)C2(C)CO)CC1=O	C=CCC1=C(C)[C@@H](OC(=O)[C@@H]2[C@@H](/C=C(/C)C(=O)O)C2(C)C)CC1=O	train
CC(=O)Cc1ccccc1	CC(N)Cc1ccccc1	train
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O	train
C[NH+]1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1O	CN1CCN(c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC3CCOCC3)c2)CC1	train
COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)SC)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(N=C(O)O1)[C@H](OC)/C=C\C=C(\C)C2	COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(=O)CCC(C)(C)S)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(N=C(O)O1)[C@H](OC)/C=C\C=C(\C)C2	train
C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1C[C@@H](OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)[C@@H]2O	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](O)[C@@H]2O	train
CN(C)CC/C=C1\c2ccccc2CS(=O)c2ccccc21	CN(C)CC/C=C1\c2ccccc2CSc2ccccc21	train
O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCNCC1	O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1	train
O=P([O-])([O-])[O-]	CC(C)c1cccc(C(C)C)c1OCOP(=O)(O)O	train
C[C@]12CC[C@@H]3c4ccc(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)cc4CC[C@H]3[C@@H]1CCC2=O	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O	train
COCCCN1CCC(NC(=O)c2c(O)c(Cl)c(N)c3c2OCC3)CC1	COCCCN1CCC(NC(=O)c2cc(Cl)c(N)c3c2OCC3)CC1	train
Nc1ccc(S(=O)(=O)Nc2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cn2)cc1	Nc1ccc(S(=O)(=O)Nc2ccc(O)cn2)cc1	train
NN1CCOC1=O	O=C1OCCN1/N=C/c1ccc([N+](=O)[O-])o1	train
COc1ccc(N)c(C(=O)Nc2ccc(Cl)cn2)c1	COc1ccc(NC(=O)c2ccc(C(=N)N(C)C)cc2)c(C(=O)Nc2ccc(Cl)cn2)c1	train
O=c1cc(CO)[nH]c(=O)[nH]1	N=C1CCCN1Cc1[nH]c(=O)[nH]c(=O)c1Cl	train
O[C@]1(OC(c2ccccc2)c2ccccc2)C[C@H]2CC[C@@H](C1)N2	c1ccc(C(O[C@H]2C[C@H]3CC[C@@H](C2)N3)c2ccccc2)cc1	train
