reactants	products	set	tanimoto
O=C(CO)C(O)C(O)COP(=O)(O)O	O=CC(O)COP(=O)(O)O	train	0.4375
NC(CCC=O)C(=O)O	NC(CCC(=O)O)C(=O)O	train	0.52
NCCCCCN	NCCCCCNCCCN	train	0.5333333333333333
O=C(O)COP(=O)(O)O	O=C(O)CO	train	0.3
CSP(O)(O)=S	CSP(=O)(O)O	train	0.4666666666666667
CCCCCCCCCCCCCC=CC(O)C(N)COP(=O)([O-])OCC[N+](C)(C)C	CCCCCCCCCCCCCC=CC(O)C(COP(=O)([O-])OCC[N+](C)(C)C)NC(C)=O	train	0.7017543859649122
[H]NC(=O)CCCCC(S)CCS	[H]N=C(O)CCCCC(S)CCSC(=O)CCC(=O)O	train	0.3846153846153846
C=C(CC)C(=O)c1ccc(OCC(=O)SCC(N=C(O)CCC(N)C(=O)O)C(=O)NCC(=O)O)c(Cl)c1Cl	CCCCCC=CCC=CC=CC=CC(SCC(N=C(O)CCC(N)C(=O)O)C(=O)O)C(O)CCCC(=O)O	train	0.3229166666666667
NCCC(=O)NC(Cc1c[nH]cn1)C(=O)O	NC(Cc1c[nH]cn1)C(=O)O	train	0.5476190476190477
CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)O	NC(Cc1ccc(O)cc1)C(=O)O	train	0.6285714285714286
O=C1C=C2CCC3C4CCCC4CCC3C2CC1	O=C1CCC2CCCC2C1CCc1cccc(O)c1	train	0.2631578947368421
Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	train	0.6774193548387096
Cc1c2ccccc2c(COS(=O)(=O)O)c2ccc3ccccc3c12	Cc1c2ccccc2c(CO)c2ccc3ccccc3c12	train	0.6
CC(=O)CC(=O)O	O=C(O)CCC(=O)O	train	0.375
[H]NC(=O)CC(N)C(=O)O	NC(Cc1ccccc1)C(=O)O	train	0.3928571428571428
CC(CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C)C(O)O	CC(C=O)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C	train	0.7627118644067796
Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O	train	0.6181818181818182
NC(=O)NCCCC(N)C(=O)O	CN(C)C(=N)NCCCC(N)C(=O)O	train	0.6060606060606061
CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	CCCCCCCC=CCCCCCCCC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C(C)CCCC(C)C)CCC32)C1	train	0.6428571428571429
OCC1OC(OCC2OC(OCC3OC(OC4(CO)OC(CO)C(O)C4O)C(O)C(O)C3O)C(O)C(O)C2O)C(O)C(O)C1O	OCC1OC(O)C(O)C(O)C1O	train	0.3414634146341463
CC(C)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	CC(CO)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C	train	0.82
