products	reactants	set
Cc1nc(O)[nH]c1CN1CCc2c(c3cccc(O)c3n2C)C1=O	Cc1nc[nH]c1CN1CCc2c(c3ccccc3n2C)C1=O	train
Cc1cccc(C)c1OCC(C)OC1OC(C(=O)O)C(O)C(O)C1O	Cc1cccc(C)c1OCC(C)O	train
O=C(O)Cc1ccccc1Nc1c(Cl)cc(O)cc1Cl	O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl	train
C=C(C)c1ccc(OC)c(CNC2C3CCN(CC3)C2C(c2ccccc2)c2ccccc2)c1	COc1ccc(C(C)C)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1	train
CC1(C)Cc2c(-c3ccc(O)cc3)c(-c3ccc(Cl)cc3)c(CC(=O)OC3OC(C(=O)O)C(O)C(O)C3O)n2C1	CC1(C)Cc2c(-c3ccc(O)cc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1	train
CN(C)CCc1c[nH]c2ccc(O)cc12	COc1ccc2[nH]cc(CCN(C)C)c2c1	train
CC(=O)Nc1ccc(O)c(C(=O)O)c1	Nc1ccc(O)c(C(=O)O)c1	train
CCC(=O)N(c1ccccc1)C1(COC)CCNCC1	CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1	train
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccc(O)cc12	O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12	train
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2OC2OC(C(=O)O)C(O)C(O)C2O)c1	C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1	train
COc1cc2c(cc1OC)C1(O)C(=O)c3ccc4c(c3OC1CO2)CC(C1(C)CO1)O4	C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1	train
CNCCC=C1c2ccccc2COc2ccccc21	CN(C)CCC=C1c2ccccc2COc2ccccc21	train
C=CCS[S+]([O-])CC=C	C=CCSSCC=C	train
CC(NC(C)(C)C)C(=O)c1cc(O)cc(Cl)c1	CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1	train
COc1ccc(-c2oc3ccc(OC)cc3c(=O)c2OC2OC(C(=O)O)C(O)C(O)C2O)cc1	COc1ccc(-c2oc3ccc(OC)cc3c(=O)c2O)cc1	train
