products	reactants	set
CC(C)(O)C(O)=Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	CC(C)C(O)=Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	train
CN(C)CCOC1=Cc2ccccc2S(=O)c2ccc(Cl)cc21	CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21	train
Cc1cc(/N=N/c2ccc(O)cc2C)ccc1N	Cc1cc(/N=N/c2ccccc2C)ccc1N	train
O=C(OC1CC2CCC(C1)N2)c1c[nH]c2ccccc12	CN1[C@@H]2CC[C@H]1CC(OC(=O)c1c[nH]c3ccccc13)C2	train
CC(=O)C[C@@H](c1ccccc1)c1c(O)c2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc2oc1=O	CC(=O)C[C@@H](c1ccccc1)c1c(O)c2cc(O)ccc2oc1=O	train
Cc1c(O)cnc2c1N=C(O)c1cccnc1N2C1CC1	Cc1ccnc2c1N=C(O)c1cccnc1N2C1CC1	train
C=C(C(=O)c1c(O)cc(O)cc1O)c1ccc(O)cc1	O=C1c2c(O)cc(O)cc2OCC1c1ccc(O)cc1	train
CCCC(O)CCOc1ccc2ccc(=O)oc2c1	CCCCCCOc1ccc2ccc(=O)oc2c1	train
C[C@]12CC[C@@H]3c4ccc(O)c(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)c4CC[C@H]3[C@@H]1CCC2=O	C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CCC2=O	train
c1ccc2c(c1)Cc1cccnc1N1CCNCC21	CN1CCN2c3ncccc3Cc3ccccc3C2C1	train
CC(O)=Nc1ccc(C)cc1C	Cc1ccc(N)c(C)c1	train
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)c(O)c3)c(CC(=O)O)n2C1	CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1	train
C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CCC2=O	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O	train
CNC(C)Cc1ccc(O)cc1	CN[C@H](C)Cc1ccc(OC)cc1	train
CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](N=C(O)OC(C)(C)CO)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](N=C(O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C	train
C1=CC2OC2c2cc3ccc4cccc5ccc(c21)c3c45	c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	train
COc1cc(C(C#N)(CCCN(C)CCc2ccc(OC)c(OC)c2)C(C)C)ccc1O	COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	train
O=S(=O)(O)OCCc1ccc2ccc3cccc4ccc1c2c34	OCCc1ccc2ccc3cccc4ccc1c2c34	train
C=Cc1cccc2cc(C(O)CNC(C)(C)C)oc12	CCc1cccc2cc(C(O)CNC(C)(C)C)oc12	train
CNCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1	COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1	train
O=C(O)[C@H]1OC(Oc2cc3oc(-c4ccccc4)cc(=O)c3cc2O)[C@H](O)[C@@H](O)[C@@H]1O	O=c1cc(-c2ccccc2)oc2cc(O)c(O)cc12	train
COc1ccccc1OCCNCC(COc1cccc2[nH]c3ccccc3c12)OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12	train
Nc1cc(C(F)(F)F)c([N+](=O)[O-])cc1O	Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	train
Cc1cc(O)ccc1-n1c(C)nc2ccccc2c1=O	Cc1ccccc1-n1c(C)nc2ccccc2c1=O	train
CCCN(CCC)CCc1ccc(OC)c(OCCc2cccc(O)c2)c1	CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1	train
O=C(OC1C[C@@H]2CC3C[C@H](C1)N2C[C@H]3O)c1c[nH]c2cc(O)ccc12	O=C(OC1C[C@@H]2CC3C[C@H](C1)N2C[C@H]3O)c1c[nH]c2ccccc12	train
CNCC[C@@H](Oc1ccccc1CO)c1ccccc1	CNCC[C@H](Oc1ccccc1C)c1ccccc1	train
CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccc(O)cc1	CN(C(=O)c1c(O)c2ccccc2n(C)c1=O)c1ccccc1	train
CC1(C)[C@@H]2CC[C@@]3(C)[C@@H](C2)[C@@H](C(=O)O)CC[C@@]13OC1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	CC1(C)[C@@H]2CC[C@@]3(C)[C@@H](C2)[C@@H](C(=O)O)CC[C@@]13O	train
CC(/C=C/C12OC1(C)CCCC2(C)C)=C\C=C\C(C)=C\C(=O)O	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)C(C)(C)CCC1	train
C/C=C/CC(C)C(O)C1C(O)=NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(O)=NC(C(C)C)C(=O)N(C)C(CC(C)C)C(O)=NC(C)C(O)=NC(COCCO)C(=O)N(C)C(CC(C)C)C(O)=NC(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C	C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(O)=N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C)C(O)=N[C@H](COCCO)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C	train
COc1ccc(CC=O)cc1OC	COc1ccc(CCNCCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC	train
