parent_id	parent_name	child_id	child_name	enzymes	origin	reactants	products	source	tanimoto	set	TB_Cluster	possible_products
DB00295	Morphine	DB00318	Codeine		DB00318	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341	DrugBank	0.7884615384615384	train	1	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341.CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5.CN1CCC23c4c5ccc(OS(=O)(=O)O)c4OC2C(OS(=O)(=O)O)C=CC3C1C5.Oc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341.CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(O)C=CC3C1C5
DB00295	Morphine	DB06409	Morphine glucuronide	UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 1A8, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 2B4, UDP-glucuronosyltransferase 1A3	DB00318	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5	Both	0.6119402985074627	train	1	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341.CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5.CN1CCC23c4c5ccc(OS(=O)(=O)O)c4OC2C(OS(=O)(=O)O)C=CC3C1C5.Oc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341.CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(O)C=CC3C1C5
DB00318	Codeine	DB00295	Morphine	Cytochrome P450 2D6	DB00295	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	Both	0.7884615384615384	train	1	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5.COc1ccc2c3c1OC1C(O)C=CC4C(C2)NCCC341.COc1ccc2c3c1OC1C(OC4OC(C(=O)O)C(O)C(O)C4O)C=CC4C(C2)N(C)CCC341
DB00542	Benazepril	DB14125	Benazeprilat		DB00542	CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O	O=C(O)CN1C(=O)C(NC(CCc2ccccc2)C(=O)O)CCc2ccccc21	DrugBank	0.8	train	1	O=C(O)CN1C(=O)C(NC(CCc2ccccc2)C(=O)O)CCc2ccccc21
DB00557	Hydroxyzine	DB00341	Cetirizine	Cytochrome P450 3A4, Cytochrome P450 3A5	DB00557	OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1	DrugBank	0.7446808510638298	train	1	O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
DB00829	Diazepam	DB14028	Nordazepam	Cytochrome P450 2C9, Cytochrome P450 2B6, Cytochrome P450 2C19, Cytochrome P450 3A5, Cytochrome P450 3A4	DB00829	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1	DrugBank	0.5416666666666666	train	1	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1.CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21.OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1
DB00829	Diazepam	DB00231	Temazepam	Prostaglandin G/H synthase 1, Cytochrome P450 2C19	DB00829	CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21	Both	0.5918367346938775	train	1	O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1.CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21.OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1
DB00907	Cocaine	DB01515	Benzoylecgonine		DB00907	COC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C	CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2	DrugBank	0.8	train	1	CN1C2CCC1C(C(=O)O)C(OC(=O)c1ccccc1)C2.COC(=O)C1C2CCC(CC1C(=O)Oc1ccccc1)N2.CCOC(=O)C1C(OC(=O)c2ccccc2)CC2CCC1N2C.COC(=O)C1C2CCC(CC1OC(=O)c1ccccc1)N2
DB00956	Hydrocodone	DB00327	Hydromorphone	Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 2C19	DB15465	COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314	CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5	Both	0.7777777777777778	train	1	CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5.COc1ccc2c3c1OC1C(=O)CCC4C(C2)NCCC314.COc1ccc2c3c1OC1C(O)CCC4C(C2)N(C)CCC341
DB01086	Benzocaine	DB02362	Aminobenzoic acid		DB01086	CCOC(=O)c1ccc(N)cc1	Nc1ccc(C(=O)O)cc1	DrugBank	0.4814814814814814	train	1	Nc1ccc(C(=O)O)cc1.CCOC(=O)c1ccc(NC(C)=O)cc1.CCOC(=O)c1ccc(NO)cc1
