parent_id	parent_name	child_id	child_name	enzymes	origin	reactants	products	source	tanimoto	set	TB_Cluster	possible_products
DB00295	Morphine	DB06409	Morphine glucuronide	UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 1A8, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 2B4, UDP-glucuronosyltransferase 1A3	DB00318	CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5	CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5	Both	0.6119402985074627	train	1	CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5.CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(O)C=CC3C1C5
DB00472	Fluoxetine		Fluoxetine glucuronide	UDP-glucuronosyltransferases (UGTs)	DB00472	CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1	CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O	Both	0.4915254237288136	train	1	CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O
DB00780	Phenelzine	DB09269	Phenylacetic acid		DB00780	NNCCc1ccccc1	O=C(O)Cc1ccccc1	DrugBank	0.3333333333333333	train	1	O=C(O)Cc1ccccc1
DB04325	Phenethylamine	DB09269	Phenylacetic acid		DB00780	NCCc1ccccc1	O=C(O)Cc1ccccc1	DrugBank	0.375	train	1	O=C(O)Cc1ccccc1
DB15661	Molnupiravir	DB15660	N4-Hydroxycytidine		DB15661	CC(C)C(=O)OCC1OC(n2ccc(=NO)[nH]c2=O)C(O)C1O	O=c1nc(NO)ccn1C1OC(CO)C(O)C1O	DrugBank	0.3333333333333333	train	1	O=c1nc(NO)ccn1C1OC(CO)C(O)C1O
DB00231	Temazepam	DBMET00650	Oxazepam glucuronide		DB00829	CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21	O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O	DrugBank	0.3623188405797101	train	1	O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O
DB06700	Desvenlafaxine	DBMET00967	O-Desmethylvenlafaxine glucuronide		DB00285	CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1	NCC(c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)C1(O)CCCCC1	DrugBank	0.3278688524590163	train	1	NCC(c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)C1(O)CCCCC1.CN(C)CC(c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1)C1(O)CCCCC1
DB00316	Acetaminophen	DBMET00580	Acetaminophen glucuronide	UDP-glucuronosyltransferase 1A9, UDP-glucuronosyltransferase 1-6, UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 1A10	DB03783	CC(=O)Nc1ccc(O)cc1	CC(=O)Nc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1	Both	0.3658536585365853	train	1	CC(=O)Nc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1
DB00318	Codeine	DBMET00660	Codeine-6-glucuronide	UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 2B4	DB00318	COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341	COc1ccc2c3c1OC1C(OC4OC(C(=O)O)C(O)C(O)C4O)C=CC4C(C2)N(C)CCC341	Both	0.6376811594202898	train	1	COc1ccc2c3c1OC1C(OC4OC(C(=O)O)C(O)C(O)C4O)C=CC4C(C2)N(C)CCC341
DB00327	Hydromorphone	DBMET00866	Hydromorphone-3-glucuronide	UDP-glucuronosyltransferase 1A3, UDP-glucuronosyltransferase 2B7	DB15465	CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5	CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(=O)CCC3C1C5	Both	0.6323529411764706	train	1	CN1CCC23c4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)c4OC2C(=O)CCC3C1C5
