parent_smiles	parent_name	child_name	child_smiles	set
CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	flutamide	2-OH-flutamide	CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	train
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21	zotepine	Zotepine -oxide	CN(C)CCOC1=Cc2ccccc2[S+]([O-])c2ccc(Cl)cc21	train
Cc1cc(N=Nc2ccccc2C)ccc1N	[2-methyl-4-(o-tolylazo)phenyl]amine	4'-hydroxy-o-aminoazotoJuene	Cc1cc(N=Nc2ccc(O)cc2C)ccc1N	train
CN1C2CCC1CC(OC(=O)c1c[nH]c3ccccc13)C2	tropisetron		O=C(OC1CC2CCC(C1)N2)c1c[nH]c2ccccc12	train
CC(=O)CC(c1ccccc1)c1c(O)c2cc(O)ccc2oc1=O	6-Hydroxywarfarin	Warfarin 6-O-glucuronide	CC(=O)CC(c1ccccc1)c1c(O)c2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc2oc1=O	train
Cc1ccnc2c1N=C(O)c1cccnc1N2C1CC1	nevirapine	3-OH-nevirapine	Cc1c(O)cnc2c1N=C(O)c1cccnc1N2C1CC1	train
O=C1c2c(O)cc(O)cc2OCC1c1ccc(O)cc1	Dihydrogenistein		C=C(C(=O)c1c(O)cc(O)cc1O)c1ccc(O)cc1	train
CCCCCCOc1ccc2ccc(=O)oc2c1	schembl14329530		CCCC(O)CCOc1ccc2ccc(=O)oc2c1	train
CC12CCC3c4ccc(O)c(O)c4CCC3C1CCC2=O	4-hydroxyestrone	Estrone 4-O-glucuronide	CC12CCC3c4ccc(O)c(OC5OC(C(=O)O)C(O)C(O)C5O)c4CCC3C1CCC2=O	train
CN1CCN2c3ncccc3Cc3ccccc3C2C1	Mirtazapine	N-Desmethylmirtazapine	c1ccc2c(c1)Cc1cccnc1N1CCNCC21	train
Cc1ccc(N)c(C)c1	2,4-dimethylaniline	 2,4Ã¢â‚¬Âdimethylacetanilide	CC(=O)Nc1ccc(C)cc1C	train
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1	licofelone	licofelone M2	CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)c(O)c3)c(CC(=O)O)n2C1	train
CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O	estrone	2-OH-estrone	CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2=O	train
CNC(C)Cc1ccc(OC)cc1	p-Methoxymethamphetamine, R-(-)-	HO-MA	CNC(C)Cc1ccc(O)cc1	train
CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)C)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C	docetaxel	Hydroxy-Docetaxel	CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)OC(C)(C)CO)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C	train
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34	Benzo[a]pyrene	Benzo[a]pyrene-7,8-epoxide	C1=CC2OC2c2cc3ccc4cccc5ccc(c21)c3c45	train
