parent_smiles	parent_name	child_name	child_smiles	set
CC(C)C(O)=Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	flutamide	2-OH-flutamide	CC(C)(O)C(O)=Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1	train
CN(C)CCOC1=Cc2ccccc2Sc2ccc(Cl)cc21	zotepine	Zotepine -oxide	CN(C)CCOC1=Cc2ccccc2S(=O)c2ccc(Cl)cc21	train
Cc1cc(/N=N/c2ccccc2C)ccc1N	[2-methyl-4-(o-tolylazo)phenyl]amine	4'-hydroxy-o-aminoazotoJuene	Cc1cc(/N=N/c2ccc(O)cc2C)ccc1N	train
CN1[C@@H]2CC[C@H]1CC(OC(=O)c1c[nH]c3ccccc13)C2	tropisetron		O=C(OC1CC2CCC(C1)N2)c1c[nH]c2ccccc12	train
CC(=O)C[C@@H](c1ccccc1)c1c(O)c2cc(O)ccc2oc1=O	6-Hydroxywarfarin	Warfarin 6-O-glucuronide	CC(=O)C[C@@H](c1ccccc1)c1c(O)c2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc2oc1=O	train
Cc1ccnc2c1N=C(O)c1cccnc1N2C1CC1	nevirapine	3-OH-nevirapine	Cc1c(O)cnc2c1N=C(O)c1cccnc1N2C1CC1	train
O=C1c2c(O)cc(O)cc2OCC1c1ccc(O)cc1	Dihydrogenistein		C=C(C(=O)c1c(O)cc(O)cc1O)c1ccc(O)cc1	train
CCCCCCOc1ccc2ccc(=O)oc2c1	schembl14329530		CCCC(O)CCOc1ccc2ccc(=O)oc2c1	train
C[C@]12CC[C@@H]3c4ccc(O)c(O)c4CC[C@H]3[C@@H]1CCC2=O	4-hydroxyestrone	Estrone 4-O-glucuronide	C[C@]12CC[C@@H]3c4ccc(O)c(O[C@@H]5O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]5O)c4CC[C@H]3[C@@H]1CCC2=O	train
CN1CCN2c3ncccc3Cc3ccccc3C2C1	Mirtazapine	N-Desmethylmirtazapine	c1ccc2c(c1)Cc1cccnc1N1CCNCC21	train
Cc1ccc(N)c(C)c1	2,4-dimethylaniline	 2,4Ã¢â‚¬Âdimethylacetanilide	CC(O)=Nc1ccc(C)cc1C	train
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1	licofelone	licofelone M2	CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)c(O)c3)c(CC(=O)O)n2C1	train
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CCC2=O	estrone	2-OH-estrone	C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CCC2=O	train
CN[C@H](C)Cc1ccc(OC)cc1	p-Methoxymethamphetamine, R-(-)-	HO-MA	CNC(C)Cc1ccc(O)cc1	train
