parent_id,parent_name,child_id,child_name,parent_smiles,child_smiles,origin,source
DB00169,Cholecalciferol,DB00136,Calcitriol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,DB00169,DrugBank Augmented
DB00318,Codeine,DB06409,Morphine glucuronide,COc1ccc2c3c1OC1C(O)C=CC4C(C2)N(C)CCC341,CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,DB00318,DrugBank Augmented
DB15566,Prednisolone acetate,DB00635,Prednisone,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DB15566,DrugBank Augmented
DB15465,Benzhydrocodone,DB00327,Hydromorphone,COc1ccc2c3c1OC1C(OC(=O)c4ccccc4)=CCC4C(C2)N(C)CCC314,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,DB15465,DrugBank Augmented
DB09419,Xylose,DB03947,D-Xylulose,O=CC(O)C(O)C(O)CO,O=C(CO)C(O)C(O)CO,DB09419,DrugBank Augmented
DB00169,Cholecalciferol,DB00136,Calcitriol,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,DB00169,DrugBank Augmented
DB09419,Xylose,DB03947,D-Xylulose,O=CC(O)C(O)C(O)CO,O=C(CO)C(O)C(O)CO,DB09419,DrugBank Augmented
DB11358,,DB00154,Dihomo-gamma-linolenic acid,,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,DB11358,DrugBank Augmented
DB13854,Gamolenic acid,DB04557,Arachidonic Acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented
DB11358,,DB00154,Dihomo-gamma-linolenic acid,,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,DB11358,DrugBank Augmented
DB13854,Gamolenic acid,DB04557,Arachidonic Acid,CCCCCC=CCC=CCC=CCCCCC(=O)O,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,DB13854,DrugBank Augmented
