parent_id,parent_name,child_id,child_name,parent_smiles,child_smiles,origin,source
DB03766,Propanoic acid,DB04045,(R)-methylmalonyl-CoA,CCC(=O)O,CC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,DB03766,DrugBank Augmented
DB02912,Propanoyl-CoA,DB03699,Succinyl-Coenzyme A,CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)CCC(=O)O,DB02912,DrugBank Augmented
DB09301,,DB11195,Xylitol,,OCC(O)C(O)C(O)CO,DB09301,DrugBank Augmented
DB11358,,DB00154,Dihomo-gamma-linolenic acid,,CCCCCC=CCC=CCC=CCCCCCCC(=O)O,DB11358,DrugBank Augmented
DB13959,,DB04557,Arachidonic Acid,,CCCCCC=CCC=CCC=CCC=CCCCC(=O)O,DB13959,DrugBank Augmented
DB00145,Glycine,DBMET03082,Dihydrolipoamide,NCC(=O)O,NC(=O)CCCCC(S)CCS,DB00145,DrugBank Augmented
DB11635,,DBMET02310,13'-hydroxy-alpha-tocopherol,,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)CO)O2,DB11635,DrugBank Augmented
DB00451,Levothyroxine,DBMET02273,Diiodothyronine,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DB00451,DrugBank Augmented
DB00451,Levothyroxine,DBMET02274,Monoiodothyronine,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1ccc(Oc2ccc(O)cc2)c(I)c1)C(=O)O,DB00451,DrugBank Augmented
DB00451,Levothyroxine,DBMET00559,Triiodothyronine sulfate,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(OS(=O)(=O)O)c(I)c2)c(I)c1)C(=O)O,DB00451,DrugBank Augmented
DB00451,Levothyroxine,DBMET02578,Reverse triiodothyronine (rT3),NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1ccc(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,DB00451,DrugBank Augmented
DB03255,Phenol,DBMET02100,hydroquinone glucuronide,Oc1ccccc1,O=C(O)C1C(O)C(O)C(O)C(O)C1Oc1ccc(O)cc1,DB03255,DrugBank Augmented
DB03255,Phenol,DBMET02101,hydroquinone sulfate,Oc1ccccc1,O=S(=O)(O)Oc1ccc(O)cc1,DB03255,DrugBank Augmented
DB11358,,DBMET02087,15-HETrE,,CCCCCC(O)C=CC=CCC=CCCCCCCC(=O)O,DB11358,DrugBank Augmented
DB11358,,DBMET02086,Prostaglandin E1,,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,DB11358,DrugBank Augmented
DB01955,"1,4-Butanediol",DBMET01477,Succinic Acid,OCCCCO,O=C(O)CCC(=O)O,DB01955,DrugBank Augmented
DB09301,,DBMET02088,α-D-galactose,,OCC1OC(O)C(O)C(O)C1O,DB09301,DrugBank Augmented
DB13959,,DBMET03467,Docosahexaenoic acid,,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)O,DB13959,DrugBank Augmented
DB13959,,DBMET03466,Eicosapentaenoic acid,,CCC=CCC=CCC=CCC=CCC=CCCCC(=O)O,DB13959,DrugBank Augmented
DB00145,Glycine,DB00166,Lipoic acid,NCC(=O)O,O=C(O)CCCCC1CCSS1,DB00145,DrugBank Augmented
DB11635,,DBMET02311,13'-carboxy-alpha-tocopherol,,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C(=O)O)O2,DB11635,DrugBank Augmented
DB05109,Trabectedin,DBMET01137,Trabectedin metabolite M16e,COc1cc2c(cc1O)CCNC21CSC2c3c(OC(C)=O)c(C)c4c(c3C(COC1=O)N1C(O)C3Cc5cc(C)c(OC)c(O)c5C(C21)N3C)OCO4,COc1cc2c(cc1O)CCNC21CSC2c3c(OC(C)=O)c(C)c4c(c3C(COC1=O)N1C(=O)C3Cc5cc(CC(=O)O)c(OC)c(O)c5C(C21)N3C)OCO4,DB05109,DrugBank Augmented
DB06419,Cethromycin,DBMET03135,"N,N-didesmethyl cethromycin",CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OCC=Cc2cnc3ccccc3c2)CC(C)C(=O)C(C)C2NC(=O)OC12C,CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N)C2O)C(C)(OCC=Cc2cnc3ccccc3c2)CC(C)C(=O)C(C)C2NC(=O)OC12C,DB06419,DrugBank Augmented
DB06419,Cethromycin,DBMET03137,10-hydroxy-N-desmethyl cethromycin,CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OCC=Cc2cnc3ccccc3c2)CC(C)C(=O)C(C)C2NC(=O)OC12C,CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(NC)C2O)C(C)(OCC=Cc2cnc3ccccc3c2)CC(C)C(=O)C(CO)C2NC(=O)OC12C,DB06419,DrugBank Augmented
DB08949,Inositol nicotinate,DBMET01487,Inositol tetranicotinate,O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,O=C(OC1C(O)C(O)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,DB08949,DrugBank Augmented
DB09059,Atosiban,DBMET02066,Large Fragment Metabolite (Atosiban),CCOc1ccc(CC2NC(=O)CCSSCC(C(=O)N3CCCC3C(=O)NC(CCCN)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(C(C)O)NC(=O)C(C(C)CC)NC2=O)cc1,CCOc1ccc(CC(NC(=O)CCS)C(=O)NC(C(=O)NC(C(=O)NC(CC(N)=O)C(=O)NC(CS)C(=O)N2CCCC2C(=O)O)C(C)O)C(C)CC)cc1,DB09059,DrugBank Augmented
DB09059,Atosiban,DBMET02067,Small Fragment Metabolite (Atosiban),CCOc1ccc(CC2NC(=O)CCSSCC(C(=O)N3CCCC3C(=O)NC(CCCN)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(C(C)O)NC(=O)C(C(C)CC)NC2=O)cc1,NCCCC(N)C(=O)NCC(N)=O,DB09059,DrugBank Augmented
DB09116,Calcium carbimide,DBMET01897,cyanide,N=C=N,C#N,DB09116,DrugBank Augmented
DB09116,Calcium carbimide,DBMET01898,nitroxyl,N=C=N,N=O,DB09116,DrugBank Augmented
DB11094,,DBMET00608,25-Hydroxyvitamin D2 25-(beta-glucuronide),,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)(C)OC1OC(C(=O)O)C(O)C(O)C1O,DB11094,DrugBank Augmented
DB09301,,DBMET02089,galactose-1-phosphate,,O=P(O)(O)OC1OC(O)C(O)C(O)C1O,DB09301,DrugBank Augmented
DB12489,,DBMET03571,S-methyl-DM4,,COc1cc2cc(c1Cl)N(C)C(=O)CC(OC(=O)C(C)N(C)C(=O)CCC(C)(C)SC)C1(C)OC1C(C)C1CC(O)(N=C(O)O1)C(OC)C=CC=C(C)C2,DB12489,DrugBank Augmented
DB13293,,DBMET02107,9-O-demethylemetine glucuronide,,CCC1CN2CCC3C=C(OC)C(OC)=CC3(O)C2CC1CC1NCCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)c(OC)cc21,DB13293,DrugBank Augmented
DB13293,,DBMET02106,Cephaeline 6'-O-glucuronide,,CCC1CN2CCc3cc(OC)c(OC)cc3C2CC1CC1NCCc2cc(OC3OC(C(=O)O)C(O)C(O)C3O)c(OC)cc21,DB13293,DrugBank Augmented
DB13928,Semaglutide,DBMET01887,U6 semaglutide,CCC(C)C(NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(=O)O)NC(=O)C(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(NC(=O)CCCCCCCCCCCCCCCCC(=O)O)C(=O)O)NC(=O)C(C)NC(=O)C(C)NC(=O)C(CCC(N)=O)NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(CO)NC(=O)C(NC(=O)C(CC(=O)O)NC(=O)C(CO)NC(=O)C(NC(=O)C(Cc1ccccc1)NC(=O)C(NC(=O)CNC(=O)C(CCC(=O)O)NC(=O)C(C)(C)NC(=O)C(N)Cc1cnc[nH]1)C(C)O)C(C)O)C(C)C)C(=O)NC(C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(C(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)NC(CCCNC(=N)N)C(=O)NCC(=O)O)C(C)C,NC(CCCCNC(=O)COCCOCCNC(=O)COCCOCCNC(=O)CCC(NC(=O)CCC(=O)O)C(=O)O)C(=O)O,DB13928,DrugBank Augmented
DB14009,,DBMET02064,11-Nor-9-carboxy-THC (THC-COOH),,CCCCCc1cc(O)c2c(c1)OC(C)(C)C1CCC(C(=O)O)=CC21,DB14009,DrugBank Augmented
DB15719,,DBMET03202,Monomethyl Auristatin-F M2 Metabolite,,CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(Cc1ccccc1)C(=O)O)OC)N(C)C(=O)C(NC(=O)C(N)C(C)C)C(C)C,DB15719,DrugBank Augmented
DB15719,,DBMET03203,Monomethyl Auristatin-F M3 Metabolite,,CCC(C)C(C(CC(=O)N1CCCC1C(OC)C(C)C(=O)NC(Cc1ccccc1)C(=O)O)OC)N(C)C(=O)C(N)C(C)C,DB15719,DrugBank Augmented
DB15719,,DBMET03204,Monomethyl Auristatin-F M6 Metabolite,,CCC(C)C(C(CC(=O)N1CCCC1C(O)C(C)C(=O)NC(Cc1ccccc1)C(=O)O)OC)N(C)C(=O)C(NC(=O)C(NC)C(C)C)C(C)C,DB15719,DrugBank Augmented
DB11635,,DBMET02320,alpha-carboxydimethyldecadienylhydroxychromanol,,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCC(=O)O)O2,DB11635,DrugBank Augmented
DB00718,,DBMET01175,Adefovir Diphosphate,,Nc1ncnc2c1ncn2CCOCP(=O)(O)OP(=O)(O)OP(=O)(O)O,DB00718,DrugBank Augmented
DB08949,Inositol nicotinate,DBMET01488,Inositol trinicotinate,O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,O=C(OC1C(O)C(O)C(O)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,DB08949,DrugBank Augmented
DB09301,,DB03501,Galactose-uridine-5'-diphosphate,,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1,DB09301,DrugBank Augmented
DB12095,,DBMET03554,M2 telotristat,,Cc1ccn(-c2cc(Cl)ccc2C(Oc2cc(-c3ccc(CCO)cc3)nc(N)n2)C(F)(F)F)n1,DB12095,DrugBank Augmented
DB11635,,DBMET02321,alpha-carboxydimethyloctenylhydroxychromanol,,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)C(=O)O)O2,DB11635,DrugBank Augmented
DB08949,Inositol nicotinate,DBMET01489,Inositol dinicotinate,O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,O=C(OC1C(O)C(O)C(O)C(O)C1OC(=O)c1cccnc1)c1cccnc1,DB08949,DrugBank Augmented
DB12095,,DBMET03555,LP-951757,,Cc1ccn(-c2cc(Cl)ccc2C(Oc2cc(-c3ccc(C(=O)CO)cc3)nc(N)n2)C(F)(F)F)n1,DB12095,DrugBank Augmented
DB11251,,DBMET02038,CDMHHC,,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCC(=O)O)O2,DB11251,DrugBank Augmented
DB08949,Inositol nicotinate,DBMET01490,Inositol mononicotinate,O=C(OC1C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C(OC(=O)c2cccnc2)C1OC(=O)c1cccnc1)c1cccnc1,O=C(OC1C(O)C(O)C(O)C(O)C1O)c1cccnc1,DB08949,DrugBank Augmented
DB11251,,DBMET02039,CMBHC,,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)C(=O)O)O2,DB11251,DrugBank Augmented
DB11251,,DBMET02040,CEHC,,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCC(=O)O)O2,DB11251,DrugBank Augmented
,butadiene,,diepoxybutane (DEB),C=CC=C,C1OC1C1CO1,butadiene,MetXBioDB Augmented
,Urethane,,Vinyl carbamate epoxide,CCOC(N)=O,NC(=O)OC1CO1,Urethane,MetXBioDB Augmented
,phenol,,catechol sulfate,Oc1ccccc1,O=S(=O)(O)Oc1ccccc1O,phenol,MetXBioDB Augmented
,phenol,,,Oc1ccccc1,O=C(O)C1OC(Oc2ccccc2O)C(O)C(O)C1O,phenol,MetXBioDB Augmented
