parent_name,child_name,parent_smiles,child_smiles,source,is_duplicate
acetaminophen,N-Acetyl-p-benzoquinone,CC(=O)Nc1ccc(O)cc1,CC(=O)N=C1C=CC(=O)C=C1,MetXBioDB,True
(R)-halothane,trifluoroacetic acid,FC(F)(F)C(Cl)Br,O=C(O)C(F)(F)F,MetXBioDB,True
(R)-halothane,"1-chloro-2,2,2-trifluoroethanide",FC(F)(F)C(Cl)Br,FC(F)(F)CCl,MetXBioDB,True
"(4R)-5-(methoxycarbonyl)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3-carboxylic acid",OPC-13463,COC(=O)C1=C(C)NC(C)=C(C(=O)O)C1c1cccc([N+](=O)[O-])c1,COC(=O)c1c(C)nc(C)c(C(=O)O)c1-c1cccc([N+](=O)[O-])c1,MetXBioDB,True
Dehydroxyzyleuton,Dehydroxyzyleuton sulfoxide,CC(NC(N)=O)c1cc2ccccc2s1,CC(NC(N)=O)c1cc2ccccc2[s+]1[O-],MetXBioDB,True
(-)-etodolac,6-Hydroxyetodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,CCc1cc(O)cc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,MetXBioDB,True
(-)-etodolac,7-Hydroxyetodolac,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,CCc1c(O)ccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,MetXBioDB,True
(-)-limonene,Carveol,C=C(C)C1CC=C(C)CC1,C=C(C)C1CC=C(C)C(O)C1,MetXBioDB,True
(-)-zileuton,Zileuton sulfoxide,CC(c1cc2ccccc2s1)N(O)C(N)=O,CC(c1cc2ccccc2[s+]1[O-])N(O)C(N)=O,MetXBioDB,True
(-)-zileuton,Hydroxyzileuton,CC(c1cc2ccccc2s1)N(O)C(N)=O,CC(c1cc2ccc(O)cc2s1)N(O)C(N)=O,MetXBioDB,True
Perhexiline,cis-hydroxyperhexilline,C1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,OC1CCC(C(CC2CCCCN2)C2CCCCC2)CC1,MetXBioDB,True
(+)-halofantrine,"(+)-halofantrine, N-desbutyl",CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,CCCCNCCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,MetXBioDB,True
Saquinavir,"(2S)-N-[(2S,3R)-4-[(3S,4aS,8aS)-3-[(1-hydroxy-2-methylpropan-2-yl)carbamoyl]-decahydroisoquinolin-2-yl]-3-hydroxy-1-phenylbutan-2-yl]-2-[(quinolin-2-yl)formamido]butanediamide",CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,CC(C)(CO)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,MetXBioDB,True
