parent_id,parent_name,child_id,child_name,enzymes,origin,parent_smiles,child_smiles,source
DB00146,Calcifediol,DB00136,Calcitriol,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",DB00169,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)(C)O,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,DrugBank
DB00295,Morphine,DB06409,Morphine glucuronide,"UDP-glucuronosyltransferase 2B7, UDP-glucuronosyltransferase 1A1, UDP-glucuronosyltransferase 1A8, UDP-glucuronosyltransferase 2B15, UDP-glucuronosyltransferase 2B4, UDP-glucuronosyltransferase 1A3",DB00318,CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,CN1CCC23c4c5ccc(O)c4OC2C(OC2OC(C(=O)O)C(O)C(O)C2O)C=CC3C1C5,DrugBank
DB00755,Tretinoin,DB00982,Isotretinoin,"Cytochrome P450 3A7, Cytochrome P450 2C8, Cytochrome P450 3A4, Cytochrome P450 2B6, Cytochrome P450 2A6",DB00755,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,DrugBank
DB00755,Tretinoin,DB00523,Alitretinoin,"Cytochrome P450 2C9, Cytochrome P450 2C8, Cytochrome P450 3A4",DB00755,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,DrugBank
DB00806,Pentoxifylline,DB12406,Lisofylline,,DB12406,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,CC(O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,DrugBank
DB00829,Diazepam,DB14028,Nordazepam,"Cytochrome P450 2C9, Cytochrome P450 2B6, Cytochrome P450 2C19, Cytochrome P450 3A5, Cytochrome P450 3A4",DB00829,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,DrugBank
DB00860,Prednisolone,DB00635,Prednisone,,DB15566,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,DrugBank
DB00956,Hydrocodone,DB00327,Hydromorphone,"Cytochrome P450 2D6, Cytochrome P450 2B6, Cytochrome P450 2C19",DB15465,COc1ccc2c3c1OC1C(=O)CCC4C(C2)N(C)CCC314,CN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3C1C5,DrugBank
DB01357,Mestranol,DB00977,Ethinylestradiol,Cytochrome P450 2C9,DB01357,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C,DrugBank
DB01744,Camphor,DB02817,5-Exo-Hydroxycamphor,Cytochrome P450 2D6,DB01744,CC12CCC(CC1=O)C2(C)C,CC12CC(O)C(CC1=O)C2(C)C,DrugBank
DB03783,Phenacetin,DB00316,Acetaminophen,Cytochrome P450 1A2,DB03783,CCOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,DrugBank
DB03783,Phenacetin,DB00316,Acetaminophen,"Cytochrome P450 1A1, Cytochrome P450 1A2, Cytochrome P450 2E1, Cytochrome P450 2D6, Cytochrome P450 2C19, Cytochrome P450 2C9, Cytochrome P450 2A6",DB03783,CCOc1ccc(NC(C)=O)cc1,CC(=O)Nc1ccc(O)cc1,DrugBank
DB08472,(R)-Fluoxetine,DB03610,4-(trifluoromethyl)phenol,Cytochrome P450 2D6,DB08472,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,Oc1ccc(C(F)(F)F)cc1,DrugBank
