parent_id,parent_name,child_id,child_name,enzymes,origin,parent_smiles,child_smiles,source
DB00480,Lenalidomide,DBMET03254,5­-Hydroxy-lenalidomide,,DB00480,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Nc1c(O)ccc2c1CN(C1CCC(=O)NC1=O)C2=O,DrugBank
DB00480,Lenalidomide,DBMET03255,N-acetyl-lenalidomide,,DB00480,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,CC(=O)Nc1cccc2c1CN(C1CCC(O)=NC1=O)C2=O,DrugBank
DB00588,Fluticasone propionate,DBMET00450,fluticasone 17beta-carboxylic acid,"Cytochrome P450 3A4, Cytochrome P450 3A5, Cytochrome P450 3A7",DB00588,CCC(=O)OC1(C(=O)SCF)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)O,DrugBank
DB00619,Imatinib,DBMET00025,N-Desmethylimatinib,"Cytochrome P450 2C9, Cytochrome P450 3A5, Cytochrome P450 2D6, Cytochrome P450 1A2, Cytochrome P450 3A4, Cytochrome P450 2C8, Cytochrome P450 1A1, Cytochrome P450 4F2",DB00619,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Cc1ccc(NC(=O)c2ccc(CN3CCNCC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Both
DB00619,Imatinib,DBMET00026,AFN911,"Cytochrome P450 3A4, Cytochrome P450 1A1, Cytochrome P450 1B1, Cytochrome P450 4F3",DB00619,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CN1CCN(Cc2ccc(C(=O)NC3=CC(Nc4nccc(-c5cccnc5)n4)C(CO)C=C3)cc2)CC1,DrugBank
DB00619,Imatinib,DBMET00027,Piperidine N-oxide imatinib,"Flavin-containing monooxygenase 3, Cytochrome P450 3A4",DB00619,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Cc1ccc(NC(=O)c2ccc(CN3CC[N+](C)([O-])CC3)cc2)cc1Nc1nccc(C2=CN[CH]C=C2)n1,DrugBank
DB00619,Imatinib,DBMET00028,Pyridine N-oxide imatinib,"Flavin-containing monooxygenase 3, Cytochrome P450 3A4",DB00619,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2ccc[n+]([O-])c2)n1,DrugBank
DB00619,Imatinib,DBMET03525,M7 N-oxidation imatinib,"Cytochrome P450 1A1, Cytochrome P450 1B1, Cytochrome P450 3A4",DB00619,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)[n+]1[O-],DrugBank
DB00619,Imatinib,DBMET03527,Deaminated imatinib,,DB00619,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CN1CCNCC1,DrugBank
DB00619,Imatinib,DBMET03526,M42.2 imatinib,,DB00619,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,Cc1ccc(NC(=O)c2ccc(C(=O)O)cc2)cc1Nc1nccc(-c2cccnc2)n1,DrugBank
