parent_smiles,child_smiles,set
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,train
O=C(CO)C(O)C(O)COP(=O)(O)O,O=CC(O)COP(=O)(O)O,train
OCC1OC(O)C(O)C(O)C1O,OCC(O)C(O)C(O)C(O)CO,train
NC(CCC=O)C(=O)O,NC(CCC(=O)O)C(=O)O,train
OC1C(O)C(O)C(O)C(O)C1O,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,train
NCCCC=O,NCCCC(=O)O,train
O=C(O)COP(=O)(O)O,O=C(O)CO,train
CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(O)C4O)C3NC(C)=O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)NC(C)=O,CCCCCCCCCCCCCC=CC(O)C(COC1OC(CO)C(OC2OC(CO)C(OC3OC(CO)C(O)C(OC4OC(CO)C(O)C(OC5(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O5)C4O)C3NC(C)=O)C(OC3(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(CO)OC4(C(=O)O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O4)O3)C2O)C(O)C1O)NC(C)=O,train
O=c1cc[nH]c(=O)[nH]1,O=c1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)[nH]1,train
NCCC(=O)NC(Cc1c[nH]cn1)C(=O)O,NC(Cc1c[nH]cn1)C(=O)O,train
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=Cc1cc(C=CC=C(C)C=CC2=C(C)CCCC2(C)C)cc[n+]1CCO,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=Cc1cc(C=CC=C(C)C=CC2=C(C)CCCC2(C)C)cc[n+]1CCO,train
Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O,train
CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)O)CC1,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)OC2OC(C(=O)O)C(O)C(O)C2O)CC1,train
CC(C)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,CC(CO)CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C,train
CNCCC=C1c2ccccc2CCc2ccccc21,CNCCC=C1c2ccccc2CC(O)c2ccccc21,train
O=P(O)(O)OCC1OC(O)C(O)C(O)C1O,O=P(O)(O)OCC1OC(O)C(O)C(O)C1O,train
O=c1ccn(C2CC(O)C(CO)O2)c(=O)[nH]1,O=c1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1,train
Nc1cncn1C1OC(COP(=O)(O)O)C(O)C1O,Nc1c(C(=O)O)ncn1C1OC(COP(=O)(O)O)C(O)C1O,train
NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,NC(Cc1cc(I)c(Oc2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)c(I)c2)c(I)c1)C(=O)O,train
O=CCc1c[nH]c2ccccc12,NCCc1c[nH]c2ccccc12,train
CC(=O)NCCCNCCCCN,NCCCCN,train
CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2O,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,train
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,train
NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1,NC(=O)c1ccc[n+](C2OC(COP(=O)([O-])OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1,train
CC(O)CC(=O)O,CC(=O)CC(=O)O,train
CC(=O)OCC(CO)OC(C)=O,CC(=O)OCC(COP(=O)(O)O)OC(C)=O,train
CC(=O)CC(=O)O,CC(O)CC(=O)O,train
COc1ccc2[nH]cc(CCNC(C)=O)c2c1,COc1ccc(NC=O)c(C(=O)CCNC(C)=O)c1,train
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)COP(=O)(O)O)c2cc1C,train
CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1O,O=c1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1,train
CC(=O)CC(=O)O,CC(O)CC(=O)O,train
CCCCCCCCCCCCCCCC(O)C(N)COP(=O)(O)O,CCCCCCCCCCCCCCCC(O)C(N)CO,train
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS,CCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,train
CC(C)=CCOP(=O)(O)OP(=O)(O)O,C=C(C)CCOP(=O)(O)OP(=O)(O)O,train
CC(=O)C1(O)CCC2C3CC=C4CC(O)CCC4(C)C3CCC21C,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,train
Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O,train
NCCCCN,NCCCCNCCCN,train
O=CCc1ccccc1,O=C(O)Cc1ccccc1,train
O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O,O=c1[nH]cnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,train
CC(C)(C#N)OC1OC(CO)C(O)C(O)C1O,OCC1OC(O)C(O)C(O)C1O,train
CC(=O)NC1C(O)OC(COP(=O)(O)O)C(O)C1O,CC(=O)NC1C(OP(=O)(O)O)OC(CO)C(O)C1O,train
CSCC(N)C(=O)O,CSCC(NC(C)=O)C(=O)O,train
CC(CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C)C(=O)O,CC(CCCC(C)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CCC12C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,train
CNCCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,N#Cc1ccc2c(c1)COC2(CCCN)c1ccc(F)cc1,train
CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS,CCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,train
CC(=O)OCC(COP(=O)(O)OC1C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O)OC(C)=O,CC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O)OC(C)=O,train
NC(CCC(=O)O)C(=O)O,O=C(O)CCC(=O)C(=O)O,train
Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)O)O2)c(=O)[nH]1,Nc1nc2c(ncn2C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)[nH]1,train
O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,O=P(O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(O)C1O,train
