index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)N1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(CO)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C=O)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccc(O)cc1)C2']","[-3.1331956387, -3.381244421, -3.3917918205, -4.1748309135, -5.1080713272, -5.2268733978, -5.7128777504]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC1C2Cc1ccc(O)cc13', 'CN1CCC23CCN(C)C(Cc4ccc(O)cc42)C3C1', 'CN1CCN(C)C2Cc3ccc(O)cc3C3(CCCCC23)CC1', 'COc1ccc2c(c1)C13CCNC(C2)C1CC(O)CC3', 'COc1ccc2c(c1)C13CCN(C)C(C2)C1CCC(O)C3']","[-2.4509952068, -3.1437060833, -3.3917171955, -3.4714438915, -4.604446888, -4.6889505386, -5.0567522049, -5.7909636497]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)c1nc(-c2ccc(O)cc2)c2cc(Cl)ccc2n1', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1CO', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)cc(O)c2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)c1nc(-c2ccccc2)c2cc(Cl)cc(O)c2n1', 'O=C(O)CNC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C(O)C1=Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1C(=O)O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1O']","[-2.2857637405, -3.2590179443, -3.5048177242, -3.5070436001, -3.8075647354, -3.8173470497, -3.94977808, -4.0858635902, -4.2239365578, -4.3703899384, -4.4934234619, -4.5999164581, -5.264567852]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(OC)cc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(O)cc4C3CCC21C']","[-1.4113856554, -2.1046032906, -2.221916914, -2.4507203102, -4.2602787018, -5.3847718239, -5.4500598907, -6.717212677]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccccc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)c(O)c1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1']","[-2.1295471191, -3.7328121662, -3.9616167545, -5.7035498619]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['Nc1ccn(CC(CO)OC(=O)CO)c(=O)n1', 'CCCCCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCCCC', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCCC', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCCCCC', 'CCCCCCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC(C)=O', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)CO', 'CCCCCCCCCCCCOCCCOP(=O)(O)OCC(=O)OC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCOP(=O)(O)OCC(O)CO', 'CCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCCCC', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(=O)OC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCCCC', 'CCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCCC', 'CCCCCCCCCCCOCCCOP(=O)(O)OCC(=O)OC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCOCCCOCC(O)CO']","[-3.1366283894, -3.5524635315, -3.582760334, -3.9482278824, -4.2326712608, -4.444685936, -4.5704693794, -4.6827435493, -4.7999067307, -4.8792200089, -4.9205389023, -4.9241700172, -5.0315842628, -5.0441946983, -5.0502004623, -5.2460722923, -5.2556185722, -5.2854042053, -5.3145432472, -5.3518285751]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(O)cc4C(O)CC3C1CCC2O', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O']","[-0.7679555416, -4.2397584915, -5.6520967484, -6.071138382]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2OC(C)C(O)C2N1', 'CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(O)C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(O)C(O)C(O)C2N1', 'CCC(CC)C(=O)OCO', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2CC(O)C(O)C2N1', 'CCC(C(=O)O)C(C)O', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2OC(C)C(O)C2N1', 'CCC(O)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(O)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2OC(C)C(O)C2N1', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(O)C(C)O)C(=O)N12']","[-2.9043550491, -3.9694390297, -4.0085616112, -4.5727977753, -4.7925448418, -4.9273853302, -4.9683742523, -5.2008333206, -5.2648448944, -5.2874436378, -5.3067212105, -5.6146845818]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)c(O)c13', 'CN1CCC23CCCCC1C2Cc1cc(O)c(OS(=O)(=O)O)cc13', 'CN1CCC23CCC(O)CC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC1C2Cc1cc(OS(=O)(=O)O)c(O)cc13', 'CN1CCC23CCCCC1C2Cc1cc(O)c(O)cc13', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'CN1CCC23CCCCC1C2Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1cc(OS(=O)(=O)O)c(O)cc13', 'CN1CCC23CCN(C)C(Cc4cc(O)c(O)cc42)C3C1', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(OS(=O)(=O)O)c13', 'CN1CCC23CCCCC2C1Cc1cc(O)c(OS(=O)(=O)O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13']","[-3.4070034027, -3.6443517208, -3.7476725578, -3.7871236801, -3.9696626663, -4.0879569054, -4.0976634026, -4.8775639534, -5.1826725006, -5.3263850212, -5.9638614655, -6.2983603477, -6.3062872887, -6.5592865944, -6.5705881119, -6.9699091911]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'OC1CN=C(c2ccccc2)c2cc(Cl)ccc2N1']","[-1.6848831177, -1.7748410702, -3.8266172409, -4.0044579506, -4.3956780434, -6.0180549622]"
