index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(COC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(CO)c1ccccc1', 'CC(C)[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C=O)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccc(O)cc1)C2', 'CC(C)[N+]12CC(OC(=O)C(CO)c3ccccc3)CC1CCC2C', 'CC(C)[N+]12CC(OC(=O)C(CO)c3ccccc3)CC1CCC2CO']","[-2.0244295597, -2.3281004429, -3.024730444, -4.2358427048, -4.8004322052, -5.5984110832, -5.7523217201, -6.3109388351, -6.6291232109]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'CN1CCC2C1Cc1ccc(O)cc1C21CCCC1', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O', 'CN1CCC23CCN(C)C(Cc4ccc(O)cc42)C3C1', 'COc1ccc2c(c1)C13CCCCC(C2)N(C)C(C1)C3O']","[-1.9793144464, -2.4747684002, -4.5127401352, -5.0151901245, -5.0618114471, -5.5466666222, -6.7348136902]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C(O)C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1(O)N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1(O)N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O']","[-1.5027750731, -2.3665390015, -4.6537971497, -6.4461445808, -6.5524544716, -6.7133383751]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4OC)C3CCC21C']","[-1.4839831591, -1.504709363, -3.4423458576, -3.6900620461, -4.0397543907, -4.2459750175, -4.9311499596, -5.1720995903, -6.3454504013, -6.8520965576]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'Oc1ccc(C(F)(F)F)cc1']","[-1.2589771748, -2.091804266, -3.5504653454]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCOCCCO', 'Nc1ccn(CC(CO)OCCCO)c(=O)n1', 'CCCCCCCCCCOCCCOC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCOCCCOC(CO)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(O)CO)c(=O)n1', 'CCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCOCCCOCCCO', 'Nc1ccn(CC(CO)OCCCOCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCOCCCOCCCOCC(CO)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCCOCCCOCC(O)CO', 'CCCCCCCCCOCCCOC(CO)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(CO)OCCCOCCCCO)c(=O)n1', 'CCCCCCCCCCCCCOCCCOCCCOCCn1ccc(N)nc1=O', 'Nc1ccn(CC(CO)OCCCOCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCOCCCOCCCOCC[N+](C)(C)CO', 'CCCCCCCCCCCCCOCCCOCCCO', 'CCCCCCCCCCCCCOCCCOCCCOCC(O)CO', 'CCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O']","[-2.4615905285, -2.7180011272, -3.562069416, -3.750852108, -4.1475148201, -4.3093476295, -4.6060881615, -4.6535181999, -4.6655282974, -4.6813516617, -4.7112731934, -4.7376031876, -4.9730620384, -5.0021219254, -5.0087947845, -5.0301141739, -5.058535099, -5.1073818207, -5.3457612991, -5.4752216339]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CC(O)C1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CC(O)C12']","[-1.2549630404, -2.5445313454, -3.6431655884, -3.6826615334, -3.9476766586, -3.9660346508, -4.2751326561, -5.1253809929, -5.2161397934, -5.4511055946, -6.2804217339]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CCS(=O)(=O)C3)SC12', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(C)C(=O)O', 'CCC(C(=O)O)C(C)CO', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)CSC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CCC(C(=O)O)C(=O)O', 'CCC(CO)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)O', 'CCC(C(=O)O)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)C(C(=O)O)=C(SC3CCS(=O)(=O)C3)SC12', 'CCC(C(=O)OCO)C(C)C', 'CCC(C)C(=O)OCOC(=O)C1=C(S)CSC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCO)=C(SC3CCS(=O)(=O)C3)SC12', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12']","[-2.2168757915, -2.7311093807, -3.5877039433, -3.7586135864, -3.9016005993, -3.9887905121, -4.0234761238, -4.5532035828, -4.6416354179, -4.733733654, -4.7898411751, -4.7903199196, -5.008626461, -5.0362648964, -5.0541152954, -5.089922905, -5.1496539116, -5.4407043457]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'CN1CCC23CCN(C)C(Cc4ccc(O)cc42)C3C1', 'CN1CCC23CCCCC2C1Cc1cc(OC2OC(C(=O)O)C(O)C(O)C2O)ccc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)c(O)c13', 'CN1CCC23CC(O)CCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCC(O)CC2c2cc(O)ccc2C13', 'CN1CCC23CCCCC2c2cc(OC4OC(C(=O)O)C(O)C(O)C4O)ccc2C13', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)c13']","[-1.4660834074, -3.9614231586, -3.9744842052, -4.2547707558, -5.1817498207, -5.5563025475, -5.7917046547, -6.2160601616, -6.3487849236, -6.7207589149, -7.1008477211, -7.2247042656]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1CN=C(c2ccccc2)c2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc2N1', 'O=C1CN=C(c2cc(Cl)ccc2OC2OC(C(=O)O)C(O)C(O)C2O)c2cc(Cl)ccc2N1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1OC(Oc2cc(Cl)cc3c2N=C(O)CN=C3c2ccccc2)C(O)C(O)C1O', 'O=C1CN=C(c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(Oc2cc(Cl)cc3c2N=C(c2ccccc2)c2cc(Cl)ccc2N=C3O)C(O)C(O)C1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=Nc2c(OC3OC(C(=O)O)C(O)C(O)C3O)cc(Cl)cc21']","[-1.8053491116, -2.5430488586, -2.5729887486, -4.0426688194, -4.6493792534, -5.1362681389, -5.4715323448]"
