index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,Apixaban,['M2'],['NC(=O)c1nn(-c2ccc(O)cc2)c2c1CCN(c1ccc(N3CCCCC3=O)cc1)C2=O'],"['NC(=O)c1nn(-c2ccc(O)cc2)c2c1CCN(c1ccc(N3CCCCC3=O)cc1)C2=O', 'COc1ccc(-n2nc(C(=O)O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCC(O)C4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC(O)C4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(NCCCCC(=O)O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCC(O)CC4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CC(O)CCC4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(NC4CCCCC4=O)cc2)CC3)cc1']","[-2.7702817917, -4.0994029045, -4.3851575851, -5.3354258537]"
0,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Lenalidomide,"['5-hydroxy-lenalidomide', 'N-acetyl-lenalidomide']","['Nc1c(O)ccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'CC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O']","['NC(=O)CCC(NC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O)C(=O)O', 'Nc1c(O)ccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'NC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2O', 'Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2', 'NC1CCC(=O)NC1=O', 'Nc1cccc2c1CN(C1CCC(O)=NC1=O)C2=O', 'Nc1ccc(O)c2c1CN(C1CCC(=O)NC1=O)C2=O', 'CC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O', 'NC(=O)CCC(C(=O)O)N1Cc2c(N)cccc2C1=O']","[-1.5843275785, -2.4971995354, -3.4474229813, -3.74908638, -3.9731788635, -4.5089421272, -4.6603732109, -4.9277024269, -5.1795759201]"
0,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,Rivaroxaban,"['M-2', 'M-5', 'M-6', 'M-7', 'M-12', 'M-13', 'M-15', 'M-9', 'M-8', 'M-3']","['O=C(NCC1CN(c2ccc(N3CCOC(O)C3=O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N(CCO)C(=O)CO)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(NCCO)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(O)COCCNc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(CNC(=O)c1ccc(Cl)s1)CNc1ccc(N2CCOCC2=O)cc1', 'O=C(O)c1ccc(Cl)s1', 'NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1', 'O=C(NCC1OC(=O)N(c2ccc(N3CCOCC3=O)cc2)C1O)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N3C(=O)COCC3O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N3CC(O)OCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1']","['O=C(NCC1CN(c2ccc(N3CCOC(O)C3=O)cc2)C(=O)O1)c1ccc(Cl)s1', 'N#Cc1ccc(Cl)s1', 'O=C(O)CN(CCO)c1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'N#Cc1ccc(C(=O)NCC2CN(c3ccc(N4CCOCC4=O)cc3)C(=O)O2)s1', 'O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(O)s1', 'O=C(NCC1CN(c2ccc(N3CCOCC3O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N3CCOC3=O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(O)COCCNc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1', 'O=C(NCC1CN(c2ccc(N3C(=O)COCC3O)cc2)C(=O)O1)c1ccc(Cl)s1']",[]
0,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,Ibrutinib,"['M26', 'M37']","['Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)CCSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C1', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)C(O)CO)C1']","['Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCNC(=O)C1', 'C=CC(=O)N1CCCC(n2nc(-c3cccc(O)c3)c3c(N)ncnc32)C1', 'CC(O)C(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCNC1', 'C=CC(=O)N1CCCC(n2nc(-c3ccc(O)cc3)c3c(N)ncnc32)C1', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)C2OC(C(=O)O)C(O)C(O)C2O)C1', 'C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(O)cc4)cc3)c3c(N)ncnc32)C1', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)C2CC(O)C(O)C(O)O2)C1', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)CO)C1']","[-2.351998806, -2.7163245678, -3.4548828602, -4.0119214058, -4.3877778053, -4.5355358124, -5.2355098724, -5.8517618179]"
0,CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,Cobicistat,"['M2', 'M9', 'M3']","['CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(N)Cc2ccccc2)Cc2ccccc2)cs1', 'CNC(=O)NC(CCN1CCOCC1)C(=O)NC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1', 'CC(C)c1nc(CN(C)C(=O)NC(CCNCCO)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1']","['CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)C(=O)O)cs1', 'CN(CCN1CCOCC1)C(=O)NC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)NC(CCN1CCOCC1)C(=O)O', 'CNC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1', 'CC(C)c1nc(CN2CCOCC2)cs1', 'CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2cccs2)cs1', 'CNC(=O)NC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)C(=O)NC(CCN1CCOCC1)C(=O)N(C)Cc1csc(C(C)C)n1', 'CC(C)c1nc(CN(C)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1', 'CC(O)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1', 'CC(CO)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1', 'CC(CO)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2cscn2)cs1', 'CC(C)c1csc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)n1', 'CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(O)Cc2ccccc2)Cc2ccccc2)cs1', 'CC(C)c1nc(CNC(=O)C(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)NC(=O)C(CCN2CCOCC2)NC(=O)N(C)Cc2csc(C(C)C)n2)cs1', 'CC(C)c1nc(CN(C)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)C(=O)NC(CCN2CCOCC2)C(=O)O)cs1', 'CC(C)c1nc(CNC(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1', 'CNC(=O)N(C)Cc1csc(C(C)C)n1']","[-2.736946106, -3.2293605804, -3.4703047276, -3.5355050564, -4.1019148827, -4.6199116707, -5.0021438599, -5.300057888, -5.3499774933, -5.373816967, -5.5970768929, -5.8627238274, -5.9087610245, -6.0760483742, -6.0783605576, -6.2933177948, -6.3257255554]"
0,NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,Sitagliptin,"['M1', 'M4', 'M2,M5']","['O=C(CC(Cc1cc(F)c(F)cc1F)NS(=O)(=O)O)N1CCn2c(nnc2C(F)(F)F)C1', 'O=C(NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C1CC(Cc2cc(F)c(F)cc2F)NC2c3nnc(C(F)(F)F)n3CCN12']","['NC(CC(=O)N1C=Cn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F', 'NC(CC(=O)O)Cc1cc(F)c(F)cc1F', 'CC(O)c1nnc2n1CCN(C(=O)CC(N)Cc1cc(F)c(F)cc1F)C2', 'CC(N)Cc1cc(F)c(F)cc1F', 'NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1ccc(F)c(F)c1', 'NC(CC(=O)N1CCn2cnnc2C1)Cc1cc(F)c(F)cc1F', 'NCCc1cc(F)c(F)cc1F', 'NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(O)cc1F', 'NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)c(F)c1', 'NC(CC(=O)N1CCn2c(nnc2C(F)F)C1)Cc1cc(F)c(F)cc1F', 'CC(N)CC(=O)N1CCn2c(nnc2C(F)(F)F)C1']","[-3.0182952881, -4.2350769043, -4.3315973282, -6.0908088684]"
0,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Enzalutamide,"['carboxylic acid metabolite', 'N-desmethyl enzalutamide']","['CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)O)c(F)c1', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(N)=O)c(F)c1']","['CNC(=O)c1ccc(N2C(=O)C(C)(C)N(c3ccc(C#N)c(C(F)(F)F)c3)C2=S)cc1F', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1c1ccc(C(=O)O)c(F)c1', 'CNC(=O)c1ccc(N2C(=S)NC(=O)C2(C)C)cc1F', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(N)=O)c(F)c1', 'CNC(=O)c1ccc(N2C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)CO)cc1F', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)NC2OC(C(=O)O)C(O)C(O)C2O)c(F)c1', 'CNC(=O)c1ccc(N2C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)NCC(=O)O)c(F)c1', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)O)c(F)c1']","[-1.7748295069, -3.1196627617, -4.187795639, -4.7615199089, -5.4059658051, -5.4553322792]"
0,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,Abacavir,"[""5'-carboxylate"", ""5'-glucuronide""]","['Nc1nc(NC2CC2)c2ncn(C3C=CC(C(=O)O)C3)c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(COC4OC(C(=O)O)C(O)C(O)C4O)C3)c2n1']","['Nc1nc(NC2CC2)c2ncn(C3C=CC(COP(=O)(O)O)C3)c2n1', 'N=c1nc(NC2CC2)c2ncn(C3C=CC(CO)C3O)c2[nH]1', 'Nc1nc(N)c2ncn(C3C=CC(CO)C3)c2n1', 'Nc1nc(NC2CC2)c2ncn(C3OC(C(=O)O)C(O)C(O)C3O)c2n1', 'N=c1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2[nH]1', 'Nc1nc(NC2CC2O)c2nc[nH]c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(COS(=O)(=O)O)C3)c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(COC4OC(C(=O)O)C(O)C(O)C4O)C3)c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(C(=O)O)C3)c2n1', 'Nc1nc(NC2CC2)c2nc[nH]c2n1', 'Nc1nc(NC2CC2O)c2ncn(C3C=CC(CO)C3)c2n1']","[-1.9861191511, -2.3470578194, -3.2090547085, -3.3661544323, -3.3710339069, -3.548268795, -4.573993206, -4.655831337, -4.6627817154, -4.7831921577, -4.8605494499, -4.898827076, -5.1189961433]"
0,CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,Dolutegravir,"['M2', 'M3']","['CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(OC4OC(C(=O)O)C(O)C(O)C4O)c3C(=O)N12', 'CC1CCOC2Cn3cc(C(=O)NC(O)c4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12']","['CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(OC4OC(C(=O)O)C(O)C(O)C4O)c3C(=O)N12', 'CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(O)c3C(=O)N12', 'CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(OC4OC(C(=O)O)C(O)C(O)C4O)c3C(=O)N12', 'CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(OS(=O)(=O)O)c3C(=O)N12', 'CC1(O)CCOC2Cn3cc(C(N)=O)c(=O)c(O)c3C(=O)N21', 'CC1CCOC2Cn3cc(C(N)=O)c(=O)c(O)c3C(=O)N12', 'CC1CCOC2CN1C(=O)c1c(O)c(C(=O)O)cn1C2', 'CC1CCOC2NC1Cn1cc(C(=O)NCc3ccc(F)cc3F)c(O)c1C2=O', 'CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4)c(=O)c(OC4OC(C(=O)O)C(O)C(O)C4O)c3C(=O)N12', 'CC1CCOC2C(=O)c3c(O)c(C(=O)NCc4ccc(F)cc4F)cn3C12', 'CC1(O)CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21', 'CC1CCOC2Cc3ncc(C(=O)NCc4ccc(F)cc4F)c(O)c3C(=O)N12', 'CC1CCOC2Cn3cc(C(=O)O)c(=O)c(O)c3C(=O)N12', 'CC1CCOC2C(=O)c3c(O)c(C(=O)NCc4ccc(F)cc4F)cn3CC12']","[-3.8403971195, -4.5737390518, -5.1501483917, -5.4625434875, -5.5581936836, -5.5978732109, -5.8934235573, -5.9703450203]"
0,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,Abiraterone,"['M75', 'M45']","['CC12CCC=CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(OS(=O)(=O)O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12']","['CC12CCC(=O)C=C1CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3ccc(O)nc3)=CCC12', 'CC12CCC(OC3OC(C(=O)O)C(O)C(O)C3O)CC1=CCC1C2CCC2(C)C(c3cccnc3)CCC12', 'CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O', 'CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)CCC12', 'CC12CC(O)C(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(O)CC1=CCC1C2CCC2(C)C1CCC2(O)C(=O)CO', 'CC12CCC(OS(=O)(=O)O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(=O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(OC3OC(C(=O)O)C(O)C(O)C3O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)C=CC12', 'CC12CC(OS(=O)(=O)O)C(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12']","[-2.99654603, -3.141730547, -3.5059349537, -3.5573101044, -4.0336604118, -4.485458374, -5.1093115807, -5.1472129822, -5.3689818382, -5.4111909866, -5.6168279648, -5.6386060715]"
