index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,Apixaban,['M2'],['NC(=O)c1nn(-c2ccc(O)cc2)c2c1CCN(c1ccc(N3CCCCC3=O)cc1)C2=O'],"['NC(=O)c1nn(-c2ccc(O)cc2)c2c1CCN(c1ccc(N3CCCCC3=O)cc1)C2=O', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1O', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCC(O)CC4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(=O)O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCC(O)C4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(NCCCC(=O)O)cc2)CC3)cc1', 'NC(=O)c1nn(-c2ccc(O)cc2)c2c1C(=O)N(c1ccc(N3CCCCC3=O)cc1)CC2', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3O)cc1', 'NC(=O)c1nn(-c2ccc(O)cc2)c2c1CN(c1ccc(N3CCCCC3=O)cc1)CC2', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CC(O)CCC4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4C(=O)CCCC4O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4C(O)CCCC4O)cc2)CC3)cc1']","[-0.3405397534, -2.8948738575, -3.1965537071, -4.6002745628, -5.0532808304, -5.2708711624, -5.40655756, -5.5717749596, -5.6001286507, -5.8752331734, -5.9169416428, -6.4736356735, -6.5699353218]"
0,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Lenalidomide,"['5-hydroxy-lenalidomide', 'N-acetyl-lenalidomide']","['Nc1c(O)ccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'CC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O']","['CC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'Nc1cccc2c1CN(C1CCC(=O)N=C1O)C2=O', 'Nc1cccc2c1CN(C1CCC(=O)N(O)C1=O)C2=O', 'Nc1ccc(O)c2c1CN(C1CCC(=O)NC1=O)C2=O', 'Nc1cc(O)cc2c1CN(C1CCC(=O)NC1=O)C2=O', 'Nc1cccc2c1CN(C1CC(O)C(=O)NC1=O)C2=O', 'C=C1CCC(N2Cc3c(N)cccc3C2=O)C(=O)N1', 'Nc1c(O)ccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'Nc1cccc2c1CN(C1CCC(O)=NC1=O)C2=O', 'CNc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'Nc1cccc2c1CN(C1C(=O)NC(=O)CC1O)C2=O', 'Nc1cccc2c1CN(C1CCC(=O)NC1O)C2=O', 'Nc1cccc2c1CN(C1(O)CCC(=O)NC1=O)C2=O', 'Nc1cccc2c1CN(C1CCC(N)NC1=O)C2=O']","[-1.0802228451, -2.9824035168, -3.3514947891, -3.8271796703, -3.859587431, -3.9772763252, -4.3341469765, -4.6944475174, -5.1814904213, -6.1100201607, -6.2147006989, -6.3080816269, -6.3246865273, -6.8368625641]"
0,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,Rivaroxaban,"['M-2', 'M-5', 'M-6', 'M-7', 'M-12', 'M-13', 'M-15', 'M-9', 'M-8', 'M-3']","['O=C(NCC1CN(c2ccc(N3CCOC(O)C3=O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N(CCO)C(=O)CO)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(NCCO)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(O)COCCNc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(CNC(=O)c1ccc(Cl)s1)CNc1ccc(N2CCOCC2=O)cc1', 'O=C(O)c1ccc(Cl)s1', 'NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1', 'O=C(NCC1OC(=O)N(c2ccc(N3CCOCC3=O)cc2)C1O)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N3C(=O)COCC3O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N3CC(O)OCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1']","['O=C(O)COCCNc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(NCC1CN(c2ccc(NCCO)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(O)CN(CCO)c1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'NC(=O)c1ccc(Cl)s1', 'O=C(O)CNc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(NCC1CN(c2ccc(N3CC(O)C=CC3=O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N3CC(O)C(O)C3=O)cc2)C(=O)O1)c1ccc(Cl)s1', 'Nc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1', 'O=C(NCC1CN(c2ccc(NCCOC3OC(C(=O)O)C(O)C(O)C3O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(O)CN(CC(=O)O)c1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(NCC1CN(c2ccc(N3CCOC3=O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N3C(=O)COCC3O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(CO)Nc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1']","[-1.373537302, -2.3590967655, -3.1484131813, -3.5913000107, -4.02404356, -4.7284011841, -4.8887734413, -5.0883059502, -5.1310319901, -5.3945775032, -5.4417481422, -5.5170817375, -5.8596944809, -5.9540691376]"
0,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,Ibrutinib,"['M26', 'M37']","['Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)CCSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C1', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)C(O)CO)C1']","['Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCNC1', 'C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4O)cc3)c3c(N)ncnc32)C1', 'C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(O)cc4)cc3)c3c(N)ncnc32)C1', 'C=CC(=O)N1CCCC(n2nc(-c3ccc(O)cc3)c3c(N)ncnc32)C1', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3O)cc1)nn2C1CCCNC1', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)C=CO)C1', 'C=CC(=O)NCCCC(=O)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)C(O)O)C1', 'C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4cccc(O)c4)cc3)c3c(N)ncnc32)C1', 'C=CC(=O)n1ccc(=O)cc1']","[-1.0706856251, -1.5738450289, -1.924679637, -2.7054555416, -3.4804151058, -4.5343790054, -4.7085056305, -4.8232626915, -5.5690755844, -5.9142765999]"
0,CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,Cobicistat,"['M2', 'M9', 'M3']","['CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(N)Cc2ccccc2)Cc2ccccc2)cs1', 'CNC(=O)NC(CCN1CCOCC1)C(=O)NC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1', 'CC(C)c1nc(CN(C)C(=O)NC(CCNCCO)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1']","['CC(C)c1nc(CNC(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2ccccc2)c2cccs2)no1', 'CC(C)c1nc(CN(C)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2ccccc2)c2cccs2)no1', 'CNC(=O)NC(CCN1CCOCC1)C(=O)NC(CCC(Cc1ccccc1)NC(=O)OCc1ccccc1)c1nccs1', 'CC(C)c1n[nH]c(CNC(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2ccccc2)c2cccs2)n1', 'CC(C)c1cc(O)nc(CNC(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2ccccc2)c2cccs2)n1', 'CC(C)c1noc(CNC(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2ccccc2)c2cccs2)n1', 'CC(C)c1noc(CN(C)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2ccccc2)c2cccs2)n1']","[-3.674110651, -3.8246254921, -4.1889724731, -4.2446250916, -4.3984742165, -4.431491375, -4.607583046]"
0,NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,Sitagliptin,"['M1', 'M4', 'M2,M5']","['O=C(CC(Cc1cc(F)c(F)cc1F)NS(=O)(=O)O)N1CCn2c(nnc2C(F)(F)F)C1', 'O=C(NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C1CC(Cc2cc(F)c(F)cc2F)NC2c3nnc(C(F)(F)F)n3CCN12']","['NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)C(=O)O', 'NCCC(=O)N1CCn2c(nnc2C(F)(F)F)C1', 'NC(CC(=O)O)Cc1cc(F)c(F)cc1F', 'CC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F', 'CC(N)CC(=O)N1CCn2c(nnc2C(F)(F)F)C1', 'O=C(O)CC(Cc1cc(F)c(F)cc1F)N1CCn2c(nnc2C(F)(F)F)C1', 'NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(C(=O)O)c(F)cc1F']","[-3.0959854126, -3.8037343025, -3.9367146492, -4.1358966827, -4.8995194435, -5.0003085136, -5.1154007912]"
0,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Enzalutamide,"['carboxylic acid metabolite', 'N-desmethyl enzalutamide']","['CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)O)c(F)c1', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(N)=O)c(F)c1']","['CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(N)=O)c(F)c1', 'CNC(=O)c1ccc(N2C(=O)C(C)(C)N(c3ccc(C#N)c(C(F)(F)F)c3)C2=S)cc1F', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)O)c(F)c1', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=O)N1c1ccc(C(N)=O)c(F)c1', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(O)CN)c(F)c1', 'CC1(C)C(=O)N(c2ccc(C(N)=O)c(F)c2)C(=S)N1c1ccc(C#N)c(C(F)(F)F)c1', 'CNC(=O)c1ccc(N2C(=O)C(C)(C)N(c3ccc(C#N)c(C(F)(F)F)c3)C2=S=O)cc1F', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(O)C(N)=O)c(F)c1', 'CNC(=O)c1ccc(N2C(=O)C(C)(C)N(c3ccc(C(=O)O)c(F)c3)C2=S)cc1F', 'CC(C)(O)C(O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F', 'CC1(C)C(=S)N(c2ccc(C(N)=O)c(F)c2)C(=O)N1c1ccc(C#N)c(C(F)(F)F)c1']","[-1.0246971846, -1.7485468388, -2.8943123817, -4.6517486572, -5.1663751602, -5.8452115059, -6.5734019279, -6.8523902893, -6.8869585991, -7.5004253387, -8.3094091415]"
0,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,Abacavir,"[""5'-carboxylate"", ""5'-glucuronide""]","['Nc1nc(NC2CC2)c2ncn(C3C=CC(C(=O)O)C3)c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(COC4OC(C(=O)O)C(O)C(O)C4O)C3)c2n1']","['Nc1nc(NC2CC2)c2ncn(C3C=CC(C(=O)O)C3)c2n1', 'Nc1nc(N)c2ncn(C3C=CC(C(=O)O)C3)c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(COP(=O)(O)O)C3)c2n1', 'N=c1nc(N)c2ncn(C3C=CC(CO)C3)c2[nH]1', 'N=c1nc(NC2CC2)c2ncn(C3C=CC(C(=O)O)C3)c2[nH]1', 'N=c1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2[nH]1', 'Nc1nc(N)c2ncn(C3C=CC(CO)C3)c2n1', 'N=c1nc(N)c2ncn(C3C=CC(C(=O)O)C3)c2[nH]1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(COC4OC(C(=O)O)C(O)C(O)C4O)C3)c2n1', 'Nc1nc(NC2CC2O)c2ncn(C3C=CC(CO)C3)c2n1', 'Nc1nc(NC2CC2)c2nc[nH]c2n1', 'Nc1nc(N)c2ncn(C3C=CC(COP(=O)(O)O)C3)c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(C=O)C3)c2n1', 'N=c1nc2c(ncn2C2C=CC(CO)C2)c(NC2CC2)[nH]1', 'N=c1nc(NC2CC2)c2ncn(C3C=CC(COP(=O)(O)O)C3)c2[nH]1', 'N=c1nc(NC2CC2O)c2ncn(C3C=CC(CO)C3)c2[nH]1']","[-1.2038758993, -2.6817185879, -2.7886619568, -2.8396410942, -3.099398613, -3.4281082153, -3.4960343838, -3.5568809509, -3.8221399784, -3.992982626, -4.0320720673, -4.1053156853, -4.1857891083, -4.2982931137, -4.4159817696, -4.507748127]"
0,CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,Dolutegravir,"['M2', 'M3']","['CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(OC4OC(C(=O)O)C(O)C(O)C4O)c3C(=O)N12', 'CC1CCOC2Cn3cc(C(=O)NC(O)c4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12']","['CC1CCOC2Cn3cc(C(N)=O)c(=O)c(O)c3C(=O)N12', 'CC1(O)CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21', 'CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(OC4OC(C(=O)O)C(O)C(O)C4O)c3C(=O)N12', 'CC1(O)CCOC2Cn3cc(C(N)=O)c(=O)c(O)c3C(=O)N21', 'CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(OS(=O)(=O)O)c3C(=O)N12', 'CC1(O)CC(O)C2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21', 'CC1CCOC2Cn3cc(C(N)=O)c(=O)c(OC4OC(C(=O)O)C(O)C(O)C4O)c3C(=O)N12', 'CC1(O)CC(O)N2C(=O)c3c(O)c(=O)c(C(=O)NCc4ccc(F)cc4F)cn3CC21', 'CC1(O)CCC2N1C(=O)c1c(O)c(=O)c(C(=O)NCc3ccc(F)cc3F)cn12', 'CC1CCOC2Cn3cc(C(N)=O)c(=O)c(OS(=O)(=O)O)c3C(=O)N12', 'CC1CCOC2Cn3cc(C(=O)O)c(=O)c(O)c3C(=O)N12', 'CC1CCOC2Cn3cc(C(N)=O)c(=O)c(OS(O)(O)O)c3C(=O)N12']","[-0.859821856, -2.1004531384, -2.5518565178, -2.825463295, -4.0458860397, -4.2868714333, -4.3582038879, -4.9022059441, -5.0305109024, -5.1375732422, -5.8770508766, -6.4818682671]"
0,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,Abiraterone,"['M75', 'M45']","['CC12CCC=CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(OS(=O)(=O)O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12']","['CC12CCC(OS(=O)(=O)O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(OC3OC(C(=O)O)C(O)C(O)C3O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(S(=O)(=O)O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(=O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CC(OS(=O)(=O)O)CCC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CC(O)C12', 'CC12CCC(=O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CC(O)C12', 'CC12CCC(=O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CC(OS(=O)(=O)O)C12', 'CC12CC(O)C3C(CC=C4CC(O)CCC43C)C1CC=C2c1cccnc1', 'CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CC(OS(=O)(=O)O)C12', 'CC12CCC(=O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CC(OC3OC(C(=O)O)C(O)C(O)C3O)CC12', 'CC12CC(O)C3C(CC=C4CC(=O)CCC43C)C1CC=C2c1cccnc1', 'CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CC(OC3OC(C(=O)O)C(O)C(O)C3O)CC12', 'CC12CC(OC3OC(C(=O)O)C(O)C(O)C3O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(O)CC1=CCC1C2CC(O)C2(C)C(c3cccnc3)=CCC12', 'CC12CCC3C(CC=C4CC(O)CC(O)C43C)C1CC=C2c1cccnc1', 'CC12CC(O)CCC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(OS(=O)(=O)O)CC1=CCC1C2CCC2C(c3cccnc3)=CCC21C']","[-0.5908815265, -2.0926971436, -2.4140224457, -2.4789910316, -3.9494967461, -4.7212967873, -4.9917201996, -5.1474561691, -5.2428641319, -5.329583168, -5.7539424896, -5.8381075859, -5.8937253952, -5.9037747383, -6.0045862198, -6.0505914688, -6.7520656586, -6.8572435379]"
