index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)(C)[O-]', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)(C)O', 'O=C(O)C(CO)c1ccccc1', 'C=C(CO)c1ccccc1', 'CC[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C(=O)O)[N+]1(C)C2CCC1CC(O)C2', 'CC[N+]1(C)C2CCC1CC(O)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)CO', 'CC(CO)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C=C(Cc1ccccc1)C(=O)O', 'C=C(Cc1ccccc1)C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)O', 'CC(C(=O)O)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C=C(Cc1ccccc1)C(=O)OC1CC2CC(C1)[N+]2(C)C(C)(C)[O-]', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccc(O)cc1)C2']","[-0.8959515095, -2.242058754, -2.5939249992, -2.6290185452, -3.7992470264, -4.6036949158, -4.802529335, -4.8058109283, -5.1642580032, -6.5335783958, -6.6024751663, -6.6891317368, -6.9160060883, -7.0812807083, -7.1716632843, -7.2581505775]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CC1C2Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3O', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'CN1CCC2C3Cc4ccc(O)cc4C2C1C3', 'COc1ccc2c(c1)C13CCCCC1C(C2O)N(C)CC3', 'CN1CCC2c3cc(O)ccc3CC3CCCCC3C21', 'CN1CCC23CC1C2Cc1cc(O)c(O)cc13', 'COc1ccc2c(c1)C13CCC(O)CC1N(C)CC3C2', 'CN1CCc2ccc(O)cc2C23CCCCC2C1C3', 'CN1CCC2c3cc(O)ccc3C3(CCCC3)C21', 'COc1ccc2c(c1)C13CCN(C)C(C2)C1CCC(O)C3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23CC1C2C(O)c1ccc(O)cc13']","[-0.7266585827, -2.0581736565, -2.8642966747, -3.181167841, -3.4585535526, -3.5732626915, -3.914886713, -4.1446661949, -4.283908844, -4.7978653908, -4.8425679207, -5.3271875381, -5.3383026123, -5.8399357796, -5.8587832451]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)c(O)cc2NC1=O', 'NC(CCC(=O)NC(CSC1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1C(=O)O)C(=O)NCC(=O)O)C(=O)O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N(C2OC(C(=O)O)C(O)C(O)C2O)C1=O', 'O=C(O)C1(O)N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1=NC(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)CNC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(OC1OC(C(=O)O)C(O)C(O)C1O)C1N=C(c2ccccc2)c2cc(Cl)ccc2Nc2ccc(Cl)cc2N=C1O', 'N=C(c1ccccc1)c1cc(Cl)ccc1N', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)cc(O)c2NC1=O', 'O=C(O)C1=NC(c2ccccc2)=Nc2c(O)cc(Cl)cc2N1', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1=NC(c2ccccc2)=Nc2c(O)cc(Cl)cc2NC1=O', 'O=C(O)C1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O']","[-1.5120202303, -2.5857920647, -3.3343751431, -3.6897189617, -4.3333277702, -4.4275021553, -4.559486866, -4.9646949768, -5.0380172729, -5.0443239212, -5.0951828957, -5.2844114304, -5.3548364639, -5.5761752129, -5.599196434, -5.748029232]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC)c(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3C(O)Cc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(OC)cc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCC4c5ccc(OC)cc5CCC4C3CCC21C']","[-0.8425424695, -1.9600814581, -2.13484025, -2.4424996376, -3.1705818176, -3.2551443577, -3.7413270473, -3.8714091778, -4.8670811653, -5.1388077736, -5.6170392036, -5.7049627304, -5.842628479, -5.8871130943, -6.0065135956, -6.1236100197, -6.4679579735, -6.6394462585]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'Oc1ccc(C(F)(F)F)cc1', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'CNCCC(Oc1ccc(C(F)(F)F)c(O)c1)c1ccccc1', 'NCCC(Oc1ccc(C(F)(F)F)c(O)c1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1)C1OC(C(=O)O)C(O)C(O)C1O', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1cccc(O)c1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1cccc(O)c1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1O)c1ccccc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1O)c1ccccc1', 'NCCC(OC1OC(C(=O)O)C(Oc2ccc(C(F)(F)F)cc2)C(O)C1O)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1O)c1ccc(O)cc1', 'NC(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C(=O)O']","[-0.3522158861, -2.6259617805, -2.6764719486, -3.1826035976, -3.2528131008, -3.4604222775, -4.5444836617, -5.2509160042, -5.5237102509, -5.8749666214, -6.0540513992, -6.2432074547, -6.3386211395, -6.5153074265, -6.958067894, -7.0808925629, -7.4980359077]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCO', 'CCCCCCCCCCCCO', 'CC(O)CCCCCCCCCCCO', 'CC(O)CCCCCCCCCCO', 'CCCCCCCCCCCCCCO', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOP(=O)(O)O)c(=O)n1', 'CC(O)CCCCCCCCCCCCO', 'Nc1ccn(CC(O)COCCCOP(=O)(O)O)c(=O)n1', 'CCCCCCCCCCCO', 'Nc1ccn(CC(O)CO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCO)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOP(=O)(O)OCCCO)c(=O)n1', 'CCCCCCCCCCCCCCCO', 'CC(O)CCCCCCCCCCCOP(=O)(O)COCCCO', 'Nc1ccn(CC(CO)OCCCOP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(COCCCO)OCCCOP(=O)(O)O)c(=O)n1', 'CC(O)CCCCCCCCCCCCOP(=O)(O)COCCCO', 'CC(O)CCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(O)COP(=O)(O)OCCCOP(=O)(O)CCCCCCCCCO)c(=O)n1']","[-2.2141525745, -2.3950605392, -2.6387629509, -2.8264513016, -2.8282542229, -3.0189263821, -3.5755524635, -3.7117419243, -3.7509765625, -3.830416441, -3.895886898, -4.008538723, -4.022383213, -4.0806427002, -4.1664390564, -4.1840200424, -4.219725132, -4.4253582954, -4.7009568214, -5.0259981155]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC12CCC3C(CCc4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc41)C3CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)C12', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC13CCC(OC4OC(C(=O)O)C(O)C(O)C4O)C1(C)CCC23', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(O)CCC12', 'CC12CCC3c4ccc(O)cc4C(O)CC3C1CCC2O']","[-0.9633915424, -1.3139727116, -2.7648255825, -3.3690114021, -3.8080489635, -3.8670899868, -4.4685735703, -4.7839756012, -4.8642983437, -5.1177549362, -5.4376296997, -5.6310806274, -5.8964910507, -6.0620760918, -6.2177510262]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[N+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)=O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC2C1C(C)O', 'CC(O)C(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC2C1O', 'CCC(C)C(=O)O', 'CCC(C)C(=O)OCO', 'CC(O)C1C(=O)C2SC(SC3CC[S+]([O-])C3)=C(C(=O)O)N2C1=O', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[N+](=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(C)C(=O)OCOC(=O)C1=C(S)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[N+]([O-])C3)SC12', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC2C1(C)O', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)(C)O)C(=O)N12']","[-0.4940402806, -2.7252964973, -2.8737096786, -3.7336726189, -3.8744928837, -3.9984607697, -4.0480437279, -4.329331398, -4.3309931755, -4.3707828522, -4.371676445, -4.4802846909, -4.6678519249, -4.9699602127, -5.2360606194, -5.2852678299, -5.4404973984]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCC(O)CC2C1Cc1ccc(O)cc13', 'Oc1ccc2c(c1)C1CCCCC1C2', 'CN1CCC23CC(O)CCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'Oc1ccc2c(c1)C1CCCCC1CCN2', 'CN1CCC23CCCCC2C1Cc1cc(OC2OC(C(=O)O)C(O)C(O)C2O)c(O)cc13', 'Oc1ccc2c(c1)C1CCCCC1C1CCNC1C2', 'Oc1ccc2c(c1)C1CCCCC1C1CCNC21', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C1CCCCC1CC2', 'CN1CCC23CCCCC2C1C(O)c1ccc(O)cc13', 'CN1CCC23CCCCC2C1C(O)Cc1ccc(O)cc13', 'Oc1ccc2c(c1)C1CCCCC1CC2O', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CCCCC2C1CC1=C3C(=O)C(=O)C=C1', 'Oc1ccc2c(c1)C1CC3CCCCC3C1CC2O']","[-1.0160779953, -2.2899494171, -2.3730101585, -2.3819022179, -2.3943834305, -3.3343038559, -3.6572422981, -3.8045697212, -4.3845200539, -4.4569602013, -4.5764784813, -4.5925707817, -4.7478609085, -4.9311733246, -5.1007499695, -5.248483181, -5.301835537]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'NC(CCC(=O)NC(CSC1N=C(c2ccccc2)CN=C1c1ccccc1)C(=O)NCC(=O)O)C(=O)O', 'Nc1ccc(Cl)cc1C1=NCC(=O)N1', 'Nc1ccc(Cl)cc1C(=O)CN=C(CO)c1ccccc1', 'NC(CCC(=O)NC(CSC1N=C(c2ccccc2)c2cc(Cl)ccc2NC(=O)CN1)C(=O)NCC(=O)O)C(=O)O', 'N=C(c1ccccc1)c1cc(Cl)ccc1N', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'NC(CCC(=O)NC(CSC1CC(=O)Nc2ccc(Cl)cc2C(c2ccccc2)=N1)C(=O)NCC(=O)O)C(=O)O', 'NC1=NCC(c2ccccc2)=NC1', 'O=C1CN=C(c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc2)c2cc(Cl)ccc2N1', 'Nc1ccc(Cl)cc1C1=NCC(O)=Nc2ccc(Cl)cc21', 'NC(CCC(=O)NC(CSC1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O)C(=O)NCC(=O)O)C(=O)O', 'O=C1CN=C(c2ccccc2)c2cc(OC3OC(C(=O)O)C(O)C(O)C3O)ccc2N1']","[-2.0056962967, -2.0386054516, -2.3791508675, -2.7654480934, -2.8715934753, -3.4021112919, -3.4240486622, -3.6566331387, -3.6584188938, -3.9349400997, -4.1295828819, -4.2056174278, -4.2892608643, -4.3038101196, -4.4559531212, -4.5739364624, -4.728966713]"
