index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(O)C2', 'CC(C)[N+]12CCC(CC1O)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CC(O)CC1CC(O)C2', 'CC(C)[N+]12CCC(CC1O)CC2O', 'CC(C)[N+]1(C)C2CC(O)CC1C(O)C2', 'CC(C)[N+]1(C)C2CC(O)C1C(O)C2', 'CC(C)[N+]12CC(O)CC1CCC2CC(O)c1ccccc1']","[-1.2077466249, -3.8386030197, -4.498878479, -4.6646866798, -4.7871108055, -5.0662240982, -5.3240714073, -6.1472935677, -6.5467605591]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'COc1cc2c(cc1O)CC1C3CCCCC23CCN1C', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O', 'COc1ccc2c(c1)C13CCCCC1C(C2)NC(O)C3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(O)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)NC(C)C3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(S(=O)(=O)O)CC3']","[-2.4687325954, -3.7808132172, -4.3957738876, -5.3120093346, -5.4295301437, -5.9983229637, -6.0794129372, -6.3745045662]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)c1nc(-c2ccc(O)cc2)nc2ccc(Cl)cc12', 'O=C(O)c1nc(-c2ccccc2)nc2ccc(Cl)cc12', 'O=C(O)C1=NC(c2ccccc2)(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'Nc1ccc(C2=NC(C(=O)O)C(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)c1nc(-c2ccccc2)nc2c(O)cc(Cl)cc12', 'O=C(O)C1=NC(c2ccccc2)(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1O', 'O=c1nc(-c2ccc(O)cc2)c2cc(Cl)ccc2[nH]c1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1=C(O)O', 'O=C(O)c1nc(-c2ccc(O)cc2)c(-c2ccccc2)[nH]1', 'O=c1nc(-c2ccccc2)c2cc(Cl)ccc2[nH]c1=O']","[-2.5791137218, -2.9066960812, -3.062661171, -3.2447943687, -3.931078434, -3.9430196285, -4.0664682388, -4.6325654984, -4.9722566605, -5.0110044479, -5.2581338882, -5.3331112862, -5.5824580193]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)O)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC5OC(O)C(O)C(O)C5O)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3CCC21C', 'C#CC1(O)CCC2C3CCC4Cc5ccc(OS(=O)(=O)O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4(C)C(CCC4(O)C#C)C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC5OC(O)C(O)C(C(=O)O)C5O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4(C)C(CC(O)C4(O)C#C)C3CCC21C', 'C#CC1(O)CCC2C3CCC4Cc5ccc(O)cc5CCC4C3CCC21C']","[-2.1150960922, -2.8535685539, -3.086181879, -3.1047608852, -3.217813015, -3.6128914356, -3.7269906998, -4.571059227, -4.7531065941, -4.830121994, -5.5022721291, -5.5129566193, -5.5309104919]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'OCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1']","[-1.6402339935, -2.3073794842, -4.5313463211]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCOP(=O)(O)OCCCn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCOP(=O)(O)OCCCn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCOP(=O)(O)OCCCn1ccc(=O)[nH]c1=O', 'CCCCCCCCCCCCCCOP(=O)(O)OCCCO', 'CCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(=O)[nH]c1=O', 'CCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(=N)[nH]c1=O', 'CCCCCCCCCCCCCOP(=O)(O)OCCCn1ccc(=O)[nH]c1=O', 'CCCCCCCCCCCCCOP(=O)(O)OCCCO', 'CCCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(=O)[nH]c1=O', 'CCCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(=N)[nH]c1=O', 'CCCCCCCCCCCCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCOCC(O)CO', 'CCCCCCCCCCCCCOCC(O)CO', 'CCCCCCCCCCCCCOCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(=O)nc1O']","[-2.7608685493, -2.9279155731, -3.2561199665, -3.3074018955, -3.7127594948, -4.1566944122, -4.4833655357, -4.4878668785, -4.5543060303, -4.5940666199, -4.6940383911, -4.8065714836, -4.9572296143, -5.0314364433, -5.0668945312, -5.1260390282, -5.2024974823, -5.8427915573]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)CC(O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C(=O)CO', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(C)O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)C(O)CO', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C1CCC2(O)O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12']","[-4.1146240234, -4.2915124893, -4.4367260933, -4.4486103058, -4.6353139877, -4.6695356369, -4.9762802124, -5.4925146103, -5.6575388908, -5.8392477036, -5.8715648651]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)C)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CCC(C)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C2SC(C(C(=O)O)C(C)O)N1C2=O', 'CCC(C(=O)O)C(C)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(C(=O)O)C(O)OC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)C(C(C)O)C(=O)N1', 'CC(O)C(C)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)CO)C(=O)N12', 'CC(O)C(C(=O)O)C1SC2C(C(=O)O)C(=O)N2C1SC1CC[S+]([O-])C1', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)[S+]([O-])C2C(C(C)O)C(=O)N12', 'CCC(C(=O)O)C(=O)O', 'CC(O)C(C(=O)O)C1SC(SC2CC[S+]([O-])C2)=C(C(=O)O)N1C=O']","[-2.3754627705, -3.6870167255, -3.6968619823, -3.7759439945, -4.2635002136, -4.8798427582, -5.2464990616, -5.4090132713, -5.511838913, -5.5583086014, -5.5658097267, -5.6226868629, -5.6620435715, -5.6717352867]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'C[N+]12CCCCC1C1Cc3ccc(OS(=O)(=O)O)cc3C1CC2', 'CN1CCC23CCCCC2C1Cc1cc(OS(=O)(=O)O)ccc13', 'C[N+]1([O-])CCC23CCCCC2C1Cc1ccc(O)cc13', 'C[N+]1([O-])CCC23CCCCC21Cc1ccc(O)cc13', 'C[N+]1([O-])CCC23CCCCC21Cc1ccc(OS(=O)(=O)O)cc13', 'C[N+]1([O-])CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'CN1CCC23CCCCC1C2Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC12Cc1ccc(OS(=O)(=O)O)cc13', 'C[N+]12CCCCC3c4cc(OS(=O)(=O)O)ccc4CC3C1CCCC2']","[-1.0753207207, -4.1603841782, -4.1850132942, -4.7697472572, -4.8364653587, -5.1714105606, -5.2654848099, -5.4290289879, -5.9498796463, -6.6424570084, -6.75887537]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'CC(=O)Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'CC(=O)Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'Nc1ccc(C2=NCC(=O)Nc3ccc(Cl)cc32)cc1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1O']","[-1.1594401598, -3.2376768589, -3.4351630211, -4.0253210068, -4.1221146584, -4.1540384293, -4.6387734413]"
