index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(COC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1)C2', 'C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C=O)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(COC1OC(CO)C(O)C(O)C1O)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C(=O)O)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CN)c1ccccc1)C2']","[-2.0818219185, -2.8828527927, -3.2504138947, -4.3230967522, -5.0505180359, -5.1760549545, -5.7657380104]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1OC(C(=O)O)C(O)C(O)C1O)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC(O)C(O)C1)CC3']","[-1.9436975718, -3.1016638279, -4.4579167366, -4.715678215, -4.8232545853, -5.2874116898, -6.3180851936]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1=NC(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)c(O)cc2NC1=O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)cc(O)c2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1=NC(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2cccc(O)c2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1=NC(c2cccc(O)c2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1=NC(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1=NC(c2ccccc2)(C2OC(C(=O)O)C(O)C(O)C2O)C(=O)Nc2ccc(Cl)cc21', 'O=C(O)C1=NC(c2ccccc2)(C2OC(C(=O)O)C(O)C(O)C2O)c2cc(Cl)ccc2N1']","[-2.9312734604, -3.217249155, -3.4375786781, -3.477312088, -3.4820461273, -3.5230352879, -3.6778562069, -3.8249695301, -3.9906079769, -5.164542675, -5.2285470963, -5.3135452271, -5.4362721443]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)c(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(OS(=O)(=O)O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5cc(O)c(OC)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(OC6OC(C(=O)O)C(O)C(O)C6O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(O)CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4Cc5cc(O)ccc5C4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)c(O)c5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4Cc5cc(O)ccc5CC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)C(O)CC4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCC4c5cc(OC)ccc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)C=CC4C3CCC21C', 'C#CC1(O)CCC2C3C(O)CC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCC4Cc5cc(OC)ccc5C4C3CCC21C']","[-2.1131517887, -2.1970281601, -2.8896625042, -3.0061793327, -3.178283453, -4.0495939255, -4.0768442154, -4.4340434074, -4.4350500107, -4.4788503647, -4.845846653, -5.1759934425, -5.2530436516, -5.8507614136, -5.8980498314, -5.9157457352, -5.9840984344, -5.9963450432, -6.1148815155, -6.3127999306]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'Oc1ccc(C(F)(F)F)cc1', 'O=CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'OCNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1cccc(O)c1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C(=O)O']","[-1.8465796709, -2.6399347782, -3.191631794, -3.6702487469, -3.7967743874, -3.9826977253, -4.5580649376, -5.0290436745, -5.5605430603, -6.1079363823]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1', 'Nc1ccn(CC(CO)OP(=O)(O)OCCCO)c(=O)n1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCC(O)CO', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCOP(=O)(O)OCC(O)CO', 'CCCCCCCCCCCCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(O)CO)c(=O)n1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCCOP(=O)(O)OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCOP(=O)(O)OCC(CO)OC(C)=O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCC(CO)OC(C)=O', 'CCCCCCCCCCCCCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC(C)=O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCC(O)COP(=O)(O)O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OP(=O)(O)COC(CO)Cn1ccc(N)nc1=O']","[-3.1999166012, -3.428948164, -3.7806093693, -3.862323761, -3.9062304497, -4.2825980186, -4.3935074806, -4.480055809, -4.5957798958, -4.8100981712, -4.8317227364, -5.0076971054, -5.3095121384, -5.3602614403, -5.6322035789, -5.9959664345, -6.6371183395]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CC(O)C2O', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2OC1OC(C(=O)O)C(O)C(O)C1O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12']","[-1.7744179964, -2.1925239563, -2.8351447582, -4.0364890099, -4.3477749825, -5.5125927925]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCO', 'CCC(C(=O)O)C(C)O', 'CC(O)C(C(=O)O)C1NC(C(=O)O)=C(SC2CC[S+]([O-])C2)S1', 'CCC(C)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)CSC2C(C(C)O)C(=O)N12', 'CCC(C)C(=O)OCOC(=O)C1=C(S)CSC2C(C(C)O)C(=O)N12', 'CC(O)C(C(=O)O)C1CC2SC(SC3CC[S+]([O-])C3)=C(C(=O)O)N2C1=O', 'CC(O)C(C(=O)O)C1NC(C(=O)O)C(SC2CC[S+]([O-])C2)S1', 'CCC(C)C(=O)OCOC(=O)C1=C(S)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)SC2C(C(C)O)C(=O)N12', 'CCC(C)C(=O)OCO', 'CC(O)C(C(=O)O)C1SC2SC(SC3CC[S+]([O-])C3)=C(C(=O)O)N2C1=O', 'CC(O)C(C(=O)O)C(C)O', 'CC(O)C(C(=O)N1C(C(=O)O)=C(SC2CC[S+]([O-])C2)SC1C(C(=O)O)C(C)O)C1CC(O)C(N)CS1']","[-1.9714164734, -3.6369571686, -3.7571055889, -3.8602523804, -3.8868603706, -4.3745136261, -4.3821377754, -5.0584893227, -5.0688915253, -5.1080551147, -5.1790847778, -5.2469139099, -5.3724594116, -5.3883481026, -6.2480721474]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CCCCC2C1Cc1cccc(OC2OC(C(=O)O)C(O)C(O)C2O)c13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)C2OC(O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1cccc(O)c13', 'CN1CCC23c4cc(O)ccc4CC(O)C2CCCC3C1', 'CN1CCC23CCN(C)C(Cc4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc42)C3C1']","[-1.9062159061, -3.4041378498, -3.4683320522, -4.4480104446, -4.481136322, -4.4877343178, -4.9600481987, -5.6989550591, -5.7623171806, -5.8099117279]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)c(O)cc2N1', 'O=C1Nc2ccc(Cl)cc2C(c2cccc(O)c2)=NC1O', 'O=C1CN=C(c2cccc(O)c2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccc(O)cc2)=NC1O', 'O=C1CN=C(c2ccccc2)c2cc(Cl)cc(O)c2N1', 'O=C1Nc2c(O)cc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccc(OC3OC(C(=O)O)C(O)C(O)C3O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2OC(C(=O)O)C(O)C(O)C2O)C(O)C(O)C1O', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'O=C(O)C1OC(N2C(=O)CN=C(c3ccccc3)c3cc(Cl)ccc32)C(O)C(O)C1O', 'CC(C)OC1OC(C(=O)OC2C(C(=O)O)OC(OC3OC(C(=O)O)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O']","[-2.5628457069, -2.5715255737, -3.0635509491, -3.0750074387, -3.2749946117, -3.3664727211, -4.4531230927, -4.4699940681, -4.6950798035, -5.0674080849, -5.1494784355, -5.3263316154, -5.5048465729, -8.3700618744]"
