index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CCC(CC1)CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(O)C2', 'CC(C)[N+]12CCC(CC1)CC(O)(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CCC(CC1)C(O)C2', 'CC(C)[N+]12CCC(CC1)C(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)C2', 'CC(C)[N+]12CCC(CC(OC(=O)C(CO)c3ccccc3)C1)C2', 'CC(C)[N+]1([O-])C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]12CCC(CC1)CC(OC(=O)C(COS(=O)(=O)O)c1ccccc1)C2', 'CC(C)[N+]12CCC(CC1)CC(OC(=O)C(COC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1)C2']","[-1.479721427, -2.8698599339, -3.269753933, -4.735311985, -4.7578725815, -4.9038653374, -4.9845175743, -5.370100975, -5.5461583138, -6.4653110504, -6.5185074806, -6.5459942818]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)NC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)C3', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(O)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3O', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)C3O', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(S(=O)(=O)O)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)NC(O)C3', 'COc1ccc2c(c1)C13CCCCC1C(C2)NC3O', 'CN1CCC2c3cc(O)ccc3CC21', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)C(O)C3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1OC(C(=O)O)C(O)C(O)C1O)CC3']","[-2.2113552094, -2.5191867352, -3.077855587, -4.2302303314, -4.3555822372, -4.3654894829, -4.8499703407, -5.2001924515, -5.4546313286, -5.4697389603, -5.4938526154, -5.5237293243, -5.6318006516, -5.8297739029]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccccc2)c2cc(Cl)c(O)cc2NC1=O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'Nc1ccc(Cl)cc1C1=NC(C(=O)O)C(=O)Nc2ccc(Cl)cc21']","[-2.2287943363, -2.4211833477, -3.2575793266, -3.479187727, -4.7103667259, -4.7914385796, -4.8624396324]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(O)c4O)C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CC(O)C2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3C(O)Cc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(OC)c4O)C3CCC21C']","[-1.1147476435, -2.2952671051, -2.6722633839, -3.2645130157, -3.3300862312, -3.442763567, -3.9863379002, -4.4214353561, -4.5385642052, -4.8824443817, -5.241625309, -6.0478386879, -6.2714776993]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'Oc1ccc(C(F)(F)F)cc1', 'O=C(O)C1OC(ONCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O', 'O=C(O)C1OC(NCCC(Oc2ccc(C(F)(F)F)cc2)c2ccccc2)C(O)C(O)C1O']","[-1.9799226522, -2.7719695568, -2.9967701435, -4.5893206596, -7.0414409637]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCOCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCOCCCOC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCO', 'CCCCCCCCCCCCCOCCCOC(CO)CO', 'CCCCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCO', 'CCCCCCCCCCCCOCCCO', 'CCCCCCCCCCCCOCCCOC(CO)CO', 'CCCCCCCCCCCOCCCOC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCCCOCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCOCCCOC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCOCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCC(O)CO', 'CCCCCCCCCCCCCOCCCOC(COC1OC(C(=O)O)C(O)C(O)C1O)Cn1ccc(N)nc1=O']","[-3.0070486069, -3.2822642326, -3.4579381943, -3.4663796425, -3.7806937695, -3.801243782, -4.1110172272, -4.2145166397, -4.251209259, -4.2849693298, -4.3700628281, -4.4465379715, -4.5569472313, -4.9161138535, -5.0347599983, -6.1653027534]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)C(O)C2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(=O)C2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C=CC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CC(O)C2(C)C(O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)C(O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)C(OC3OC(C(=O)O)C(O)C(O)C3O)CC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(=O)C(O)CC12']","[-1.3159644604, -2.875125885, -3.1674206257, -3.915585041, -4.2095928192, -4.6152567863, -4.8375210762, -4.9726138115, -5.2042884827, -5.4851322174, -5.5359005928, -5.6831932068, -5.7044081688, -5.8227782249, -5.9050002098, -6.1472744942, -6.1925516129, -6.8525767326]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(O)C(O)CN12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CCS(=O)(=O)C3)SC12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(O)C(O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(=O)O)C(O)CN12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)CSC2C(C(C)O)C(O)C(O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(O)C(O)N12']","[-2.3867111206, -3.3685090542, -3.3756885529, -3.4249186516, -3.6136331558, -4.8858485222, -5.1319046021, -5.3053236008, -5.5601224899, -5.67598629, -5.7500662804, -5.8120408058, -6.0294771194]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c13', 'CN1CCC23c4cc(O)ccc4CC1C2CCC3O', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3O', 'CNC(=O)Nc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3']","[-2.0307657719, -3.1370029449, -3.2476761341, -3.7309725285, -4.183681488, -5.4317946434, -5.5948185921, -5.9146199226, -6.038064003]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C(O)C1OC(ON2C(=O)CN=C(c3ccccc3)c3cc(Cl)ccc32)C(O)C(O)C1O', 'O=C(O)C1OC(ON2CC(c3ccccc3)=Nc3ccc(Cl)cc32)C(O)C(O)C1O', 'Nc1ccc2c(c1)C(c1ccccc1)=NCC(=O)N2', 'O=C1CN(OC2OC(C(=O)O)C(O)C(O)C2O)N=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2N=C(c3ccccc3)c3cc(Cl)ccc3N=C2O)C(O)C(O)C1O', 'OC1CN=C(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(On2c(=O)c(-c3ccccc3)nc3ccc(Cl)cc32)C(O)C(O)C1O']","[-1.8934651613, -3.3964600563, -3.5976214409, -3.9937961102, -4.2887730598, -4.3926701546, -4.9365921021, -5.3032355309]"
