index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,Apixaban,['M2'],['NC(=O)c1nn(-c2ccc(O)cc2)c2c1CCN(c1ccc(N3CCCCC3=O)cc1)C2=O'],"['NC(=O)c1nn(-c2ccc(O)cc2)c2c1CCN(c1ccc(N3CCCCC3=O)cc1)C2=O', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCC(O)CC4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(NCCCCC(=O)O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCC(O)C4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N(CCCCC(=O)O)C(=O)O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CC(O)CCC4=O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N(CCC(=O)O)C(=O)O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N(CCCCC(=O)O)CC(=O)O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N(CC(=O)O)CC(=O)O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N(CCCC(=O)O)C(=O)O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N(CC(=O)O)C(=O)CCCCC(=O)O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N(CCC(=O)O)C(=O)CCCCC(=O)O)cc2)CC3)cc1', 'COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N(CC(=O)O)C(=O)CCCC(=O)O)cc2)CC3)cc1']","[-2.1105816364, -3.3656237125, -3.6682274342, -4.5864500999, -4.8008923531, -4.8605566025, -5.0188102722, -5.3156018257, -5.5269160271, -6.2159609795, -6.4183392525, -6.5559110641, -6.679810524, -6.7730355263]"
0,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O,Lenalidomide,"['5-hydroxy-lenalidomide', 'N-acetyl-lenalidomide']","['Nc1c(O)ccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'CC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O']","['Nc1c(O)ccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'NC(=O)c1cccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'Nc1ccc(O)c2c1CN(C1CCC(=O)NC1=O)C2=O', 'CC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O', 'NC(=O)CCC(C(=O)O)N1Cc2c(N)cccc2C1=O', 'Nc1cccc2c1CN(C1CCC(O)=NC1=O)C2=O', 'Nc1cccc2c1CN(C1CC(O)C(=O)NC1=O)C2=O', 'NC(=O)C(CCC(=O)O)N1Cc2c(N)cccc2C1=O', 'NC(=O)CCC(NC(=O)c1cccc(N)c1C=O)C(=O)O', 'Nc1cccc2c1CN(C1CCC(=O)N(O)C1=O)C2=O', 'O=C(O)CCC(=O)Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O']","[-2.5731215477, -4.1146945953, -4.121568203, -4.1452469826, -4.1660175323, -4.1988983154, -4.2262320518, -4.5648641586, -4.9148168564, -5.1103363037, -6.2592201233]"
0,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,Rivaroxaban,"['M-2', 'M-5', 'M-6', 'M-7', 'M-12', 'M-13', 'M-15', 'M-9', 'M-8', 'M-3']","['O=C(NCC1CN(c2ccc(N3CCOC(O)C3=O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N(CCO)C(=O)CO)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(NCCO)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(O)COCCNc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(CNC(=O)c1ccc(Cl)s1)CNc1ccc(N2CCOCC2=O)cc1', 'O=C(O)c1ccc(Cl)s1', 'NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1', 'O=C(NCC1OC(=O)N(c2ccc(N3CCOCC3=O)cc2)C1O)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N3C(=O)COCC3O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N3CC(O)OCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1']","['O=C(O)COCCNc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'Nc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(O)CN(CC(=O)O)c1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(O)CN(CCO)c1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(NCC1CN(c2ccc([N+](=O)[O-])cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(NCCO)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N(CCO)C(=O)CO)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(O)COCCN(C(=O)O)c1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(O)CNc1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(NCC1CN(c2ccc([N+]3=CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1', 'O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)[s+]1[O-]', 'O=C(O)CN(C(=O)CO)c1ccc(N2CC(CNC(=O)c3ccc(Cl)s3)OC2=O)cc1', 'O=C(NCC1CN(c2ccc(N3C(=O)COCC3O)cc2)C(=O)O1)c1ccc(Cl)s1']","[-1.9205083847, -2.9135706425, -3.2783560753, -3.8378810883, -4.1270432472, -4.3673348427, -4.5863628387, -4.7352275848, -4.7635083199, -5.4772105217, -6.2664179802, -6.3812999725, -7.7344055176]"
0,C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,Ibrutinib,"['M26', 'M37']","['Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)CCSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O)C1', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)C(O)CO)C1']","['Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCNC1', 'C=CC(=O)NCCCC(=O)n1nc(-c2ccc(Oc3ccccc3)cc2)c2c(N)ncnc21', 'C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1O', 'C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4O)cc3)c3c(N)ncnc32)C1', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCN(C(=O)C(O)O)C1', 'CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1', 'C=CC(=O)NCCCC(=O)n1nc(-c2ccc(Oc3ccccc3O)cc2)c2c(N)ncnc21', 'C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)c(O)c3)c3c(N)ncnc32)C1', 'C=CC(=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(O)cc4)cc3)c3c(N)ncnc32)C1', 'Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)nn2C1CCCNC1O', 'CC(O)C(=O)N1CCCC(n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1']","[-1.2589893341, -3.3895311356, -3.833514452, -4.1275920868, -4.2618346214, -4.3254451752, -4.7572021484, -5.6163086891, -5.7313656807, -6.2465615273, -6.3357343674]"
0,CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1,Cobicistat,"['M2', 'M9', 'M3']","['CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(N)Cc2ccccc2)Cc2ccccc2)cs1', 'CNC(=O)NC(CCN1CCOCC1)C(=O)NC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1', 'CC(C)c1nc(CN(C)C(=O)NC(CCNCCO)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1']","['CC(C)c1nc(CNC(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1', 'CC(CO)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1', 'CN(Cc1csc(C(C)(C)O)n1)C(=O)NC(CCN1CCOCC1)C(=O)NC(CCC(Cc1ccccc1)NC(=O)OCc1cncs1)Cc1ccccc1', 'CC(C)c1nc(CN(C)C(=O)NC(CC2COCCN2C)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccccc2)cs1', 'CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(N)Cc2ccccc2)Cc2ccccc2)cs1', 'CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2c[nH]cn2)cs1', 'CC(C)c1nc(CN(C)C(=O)NC(CCN2CCOCC2)C(=O)NC(CCC(Cc2ccccc2)NC(=O)OCc2cncs2)Cc2ccc(O)cc2)cs1']","[-4.2064290047, -4.6047167778, -4.972111702, -5.3907175064, -6.2476491928, -6.9074344635, -7.3416543007]"
0,NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,Sitagliptin,"['M1', 'M4', 'M2,M5']","['O=C(CC(Cc1cc(F)c(F)cc1F)NS(=O)(=O)O)N1CCn2c(nnc2C(F)(F)F)C1', 'O=C(NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C1CC(Cc2cc(F)c(F)cc2F)NC2c3nnc(C(F)(F)F)n3CCN12']","['NC(CC(=O)N1C=Cn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F', 'Nc1ncnc2c1ncn2C1=CCN(C(=O)CC(N)Cc2cc(F)c(F)cc2F)C1', 'NC(CC(=O)N1C=CC2OC2C1)Cc1cc(F)c(F)cc1F', 'NC1CC(=O)N(CCn2cnnc2C(F)(F)F)c2cc(F)c(F)cc2C1', 'NC(CC(=O)N1C=Cc2[nH]c(C(F)(F)F)nc2C1)Cc1cc(F)c(F)cc1F', 'NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(O)cc1F', 'NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1ccc(F)c(F)c1', 'Nc1ncnc2c1ncn2C1=CCN(C(=O)CC(N)Cc2cc(F)c(F)cc2F)CC1', 'Nc1ncnc2c1ncn2C1=CCN(C(=O)CC(N)Cc2cc(F)c(F)cc2F)CC1O', 'NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)ccc1F', 'NC(CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1O']","[-2.9748849869, -4.7012457848, -4.7579512596, -5.0024194717, -5.1739311218, -5.6052751541, -5.6778659821, -5.9206776619, -5.9253873825, -6.1466650963, -6.1822495461]"
0,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,Enzalutamide,"['carboxylic acid metabolite', 'N-desmethyl enzalutamide']","['CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)O)c(F)c1', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(N)=O)c(F)c1']","['CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)O)c(F)c1', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(N)=O)c(F)c1', 'CNC(=O)c1ccc(N2C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F', 'CNC(=O)c1ccc(N2C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=S)C2(C)C)cc1F', 'CNC(=O)c1ccc(N2C(=O)C(C)(C)N(c3ccc(C#N)c(C(F)(F)F)c3)C2=S)cc1F', 'CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)CO)cc1F', 'CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)NCC(=O)O)c(F)c1', 'CNC(=O)c1ccc(N2C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)CO)cc1F', 'CNC(=O)c1ccc(N2C(=O)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=S)C2(C)CO)cc1F', 'CC1(C)C(=S)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(N)=O)c(F)c1', 'CC1(C)C(=S)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(C(=O)O)c(F)c1', 'CC1(C)C(=O)N(c2ccc(C(N)=O)c(F)c2)C(=S)N1c1ccc(C#N)c(C(F)(F)F)c1']","[-1.3470623493, -2.2311372757, -4.0665335655, -4.5271582603, -4.6812796593, -4.922249794, -5.3532896042, -6.1521992683, -6.3407459259, -6.51425457, -6.622736454, -7.288330555]"
0,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,Abacavir,"[""5'-carboxylate"", ""5'-glucuronide""]","['Nc1nc(NC2CC2)c2ncn(C3C=CC(C(=O)O)C3)c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(COC4OC(C(=O)O)C(O)C(O)C4O)C3)c2n1']","['Nc1nc(NC2CC2)c2ncn(C3C=CC(COC4OC(C(=O)O)C(O)C(O)C4O)C3)c2n1', 'Nc1nc(=O)n(C2C=CC(CO)C2)c2[nH]cnc12', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3O)c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(COP(=O)(O)O)C3)c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(C(=O)O)C3)c2n1', 'Nc1nc(=O)c2ncn(C3C=CC(CO)C3)c2[nH]1', 'Nc1nc(=O)n(C2C=CC(CO)C2)c2nc[nH]c12', 'Nc1nc(NC2CC2)c2nc[nH]c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(COP(=O)(O)O)C3O)c2n1', 'Nc1nc(NC2CC2)c2ncn(C3C=CC(COS(=O)(=O)O)C3)c2n1', 'Nc1nc(=O)n(C2C=CC(CO)C2)c2ncn(C3OC(CO)C(O)C3O)c12']","[-2.7384688854, -3.0427443981, -3.1552319527, -3.1649105549, -3.2330434322, -3.2415292263, -3.3305191994, -3.6960089207, -4.4606580734, -4.5810174942, -5.2229533195]"
0,CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,Dolutegravir,"['M2', 'M3']","['CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(OC4OC(C(=O)O)C(O)C(O)C4O)c3C(=O)N12', 'CC1CCOC2Cn3cc(C(=O)NC(O)c4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12']","['CC1CCOC2Cn3cc(C(N)=O)c(=O)c(O)c3C(=O)N12', 'CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(OC4OC(C(=O)O)C(O)C(O)C4O)c3C(=O)N12', 'CC1(O)CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21', 'CC1(O)CCOC2Cn3cc(C(N)=O)c(=O)c(O)c3C(=O)N21', 'CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(OS(=O)(=O)O)c3C(=O)N12', 'CC1C(O)COC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N21']","[-1.4677255154, -4.3910999298, -5.0804328918, -5.1420845985, -5.847867012, -6.6492438316]"
0,CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12,Abiraterone,"['M75', 'M45']","['CC12CCC=CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(OS(=O)(=O)O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12']","['CC12CCC(=O)C=C1CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(=O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(OC3OC(C(=O)O)C(O)C(O)C3O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CCC(OS(=O)(=O)O)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CC(O)C3C(CCC4=CC(=O)CCC43C)C1CC=C2c1cccnc1', 'CC12CCC(OC(=O)c3cccnc3)CC1=CCC1C2CCC2(C)C(c3cccnc3)=CCC12', 'CC12CC(O)C3C(CC=C4CC(O)CCC43C)C1CC=C2c1cccnc1', 'CC12CCC(O)CC1=CCC1C2CCC2(C)C(c3ccc[n+]([O-])c3)=CCC12', 'CC12CCC(O)CC1=CCC1C2CCC2c3ccc(O)cc3CCC21C']","[-1.9085005522, -3.6630074978, -3.7301847935, -4.2921833992, -4.9392337799, -5.3439502716, -5.3742465973, -5.9628992081, -6.9847950935]"
