index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['CC(C)[N+]1(C)C2CCC1CC(O)(OC(=O)C(CO)c1ccccc1)C2', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(COC1OC(C(=O)O)C(O)C(O)C1O)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccc(O)cc1)C2', 'CC(C)[N+]1(C2OC(C(=O)O)C(O)C(O)C2O)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(C(CO)c1ccccc1)C2', 'CC(C)[N+]12CCC(CC(OC(=O)C(CO)c3ccccc3)C1)C2', 'CC(C)[N+]12CCC(CC(OC(=O)C(CO)c3ccccc3)C1)C2(C)C', 'CC(C)[N+](C)(C1CC2CCC(C1)N2)C1OC(C(=O)O)C(O)C(O)C1O', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(C(=O)O)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(O)C2', 'CC(C)[N+]1(C)C2CCC1CC(O)(C(=O)C(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1cccc(O)c1)C2', 'CC(C)[N+](C)(C)C1CC2CCC(C1)[N+]2(C)[O-]', 'CC(C)[N+]1(C)C2CCC1CC(O)(C(=O)OC(CO)c1ccccc1)C2', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)(CO)c1ccccc1)C2', 'CC(C)[N+](C)(C1CC2CCC(C1)N2)C1CC(OC(=O)C(CO)c2ccccc2)CC1O']","[-3.0460817814, -3.6560044289, -4.2659335136, -4.2727770805, -4.8154268265, -5.2106151581, -5.2811169624, -5.4738879204, -5.6403245926, -5.902367115, -6.2545900345, -6.3265795708, -6.549446106, -6.5706605911, -6.595969677, -6.9454255104, -7.1460762024]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'COc1ccc2c(c1)C13CCC(O)CC1C(C2)N(C)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1ccc2c(c1)C13CCNC(C2)C1CC(O)CC3']","[-2.2164375782, -2.8260216713, -4.3797907829, -4.7815785408, -5.5617818832, -6.299557209]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2N=C1O', 'O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1C(=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(c2ccc(O)cc2)c2cc(Cl)ccc2N=C1O', 'O=C(O)C1=NC(O)(c2ccccc2)c2cc(Cl)ccc2NC1=O']","[-3.0026891232, -3.3237328529, -3.4561471939, -4.8239302635, -5.0025920868]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC5OC(C(=O)O)C(O)C(O)C5O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CC(O)c4cc(O)ccc4C3CCC21C', 'C#CC1(OC2OC(C(=O)O)C(O)C(O)C2O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(OC)cc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4c(ccc(OC)c4O)C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC)c(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)c(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4c5ccc(O)cc5CCC4C3CCC21C', 'C#CC1(O)CCC2C3C(O)Cc4cc(OC)ccc4C3CCC21C', 'C#CC1(O)C(O)CC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OS(=O)(=O)O)ccc4C3CCC21C', 'C#CC1(OS(=O)(=O)O)CCC2C3CCc4cc(O)ccc4C3CCC21C']","[-1.4761869907, -2.3274791241, -3.1844172478, -3.8455781937, -3.8759741783, -3.8983006477, -4.0872049332, -4.71905756, -5.0388460159, -5.2632808685, -5.2677197456, -5.7181630135, -5.7719020844, -6.0630893707, -6.1481208801, -6.2042646408, -6.4808034897]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccc(O)cc1', 'CN(CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)C1OC(C(=O)O)C(O)C(O)C1O', 'O=C(O)CC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'Oc1ccc(C(F)(F)F)cc1']","[-2.7927572727, -3.7101135254, -4.1247625351, -4.4102263451, -4.5984125137]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)CO', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)CO', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(O)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)O', 'CCCCCCCCCCCCCCO', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCOP(=O)(O)OCCCO', 'CCCCCCCCCCCCCO', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCCCOCCCOP(=O)(O)OCC(Cn1ccc(N)nc1=O)OC1OC(C(=O)O)C(O)C(O)C1O', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCCCCCCCCCCCO)c(=O)n1', 'CCCCCCCCCCCCCOCCCOP(=O)(O)OCC(CO)OC1OC(C(=O)O)C(O)C(O)C1O', 'CCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O', 'Nc1ccn(CC(CO)OCP(=O)(O)OP(=O)(O)OCCCOCCCCCCCCCCCCCO)c(=O)n1']","[-3.8834540844, -4.0121421814, -4.2384667397, -4.4237847328, -4.4608573914, -4.4674339294, -4.515083313, -4.6362576485, -4.6747989655, -4.8545188904, -4.8683056831, -4.9628582001, -5.057299614, -5.111301899, -5.1535210609, -5.1599574089, -5.2637557983, -5.6894645691, -6.9986248016]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC3OC(C(=O)O)C(O)C(O)C3O)CCC12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC5OC(C(=O)O)C(O)C(O)C5O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(=O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OS(=O)(=O)O)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)C(O)CC12', 'CC12CCC3c4cc(O)c(O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CC(O)C12', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O', 'CC(=O)Oc1cc2c(cc1O)C1CCC3(C)C(O)CCC3C1CC2', 'CC(=O)Oc1ccc2c(c1)CCC1C2C(O)CC2(C)C(O)CCC12', 'CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2O', 'CC(=O)Oc1ccc2c(c1)C(O)CC1C2CCC2(C)C(O)CCC12', 'CC12CCC3c4ccc(O)cc4CC(O)C3C1CCC2O']","[-2.0189790726, -2.3187613487, -3.4870927334, -3.7424657345, -4.3395171165, -5.1223635674, -5.2852816582, -5.5421600342, -5.554567337, -5.7202391624, -5.7402005196, -5.8000802994, -5.8573765755, -5.9838557243]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)OCO)=C(SC3CC[S+]([O-])C3)SC12', 'CCC(CC)C(=O)O', 'CCC(CC)C(=O)OCOC(=O)C1=C([S+]([O-])C2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(S)SC2C(C(C)O)C(=O)N12', 'CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CCS(=O)(=O)C3)SC12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CCSC2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCO', 'CCC(CC)C(=O)OCOC(=O)C1=C([S+]([O-])C2CCS(=O)(=O)C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC(C(C(=O)O)C(C)O)N1C(=O)C(NC(=O)O)C(C)O']","[-3.5889539719, -3.8068490028, -4.3256907463, -4.4753603935, -5.0576577187, -5.3100090027, -5.4407100677, -5.5489697456, -5.6230726242, -6.4745187759, -8.8809347153]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(O)c13', 'CN1CCC23CCCCC2C1Cc1ccc(O)c(OC2OC(C(=O)O)C(O)C(O)C2O)c13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1cc(O)c(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'CN1CCC23c4cc(O)ccc4CC1C2CCCC3O']","[-2.7771630287, -3.0216445923, -3.9039549828, -4.1456799507, -4.2745943069, -4.6856470108, -5.2496471405, -5.8576974869]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(ON2C(=O)CN=C(c3ccccc3)c3cc(Cl)ccc32)C(O)C(O)C1O', 'O=C(O)C1OC(N2C(=O)CN=C(c3ccccc3)c3cc(Cl)ccc32)C(O)C(O)C1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O', 'OC1=Nc2ccc(Cl)cc2C(c2ccccc2)=NC1', 'O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1O']","[-2.1878082752, -3.7685194016, -4.4466409683, -4.4990468025, -4.8181214333, -5.0600662231, -5.2790746689]"
