index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1)C2', 'CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'O=C(OC1CC2CCC(C1)N2)c1ccccc1', 'CC[N+]1(CCOC(=O)C(CO)c2ccccc2)CCCC1C', 'O=C(OC1C[N+]2(CCCc3ccccc3)CCC1CC2)C(CO)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)c1ccccc1)C2', 'O=C(OC1C[N+]2(CCOc3ccccc3)CCC1CC2)C(CO)c1ccccc1', 'O=C(OC1CN2CCC1CC2)C(CO)c1ccccc1', 'O=C(NNc1ccccc1)C(CO)c1ccccc1', 'O=C(OC1CC2CCC(C1)N2Cc1ccccc1)c1ccccc1', 'CC[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'O=C(OC1C[N+]2(CCCOc3ccccc3)CCC1CC2)C(CO)c1ccccc1', 'O=C(OC1CC2CCC(C1)N2)C(CO)c1ccccc1', 'C[N+]1(C)CC2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'O=C(OC1C[N+]2(CCCc3ccccc3)CCC1CC2)c1ccccc1', 'CC[N+]1(CCOC(=O)C(CO)c2ccccc2)CCCCC1', 'O=C(OC1CC2CCC(C1)N2CCC(F)(F)C(F)(F)F)C(CO)c1ccccc1']","[-0.4488032758, -2.6247363091, -2.991954565, -4.0676417351, -4.363902092, -4.617521286, -4.9285392761, -5.1287446022, -5.334154129, -5.3962130547, -5.4462609291, -5.4627456665, -5.5212683678, -5.6688275337, -5.745259285, -5.8135743141, -5.9805026054, -7.3632674217]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'CCNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccc(I)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'CNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'CCCCCCCCC(O)COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)c1', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccccc2)cc13', 'CCCCCCCCCCOc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Cc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'CNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CCCCCCCCCC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3']","[-2.2092261314, -2.9051570892, -3.0629608631, -3.3640155792, -3.3945317268, -3.477158308, -3.4923007488, -3.6242074966, -3.7657485008, -3.9551677704, -4.6764616966, -4.7246088982, -4.7670617104, -4.9180693626, -4.94059515, -5.1966981888, -5.1979026794, -5.3171849251, -6.0374641418]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['CN1CCN(C2=NC(c3ccccc3)c3cc(Cl)ccc3NC2=O)CC1', 'CN1CCN(C(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)CC1', 'CNC(=O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'CCN1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2)=NC(C(=O)O)C1=O', 'CN1CCC(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)CC1', 'CC(C)(C)N1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2)C1=O', 'O=C(O)C1N=C(NCc2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(NCCCN1CCOCC1)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O', 'O=C(O)C1N=C(NCCCOc2ccccc2)c2cc(Cl)ccc2NC1=O', 'CC(C)(C)N1CCN(C(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)CC1', 'CC(C)N1C(=O)C(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)c2ccc(Cl)cc21', 'CC(C)N1C(=O)C(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)c2ccccc21', 'CCN1C(=O)C(C(=O)O)N=C(c2ccccc2)c2cc(Cl)ccc21', 'CN1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2)=NC(C(=O)O)C1=O', 'CC(C)(C)N1C(=O)C(C(=O)O)N=C(c2ccccc2)c2cc(Cl)ccc21', 'CC(C)(C)N1C(=O)C(NC(=O)C2N=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)c2ccccc21', 'O=C(O)CCN1C(=O)C(C(=O)NCc2ccccc2)N=C(c2ccccc2)c2cc(Cl)ccc21', 'O=C(O)CCN1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2)=NC(C(=O)O)C1=O', 'CC(C)(C)N1C(=O)Nc2ccc(Cl)cc2C(c2ccccc2)=NC(C(=O)O)C1=O', 'O=C(O)CCN1C(=O)C(C(=O)O)N=C(c2ccccc2)c2cc(Cl)ccc21']","[-2.4542791843, -2.5476140976, -3.4303951263, -3.7201192379, -3.7399435043, -3.7909142971, -4.0233774185, -4.4787216187, -4.4863786697, -4.5715370178, -4.6746029854, -4.7052869797, -4.7875947952, -4.825674057, -5.0383110046, -5.1535024643, -5.2256937027, -5.3992409706, -5.4745359421, -5.4784488678]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccc(O)cc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21', 'C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21O', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC2C1O', 'C#CC1(O)CCC23CCc4cc(O)ccc4C2CCC13C', 'C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC2C1O', 'C#CC1(O)CCC2C3CCc4ccc(OC)cc4C3CCC21C', 'C#CC1(O)CCC2C3Cc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4ccccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21O', 'COc1ccc2c(c1)CCCC1C2CCC2(C)C(O)CCC12', 'COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'C#CC1(O)CCC2C3CCc4cc(SC)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(N)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(-c5ccccc5)ccc4C3CCC21C']","[-0.7307832241, -3.1602625847, -3.3857984543, -3.8509869576, -4.4698085785, -4.8603515625, -4.879319191, -4.9446539879, -5.2189488411, -5.229719162, -5.4629249573, -5.4816923141, -5.5452189445, -5.6310982704, -5.7022771835, -5.745013237, -5.7594466209]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['CNCCC(Oc1cccc2ccccc12)c1ccccc1', 'NCC=C(F)COc1ccc(C(F)(F)F)cc1', 'O=C(COc1ccc(C(F)(F)F)cc1)c1ccc(Cl)nc1', 'NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'NCCC(Oc1cccc2ccccc12)c1ccccc1', 'NS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'CNCCC(Oc1ccccc1OC)c1ccccc1', 'O=P(O)(O)C(Nc1ccc(C(F)(F)F)cc1)P(=O)(O)O', 'FC(F)(F)c1ccc(OC(CCN2CCN(c3ccccn3)CC2)c2ccccc2)cc1', 'CNCCC(Oc1ccccc1C)c1ccccc1', 'Nc1nc2c(-c3ccc(C(F)(F)F)cc3)cccn2n1', 'N#Cc1c(-c2ccc(C(F)(F)F)cc2)no[n+]1[O-]', 'CNCCC(Oc1ccc2ccccc2c1)c1ccccc1', 'NCCC(Oc1ccc(F)cc1)c1ccccc1', 'FC(F)(F)c1ccc(OCCCN2CCN(c3ccccn3)CC2)cc1', 'FC(F)(F)c1ccc(SCCc2c[nH]cn2)cc1', 'NCCc1c[nH]c2ccc(OCCCN3CCCCC3)cc12', 'CNCCC(c1ccccc1)n1c(=O)n(C)c2ccccc21', 'FC(F)(F)c1ccc(OC(CCN2CCC(N3CCCCC3)CC2)c2ccccc2)cc1', 'O=C(NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1)c1ccc(O)nc1']","[-1.6317702532, -2.2289683819, -2.5724313259, -2.6343603134, -3.4506850243, -3.6251933575, -3.6380910873, -3.69952178, -3.7233486176, -3.770624876, -3.908094883, -4.0837712288, -4.3129181862, -4.4780960083, -4.6306700706, -4.6472048759, -4.7354750633, -4.8013038635, -5.1423754692, -7.7220263481]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCOCCOc1ccc(-c2noc(=O)[nH]2)cc1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCOCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCOCCOP(=O)(O)O', 'CCCCCCCCCCCCCCCCOCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCOCCOCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCOCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCOCn1ccc(C(=O)O)n1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCOCn1ccc(C(=O)OCC)n1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCCOCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCOCn1ccc(=O)[nH]c1=O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCOCCOCn1ccc(-c2noc(=O)[nH]2)n1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCOCCOC(=O)C=CC1(CO)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCOCCOP(=O)(O)OCCO', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCOC(=O)C=C1OC(CO)C(O)C(O)C1O', 'CCCCCCCCCCCCCCCCOP(=O)(O)OCCOCCOCn1ccc(-c2noc(=O)[nH]2)c1']","[-1.686971426, -2.2572412491, -2.4362339973, -3.5351977348, -3.5645675659, -3.6614968777, -3.769623518, -3.9637897015, -4.0883350372, -4.1907625198, -4.5883169174, -4.7109751701, -4.7960419655, -4.8093161583, -4.8139300346, -5.1708712578, -5.5569033623, -5.6266999245, -5.7146306038]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CCNC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'COC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'COc1ccc2c(c1)CCCC1C2CCC2(C)C(O)CCC12', 'CCOC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC(=O)Nc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'COC(=O)COc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'CC(=O)NCCOc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12', 'COc1ccc2c(c1)CCC1C3CCC(O)C2(C)CCC13', 'CC(=O)Oc1ccc2c(c1)CCC1C3CCC(O)C2(C)CCC13', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC(=O)C=Cc3ccccc3)CCC12', 'CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(OC(=O)C=Cc3ccc(O)cc3)CCC12']","[-1.4885414839, -1.9129345417, -2.6127085686, -3.0031037331, -4.0226492882, -4.3514108658, -4.6055254936, -4.931579113, -5.0425214767, -6.5565776825, -6.5871562958, -8.8650712967, -9.4886789322]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CCC(CC)C(=O)OCCOC(=O)C1=C(O)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(O)SC2C(C(C)O)C(=O)N12', 'CCCCSC1=C(C(=O)OCCOC(=O)C(CC)CC)N2C(=O)C(C(C)O)C2S1', 'CCC(CC)C(=O)OCC(=O)C1=C(SC2CC[SH]([N+](=O)[O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCC(=O)C1=C(O)SC2C(C(C)O)C(=O)N12', 'CCCCSC1=C(C(=O)OCOC(=O)C(CC)CC)N2C(=O)C(C(C)O)C2S1', 'CCC(CC)C(=O)OCCOC(=O)C1=C(NCc2ccccc2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(N)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(Nc2ccccc2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(NO)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCOC(=O)C1=C(SCCCC(N)C(=O)O)SC2C(C(C)O)C(=O)N12', 'CC(O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(N)SC2C(C(C)O)C(=O)N12', 'CCCSC1=C(C(=O)OCCOC(=O)C(CC)CC)N2C(=O)C(C(C)O)C2S1', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC2CCCCC2)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SCCCC(N)C(=O)O)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SC(C)C)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(SCCCC(=O)O)SC2C(C(C)O)C(=O)N12', 'CCC(CC)C(=O)OCCOC(=O)C1=C(OC(=O)c2ccccc2)SC2C(C(C)O)C(=O)N12']","[-1.8908265829, -2.6009671688, -2.8931210041, -2.9446954727, -3.6712975502, -4.0358805656, -4.0530600548, -4.0977926254, -4.1548395157, -4.1610646248, -4.2669439316, -4.2982516289, -4.4412336349, -4.7077932358, -4.7168354988, -4.8442854881, -4.8598146439, -5.0490784645, -6.103061676]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccc(I)cc2)cc13', 'CNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CCNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'Nc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'Nc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccccc2)cc13', 'NC(=O)COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCCC1)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccc(O)cc2)cc13', 'O=C(Nc1ccccc1)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CC2)CC4)cc1']","[-1.8732297421, -2.1388254166, -2.2786781788, -2.5256204605, -3.007828474, -3.1039552689, -3.3149187565, -3.542247057, -3.6523447037, -3.7729756832, -3.8055038452, -3.9836075306, -4.394721508, -5.1719822884, -5.3569931984, -5.3884840012, -5.4614467621, -5.5687069893, -5.8444766998]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['CC(C)(C)N1CCN(c2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)CC1', 'CC(C)(C)N1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21', 'O=C1CN=C(Nc2ccccc2)c2cc(Cl)ccc2N1', 'COc1ccc(Cl)cc1N1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21', 'O=C1CN=C(NCc2ccccc2)c2cc(Cl)ccc2N1', 'CCCCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21', 'Cc1ccc2c(c1)NC(=O)C2c1ccccc1', 'O=C1CN=C(N2CCCCC2)c2cc(Cl)ccc2N1', 'Cc1cccc(Nc2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)c1', 'CC(C)(C)C(=O)N1CCN(c2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)CC1', 'Cc1ccc(S(=O)(=O)N2C=C(c3ccccc3)c3cc(Cl)ccc3NC2=O)cc1', 'Cc1ccccc1N1CCN(c2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)CC1', 'CC(C)N1CCN(c2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)CC1=O', 'CCOc1ccc2c(c1)N=C(c1ccccc1)c1cc(Cl)ccc1N2', 'Cc1ccc(S(=O)(=O)N2C(=O)C(c3ccccc3)c3cc(Cl)ccc32)cc1', 'O=C(CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21)N1CCCCC1', 'CC(C)N1C(=O)CN(c2c(-c3ccccc3)c3cc(Cl)ccc3[nH]c2=O)c2ccc(Cl)cc21']","[-3.1546936035, -4.2930307388, -4.3026795387, -4.3352136612, -4.492020607, -4.5864086151, -4.7614798546, -4.8532748222, -4.8846430779, -4.8948221207, -4.9137306213, -5.0282964706, -5.0349292755, -5.1229300499, -5.2153334618, -5.4315152168, -6.4070215225]"
