index,parent_smiles,parent_name,child_name,child_smiles,sampled_molecules,log_lhs
0,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,Ipratropium,"['Phenylacetic acid', 'N-isopropylnortropium bromide', 'N-isopropylnortropium methobromide', 'N-isopropylnortropine-ester methobromide']","['O=C(O)Cc1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(OC(=O)Cc1ccccc1)C2', 'C=C(C(=O)OC1CC2CCC(C1)[N+]2(C)C(C)C)c1ccccc1', 'CC(C)[N+]1(C)C2CCC1CC(O)C2']","['C[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2', 'CC[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccsc1)C2', 'C[N+](C)(C)CCOC(=O)C(CO)c1ccccc1', 'C[N+](C)(C)C(CO)c1ccccc1', 'C[N+]1(C)C2CCC1CC(OC(=O)C(O)(c1ccccc1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccsc1)c1ccccc1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1ccccc1)C2', 'CC(C(=O)OC1C[N+]2(C)CCC1CC2)(c1ccccc1)N1CCCCC1', 'CC[N+](C)(CC)CCOC(=O)C(CO)c1ccccc1', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1ccccc1)c1cccs1)C2', 'C[N+]1(C)C2CCC1CC(OC(=O)N(Cc1cccs1)c1ccccc1)C2', 'CC(C)[N+](C)(C)CCOC(=O)C(CO)c1ccccc1']","[-2.0527601242, -3.310123682, -4.0022749901, -4.3728656769, -4.4949431419, -4.7941160202, -4.9319067001, -4.9637231827, -5.0358934402, -5.1545176506, -5.2379131317, -5.415230751, -5.6322555542, -5.6680173874]"
0,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,Dextromethorphan,"['Dextrorphan', '(+)-3-Methoxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'COc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['CNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(N)cc13', 'COc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1', 'CNC(=O)Nc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NC(=O)Nc2ccc(I)cc2)cc13', 'CN(Cc1cccc(O)c1)c1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2ccccc2O)cc13', 'COc1cccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)c1', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'c1cc2c(cc1CNc1ccc3c(c1)C14CCCCC1C(C3)N(CC1CCC1)CC4)OCO2', 'COc1ccccc1CN(C)c1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'c1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'COc1ccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(C)CC4)cc1', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'COc1ccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1', 'COc1cccc(CN(C)c2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)c1']","[-3.8791725636, -4.0415658951, -4.095205307, -4.5417823792, -4.8150162697, -4.8315424919, -4.8824806213, -4.9103751183, -4.952018261, -4.9632759094, -4.9961152077, -5.0523972511, -5.0937366486, -5.096716404, -5.1138195992, -5.146229744, -5.1893730164, -5.3126091957, -5.4692950249]"
0,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,Clorazepic acid,['Nordazepam'],['O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1'],"['O=C(O)C1=NC(c2ccccc2)C(c2ccccc2)=N1', 'O=C(O)C1=NC(c2ccccc2)C(c2ccccc2)N1', 'O=C(O)c1nc(=O)[nH]c2ccc(Cl)cc12', 'O=C(O)C1=NN(C(=O)c2ccccc2)C(c2ccccc2)C1', 'O=C(O)C1N=C(c2ccccc2)NC1c1ccccc1', 'O=C(O)C1=NN(C(=O)Nc2ccccc2)C(c2ccccc2)C1', 'O=C(O)C1=NN(C(=O)Nc2ccc(Cl)cc2)C(c2ccccc2)C1', 'O=C(O)C1=NN(C(=O)CCc2ccccc2)C(c2ccccc2)C1', 'O=C(O)C1=NN(C(=O)Nc2ccccc2Cl)C(c2ccccc2)C1', 'O=C(O)C1=NC(c2ccccc2)c2cc(Cl)ccc2N1', 'O=C(O)C1=NN(C(=O)Cc2ccccc2)C(c2ccccc2)C1', 'O=C(O)C1N=C(c2ccccc2)N=C1c1ccccc1', 'COc1ccc(C(=O)NN2C(=O)Nc3ccc(Cl)cc3C(c3ccccc3)C2=O)cc1', 'O=C(O)C1=NC(c2ccccc2)C(c2ccc(Cl)cc2)N1']","[-3.748363018, -3.855214119, -5.566163063, -5.8284845352, -5.8941860199, -5.911359787, -6.2870354652, -6.3335542679, -6.388551712, -6.4054937363, -6.4821720123, -6.5709438324, -6.6682462692, -7.1603627205]"
0,C#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C,Mestranol,['Ethinylestradiol'],['C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C'],"['CC#CC1(O)CCC2C3CCc4cc(OC)ccc4C3CCC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(OC)cc3)CC21C', 'CC#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCc4cc(O)ccc4C3CCC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(OC)cc3)CC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C', 'COc1ccc2c(c1)CCC1C2CCC2C1CCC1(C)C(O)CCC21', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(O)cc3)CC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(O)cc3)CC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(OCCCCCCCCCBr)cc3)CC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCCCCC)cc3)CC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCC(=O)O)cc3)CC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCCCCC)cc3)CC21C', 'C#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCC(=O)O)cc3)CC21C', 'CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)CCCCCC(=O)OC)cc3)CC21C']","[-3.7601411343, -4.2423396111, -4.4056582451, -4.4334483147, -4.4550395012, -5.2273821831, -5.3435673714, -5.3520998955, -5.3716077805, -5.4536910057, -6.511882782, -6.6258687973, -6.7176408768, -6.7626924515, -6.823595047, -7.0242338181]"
0,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,(R)-Fluoxetine,"['4-(trifluoromethyl)phenol', '3-(methylamino)-1-phenylpropan-1-one']","['Oc1ccc(C(F)(F)F)cc1', 'CNCCC(=O)c1ccccc1']","['NCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1', 'CNCCC(Oc1cccc2ccccc12)c1ccccc1', 'FC(F)(F)c1ccc(-c2c[nH]nn2)cc1', 'Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'N#Cc1c(-c2ccc(C(F)(F)F)cc2)no[n+]1[O-]', 'Nc1nc2c(-c3ccc(C(F)(F)F)cc3)cccn2n1', 'NCCC(Oc1cccc2ccccc12)c1ccccc1', 'FC(F)(F)c1ccc(SCCc2c[nH]cn2)cc1', 'Oc1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'O=P(O)(O)C(Nc1ccc(C(F)(F)F)cc1)P(=O)(O)O', 'Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1', 'NS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1', 'CN(C)CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1']","[-2.2104673386, -3.5444953442, -3.6464362144, -3.8389773369, -3.8614971638, -3.9681937695, -4.3741502762, -4.4661450386, -4.638756752, -4.6402478218, -4.6801972389, -4.897649765, -6.5895929337]"
0,CCCCCCCCCCCCCCCCOCCCOP(=O)(O)COC(CO)Cn1ccc(N)nc1=O,Brincidofovir,"['Cidofovir', 'CMX064', 'CMX103']","['Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCOCCCC(=O)O)c(=O)n1', 'Nc1ccn(CC(CO)OCP(=O)(O)OCCCO)c(=O)n1']","['CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCC1', 'CCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCCC1', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCC1', 'CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCCC1', 'CCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C', 'CCCCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1', 'CCCCCCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+]1(C)CCOCC1']","[-1.9057046175, -2.2451825142, -2.9573433399, -3.096436739, -3.37378335, -3.3740272522, -4.7134056091, -5.0370187759, -5.7252311707, -5.7774524689, -5.8334960938, -5.8391437531, -6.0189943314, -6.2936444283, -7.0721931458, -7.2603988647, -7.4090428352]"
0,CC(=O)Oc1ccc2c(c1)CCC1C2CCC2(C)C(O)CCC12,Estradiol acetate,['Estradiol'],['CC12CCC3c4ccc(O)cc4CCC3C1CCC2O'],"['CC12CCC3C(CCC4CCC(O)CC43C)C1CCC2O', 'CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2O', 'CC12CCC3C4CCC(O)CC4CCC3C1CCC2O', 'CC12CCC3c4ccc(O)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OCc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3c4ccc(OC(=O)Cc5ccccc5)cc4CCC3C1CCC2O', 'CC1(O)CCC2(C)C3CCC4(C)C(O)CCC4C3CCC12', 'CC12CCC3c4ccc(OCC(=O)O)cc4CCC3C1CCC2O', 'CC12CCC3C(CCC4CCc5cc(OCc6ccccc6)ccc5C43)C1CCC2O', 'CC12CCC3C(CCC4CCc5cc(O)ccc5C43)C1CCC2O', 'CC12CCC3C(CCC4CCC(=O)CC43C)C1CCC2O', 'CC12CCC3c4ccc(OC(=O)Nc5ccccc5)cc4CCC3C1CCC2O', 'CC12CCC3C(CCC4CCc5cc(OCC(=O)O)ccc5C43C)C1CCC2O', 'CC12CCC3C(CCC4CCc5cc(O)ccc5C43C)C1CCC2O', 'CC12CCC3C(CCC4CCC(O)CC43C)C1CCC2=O', 'CC1(O)CCCC2(C)C3CCC4(C)C(O)CCC4C3CCC12', 'CC12CCC3C(CCC4CCc5cc(OCc6ccccc6)ccc5C43C)C1CCC2O', 'CC12CCC3C(CCC4CC(O)CCC43C)C1CCC2=O', 'CC12CCC3C(CCC4CCc5cc(OC(=O)Cc6ccccc6)ccc5C43)C1CCC2O']","[-2.8478107452, -3.5847415924, -4.3059897423, -4.516769886, -4.8221507072, -5.2272615433, -5.3150844574, -5.3300204277, -5.3309307098, -5.5382165909, -5.7095661163, -5.7984585762, -5.8403735161, -5.9667572975, -6.0560011864, -6.1903047562, -6.2479605675, -6.5887851715, -6.9829978943]"
0,CCC(CC)C(=O)OCOC(=O)C1=C(SC2CC[S+]([O-])C2)SC2C(C(C)O)C(=O)N12,Sulopenem etzadroxil,['Sulopenem'],['CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CC[S+]([O-])C3)SC12'],"['CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C(C)O)CSC12)c1csc(N)n1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(NC(=O)COc3ccccc3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(SC3CCSC3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(NC(=O)OCc3ccccc3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(NC(=O)CSc3ccncc3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3cccs3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3cccs3)C2SC1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(NC(=O)C3(N)CC3)C2SC1', 'CON=C(C(=O)NC1C(=O)N2C(C(=O)O)=C(C(C)O)CSC12)c1cccs1', 'CC(O)C1=C(C(=O)O)N2C(=O)C(NC(=O)C3=C(C(=O)O)SC3)C2SC1', 'CCC(CC)C(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1', 'CCC(CC)C(=O)OCOC(=O)C1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1', 'CCC(CC)C(=O)OCOC(=O)C1=C(C(C)O)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1', 'CCC(CC)C(=O)OCOC(=O)C1=C(C)N2C(=O)C(NC(=O)C(=NOC)c3csc(N)n3)C2SC1', 'CCC(CC)C(=O)OCOC(=O)C1=C(C(=O)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1', 'CCC(CC)C(=O)OCOC(=O)C1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1', 'CCC(CC)C(=O)OCOC(=O)C1=C(C(C)O)N2C(=O)C(NC(=O)C(=NO)c3csc(N)n3)C2SC1', 'CCC(CC)C(=O)OCOC(=O)C1=C(C(C)O)N2C(=O)C(NC(=O)C(=NOC)c3cccs3)C2SC1', 'CC(N)C(=O)NC1C(=O)N2CCSC1C(C(=O)NC1C(=O)N3C(C(=O)O)=C(C(C)O)CSC13)=C2C(=O)O']","[-4.7991466522, -4.8535614014, -4.8595046997, -5.5825557709, -5.6576223373, -5.8282938004, -5.9045810699, -6.1068739891, -6.2808756828, -6.4518518448, -7.0203957558, -7.5467453003, -7.5945544243, -7.5968122482, -8.1670207977, -8.3637428284, -8.3831787109, -8.6063690186, -8.9530363083, -11.4314212799]"
0,CN1CCC23CCCCC2C1Cc1ccc(O)cc13,Dextrorphan,"['Dextrorphan O-glucuronide', 'Dextrorphan sulfate', '3-Hydroxymorphinan']","['CN1CCC23CCCCC2C1Cc1ccc(OC2OC(C(=O)O)C(O)C(O)C2O)cc13', 'CN1CCC23CCCCC2C1Cc1ccc(OS(=O)(=O)O)cc13', 'Oc1ccc2c(c1)C13CCCCC1C(C2)NCC3']","['Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'CNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CCNC(=O)Oc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(NCc2cccc(O)c2)cc13', 'CNC(=O)Nc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccccc2)cc13', 'COc1ccccc1CNc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'Nc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3', 'Oc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1', 'c1cc2c(cc1CNc1ccc3c(c1)C14CCCCC1C(C3)N(CC1CCC1)CC4)OCO2', 'c1cc2c(cc1CNc1ccc3c(c1)C14CCCCC1C(C3)N(CC1CC1)CC4)OCO2', 'Oc1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CC2)CC4)cc1', 'CN1CCC23CCCCC2C1Cc1ccc(OC(=O)Nc2ccc(I)cc2)cc13', 'CCCCCCCCC(O)COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3', 'CN(Cc1ccc(O)cc1)c1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'c1ccc(CNc2ccc3c(c2)C24CCCCC2C(C3)N(CC2CCC2)CC4)cc1', 'CN(Cc1cccc(O)c1)c1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3', 'CN(Cc1ccc(O)cc1)c1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3']","[-3.6373438835, -3.9765546322, -4.1087927818, -4.4703865051, -4.5027275085, -4.6770234108, -4.7381381989, -4.8811664581, -4.9423885345, -4.9627575874, -5.0363607407, -5.040075779, -5.0426883698, -5.081568718, -5.1087527275, -5.3737039566, -5.4966220856, -5.5038146973, -5.5326151848]"
0,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,Nordazepam,"['p-Hydroxynordiazepam', 'Nordiazepam O-glucuronide']","['O=C1CN=C(c2ccc(O)cc2)c2cc(Cl)ccc2N1', 'O=C(O)C1OC(OC2CN=C(c3ccccc3)c3cc(Cl)ccc3N2)C(O)C(O)C1O']","['O=C1Nc2ccc(Cl)cc2C1=CC(=O)c1cccnc1', 'O=C1CN=C(c2ccccc2)N1', 'O=C1CN=C(c2ccccc2)c2ccc(Cl)cc2N1', 'O=C1Nc2ccc(Cl)cc2C1=Cc1ccco1', 'O=c1nc(-c2ccccc2)c2cc(Cl)ccc2[nH]1', 'O=c1nc(-c2ccccc2)c2ccc(Cl)cc2[nH]1', 'O=C1Nc2ccc(Cl)cc2C1=CC(=O)c1ccccc1', 'O=C1Nc2ccc(Cl)cc2C1=Cc1ccc[nH]1', 'O=C1CN=C(c2ccccc2)c2c(Cl)cccc2N1', 'O=C1Nc2cc(Cl)ccc2C1=CC(=O)c1cccnc1', 'c1ccc(C2=NCC(c3ccccc3)N2)cc1', 'O=C1Nc2ccc(Cl)cc2C1=CC(=O)c1cncc(Br)c1', 'c1ccc(C2=NC(c3ccccc3)=NC2)cc1', 'O=C1NC(=S)NC1=C1C(=O)Nc2ccc(Cl)cc21', 'Clc1ccc2c(c1)C(c1ccccc1)=NCC(c1ccccc1)N2', 'O=C1Nc2ccc(Cl)cc2C1=Cc1ccc2c(c1)OCO2', 'O=C1Nc2ccc(Cl)cc2C1=CC(=O)c1cccc(Cl)c1']","[-4.0664248466, -4.2351317406, -4.4845585823, -5.0541582108, -5.2459716797, -5.5399637222, -5.7716021538, -5.8766646385, -5.9164066315, -5.9237709045, -6.0248026848, -6.0424876213, -6.0994801521, -6.2084798813, -6.3378977776, -6.5673184395, -6.6473169327]"
